"plh0217","year","pgisced97","regtyp","n","percent","lower_confidence","upper_confidence","value"
"1 Strongly disagree","2005","in school","Urban Area","2","","","","1"
"1 Strongly disagree","2005","in school","Rural Area","1","","","","1"
"1 Strongly disagree","2005","inadequately","Urban Area","2","","","","1"
"1 Strongly disagree","2005","inadequately","Rural Area","3","","","","1"
"1 Strongly disagree","2005","general elemantary","Urban Area","14","","","","1"
"1 Strongly disagree","2005","general elemantary","Rural Area","10","","","","1"
"1 Strongly disagree","2005","middle vocational","Urban Area","50","0.00949542889444417","0.00714411380949675","0.0118467439793916","1"
"1 Strongly disagree","2005","middle vocational","Rural Area","29","","","","1"
"1 Strongly disagree","2005","vocational + Abi","Urban Area","6","","","","1"
"1 Strongly disagree","2005","vocational + Abi","Rural Area","2","","","","1"
"1 Strongly disagree","2005","higher vocational","Urban Area","9","","","","1"
"1 Strongly disagree","2005","higher vocational","Rural Area","6","","","","1"
"1 Strongly disagree","2005","higher education","Urban Area","12","","","","1"
"1 Strongly disagree","2005","higher education","Rural Area","9","","","","1"
"2 on scale 1-7 ","2005","general elemantary","Rural Area","14","","","","2"
"2 on scale 1-7 ","2005","middle vocational","Urban Area","168","0.0251920535695577","0.0213926396364017","0.0289914675027137","2"
"2 on scale 1-7 ","2005","middle vocational","Rural Area","81","0.020366491453547","0.0158170177347473","0.0249159651723468","2"
"2 on scale 1-7 ","2005","vocational + Abi","Urban Area","14","","","","2"
"2 on scale 1-7 ","2005","higher vocational","Urban Area","18","","","","2"
"2 on scale 1-7 ","2005","higher vocational","Rural Area","16","","","","2"
"2 on scale 1-7 ","2005","higher education","Urban Area","68","0.0242886843358095","0.0187466187940458","0.0298307498775732","2"
"2 on scale 1-7 ","2005","higher education","Rural Area","22","","","","2"
"2 on scale 1-7 ","2005","in school","Urban Area","8","","","","2"
"2 on scale 1-7 ","2005","in school","Rural Area","","","","","2"
"2 on scale 1-7 ","2005","inadequately","Urban Area","8","","","","2"
"2 on scale 1-7 ","2005","inadequately","Rural Area","3","","","","2"
"2 on scale 1-7 ","2005","general elemantary","Urban Area","35","0.0247453029648871","0.0172222078038696","0.0322683981259047","2"
"2 on scale 1-7 ","2005","vocational + Abi","Rural Area","5","","","","2"
"3 on scale 1-7 ","2005","general elemantary","Urban Area","72","0.0402630595379228","0.030743417140363","0.0497827019354825","3"
"3 on scale 1-7 ","2005","general elemantary","Rural Area","47","0.0628197112666911","0.0455918983803777","0.0800475241530046","3"
"3 on scale 1-7 ","2005","middle vocational","Urban Area","349","0.0537307074893696","0.0482637720136103","0.059197642965129","3"
"3 on scale 1-7 ","2005","in school","Urban Area","13","","","","3"
"3 on scale 1-7 ","2005","in school","Rural Area","10","","","","3"
"3 on scale 1-7 ","2005","inadequately","Urban Area","11","","","","3"
"3 on scale 1-7 ","2005","inadequately","Rural Area","2","","","","3"
"3 on scale 1-7 ","2005","middle vocational","Rural Area","200","0.0597023904419344","0.0520710687514272","0.0673337121324417","3"
"3 on scale 1-7 ","2005","vocational + Abi","Urban Area","44","0.0586468348173259","0.0430427753704788","0.074250894264173","3"
"3 on scale 1-7 ","2005","vocational + Abi","Rural Area","9","","","","3"
"3 on scale 1-7 ","2005","higher vocational","Urban Area","46","0.0599313956076487","0.0452125985658018","0.0746501926494956","3"
"3 on scale 1-7 ","2005","higher vocational","Rural Area","33","0.0494644902334924","0.0314732155899729","0.067455764877012","3"
"3 on scale 1-7 ","2005","higher education","Urban Area","160","0.0586038158600882","0.0501479486215207","0.0670596830986557","3"
"3 on scale 1-7 ","2005","higher education","Rural Area","58","0.0546630011216015","0.0418013261066461","0.067524676136557","3"
"4 on scale 1-7","2005","middle vocational","Urban Area","819","0.123004219701983","0.115041085185013","0.130967354218952","4"
"4 on scale 1-7","2005","general elemantary","Rural Area","100","0.134234288744848","0.110029431304634","0.158439146185062","4"
"4 on scale 1-7","2005","higher education","Rural Area","153","0.136093912828613","0.116693539586613","0.155494286070614","4"
"4 on scale 1-7","2005","middle vocational","Rural Area","485","0.130091843767326","0.1192567425959","0.140926944938752","4"
"4 on scale 1-7","2005","vocational + Abi","Urban Area","113","0.124595338291646","0.102662525191752","0.146528151391539","4"
"4 on scale 1-7","2005","in school","Urban Area","53","0.121181528475267","0.0910299789879264","0.151333077962607","4"
"4 on scale 1-7","2005","in school","Rural Area","24","","","","4"
"4 on scale 1-7","2005","vocational + Abi","Rural Area","34","0.104253024936943","0.0673906650163916","0.141115384857495","4"
"4 on scale 1-7","2005","higher vocational","Urban Area","119","0.124432608605802","0.103964522315911","0.144900694895693","4"
"4 on scale 1-7","2005","higher vocational","Rural Area","56","0.115004719991678","0.088534393304662","0.141475046678694","4"
"4 on scale 1-7","2005","higher education","Urban Area","364","0.107835219856894","0.0966688542647038","0.119001585449085","4"
"4 on scale 1-7","2005","inadequately","Urban Area","24","","","","4"
"4 on scale 1-7","2005","inadequately","Rural Area","12","","","","4"
"4 on scale 1-7","2005","general elemantary","Urban Area","202","0.110066683227871","0.094910221923898","0.125223144531844","4"
"5 on scale 1-7","2005","higher vocational","Urban Area","209","0.19713486068314","0.172464905382007","0.221804815984272","5"
"5 on scale 1-7","2005","higher vocational","Rural Area","120","0.201121447182514","0.167863107456384","0.234379786908644","5"
"5 on scale 1-7","2005","higher education","Urban Area","638","0.221287969143941","0.206343643063863","0.236232295224018","5"
"5 on scale 1-7","2005","higher education","Rural Area","240","0.181543829354057","0.159734318382615","0.203353340325498","5"
"5 on scale 1-7","2005","in school","Urban Area","110","0.233087329280082","0.19402356203934","0.272151096520825","5"
"5 on scale 1-7","2005","in school","Rural Area","46","0.23525304693622","0.176321470468667","0.294184623403773","5"
"5 on scale 1-7","2005","inadequately","Urban Area","49","0.286475367042198","0.220610028065953","0.352340706018444","5"
"5 on scale 1-7","2005","inadequately","Rural Area","6","","","","5"
"5 on scale 1-7","2005","general elemantary","Urban Area","324","0.199464540157621","0.180113055976534","0.218816024338708","5"
"5 on scale 1-7","2005","general elemantary","Rural Area","146","0.194774454382051","0.166655745480617","0.222893163283486","5"
"5 on scale 1-7","2005","middle vocational","Urban Area","1348","0.201866775217035","0.19213492507491","0.21159862535916","5"
"5 on scale 1-7","2005","middle vocational","Rural Area","803","0.209060191145533","0.195962986186652","0.222157396104414","5"
"5 on scale 1-7","2005","vocational + Abi","Urban Area","172","0.191092206940732","0.164982018191733","0.21720239568973","5"
"5 on scale 1-7","2005","vocational + Abi","Rural Area","63","0.274212653393801","0.220398740751069","0.328026566036533","5"
"6 on scale 1-7","2005","higher education","Urban Area","1108","0.360686923982751","0.343399472111399","0.377974375854103","6"
"6 on scale 1-7","2005","higher education","Rural Area","439","0.367819274426635","0.340536072646461","0.395102476206809","6"
"6 on scale 1-7","2005","in school","Urban Area","153","0.326026707012032","0.282716549161916","0.369336864862148","6"
"6 on scale 1-7","2005","in school","Rural Area","68","0.322878121578824","0.25791389311012","0.387842350047528","6"
"6 on scale 1-7","2005","inadequately","Urban Area","27","","","","6"
"6 on scale 1-7","2005","inadequately","Rural Area","15","","","","6"
"6 on scale 1-7","2005","general elemantary","Urban Area","502","0.302742834638711","0.280493113522176","0.324992555755246","6"
"6 on scale 1-7","2005","general elemantary","Rural Area","240","0.263449252539373","0.232172588292781","0.294725916785965","6"
