"plh0217","year","migback","sampreg","n","percent","lower_confidence","upper_confidence"
"1 Strongly disagree","2005","no migration background","West Germany","99","0.010766439016654","0.00896353569742347","0.0125693423358845"
"1 Strongly disagree","2005","no migration background","East Germany","35","0.0107122695943911","0.0078322338863615","0.0135923053024207"
"1 Strongly disagree","2005","direct migration background","West Germany","","","",""
"1 Strongly disagree","2005","direct migration background","East Germany","","","",""
"1 Strongly disagree","2005","indirect migration background","West Germany","","","",""
"1 Strongly disagree","2005","indirect migration background","East Germany","","","",""
"2 on scale 1-7 ","2005","no migration background","West Germany","289","0.0240109864982694","0.0213366599159674","0.0266853130805714"
"2 on scale 1-7 ","2005","no migration background","East Germany","101","0.0183098094639798","0.0145590004403698","0.0220606184875898"
"2 on scale 1-7 ","2005","direct migration background","West Germany","58","0.0243673482669917","0.0180062865396764","0.0307284099943069"
"2 on scale 1-7 ","2005","direct migration background","East Germany","","","",""
"2 on scale 1-7 ","2005","indirect migration background","West Germany","","","",""
"2 on scale 1-7 ","2005","indirect migration background","East Germany","","","",""
"3 on scale 1-7 ","2005","no migration background","West Germany","630","0.0510433648934776","0.047198511306098","0.0548882184808573"
"3 on scale 1-7 ","2005","no migration background","East Germany","250","0.0557676183481592","0.0493477472543786","0.0621874894419399"
"3 on scale 1-7 ","2005","direct migration background","West Germany","141","0.064193073755193","0.0540814820527518","0.0743046654576343"
"3 on scale 1-7 ","2005","direct migration background","East Germany","","","",""
"3 on scale 1-7 ","2005","indirect migration background","West Germany","42","0.0565278535376436","0.0404747016150037","0.0725810054602834"
"3 on scale 1-7 ","2005","indirect migration background","East Germany","","","",""
"4 on scale 1-7","2005","no migration background","West Germany","1521","0.115546417783121","0.109961680595195","0.121131154971047"
"4 on scale 1-7","2005","no migration background","East Germany","658","0.138197798532795","0.128542845265799","0.14785275179979"
"4 on scale 1-7","2005","direct migration background","West Germany","294","0.139162125954272","0.124882937611023","0.153441314297521"
"4 on scale 1-7","2005","direct migration background","East Germany","","","",""
"4 on scale 1-7","2005","indirect migration background","West Germany","121","0.110196844090992","0.0884299694513342","0.13196371873065"
"4 on scale 1-7","2005","indirect migration background","East Germany","","","",""
"5 on scale 1-7","2005","no migration background","West Germany","2691","0.208021629040405","0.200930785838919","0.21511247224189"
"5 on scale 1-7","2005","no migration background","East Germany","1003","0.202131228207701","0.190896094245313","0.21336636217009"
"5 on scale 1-7","2005","direct migration background","West Germany","450","0.195202137475834","0.178850245739181","0.211554029212486"
"5 on scale 1-7","2005","direct migration background","East Germany","","","",""
"5 on scale 1-7","2005","indirect migration background","West Germany","170","0.213907312373961","0.185402760324063","0.24241186442386"
"5 on scale 1-7","2005","indirect migration background","East Germany","","","",""
"6 on scale 1-7","2005","no migration background","West Germany","4240","0.32644883418442","0.318257024915626","0.334640643453213"
"6 on scale 1-7","2005","no migration background","East Germany","1670","0.325508719802977","0.312399848575878","0.338617591030076"
"6 on scale 1-7","2005","direct migration background","West Germany","628","0.250705396919132","0.232824452415087","0.268586341423177"
"6 on scale 1-7","2005","direct migration background","East Germany","34","0.32478281699426","0.232998948981221","0.416566685007299"
"6 on scale 1-7","2005","indirect migration background","West Germany","254","0.317213884533902","0.284863238237208","0.349564530830597"
"6 on scale 1-7","2005","indirect migration background","East Germany","","","",""
"7 Strongly agree","2005","no migration background","West Germany","3117","0.264162328583654","0.256460152802575","0.271864504364733"
"7 Strongly agree","2005","no migration background","East Germany","1191","0.249372556049997","0.23726845998691","0.261476652113084"
"7 Strongly agree","2005","direct migration background","West Germany","666","0.31656790915016","0.297378418863541","0.335757399436779"
"7 Strongly agree","2005","direct migration background","East Germany","30","0.313681338242642","0.222741257373329","0.404621419111955"
"7 Strongly agree","2005","indirect migration background","West Germany","184","0.266315824845008","0.235589006747048","0.297042642942968"
"7 Strongly agree","2005","indirect migration background","East Germany","","","",""
"1 Strongly disagree","2006","no migration background","West Germany","","","",""
"1 Strongly disagree","2006","no migration background","East Germany","","","",""
"1 Strongly disagree","2006","direct migration background","West Germany","","","",""
"1 Strongly disagree","2006","direct migration background","East Germany","","","",""
"1 Strongly disagree","2006","indirect migration background","West Germany","","","",""
"1 Strongly disagree","2006","indirect migration background","East Germany","","","",""
"2 on scale 1-7 ","2006","no migration background","West Germany","","","",""
"2 on scale 1-7 ","2006","no migration background","East Germany","","","",""
"2 on scale 1-7 ","2006","direct migration background","West Germany","","","",""
"2 on scale 1-7 ","2006","direct migration background","East Germany","","","",""
"2 on scale 1-7 ","2006","indirect migration background","West Germany","","","",""
"2 on scale 1-7 ","2006","indirect migration background","East Germany","","","",""
"3 on scale 1-7 ","2006","no migration background","West Germany","","","",""
"3 on scale 1-7 ","2006","no migration background","East Germany","","","",""
"3 on scale 1-7 ","2006","direct migration background","West Germany","","","",""
"3 on scale 1-7 ","2006","direct migration background","East Germany","","","",""
"3 on scale 1-7 ","2006","indirect migration background","West Germany","","","",""
"3 on scale 1-7 ","2006","indirect migration background","East Germany","","","",""
"4 on scale 1-7","2006","no migration background","West Germany","","","",""
"4 on scale 1-7","2006","no migration background","East Germany","","","",""
"4 on scale 1-7","2006","direct migration background","West Germany","","","",""
"4 on scale 1-7","2006","direct migration background","East Germany","","","",""
"4 on scale 1-7","2006","indirect migration background","West Germany","","","",""
"4 on scale 1-7","2006","indirect migration background","East Germany","","","",""
"5 on scale 1-7","2006","no migration background","West Germany","","","",""
"5 on scale 1-7","2006","no migration background","East Germany","","","",""
"5 on scale 1-7","2006","direct migration background","West Germany","","","",""
"5 on scale 1-7","2006","direct migration background","East Germany","","","",""
"5 on scale 1-7","2006","indirect migration background","West Germany","","","",""
"5 on scale 1-7","2006","indirect migration background","East Germany","","","",""
"6 on scale 1-7","2006","no migration background","West Germany","","","",""
"6 on scale 1-7","2006","no migration background","East Germany","","","",""
"6 on scale 1-7","2006","direct migration background","West Germany","","","",""
"6 on scale 1-7","2006","direct migration background","East Germany","","","",""
"6 on scale 1-7","2006","indirect migration background","West Germany","","","",""
