"plh0217","year","age_gr","education","n","percent","lower_confidence","upper_confidence"
"1 Strongly disagree","2005","16-34 y.","lower secondary degree","","","",""
"1 Strongly disagree","2005","16-34 y.","secondary school degree","","","",""
"1 Strongly disagree","2005","16-34 y.","college entrance qualification","","","",""
"1 Strongly disagree","2005","16-34 y.","Other degree","","","",""
"1 Strongly disagree","2005","16-34 y.","no degree/no degree yet","","","",""
"1 Strongly disagree","2005","35-65 y.","lower secondary degree","35","0.0111272146907665","0.00775272929106773","0.0145017000904653"
"1 Strongly disagree","2005","35-65 y.","secondary school degree","","","",""
"1 Strongly disagree","2005","35-65 y.","college entrance qualification","","","",""
"1 Strongly disagree","2005","35-65 y.","Other degree","","","",""
"1 Strongly disagree","2005","35-65 y.","no degree/no degree yet","","","",""
"1 Strongly disagree","2005","66 and older","lower secondary degree","","","",""
"1 Strongly disagree","2005","66 and older","secondary school degree","","","",""
"1 Strongly disagree","2005","66 and older","college entrance qualification","","","",""
"1 Strongly disagree","2005","66 and older","Other degree","","","",""
"1 Strongly disagree","2005","66 and older","no degree/no degree yet","","","",""
"2 on scale 1-7 ","2005","16-34 y.","lower secondary degree","","","",""
"2 on scale 1-7 ","2005","16-34 y.","secondary school degree","","","",""
"2 on scale 1-7 ","2005","16-34 y.","college entrance qualification","","","",""
"2 on scale 1-7 ","2005","16-34 y.","Other degree","","","",""
"2 on scale 1-7 ","2005","16-34 y.","no degree/no degree yet","","","",""
"2 on scale 1-7 ","2005","35-65 y.","lower secondary degree","92","0.0261989351202969","0.0210606162786166","0.0313372539619771"
"2 on scale 1-7 ","2005","35-65 y.","secondary school degree","98","0.0245625451499782","0.0196807634716549","0.0294443268283015"
"2 on scale 1-7 ","2005","35-65 y.","college entrance qualification","56","0.0182370911954591","0.0134860044594148","0.0229881779315035"
"2 on scale 1-7 ","2005","35-65 y.","Other degree","","","",""
"2 on scale 1-7 ","2005","35-65 y.","no degree/no degree yet","","","",""
"2 on scale 1-7 ","2005","66 and older","lower secondary degree","62","0.0249747712311741","0.0187562253516964","0.0311933171106517"
"2 on scale 1-7 ","2005","66 and older","secondary school degree","","","",""
"2 on scale 1-7 ","2005","66 and older","college entrance qualification","","","",""
"2 on scale 1-7 ","2005","66 and older","Other degree","","","",""
"2 on scale 1-7 ","2005","66 and older","no degree/no degree yet","","","",""
"3 on scale 1-7 ","2005","16-34 y.","lower secondary degree","42","0.0534028245430204","0.0390829960122263","0.0677226530738145"
"3 on scale 1-7 ","2005","16-34 y.","secondary school degree","78","0.0490535760945651","0.0385036719266016","0.0596034802625286"
"3 on scale 1-7 ","2005","16-34 y.","college entrance qualification","81","0.0522810617756726","0.0412949446837417","0.0632671788676036"
"3 on scale 1-7 ","2005","16-34 y.","Other degree","","","",""
"3 on scale 1-7 ","2005","16-34 y.","no degree/no degree yet","","","",""
"3 on scale 1-7 ","2005","35-65 y.","lower secondary degree","206","0.0559821578902579","0.048586802896524","0.0633775128839918"
"3 on scale 1-7 ","2005","35-65 y.","secondary school degree","203","0.0536311607195167","0.0465258876973727","0.0607364337416606"
"3 on scale 1-7 ","2005","35-65 y.","college entrance qualification","160","0.0514957129611918","0.043648470876299","0.0593429550460847"
"3 on scale 1-7 ","2005","35-65 y.","Other degree","47","0.0721850522454488","0.0540698002491862","0.0903003042417114"
"3 on scale 1-7 ","2005","35-65 y.","no degree/no degree yet","","","",""
"3 on scale 1-7 ","2005","66 and older","lower secondary degree","112","0.0477475714789599","0.0392502539943825","0.0562448889635372"
"3 on scale 1-7 ","2005","66 and older","secondary school degree","","","",""
"3 on scale 1-7 ","2005","66 and older","college entrance qualification","39","0.0924058991543332","0.0685688637006845","0.116242934607982"
"3 on scale 1-7 ","2005","66 and older","Other degree","","","",""
"3 on scale 1-7 ","2005","66 and older","no degree/no degree yet","","","",""
"4 on scale 1-7","2005","16-34 y.","lower secondary degree","157","0.175473784164917","0.151247798450899","0.199699769878935"
"4 on scale 1-7","2005","16-34 y.","secondary school degree","199","0.112616407541595","0.0971748293523979","0.128057985730793"
"4 on scale 1-7","2005","16-34 y.","college entrance qualification","206","0.107880107629567","0.0925687203478247","0.123191494911309"
"4 on scale 1-7","2005","16-34 y.","Other degree","","","",""
"4 on scale 1-7","2005","16-34 y.","no degree/no degree yet","85","0.117172830424724","0.0932268413877655","0.141118819461683"
"4 on scale 1-7","2005","35-65 y.","lower secondary degree","471","0.11996815994436","0.109515512585275","0.130420807303445"
"4 on scale 1-7","2005","35-65 y.","secondary school degree","481","0.132687412409965","0.121988376542372","0.143386448277559"
"4 on scale 1-7","2005","35-65 y.","college entrance qualification","378","0.11736832661844","0.105940146561518","0.128796506675362"
"4 on scale 1-7","2005","35-65 y.","Other degree","115","0.167023525117442","0.140914223789523","0.193132826445361"
"4 on scale 1-7","2005","35-65 y.","no degree/no degree yet","","","",""
"4 on scale 1-7","2005","66 and older","lower secondary degree","270","0.110298127042627","0.0978146238073314","0.122781630277923"
"4 on scale 1-7","2005","66 and older","secondary school degree","50","0.0733727743598871","0.0514614494030244","0.0952840993167498"
"4 on scale 1-7","2005","66 and older","college entrance qualification","57","0.0836377619807114","0.060850541453615","0.106424982507808"
"4 on scale 1-7","2005","66 and older","Other degree","","","",""
"4 on scale 1-7","2005","66 and older","no degree/no degree yet","","","",""
"5 on scale 1-7","2005","16-34 y.","lower secondary degree","221","0.235644339497457","0.208614133808461","0.262674545186453"
"5 on scale 1-7","2005","16-34 y.","secondary school degree","382","0.246255834354482","0.225211247743563","0.267300420965401"
"5 on scale 1-7","2005","16-34 y.","college entrance qualification","362","0.23359249941212","0.212709563082708","0.254475435741532"
"5 on scale 1-7","2005","16-34 y.","Other degree","","","",""
"5 on scale 1-7","2005","16-34 y.","no degree/no degree yet","166","0.22702341989538","0.1958345260373","0.258212313753461"
"5 on scale 1-7","2005","35-65 y.","lower secondary degree","751","0.189181034235306","0.176581779570729","0.201780288899884"
"5 on scale 1-7","2005","35-65 y.","secondary school degree","769","0.193468230911292","0.181009967018314","0.205926494804271"
"5 on scale 1-7","2005","35-65 y.","college entrance qualification","628","0.212087482973725","0.197572772316326","0.226602193631123"
"5 on scale 1-7","2005","35-65 y.","Other degree","165","0.185401949151152","0.1581988182855","0.212605080016805"
"5 on scale 1-7","2005","35-65 y.","no degree/no degree yet","33","0.268119021882371","0.19601688550464","0.340221158260102"
