"plh0217","year","sampreg","n","percent","lower_confidence","upper_confidence"
"1 Strongly disagree","2005","West Germany","126","0.0103471525350758","0.00876118071582584","0.0119331243543258"
"1 Strongly disagree","2005","East Germany","37","0.0109082324656176","0.00804142126345376","0.0137750436677814"
"2 on scale 1-7 ","2005","West Germany","364","0.0243849062086713","0.0219675346881935","0.026802277729149"
"2 on scale 1-7 ","2005","East Germany","104","0.0179445695156853","0.0142807157641165","0.0216084232672541"
"3 on scale 1-7 ","2005","West Germany","813","0.0533209063146711","0.0497996814841703","0.0568421311451718"
"3 on scale 1-7 ","2005","East Germany","257","0.0550658602438799","0.0487701375423035","0.0613615829454563"
"4 on scale 1-7","2005","West Germany","1936","0.118943461834485","0.11386986705755","0.12401705661142"
"4 on scale 1-7","2005","East Germany","679","0.138052819637804","0.128532170199217","0.14757346907639"
"5 on scale 1-7","2005","West Germany","3311","0.206313579390777","0.199971495490596","0.212655663290957"
"5 on scale 1-7","2005","East Germany","1023","0.201513951703587","0.190442875683351","0.212585027723823"
"6 on scale 1-7","2005","West Germany","5122","0.314349639714323","0.307073493143135","0.32162578628551"
"6 on scale 1-7","2005","East Germany","1717","0.325883901493898","0.312947829921032","0.338819973066764"
"7 Strongly agree","2005","West Germany","3967","0.272340354001997","0.265363433966617","0.279317274037378"
"7 Strongly agree","2005","East Germany","1226","0.250630664939528","0.238669632484969","0.262591697394088"
"1 Strongly disagree","2006","West Germany","","","",""
"1 Strongly disagree","2006","East Germany","","","",""
"2 on scale 1-7 ","2006","West Germany","","","",""
"2 on scale 1-7 ","2006","East Germany","","","",""
"3 on scale 1-7 ","2006","West Germany","","","",""
"3 on scale 1-7 ","2006","East Germany","","","",""
"4 on scale 1-7","2006","West Germany","","","",""
"4 on scale 1-7","2006","East Germany","","","",""
"5 on scale 1-7","2006","West Germany","","","",""
"5 on scale 1-7","2006","East Germany","","","",""
"6 on scale 1-7","2006","West Germany","","","",""
"6 on scale 1-7","2006","East Germany","","","",""
"7 Strongly agree","2006","West Germany","","","",""
"7 Strongly agree","2006","East Germany","","","",""
"1 Strongly disagree","2007","West Germany","","","",""
"1 Strongly disagree","2007","East Germany","","","",""
"2 on scale 1-7 ","2007","West Germany","","","",""
"2 on scale 1-7 ","2007","East Germany","","","",""
"3 on scale 1-7 ","2007","West Germany","","","",""
"3 on scale 1-7 ","2007","East Germany","","","",""
"4 on scale 1-7","2007","West Germany","","","",""
"4 on scale 1-7","2007","East Germany","","","",""
"5 on scale 1-7","2007","West Germany","","","",""
"5 on scale 1-7","2007","East Germany","","","",""
"6 on scale 1-7","2007","West Germany","","","",""
"6 on scale 1-7","2007","East Germany","","","",""
"7 Strongly agree","2007","West Germany","","","",""
"7 Strongly agree","2007","East Germany","","","",""
"1 Strongly disagree","2008","West Germany","","","",""
"1 Strongly disagree","2008","East Germany","","","",""
"2 on scale 1-7 ","2008","West Germany","","","",""
"2 on scale 1-7 ","2008","East Germany","","","",""
"3 on scale 1-7 ","2008","West Germany","","","",""
"3 on scale 1-7 ","2008","East Germany","","","",""
"4 on scale 1-7","2008","West Germany","","","",""
"4 on scale 1-7","2008","East Germany","","","",""
"5 on scale 1-7","2008","West Germany","","","",""
"5 on scale 1-7","2008","East Germany","","","",""
"6 on scale 1-7","2008","West Germany","","","",""
"6 on scale 1-7","2008","East Germany","","","",""
"7 Strongly agree","2008","West Germany","","","",""
"7 Strongly agree","2008","East Germany","","","",""
"1 Strongly disagree","2009","West Germany","127","0.0113156562241774","0.00952897995518816","0.0131023324931667"
"1 Strongly disagree","2009","East Germany","33","0.00777342022641904","0.00521707893811876","0.0103297615147193"
"2 on scale 1-7 ","2009","West Germany","371","0.0324370773459928","0.0294445533939749","0.0354296012980107"
"2 on scale 1-7 ","2009","East Germany","125","0.0286418439406369","0.0237867513606865","0.0334969365205873"
"3 on scale 1-7 ","2009","West Germany","814","0.0664612916714097","0.0622537568194534","0.0706688265233661"
"3 on scale 1-7 ","2009","East Germany","274","0.0676151526939849","0.0603066745395214","0.0749236308484485"
"4 on scale 1-7","2009","West Germany","1884","0.144802549560971","0.138858280334498","0.150746818787443"
"4 on scale 1-7","2009","East Germany","667","0.154060199934182","0.143552146057343","0.16456825381102"
"5 on scale 1-7","2009","West Germany","3044","0.220677452450746","0.213672345508512","0.22768255939298"
"5 on scale 1-7","2009","East Germany","1075","0.23063523973979","0.218373945597578","0.242896533882003"
"6 on scale 1-7","2009","West Germany","4273","0.302454709261879","0.294695927270292","0.310213491253466"
"6 on scale 1-7","2009","East Germany","1474","0.321099695742517","0.307509356998699","0.334690034486334"
"7 Strongly agree","2009","West Germany","2950","0.221851263484824","0.214832842261113","0.228869684708535"
"7 Strongly agree","2009","East Germany","886","0.190174447722471","0.178751474653019","0.201597420791922"
"1 Strongly disagree","2010","West Germany","","","",""
"1 Strongly disagree","2010","East Germany","","","",""
"2 on scale 1-7 ","2010","West Germany","","","",""
"2 on scale 1-7 ","2010","East Germany","","","",""
"3 on scale 1-7 ","2010","West Germany","","","",""
"3 on scale 1-7 ","2010","East Germany","","","",""
"4 on scale 1-7","2010","West Germany","","","",""
"4 on scale 1-7","2010","East Germany","","","",""
"5 on scale 1-7","2010","West Germany","","","",""
"5 on scale 1-7","2010","East Germany","","","",""
"6 on scale 1-7","2010","West Germany","","","",""
"6 on scale 1-7","2010","East Germany","","","",""
"7 Strongly agree","2010","West Germany","","","",""
"7 Strongly agree","2010","East Germany","","","",""
"1 Strongly disagree","2011","West Germany","","","",""
"1 Strongly disagree","2011","East Germany","","","",""
"2 on scale 1-7 ","2011","West Germany","","","",""
"2 on scale 1-7 ","2011","East Germany","","","",""
"3 on scale 1-7 ","2011","West Germany","","","",""
"3 on scale 1-7 ","2011","East Germany","","","",""
"4 on scale 1-7","2011","West Germany","","","",""
"4 on scale 1-7","2011","East Germany","","","",""
"5 on scale 1-7","2011","West Germany","","","",""
"5 on scale 1-7","2011","East Germany","","","",""
"6 on scale 1-7","2011","West Germany","","","",""
"6 on scale 1-7","2011","East Germany","","","",""
"7 Strongly agree","2011","West Germany","","","",""
"7 Strongly agree","2011","East Germany","","","",""
"1 Strongly disagree","2012","West Germany","49","0.00873596703521388","0.0063386029365081","0.0111333311339197"
"1 Strongly disagree","2012","East Germany","","","",""
"2 on scale 1-7 ","2012","West Germany","135","0.0251129101540406","0.0210819406659055","0.0291438796421756"
"2 on scale 1-7 ","2012","East Germany","","","",""
"3 on scale 1-7 ","2012","West Germany","282","0.0492756116517568","0.0436995552360823","0.0548516680674313"
"3 on scale 1-7 ","2012","East Germany","60","0.0457728423271527","0.0345745999999892","0.0569710846543162"
"4 on scale 1-7","2012","West Germany","633","0.110254239403592","0.102185337376443","0.118323141430742"
"4 on scale 1-7","2012","East Germany","161","0.117869169159985","0.100591440631176","0.135146897688794"
"5 on scale 1-7","2012","West Germany","1244","0.214234884923206","0.203664877384906","0.224804892461505"
"5 on scale 1-7","2012","East Germany","277","0.213103498791731","0.191161603839395","0.235045393744066"
"6 on scale 1-7","2012","West Germany","2013","0.339133550716569","0.326937307950423","0.351329793482714"
"6 on scale 1-7","2012","East Germany","487","0.372546613860696","0.346640571091735","0.398452656629657"
"7 Strongly agree","2012","West Germany","1432","0.253252836115622","0.242049489322172","0.264456182909071"
"7 Strongly agree","2012","East Germany","326","0.229062701909321","0.206545897644277","0.251579506174364"
"1 Strongly disagree","2013","West Germany","142","0.0113914769298732","0.00965813549893374","0.0131248183608127"
"1 Strongly disagree","2013","East Germany","","","",""
"2 on scale 1-7 ","2013","West Germany","360","0.0257017522672798","0.0231170575659611","0.0282864469685986"
"2 on scale 1-7 ","2013","East Germany","102","0.0234210170396694","0.0189849926914879","0.0278570413878508"
"3 on scale 1-7 ","2013","West Germany","813","0.0578835809725844","0.054069306802128","0.0616978551430407"
"3 on scale 1-7 ","2013","East Germany","260","0.0609218910096193","0.0539061280778262","0.0679376539414124"
"4 on scale 1-7","2013","West Germany","1832","0.125102071555173","0.119698351151844","0.130505791958503"
"4 on scale 1-7","2013","East Germany","589","0.146257562200813","0.135892785274255","0.156622339127371"
"5 on scale 1-7","2013","West Germany","3188","0.224632138780931","0.217815476643304","0.231448800918558"
"5 on scale 1-7","2013","East Germany","963","0.205491984246946","0.193640194351401","0.21734377414249"
"6 on scale 1-7","2013","West Germany","4852","0.32774706509597","0.320080202423558","0.335413927768381"
"6 on scale 1-7","2013","East Germany","1599","0.339637778217934","0.325746683741988","0.353528872693879"
"7 Strongly agree","2013","West Germany","3212","0.227541914398188","0.220694129802051","0.234389698994326"
"7 Strongly agree","2013","East Germany","924","0.218185556976677","0.206071148776237","0.230299965177116"
"1 Strongly disagree","2014","West Germany","","","",""
"1 Strongly disagree","2014","East Germany","","","",""
"2 on scale 1-7 ","2014","West Germany","","","",""
"2 on scale 1-7 ","2014","East Germany","","","",""
"3 on scale 1-7 ","2014","West Germany","","","",""
"3 on scale 1-7 ","2014","East Germany","","","",""
"4 on scale 1-7","2014","West Germany","","","",""
"4 on scale 1-7","2014","East Germany","","","",""
"5 on scale 1-7","2014","West Germany","","","",""
"5 on scale 1-7","2014","East Germany","","","",""
"6 on scale 1-7","2014","West Germany","","","",""
"6 on scale 1-7","2014","East Germany","","","",""
"7 Strongly agree","2014","West Germany","","","",""
"7 Strongly agree","2014","East Germany","","","",""
"1 Strongly disagree","2015","West Germany","","","",""
"1 Strongly disagree","2015","East Germany","","","",""
"2 on scale 1-7 ","2015","West Germany","","","",""
"2 on scale 1-7 ","2015","East Germany","","","",""
"3 on scale 1-7 ","2015","West Germany","","","",""
"3 on scale 1-7 ","2015","East Germany","","","",""
"4 on scale 1-7","2015","West Germany","","","",""
"4 on scale 1-7","2015","East Germany","","","",""
"5 on scale 1-7","2015","West Germany","","","",""
"5 on scale 1-7","2015","East Germany","","","",""
"6 on scale 1-7","2015","West Germany","","","",""
"6 on scale 1-7","2015","East Germany","","","",""
"7 Strongly agree","2015","West Germany","","","",""
"7 Strongly agree","2015","East Germany","","","",""
"1 Strongly disagree","2016","West Germany","","","",""
"1 Strongly disagree","2016","East Germany","","","",""
"2 on scale 1-7 ","2016","West Germany","","","",""
"2 on scale 1-7 ","2016","East Germany","","","",""
"3 on scale 1-7 ","2016","West Germany","","","",""
"3 on scale 1-7 ","2016","East Germany","","","",""
