"plh0217","year","migback","n","percent","lower_confidence","upper_confidence"
"1 Strongly disagree","2005","no migration background","134","0.0107547505260421","0.00922632854584183","0.0122831725062424"
"1 Strongly disagree","2005","direct migration background","","","",""
"1 Strongly disagree","2005","indirect migration background","","","",""
"2 on scale 1-7 ","2005","no migration background","390","0.022780806233129","0.0205698932149748","0.0249917192512833"
"2 on scale 1-7 ","2005","direct migration background","60","0.0236952224471646","0.0175548968297714","0.0298355480645578"
"2 on scale 1-7 ","2005","indirect migration background","","","",""
"3 on scale 1-7 ","2005","no migration background","880","0.0520627479669231","0.0487708644716087","0.0553546314622375"
"3 on scale 1-7 ","2005","direct migration background","148","0.0633351644996939","0.0535022364964152","0.0731680925029726"
"3 on scale 1-7 ","2005","indirect migration background","42","0.0548780974119058","0.0393844923353283","0.0703717024884833"
"4 on scale 1-7","2005","no migration background","2179","0.120434054390234","0.11561124637191","0.125256862408558"
"4 on scale 1-7","2005","direct migration background","304","0.138043765286724","0.124117992474197","0.151969538099252"
"4 on scale 1-7","2005","indirect migration background","132","0.114001832061357","0.092380553500447","0.135623110622267"
"5 on scale 1-7","2005","no migration background","3694","0.2067506187184","0.200749677156344","0.212751560280456"
"5 on scale 1-7","2005","direct migration background","466","0.194884165361151","0.178892792094169","0.210875538628133"
"5 on scale 1-7","2005","indirect migration background","174","0.212605138368943","0.184770075195045","0.24044020154284"
"6 on scale 1-7","2005","no migration background","5910","0.326245979554214","0.319298706211196","0.333193252897233"
"6 on scale 1-7","2005","direct migration background","662","0.253675920771809","0.23610997048292","0.271241871060698"
"6 on scale 1-7","2005","indirect migration background","267","0.319376202707801","0.28765761176227","0.351094793653333"
"7 Strongly agree","2005","no migration background","4308","0.260971042611057","0.254463485236912","0.267478599985202"
"7 Strongly agree","2005","direct migration background","696","0.316452156904408","0.297675996427963","0.335228317380853"
"7 Strongly agree","2005","indirect migration background","189","0.263110153479416","0.23315447676035","0.293065830198481"
"1 Strongly disagree","2006","no migration background","","","",""
"1 Strongly disagree","2006","direct migration background","","","",""
"1 Strongly disagree","2006","indirect migration background","","","",""
"2 on scale 1-7 ","2006","no migration background","","","",""
"2 on scale 1-7 ","2006","direct migration background","","","",""
"2 on scale 1-7 ","2006","indirect migration background","","","",""
"3 on scale 1-7 ","2006","no migration background","","","",""
"3 on scale 1-7 ","2006","direct migration background","","","",""
"3 on scale 1-7 ","2006","indirect migration background","","","",""
"4 on scale 1-7","2006","no migration background","","","",""
"4 on scale 1-7","2006","direct migration background","","","",""
"4 on scale 1-7","2006","indirect migration background","","","",""
"5 on scale 1-7","2006","no migration background","","","",""
"5 on scale 1-7","2006","direct migration background","","","",""
"5 on scale 1-7","2006","indirect migration background","","","",""
"6 on scale 1-7","2006","no migration background","","","",""
"6 on scale 1-7","2006","direct migration background","","","",""
"6 on scale 1-7","2006","indirect migration background","","","",""
"7 Strongly agree","2006","no migration background","","","",""
"7 Strongly agree","2006","direct migration background","","","",""
"7 Strongly agree","2006","indirect migration background","","","",""
"1 Strongly disagree","2007","no migration background","","","",""
"1 Strongly disagree","2007","direct migration background","","","",""
"1 Strongly disagree","2007","indirect migration background","","","",""
"2 on scale 1-7 ","2007","no migration background","","","",""
"2 on scale 1-7 ","2007","direct migration background","","","",""
"2 on scale 1-7 ","2007","indirect migration background","","","",""
"3 on scale 1-7 ","2007","no migration background","","","",""
"3 on scale 1-7 ","2007","direct migration background","","","",""
"3 on scale 1-7 ","2007","indirect migration background","","","",""
"4 on scale 1-7","2007","no migration background","","","",""
"4 on scale 1-7","2007","direct migration background","","","",""
"4 on scale 1-7","2007","indirect migration background","","","",""
"5 on scale 1-7","2007","no migration background","","","",""
"5 on scale 1-7","2007","direct migration background","","","",""
"5 on scale 1-7","2007","indirect migration background","","","",""
"6 on scale 1-7","2007","no migration background","","","",""
"6 on scale 1-7","2007","direct migration background","","","",""
"6 on scale 1-7","2007","indirect migration background","","","",""
"7 Strongly agree","2007","no migration background","","","",""
"7 Strongly agree","2007","direct migration background","","","",""
"7 Strongly agree","2007","indirect migration background","","","",""
"1 Strongly disagree","2008","no migration background","","","",""
"1 Strongly disagree","2008","direct migration background","","","",""
"1 Strongly disagree","2008","indirect migration background","","","",""
