"plh0217","year","age_gr","pgisced97","n","percent","lower_confidence","upper_confidence"
"1 Strongly disagree","2005","16-34 y.","in school","3","","",""
"1 Strongly disagree","2005","16-34 y.","inadequately","2","","",""
"1 Strongly disagree","2005","16-34 y.","general elemantary","7","","",""
"1 Strongly disagree","2005","16-34 y.","middle vocational","10","","",""
"1 Strongly disagree","2005","16-34 y.","vocational + Abi","2","","",""
"1 Strongly disagree","2005","16-34 y.","higher vocational","3","","",""
"1 Strongly disagree","2005","16-34 y.","higher education","4","","",""
"1 Strongly disagree","2005","35-65 y.","in school","","","",""
"1 Strongly disagree","2005","35-65 y.","inadequately","1","","",""
"1 Strongly disagree","2005","35-65 y.","general elemantary","11","","",""
"1 Strongly disagree","2005","35-65 y.","middle vocational","42","0.00920128638623388","0.00677499421079742","0.0116275785616703"
"1 Strongly disagree","2005","35-65 y.","vocational + Abi","3","","",""
"1 Strongly disagree","2005","35-65 y.","higher vocational","8","","",""
"1 Strongly disagree","2005","35-65 y.","higher education","16","","",""
"1 Strongly disagree","2005","66 and older","in school","","","",""
"1 Strongly disagree","2005","66 and older","inadequately","2","","",""
"1 Strongly disagree","2005","66 and older","general elemantary","6","","",""
"1 Strongly disagree","2005","66 and older","middle vocational","27","","",""
"1 Strongly disagree","2005","66 and older","vocational + Abi","3","","",""
"1 Strongly disagree","2005","66 and older","higher vocational","4","","",""
"1 Strongly disagree","2005","66 and older","higher education","1","","",""
"2 on scale 1-7 ","2005","16-34 y.","in school","8","","",""
"2 on scale 1-7 ","2005","16-34 y.","inadequately","2","","",""
"2 on scale 1-7 ","2005","16-34 y.","general elemantary","15","","",""
"2 on scale 1-7 ","2005","16-34 y.","middle vocational","41","0.0157078793648932","0.0106601305305719","0.0207556281992146"
"2 on scale 1-7 ","2005","16-34 y.","vocational + Abi","6","","",""
"2 on scale 1-7 ","2005","16-34 y.","higher vocational","1","","",""
"2 on scale 1-7 ","2005","16-34 y.","higher education","12","","",""
"2 on scale 1-7 ","2005","35-65 y.","in school","","","",""
"2 on scale 1-7 ","2005","35-65 y.","inadequately","8","","",""
"2 on scale 1-7 ","2005","35-65 y.","general elemantary","11","","",""
"2 on scale 1-7 ","2005","35-65 y.","middle vocational","157","0.0274379973718513","0.0232869187348878","0.0315890760088148"
"2 on scale 1-7 ","2005","35-65 y.","vocational + Abi","10","","",""
"2 on scale 1-7 ","2005","35-65 y.","higher vocational","27","","",""
"2 on scale 1-7 ","2005","35-65 y.","higher education","64","0.0207454338283497","0.0156271790250705","0.025863688631629"
"2 on scale 1-7 ","2005","66 and older","in school","","","",""
"2 on scale 1-7 ","2005","66 and older","inadequately","1","","",""
"2 on scale 1-7 ","2005","66 and older","general elemantary","23","","",""
"2 on scale 1-7 ","2005","66 and older","middle vocational","51","0.0212354781053804","0.0148497286013325","0.0276212276094283"
"2 on scale 1-7 ","2005","66 and older","vocational + Abi","3","","",""
"2 on scale 1-7 ","2005","66 and older","higher vocational","6","","",""
"2 on scale 1-7 ","2005","66 and older","higher education","14","","",""
"3 on scale 1-7 ","2005","16-34 y.","in school","23","","",""
"3 on scale 1-7 ","2005","16-34 y.","inadequately","1","","",""
"3 on scale 1-7 ","2005","16-34 y.","general elemantary","38","0.0437962602944658","0.0299076497853475","0.057684870803584"
"3 on scale 1-7 ","2005","16-34 y.","middle vocational","126","0.0600325389718215","0.0503892158307218","0.0696758621129212"
"3 on scale 1-7 ","2005","16-34 y.","vocational + Abi","13","","",""
"3 on scale 1-7 ","2005","16-34 y.","higher vocational","8","","",""
"3 on scale 1-7 ","2005","16-34 y.","higher education","29","","",""
"3 on scale 1-7 ","2005","35-65 y.","in school","","","",""
"3 on scale 1-7 ","2005","35-65 y.","inadequately","8","","",""
"3 on scale 1-7 ","2005","35-65 y.","general elemantary","40","0.0462273740275124","0.0318904321727712","0.0605643158822537"
"3 on scale 1-7 ","2005","35-65 y.","middle vocational","333","0.0569871037109723","0.0510963181297136","0.062877889292231"
"3 on scale 1-7 ","2005","35-65 y.","vocational + Abi","36","0.0719999342007344","0.0512127855470024","0.0927870828544664"
"3 on scale 1-7 ","2005","35-65 y.","higher vocational","61","0.0630145806694832","0.0486354801769812","0.0773936811619852"
"3 on scale 1-7 ","2005","35-65 y.","higher education","148","0.0467698501387762","0.0391876592550925","0.0543520410224598"
"3 on scale 1-7 ","2005","66 and older","in school","","","",""
"3 on scale 1-7 ","2005","66 and older","inadequately","4","","",""
"3 on scale 1-7 ","2005","66 and older","general elemantary","41","0.051855990011168","0.035901506252275","0.067810473770061"
"3 on scale 1-7 ","2005","66 and older","middle vocational","90","0.048529038312096","0.0390111553739028","0.0580469212502893"
"3 on scale 1-7 ","2005","66 and older","vocational + Abi","4","","",""
"3 on scale 1-7 ","2005","66 and older","higher vocational","10","","",""
"3 on scale 1-7 ","2005","66 and older","higher education","41","0.0794599812288492","0.0588732737973274","0.100046688660371"
"4 on scale 1-7","2005","16-34 y.","in school","77","0.121289360919469","0.0961728077846254","0.146405914054312"
"4 on scale 1-7","2005","16-34 y.","inadequately","11","","",""
"4 on scale 1-7","2005","16-34 y.","general elemantary","128","0.155778326989181","0.131166331206681","0.18039032277168"
"4 on scale 1-7","2005","16-34 y.","middle vocational","310","0.130755847635882","0.117069788779355","0.144441906492408"
"4 on scale 1-7","2005","16-34 y.","vocational + Abi","73","0.137113946637278","0.104937848969758","0.169290044304798"
"4 on scale 1-7","2005","16-34 y.","higher vocational","22","","",""
"4 on scale 1-7","2005","16-34 y.","higher education","60","0.083489545067045","0.0597595526984967","0.107219537435593"
"4 on scale 1-7","2005","35-65 y.","in school","","","",""
"4 on scale 1-7","2005","35-65 y.","inadequately","16","","",""
"4 on scale 1-7","2005","35-65 y.","general elemantary","103","0.111890708405323","0.0903671187444346","0.13341429806621"
"4 on scale 1-7","2005","35-65 y.","middle vocational","787","0.132557824586876","0.123940964176008","0.141174684997745"
"4 on scale 1-7","2005","35-65 y.","vocational + Abi","67","0.122967196030725","0.096557863654033","0.149376528407418"
"4 on scale 1-7","2005","35-65 y.","higher vocational","118","0.117377720285706","0.0983307872285142","0.136424653342897"
"4 on scale 1-7","2005","35-65 y.","higher education","379","0.126801476840535","0.114852478755067","0.138750474926003"
"4 on scale 1-7","2005","66 and older","in school","","","",""
"4 on scale 1-7","2005","66 and older","inadequately","9","","",""
"4 on scale 1-7","2005","66 and older","general elemantary","71","0.0867180714681742","0.0664690809992146","0.106967061937134"
"4 on scale 1-7","2005","66 and older","middle vocational","207","0.102112367837979","0.0887004181528824","0.115524317523076"
"4 on scale 1-7","2005","66 and older","vocational + Abi","7","","",""
"4 on scale 1-7","2005","66 and older","higher vocational","35","0.144630334190892","0.101375181450574","0.187885486931209"
"4 on scale 1-7","2005","66 and older","higher education","78","0.103188872329986","0.0800331542073094","0.126344590452663"
"5 on scale 1-7","2005","16-34 y.","in school","156","0.233681636561476","0.201124766083948","0.266238507039005"
"5 on scale 1-7","2005","16-34 y.","inadequately","12","","",""
"5 on scale 1-7","2005","16-34 y.","general elemantary","170","0.206198134606208","0.178740476735092","0.233655792477323"
"5 on scale 1-7","2005","16-34 y.","middle vocational","550","0.242840799893802","0.225433501119505","0.2602480986681"
"5 on scale 1-7","2005","16-34 y.","vocational + Abi","99","0.24053658020575","0.200555011751085","0.280518148660414"
"5 on scale 1-7","2005","16-34 y.","higher vocational","54","0.262297436086882","0.202228194325049","0.322366677848715"
"5 on scale 1-7","2005","16-34 y.","higher education","133","0.242363969872032","0.205603828055101","0.279124111688964"
"5 on scale 1-7","2005","35-65 y.","in school","","","",""
"5 on scale 1-7","2005","35-65 y.","inadequately","31","0.256394639410468","0.181045384480611","0.331743894340325"
"5 on scale 1-7","2005","35-65 y.","general elemantary","169","0.201385583547622","0.17400345235334","0.228767714741903"
"5 on scale 1-7","2005","35-65 y.","middle vocational","1189","0.189468623653963","0.179510450526466","0.199426796781461"
"5 on scale 1-7","2005","35-65 y.","vocational + Abi","117","0.195117404869957","0.163248353062852","0.226986456677062"
"5 on scale 1-7","2005","35-65 y.","higher vocational","240","0.210228398898518","0.186115955278713","0.234340842518323"
"5 on scale 1-7","2005","35-65 y.","higher education","604","0.202222407417832","0.187798982619141","0.216645832216523"
"5 on scale 1-7","2005","66 and older","in school","","","",""
"5 on scale 1-7","2005","66 and older","inadequately","12","","",""
"5 on scale 1-7","2005","66 and older","general elemantary","131","0.186972892067725","0.158919332510112","0.215026451625339"
"5 on scale 1-7","2005","66 and older","middle vocational","412","0.204889979457413","0.187012111714323","0.222767847200503"
"5 on scale 1-7","2005","66 and older","vocational + Abi","19","","",""
"5 on scale 1-7","2005","66 and older","higher vocational","35","0.122168915347578","0.0818956290463346","0.162442201648822"
"5 on scale 1-7","2005","66 and older","higher education","141","0.213352653727391","0.182168756367478","0.244536551087305"
"6 on scale 1-7","2005","16-34 y.","in school","221","0.325162685220575","0.289123444085755","0.361201926355395"
"6 on scale 1-7","2005","16-34 y.","inadequately","13","","",""
"6 on scale 1-7","2005","16-34 y.","general elemantary","241","0.262607834917591","0.232742446685014","0.292473223150168"
"6 on scale 1-7","2005","16-34 y.","middle vocational","771","0.316165747501184","0.297289755337098","0.33504173966527"
"6 on scale 1-7","2005","16-34 y.","vocational + Abi","156","0.336210481234603","0.292019194186241","0.380401768282965"
"6 on scale 1-7","2005","16-34 y.","higher vocational","65","0.327919047055607","0.263811583196607","0.392026510914606"
"6 on scale 1-7","2005","16-34 y.","higher education","200","0.409077215237223","0.366899713415888","0.451254717058558"
"6 on scale 1-7","2005","35-65 y.","in school","","","",""
"6 on scale 1-7","2005","35-65 y.","inadequately","21","","",""
"6 on scale 1-7","2005","35-65 y.","general elemantary","270","0.307133936163924","0.275636657470991","0.338631214856857"
"6 on scale 1-7","2005","35-65 y.","middle vocational","1868","0.308014278910154","0.296282601891199","0.319745955929108"
"6 on scale 1-7","2005","35-65 y.","vocational + Abi","213","0.34141049723698","0.303277520746701","0.379543473727258"
"6 on scale 1-7","2005","35-65 y.","higher vocational","405","0.371222891404341","0.342633131188439","0.399812651620244"
"6 on scale 1-7","2005","35-65 y.","higher education","1132","0.373567018914746","0.356195635331613","0.390938402497878"
"6 on scale 1-7","2005","66 and older","in school","","","",""
"6 on scale 1-7","2005","66 and older","inadequately","8","","",""
"6 on scale 1-7","2005","66 and older","general elemantary","231","0.301196858336026","0.268186610756655","0.334207105915398"
"6 on scale 1-7","2005","66 and older","middle vocational","603","0.291718421808733","0.271584580181548","0.311852263435917"
"6 on scale 1-7","2005","66 and older","vocational + Abi","33","0.300097568104352","0.211157390075341","0.389037746133364"
"6 on scale 1-7","2005","66 and older","higher vocational","85","0.319052147155711","0.26173045585529","0.376373838456132"
"6 on scale 1-7","2005","66 and older","higher education","215","0.28638648425421","0.251975339598402","0.320797628910018"
"7 Strongly agree","2005","16-34 y.","in school","161","0.2787680591028","0.244270789385385","0.313265328820214"
"7 Strongly agree","2005","16-34 y.","inadequately","18","","",""
"7 Strongly agree","2005","16-34 y.","general elemantary","235","0.299643865860726","0.268553399980081","0.330734331741371"
"7 Strongly agree","2005","16-34 y.","middle vocational","523","0.231122593000589","0.214009571156687","0.24823561484449"
"7 Strongly agree","2005","16-34 y.","vocational + Abi","90","0.244557600178661","0.204350098284498","0.284765102072824"
"7 Strongly agree","2005","16-34 y.","higher vocational","53","0.250808610323437","0.191614010285609","0.310003210361265"
