"plh0217","year","bula_h","pgisced97","n","percent","lower_confidence","upper_confidence"
"1 Strongly disagree","2005","Schleswig-Holstein","in school","","","",""
"1 Strongly disagree","2005","Schleswig-Holstein","inadequately","","","",""
"1 Strongly disagree","2005","Schleswig-Holstein","general elemantary","","","",""
"1 Strongly disagree","2005","Schleswig-Holstein","middle vocational","","","",""
"1 Strongly disagree","2005","Schleswig-Holstein","vocational + Abi","","","",""
"1 Strongly disagree","2005","Schleswig-Holstein","higher vocational","","","",""
"1 Strongly disagree","2005","Schleswig-Holstein","higher education","","","",""
"1 Strongly disagree","2005","Hamburg","in school","","","",""
"1 Strongly disagree","2005","Hamburg","inadequately","","","",""
"1 Strongly disagree","2005","Hamburg","general elemantary","","","",""
"1 Strongly disagree","2005","Hamburg","middle vocational","","","",""
"1 Strongly disagree","2005","Hamburg","vocational + Abi","","","",""
"1 Strongly disagree","2005","Hamburg","higher vocational","","","",""
"1 Strongly disagree","2005","Hamburg","higher education","","","",""
"1 Strongly disagree","2005","Lower Saxony","in school","","","",""
"1 Strongly disagree","2005","Lower Saxony","inadequately","","","",""
"1 Strongly disagree","2005","Lower Saxony","general elemantary","","","",""
"1 Strongly disagree","2005","Lower Saxony","middle vocational","","","",""
"1 Strongly disagree","2005","Lower Saxony","vocational + Abi","","","",""
"1 Strongly disagree","2005","Lower Saxony","higher vocational","","","",""
"1 Strongly disagree","2005","Lower Saxony","higher education","","","",""
"1 Strongly disagree","2005","Bremen","in school","","","",""
"1 Strongly disagree","2005","Bremen","inadequately","","","",""
"1 Strongly disagree","2005","Bremen","general elemantary","","","",""
"1 Strongly disagree","2005","Bremen","middle vocational","","","",""
"1 Strongly disagree","2005","Bremen","vocational + Abi","","","",""
"1 Strongly disagree","2005","Bremen","higher vocational","","","",""
"1 Strongly disagree","2005","Bremen","higher education","","","",""
"1 Strongly disagree","2005","North Rhine-Westphalia","in school","","","",""
"1 Strongly disagree","2005","North Rhine-Westphalia","inadequately","","","",""
"1 Strongly disagree","2005","North Rhine-Westphalia","general elemantary","","","",""
"1 Strongly disagree","2005","North Rhine-Westphalia","middle vocational","","","",""
"1 Strongly disagree","2005","North Rhine-Westphalia","vocational + Abi","","","",""
"1 Strongly disagree","2005","North Rhine-Westphalia","higher vocational","","","",""
"1 Strongly disagree","2005","North Rhine-Westphalia","higher education","","","",""
"1 Strongly disagree","2005","Hesse","in school","","","",""
"1 Strongly disagree","2005","Hesse","inadequately","","","",""
"1 Strongly disagree","2005","Hesse","general elemantary","","","",""
"1 Strongly disagree","2005","Hesse","middle vocational","","","",""
"1 Strongly disagree","2005","Hesse","vocational + Abi","","","",""
"1 Strongly disagree","2005","Hesse","higher vocational","","","",""
"1 Strongly disagree","2005","Hesse","higher education","","","",""
"1 Strongly disagree","2005","Rhineland-Palatinate,Saarland","in school","","","",""
"1 Strongly disagree","2005","Rhineland-Palatinate,Saarland","inadequately","","","",""
"1 Strongly disagree","2005","Rhineland-Palatinate,Saarland","general elemantary","","","",""
"1 Strongly disagree","2005","Rhineland-Palatinate,Saarland","middle vocational","","","",""
"1 Strongly disagree","2005","Rhineland-Palatinate,Saarland","vocational + Abi","","","",""
"1 Strongly disagree","2005","Rhineland-Palatinate,Saarland","higher vocational","","","",""
"1 Strongly disagree","2005","Rhineland-Palatinate,Saarland","higher education","","","",""
"1 Strongly disagree","2005","Baden-Württemberg","in school","","","",""
"1 Strongly disagree","2005","Baden-Württemberg","inadequately","","","",""
"1 Strongly disagree","2005","Baden-Württemberg","general elemantary","","","",""
