"plh0217","year","hgtyp1hh","pgisced97","n","percent","lower_confidence","upper_confidence"
"1 Strongly disagree","2005","1-pers.-HH","in school","","","",""
"1 Strongly disagree","2005","1-pers.-HH","inadequately","","","",""
"1 Strongly disagree","2005","1-pers.-HH","general elemantary","5","","",""
"1 Strongly disagree","2005","1-pers.-HH","middle vocational","21","","",""
"1 Strongly disagree","2005","1-pers.-HH","vocational + Abi","2","","",""
"1 Strongly disagree","2005","1-pers.-HH","higher vocational","3","","",""
"1 Strongly disagree","2005","1-pers.-HH","higher education","1","","",""
"1 Strongly disagree","2005","(Married) couple without C. ","in school","","","",""
"1 Strongly disagree","2005","(Married) couple without C. ","inadequately","","","",""
"1 Strongly disagree","2005","(Married) couple without C. ","general elemantary","8","","",""
"1 Strongly disagree","2005","(Married) couple without C. ","middle vocational","29","","",""
"1 Strongly disagree","2005","(Married) couple without C. ","vocational + Abi","2","","",""
"1 Strongly disagree","2005","(Married) couple without C. ","higher vocational","5","","",""
"1 Strongly disagree","2005","(Married) couple without C. ","higher education","13","","",""
"1 Strongly disagree","2005","Single parent ","in school","","","",""
"1 Strongly disagree","2005","Single parent ","inadequately","","","",""
"1 Strongly disagree","2005","Single parent ","general elemantary","3","","",""
"1 Strongly disagree","2005","Single parent ","middle vocational","4","","",""
"1 Strongly disagree","2005","Single parent ","vocational + Abi","","","",""
"1 Strongly disagree","2005","Single parent ","higher vocational","","","",""
"1 Strongly disagree","2005","Single parent ","higher education","1","","",""
"1 Strongly disagree","2005","Couple + C. LE 16 ","in school","","","",""
"1 Strongly disagree","2005","Couple + C. LE 16 ","inadequately","1","","",""
"1 Strongly disagree","2005","Couple + C. LE 16 ","general elemantary","1","","",""
"1 Strongly disagree","2005","Couple + C. LE 16 ","middle vocational","10","","",""
"1 Strongly disagree","2005","Couple + C. LE 16 ","vocational + Abi","2","","",""
"1 Strongly disagree","2005","Couple + C. LE 16 ","higher vocational","5","","",""
"1 Strongly disagree","2005","Couple + C. LE 16 ","higher education","3","","",""
"1 Strongly disagree","2005","Couple + C. GT 16 ","in school","","","",""
"1 Strongly disagree","2005","Couple + C. GT 16 ","inadequately","2","","",""
"1 Strongly disagree","2005","Couple + C. GT 16 ","general elemantary","3","","",""
"1 Strongly disagree","2005","Couple + C. GT 16 ","middle vocational","6","","",""
"1 Strongly disagree","2005","Couple + C. GT 16 ","vocational + Abi","2","","",""
"1 Strongly disagree","2005","Couple + C. GT 16 ","higher vocational","2","","",""
"1 Strongly disagree","2005","Couple + C. GT 16 ","higher education","2","","",""
"1 Strongly disagree","2005","Couple + C. LE and GT 16","in school","3","","",""
"1 Strongly disagree","2005","Couple + C. LE and GT 16","inadequately","","","",""
"1 Strongly disagree","2005","Couple + C. LE and GT 16","general elemantary","3","","",""
"1 Strongly disagree","2005","Couple + C. LE and GT 16","middle vocational","7","","",""
"1 Strongly disagree","2005","Couple + C. LE and GT 16","vocational + Abi","","","",""
"1 Strongly disagree","2005","Couple + C. LE and GT 16","higher vocational","","","",""
"1 Strongly disagree","2005","Couple + C. LE and GT 16","higher education","1","","",""
"2 on scale 1-7 ","2005","1-pers.-HH","in school","","","",""
"2 on scale 1-7 ","2005","1-pers.-HH","inadequately","1","","",""
"2 on scale 1-7 ","2005","1-pers.-HH","general elemantary","10","","",""
"2 on scale 1-7 ","2005","1-pers.-HH","middle vocational","40","0.0252066039083265","0.0173878435806657","0.0330253642359874"
"2 on scale 1-7 ","2005","1-pers.-HH","vocational + Abi","2","","",""
"2 on scale 1-7 ","2005","1-pers.-HH","higher vocational","5","","",""
"2 on scale 1-7 ","2005","1-pers.-HH","higher education","12","","",""
"2 on scale 1-7 ","2005","(Married) couple without C. ","in school","","","",""
"2 on scale 1-7 ","2005","(Married) couple without C. ","inadequately","2","","",""
"2 on scale 1-7 ","2005","(Married) couple without C. ","general elemantary","18","","",""
