"year","sex","mean","median","n","lowerci_mean","upperci_mean","ptile10","ptile25","ptile75","ptile90"
"2005","Female","5.88","6","10797","5.86","5.9","4","5","7","7"
"2005","Male","5.91","6","9885","5.89","5.93","4","5","7","7"
"2006","Female","","","","","","","","",""
"2006","Male","","","","","","","","",""
"2007","Female","","","","","","","","",""
"2007","Male","","","","","","","","",""
"2008","Female","","","","","","","","",""
"2008","Male","","","","","","","","",""
"2009","Female","","","","","","","","",""
"2009","Male","","","","","","","","",""
"2010","Female","5.85","6","8721","5.82","5.88","4","5","7","7"
"2010","Male","5.82","6","7939","5.79","5.85","4","5","7","7"
"2011","Female","","","","","","","","",""
"2011","Male","","","","","","","","",""
"2012","Female","","","","","","","","",""
"2012","Male","","","","","","","","",""
"2013","Female","","","","","","","","",""
"2013","Male","","","","","","","","",""
"2014","Female","","","","","","","","",""
"2014","Male","","","","","","","","",""
"2015","Female","5.87","6","14441","5.85","5.89","4","5","7","7"
"2015","Male","5.9","6","12302","5.88","5.92","4","5","7","7"
"2016","Female","6.41","7","1670","6.38","6.44","5","6","7","7"
"2016","Male","6.51","7","2723","6.48","6.54","5","6","7","7"
"2017","Female","6.76","7","1221","6.72","6.8","6","7","7","7"
"2017","Male","6.72","7","1648","6.68","6.76","6","7","7","7"
"2018","Female","6.7","7","222","6.58","6.82","6","7","7","7"
"2018","Male","6.76","7","197","6.65","6.87","6","7","7","7"
"2019","Female","6.37","7","141","6.17","6.57","5","6","7","7"
"2019","Male","6.64","7","135","6.45","6.83","6","7","7","7"
