"year","migback","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"2005","direct migration background","6","6","2362","4","5","7","7","7","5.95","6.05","1","7","6","6"
"2005","indirect migration background","5.91","6","828","4","5","7","7","7","5.83","5.99","1","7","6","6"
"2005","no migration background","5.88","6","17492","4","5","7","7","7","5.86","5.9","1","7","6","6"
"2006","direct migration background","","","","","","","","","","","","","",""
"2006","indirect migration background","","","","","","","","","","","","","",""
"2006","no migration background","","","","","","","","","","","","","",""
"2007","direct migration background","","","","","","","","","","","","","",""
"2007","indirect migration background","","","","","","","","","","","","","",""
"2007","no migration background","","","","","","","","","","","","","",""
"2008","direct migration background","","","","","","","","","","","","","",""
"2008","indirect migration background","","","","","","","","","","","","","",""
"2008","no migration background","","","","","","","","","","","","","",""
"2009","direct migration background","","","","","","","","","","","","","",""
"2009","indirect migration background","","","","","","","","","","","","","",""
"2009","no migration background","","","","","","","","","","","","","",""
"2010","direct migration background","5.98","6","1460","4","5","7","7","7","5.92","6.04","1","7","6","6"
"2010","indirect migration background","5.88","6","658","4","5","7","7","7","5.79","5.97","1","7","6","6"
"2010","no migration background","5.81","6","14542","4","5","7","7","7","5.79","5.83","1","7","6","6"
"2011","direct migration background","","","","","","","","","","","","","",""
"2011","indirect migration background","","","","","","","","","","","","","",""
"2011","no migration background","","","","","","","","","","","","","",""
"2012","direct migration background","","","","","","","","","","","","","",""
"2012","indirect migration background","","","","","","","","","","","","","",""
"2012","no migration background","","","","","","","","","","","","","",""
"2013","direct migration background","","","","","","","","","","","","","",""
"2013","indirect migration background","","","","","","","","","","","","","",""
"2013","no migration background","","","","","","","","","","","","","",""
"2014","direct migration background","","","","","","","","","","","","","",""
"2014","indirect migration background","","","","","","","","","","","","","",""
"2014","no migration background","","","","","","","","","","","","","",""
"2015","direct migration background","6.1","6","5789","5","6","7","7","7","6.07","6.13","1","7","6","7"
"2015","indirect migration background","6","6","1685","4","5","7","7","7","5.94","6.06","1","7","6","6"
"2015","no migration background","5.83","6","19269","4","5","7","7","7","5.81","5.85","1","7","6","6"
"2016","direct migration background","6.54","7","4361","5","7","7","7","7","6.52","6.56","1","7","7","7"
"2016","indirect migration background","","","","","","","","","","","","","",""
"2016","no migration background","","","","","","","","","","","","","",""
"2017","direct migration background","6.73","7","2869","6","7","7","7","7","6.7","6.76","1","7","7","7"
"2017","indirect migration background","","","","","","","","","","","","","",""
"2017","no migration background","","","","","","","","","","","","","",""
"2018","direct migration background","6.73","7","419","6","7","7","7","7","6.65","6.81","1","7","7","7"
"2018","indirect migration background","","","","","","","","","","","","","",""
"2018","no migration background","","","","","","","","","","","","","",""
"2019","direct migration background","6.5","7","276","5","7","7","7","7","6.36","6.64","1","7","7","7"
"2019","indirect migration background","","","","","","","","","","","","","",""
"2019","no migration background","","","","","","","","","","","","","",""
