"year","sampreg","sex","mean","median","n","lowerci_mean","upperci_mean","ptile10","ptile25","ptile75","ptile90"
"2005","Ostdeutschland, neue Bundeslaender","Female","5.9","6","2625","5.85","5.95","4","5","7","7"
"2005","Ostdeutschland, neue Bundeslaender","Male","5.93","6","2417","5.89","5.97","4","5","7","7"
"2005","Westdeutschland, alte Bundeslaender","Female","5.88","6","8172","5.85","5.91","4","5","7","7"
"2005","Westdeutschland, alte Bundeslaender","Male","5.9","6","7468","5.87","5.93","4","5","7","7"
"2006","Ostdeutschland, neue Bundeslaender","Female","","","","","","","","",""
"2006","Ostdeutschland, neue Bundeslaender","Male","","","","","","","","",""
"2006","Westdeutschland, alte Bundeslaender","Female","","","","","","","","",""
"2006","Westdeutschland, alte Bundeslaender","Male","","","","","","","","",""
"2007","Ostdeutschland, neue Bundeslaender","Female","","","","","","","","",""
"2007","Ostdeutschland, neue Bundeslaender","Male","","","","","","","","",""
"2007","Westdeutschland, alte Bundeslaender","Female","","","","","","","","",""
"2007","Westdeutschland, alte Bundeslaender","Male","","","","","","","","",""
"2008","Ostdeutschland, neue Bundeslaender","Female","","","","","","","","",""
"2008","Ostdeutschland, neue Bundeslaender","Male","","","","","","","","",""
"2008","Westdeutschland, alte Bundeslaender","Female","","","","","","","","",""
"2008","Westdeutschland, alte Bundeslaender","Male","","","","","","","","",""
"2009","Ostdeutschland, neue Bundeslaender","Female","","","","","","","","",""
"2009","Ostdeutschland, neue Bundeslaender","Male","","","","","","","","",""
"2009","Westdeutschland, alte Bundeslaender","Female","","","","","","","","",""
"2009","Westdeutschland, alte Bundeslaender","Male","","","","","","","","",""
"2010","Ostdeutschland, neue Bundeslaender","Female","5.88","6","2142","5.83","5.93","4","5","7","7"
"2010","Ostdeutschland, neue Bundeslaender","Male","5.85","6","1986","5.8","5.9","4","5","7","7"
"2010","Westdeutschland, alte Bundeslaender","Female","5.84","6","6579","5.81","5.87","4","5","7","7"
"2010","Westdeutschland, alte Bundeslaender","Male","5.81","6","5953","5.78","5.84","4","5","7","7"
"2011","Ostdeutschland, neue Bundeslaender","Female","","","","","","","","",""
"2011","Ostdeutschland, neue Bundeslaender","Male","","","","","","","","",""
"2011","Westdeutschland, alte Bundeslaender","Female","","","","","","","","",""
"2011","Westdeutschland, alte Bundeslaender","Male","","","","","","","","",""
"2012","Ostdeutschland, neue Bundeslaender","Female","","","","","","","","",""
"2012","Ostdeutschland, neue Bundeslaender","Male","","","","","","","","",""
"2012","Westdeutschland, alte Bundeslaender","Female","","","","","","","","",""
"2012","Westdeutschland, alte Bundeslaender","Male","","","","","","","","",""
"2013","Ostdeutschland, neue Bundeslaender","Female","","","","","","","","",""
"2013","Ostdeutschland, neue Bundeslaender","Male","","","","","","","","",""
"2013","Westdeutschland, alte Bundeslaender","Female","","","","","","","","",""
"2013","Westdeutschland, alte Bundeslaender","Male","","","","","","","","",""
"2014","Ostdeutschland, neue Bundeslaender","Female","","","","","","","","",""
"2014","Ostdeutschland, neue Bundeslaender","Male","","","","","","","","",""
"2014","Westdeutschland, alte Bundeslaender","Female","","","","","","","","",""
"2014","Westdeutschland, alte Bundeslaender","Male","","","","","","","","",""
"2015","Ostdeutschland, neue Bundeslaender","Female","5.85","6","2945","5.81","5.89","4","5","7","7"
"2015","Ostdeutschland, neue Bundeslaender","Male","5.86","6","2487","5.81","5.91","4","5","7","7"
"2015","Westdeutschland, alte Bundeslaender","Female","5.87","6","11496","5.85","5.89","4","5","7","7"
"2015","Westdeutschland, alte Bundeslaender","Male","5.91","6","9815","5.89","5.93","4","5","7","7"
"2016","Ostdeutschland, neue Bundeslaender","Female","6.6","7","269","6.52","6.68","6","7","7","7"
"2016","Ostdeutschland, neue Bundeslaender","Male","6.66","7","471","6.59","6.73","6","7","7","7"
"2016","Westdeutschland, alte Bundeslaender","Female","6.38","7","1401","6.34","6.42","5","6","7","7"
"2016","Westdeutschland, alte Bundeslaender","Male","6.49","7","2252","6.46","6.52","5","6","7","7"
"2017","Ostdeutschland, neue Bundeslaender","Female","6.84","7","125","6.73","6.95","6","7","7","7"
"2017","Ostdeutschland, neue Bundeslaender","Male","6.85","7","140","6.73","6.97","7","7","7","7"
"2017","Westdeutschland, alte Bundeslaender","Female","6.75","7","1096","6.71","6.79","6","7","7","7"
"2017","Westdeutschland, alte Bundeslaender","Male","6.7","7","1508","6.66","6.74","6","7","7","7"
"2018","Ostdeutschland, neue Bundeslaender","Female","6.91","7","33","6.79","7.03","7","7","7","7"
"2018","Ostdeutschland, neue Bundeslaender","Male","","","","","","","","",""
"2018","Westdeutschland, alte Bundeslaender","Female","6.65","7","189","6.51","6.79","6","7","7","7"
"2018","Westdeutschland, alte Bundeslaender","Male","6.76","7","181","6.66","6.86","6","7","7","7"
"2019","Ostdeutschland, neue Bundeslaender","Female","","","","","","","","",""
"2019","Ostdeutschland, neue Bundeslaender","Male","","","","","","","","",""
"2019","Westdeutschland, alte Bundeslaender","Female","6.34","7","130","6.12","6.56","5","6","7","7"
"2019","Westdeutschland, alte Bundeslaender","Male","6.58","7","123","6.4","6.76","6","7","7","7"
