"year","pgcasmin","sex","mean","median","n","ptile10","ptile25","ptile75","ptile90","lowerci_mean","upperci_mean","lowerci_median","upperci_median"
"2005","(0) in school","Female","5.82","6","340","4","5","7","7","5.69","5.95","6","6"
"2005","(0) in school","Male","5.7","6","312","4","5","7","7","5.56","5.84","6","6"
"2005","(1a) inadequately completed","Female","5.97","6","137","4","5","7","7","5.75","6.19","6","7"
"2005","(1a) inadequately completed","Male","5.8","6","105","3","5","7","7","5.55","6.05","6","7"
"2005","(1b) general elementary school","Female","5.81","6","1283","4","5","7","7","5.74","5.88","6","6"
"2005","(1b) general elementary school","Male","5.92","6","573","4","5","7","7","5.82","6.02","6","6"
"2005","(1c) basic vocational qualification","Female","5.94","6","2632","4","5","7","7","5.89","5.99","6","6"
"2005","(1c) basic vocational qualification","Male","5.96","6","3078","4","5","7","7","5.92","6","6","6"
"2005","(2a) intermediate vocational","Female","5.86","6","2735","4","5","7","7","5.82","5.9","6","6"
"2005","(2a) intermediate vocational","Male","6","6","2061","4","6","7","7","5.95","6.05","6","6"
"2005","(2b) intermediate general qualification","Female","5.93","6","354","4","5","7","7","5.81","6.05","6","6"
"2005","(2b) intermediate general qualification","Male","5.81","6","225","4","5","7","7","5.65","5.97","6","6"
"2005","(2c_gen) general maturity certificate","Female","5.75","6","431","4","5","7","7","5.64","5.86","6","6"
"2005","(2c_gen) general maturity certificate","Male","5.6","6","364","4","5","6","7","5.48","5.72","6","6"
"2005","(2c_voc) vocational maturity certificate","Female","5.8","6","845","4","5","7","7","5.72","5.88","6","6"
"2005","(2c_voc) vocational maturity certificate","Male","5.85","6","669","4","5","7","7","5.77","5.93","6","6"
"2005","(3a) lower tertiary education","Female","5.96","6","766","4","5","7","7","5.88","6.04","6","6"
"2005","(3a) lower tertiary education","Male","5.87","6","878","4","5","7","7","5.8","5.94","6","6"
"2005","(3b) higher tertiary education","Female","5.91","6","1092","4","5","7","7","5.84","5.98","6","6"
"2005","(3b) higher tertiary education","Male","5.82","6","1429","4","5","7","7","5.76","5.88","6","6"
"2006","(0) in school","Female","","","","","","","","","","",""
"2006","(0) in school","Male","","","","","","","","","","",""
"2006","(1a) inadequately completed","Female","","","","","","","","","","",""
"2006","(1a) inadequately completed","Male","","","","","","","","","","",""
"2006","(1b) general elementary school","Female","","","","","","","","","","",""
"2006","(1b) general elementary school","Male","","","","","","","","","","",""
"2006","(1c) basic vocational qualification","Female","","","","","","","","","","",""
"2006","(1c) basic vocational qualification","Male","","","","","","","","","","",""
"2006","(2a) intermediate vocational","Female","","","","","","","","","","",""
"2006","(2a) intermediate vocational","Male","","","","","","","","","","",""
"2006","(2b) intermediate general qualification","Female","","","","","","","","","","",""
"2006","(2b) intermediate general qualification","Male","","","","","","","","","","",""
"2006","(2c_gen) general maturity certificate","Female","","","","","","","","","","",""
"2006","(2c_gen) general maturity certificate","Male","","","","","","","","","","",""
"2006","(2c_voc) vocational maturity certificate","Female","","","","","","","","","","",""
"2006","(2c_voc) vocational maturity certificate","Male","","","","","","","","","","",""
"2006","(3a) lower tertiary education","Female","","","","","","","","","","",""
"2006","(3a) lower tertiary education","Male","","","","","","","","","","",""
"2006","(3b) higher tertiary education","Female","","","","","","","","","","",""
"2006","(3b) higher tertiary education","Male","","","","","","","","","","",""
"2007","(0) in school","Female","","","","","","","","","","",""
"2007","(0) in school","Male","","","","","","","","","","",""
"2007","(1a) inadequately completed","Female","","","","","","","","","","",""
"2007","(1a) inadequately completed","Male","","","","","","","","","","",""
"2007","(1b) general elementary school","Female","","","","","","","","","","",""
"2007","(1b) general elementary school","Male","","","","","","","","","","",""
"2007","(1c) basic vocational qualification","Female","","","","","","","","","","",""
"2007","(1c) basic vocational qualification","Male","","","","","","","","","","",""
"2007","(2a) intermediate vocational","Female","","","","","","","","","","",""
"2007","(2a) intermediate vocational","Male","","","","","","","","","","",""
"2007","(2b) intermediate general qualification","Female","","","","","","","","","","",""
"2007","(2b) intermediate general qualification","Male","","","","","","","","","","",""
"2007","(2c_gen) general maturity certificate","Female","","","","","","","","","","",""
"2007","(2c_gen) general maturity certificate","Male","","","","","","","","","","",""
"2007","(2c_voc) vocational maturity certificate","Female","","","","","","","","","","",""
"2007","(2c_voc) vocational maturity certificate","Male","","","","","","","","","","",""
"2007","(3a) lower tertiary education","Female","","","","","","","","","","",""
"2007","(3a) lower tertiary education","Male","","","","","","","","","","",""
"2007","(3b) higher tertiary education","Female","","","","","","","","","","",""
"2007","(3b) higher tertiary education","Male","","","","","","","","","","",""
"2008","(0) in school","Female","","","","","","","","","","",""
"2008","(0) in school","Male","","","","","","","","","","",""
"2008","(1a) inadequately completed","Female","","","","","","","","","","",""
"2008","(1a) inadequately completed","Male","","","","","","","","","","",""
"2008","(1b) general elementary school","Female","","","","","","","","","","",""
"2008","(1b) general elementary school","Male","","","","","","","","","","",""
"2008","(1c) basic vocational qualification","Female","","","","","","","","","","",""
"2008","(1c) basic vocational qualification","Male","","","","","","","","","","",""
"2008","(2a) intermediate vocational","Female","","","","","","","","","","",""
"2008","(2a) intermediate vocational","Male","","","","","","","","","","",""
"2008","(2b) intermediate general qualification","Female","","","","","","","","","","",""
"2008","(2b) intermediate general qualification","Male","","","","","","","","","","",""
"2008","(2c_gen) general maturity certificate","Female","","","","","","","","","","",""
