"year","migback","pgisced97","mean","median","n","ptile10","ptile25","ptile75","ptile90","lowerci_mean","upperci_mean","lowerci_median","upperci_median"
"2005","direct migration background","general elemantary","5.87","6","565","4","5","7","7","5.77","5.97","6","7"
"2005","direct migration background","higher education","6.05","6","341","5","6","7","7","5.93","6.17","6","6"
"2005","direct migration background","higher vocational","6.19","6","133","5","6","7","7","6.03","6.35","6","7"
"2005","direct migration background","in school","6.25","7","55","5","6","7","7","6","6.5","6","7"
"2005","direct migration background","inadequately","6.16","6","144","5","6","7","7","5.98","6.34","6","7"
"2005","direct migration background","middle vocational","6","6","871","4","5","7","7","5.92","6.08","6","6"
"2005","direct migration background","vocational + Abi","5.97","6","216","4","5","7","7","5.8","6.14","6","7"
"2005","indirect migration background","general elemantary","5.99","6","182","4","6","7","7","5.83","6.15","6","7"
"2005","indirect migration background","higher education","5.88","6","68","4","5","7","7","5.6","6.16","5","6"
"2005","indirect migration background","higher vocational","5.97","6","41","5","5","7","7","5.68","6.26","6","7"
"2005","indirect migration background","in school","5.55","5","90","4","5","7","7","5.3","5.8","5","6"
"2005","indirect migration background","inadequately","","","","","","","","","","",""
"2005","indirect migration background","middle vocational","6","6","335","5","5","7","7","5.87","6.13","6","6"
"2005","indirect migration background","vocational + Abi","5.29","5","46","3","4","6","7","4.88","5.7","5","7"
"2005","no migration background","general elemantary","5.83","6","1651","4","5","7","7","5.77","5.89","6","6"
"2005","no migration background","higher education","5.86","6","3756","4","5","7","7","5.83","5.89","6","6"
"2005","no migration background","higher vocational","5.8","6","1385","4","5","7","7","5.74","5.86","6","6"
"2005","no migration background","in school","5.73","6","503","4","5","7","7","5.62","5.84","6","6"
"2005","no migration background","inadequately","5.82","6","80","3","5","7","7","5.52","6.12","6","7"
"2005","no migration background","middle vocational","5.92","6","9039","4","5","7","7","5.9","5.94","6","6"
"2005","no migration background","vocational + Abi","5.74","6","870","4","5","7","7","5.67","5.81","6","6"
"2006","direct migration background","general elemantary","","","","","","","","","","",""
"2006","direct migration background","higher education","","","","","","","","","","",""
"2006","direct migration background","higher vocational","","","","","","","","","","",""
"2006","direct migration background","in school","","","","","","","","","","",""
"2006","direct migration background","inadequately","","","","","","","","","","",""
"2006","direct migration background","middle vocational","","","","","","","","","","",""
"2006","direct migration background","vocational + Abi","","","","","","","","","","",""
"2006","indirect migration background","general elemantary","","","","","","","","","","",""
"2006","indirect migration background","higher education","","","","","","","","","","",""
"2006","indirect migration background","higher vocational","","","","","","","","","","",""
"2006","indirect migration background","in school","","","","","","","","","","",""
"2006","indirect migration background","inadequately","","","","","","","","","","",""
"2006","indirect migration background","middle vocational","","","","","","","","","","",""
"2006","indirect migration background","vocational + Abi","","","","","","","","","","",""
"2006","no migration background","general elemantary","","","","","","","","","","",""
"2006","no migration background","higher education","","","","","","","","","","",""
"2006","no migration background","higher vocational","","","","","","","","","","",""
"2006","no migration background","in school","","","","","","","","","","",""
"2006","no migration background","inadequately","","","","","","","","","","",""
"2006","no migration background","middle vocational","","","","","","","","","","",""
"2006","no migration background","vocational + Abi","","","","","","","","","","",""
"2007","direct migration background","general elemantary","","","","","","","","","","",""
"2007","direct migration background","higher education","","","","","","","","","","",""
"2007","direct migration background","higher vocational","","","","","","","","","","",""
"2007","direct migration background","in school","","","","","","","","","","",""
"2007","direct migration background","inadequately","","","","","","","","","","",""
"2007","direct migration background","middle vocational","","","","","","","","","","",""
"2007","direct migration background","vocational + Abi","","","","","","","","","","",""
"2007","indirect migration background","general elemantary","","","","","","","","","","",""
"2007","indirect migration background","higher education","","","","","","","","","","",""
"2007","indirect migration background","higher vocational","","","","","","","","","","",""
"2007","indirect migration background","in school","","","","","","","","","","",""
"2007","indirect migration background","inadequately","","","","","","","","","","",""
"2007","indirect migration background","middle vocational","","","","","","","","","","",""
"2007","indirect migration background","vocational + Abi","","","","","","","","","","",""
"2007","no migration background","general elemantary","","","","","","","","","","",""
"2007","no migration background","higher education","","","","","","","","","","",""
"2007","no migration background","higher vocational","","","","","","","","","","",""
"2007","no migration background","in school","","","","","","","","","","",""
"2007","no migration background","inadequately","","","","","","","","","","",""
"2007","no migration background","middle vocational","","","","","","","","","","",""
"2007","no migration background","vocational + Abi","","","","","","","","","","",""
"2008","direct migration background","general elemantary","","","","","","","","","","",""
"2008","direct migration background","higher education","","","","","","","","","","",""
"2008","direct migration background","higher vocational","","","","","","","","","","",""
"2008","direct migration background","in school","","","","","","","","","","",""
"2008","direct migration background","inadequately","","","","","","","","","","",""
"2008","direct migration background","middle vocational","","","","","","","","","","",""
"2008","direct migration background","vocational + Abi","","","","","","","","","","",""
"2008","indirect migration background","general elemantary","","","","","","","","","","",""
"2008","indirect migration background","higher education","","","","","","","","","","",""
"2008","indirect migration background","higher vocational","","","","","","","","","","",""
"2008","indirect migration background","in school","","","","","","","","","","",""
"2008","indirect migration background","inadequately","","","","","","","","","","",""
"2008","indirect migration background","middle vocational","","","","","","","","","","",""
"2008","indirect migration background","vocational + Abi","","","","","","","","","","",""
"2008","no migration background","general elemantary","","","","","","","","","","",""
"2008","no migration background","higher education","","","","","","","","","","",""
"2008","no migration background","higher vocational","","","","","","","","","","",""
"2008","no migration background","in school","","","","","","","","","","",""
"2008","no migration background","inadequately","","","","","","","","","","",""
"2008","no migration background","middle vocational","","","","","","","","","","",""
"2008","no migration background","vocational + Abi","","","","","","","","","","",""
"2009","direct migration background","general elemantary","","","","","","","","","","",""
"2009","direct migration background","higher education","","","","","","","","","","",""
"2009","direct migration background","higher vocational","","","","","","","","","","",""
"2009","direct migration background","in school","","","","","","","","","","",""
"2009","direct migration background","inadequately","","","","","","","","","","",""
"2009","direct migration background","middle vocational","","","","","","","","","","",""
"2009","direct migration background","vocational + Abi","","","","","","","","","","",""
"2009","indirect migration background","general elemantary","","","","","","","","","","",""
"2009","indirect migration background","higher education","","","","","","","","","","",""
"2009","indirect migration background","higher vocational","","","","","","","","","","",""
"2009","indirect migration background","in school","","","","","","","","","","",""
