"year","education","mean","median","n","lowerci_mean","upperci_mean","ptile10","ptile25","ptile75","ptile90"
"2005","college entrance qualification","5.81","6","5186","5.78","5.84","4","5","7","7"
"2005","lower secondary degree","5.91","6","7076","5.88","5.94","4","5","7","7"
"2005","no degree/no degree yet","5.81","6","896","5.73","5.89","4","5","7","7"
"2005","Other degree","6","6","1120","5.93","6.07","4","5","7","7"
"2005","secondary school degree","5.92","6","6017","5.89","5.95","4","5","7","7"
"2006","college entrance qualification","","","","","","","","",""
"2006","lower secondary degree","","","","","","","","",""
"2006","no degree/no degree yet","","","","","","","","",""
"2006","Other degree","","","","","","","","",""
"2006","secondary school degree","","","","","","","","",""
"2007","college entrance qualification","","","","","","","","",""
"2007","lower secondary degree","","","","","","","","",""
"2007","no degree/no degree yet","","","","","","","","",""
"2007","Other degree","","","","","","","","",""
"2007","secondary school degree","","","","","","","","",""
"2008","college entrance qualification","","","","","","","","",""
"2008","lower secondary degree","","","","","","","","",""
"2008","no degree/no degree yet","","","","","","","","",""
"2008","Other degree","","","","","","","","",""
"2008","secondary school degree","","","","","","","","",""
"2009","college entrance qualification","","","","","","","","",""
"2009","lower secondary degree","","","","","","","","",""
"2009","no degree/no degree yet","","","","","","","","",""
"2009","Other degree","","","","","","","","",""
"2009","secondary school degree","","","","","","","","",""
"2010","college entrance qualification","5.72","6","4662","5.69","5.75","4","5","7","7"
"2010","lower secondary degree","5.88","6","5355","5.85","5.91","4","5","7","7"
"2010","no degree/no degree yet","5.77","6","414","5.65","5.89","4","5","7","7"
"2010","Other degree","5.98","6","714","5.89","6.07","4","6","7","7"
"2010","secondary school degree","5.85","6","5046","5.82","5.88","4","5","7","7"
"2011","college entrance qualification","","","","","","","","",""
"2011","lower secondary degree","","","","","","","","",""
"2011","no degree/no degree yet","","","","","","","","",""
"2011","Other degree","","","","","","","","",""
"2011","secondary school degree","","","","","","","","",""
"2012","college entrance qualification","","","","","","","","",""
"2012","lower secondary degree","","","","","","","","",""
"2012","no degree/no degree yet","","","","","","","","",""
"2012","Other degree","","","","","","","","",""
"2012","secondary school degree","","","","","","","","",""
"2013","college entrance qualification","","","","","","","","",""
"2013","lower secondary degree","","","","","","","","",""
"2013","no degree/no degree yet","","","","","","","","",""
"2013","Other degree","","","","","","","","",""
"2013","secondary school degree","","","","","","","","",""
"2014","college entrance qualification","","","","","","","","",""
"2014","lower secondary degree","","","","","","","","",""
"2014","no degree/no degree yet","","","","","","","","",""
"2014","Other degree","","","","","","","","",""
"2014","secondary school degree","","","","","","","","",""
"2015","college entrance qualification","5.76","6","7212","5.73","5.79","4","5","7","7"
"2015","lower secondary degree","5.94","6","6394","5.91","5.97","4","5","7","7"
"2015","no degree/no degree yet","5.87","6","954","5.79","5.95","4","5","7","7"
"2015","Other degree","6.12","6","4019","6.08","6.16","4","6","7","7"
"2015","secondary school degree","5.86","6","7201","5.83","5.89","4","5","7","7"
"2016","college entrance qualification","","","","","","","","",""
"2016","lower secondary degree","6.64","7","33","6.36","6.92","5","7","7","7"
"2016","no degree/no degree yet","6.5","7","1597","6.47","6.53","5","6","7","7"
"2016","Other degree","6.51","7","2369","6.48","6.54","5","6","7","7"
"2016","secondary school degree","","","","","","","","",""
"2017","college entrance qualification","","","","","","","","",""
"2017","lower secondary degree","","","","","","","","",""
"2017","no degree/no degree yet","6.77","7","1246","6.73","6.81","6","7","7","7"
"2017","Other degree","6.73","7","1443","6.69","6.77","6","7","7","7"
"2017","secondary school degree","","","","","","","","",""
"2018","college entrance qualification","","","","","","","","",""
"2018","lower secondary degree","","","","","","","","",""
"2018","no degree/no degree yet","6.5","7","173","6.34","6.66","6","7","7","7"
"2018","Other degree","6.84","7","181","6.74","6.94","6","7","7","7"
"2018","secondary school degree","","","","","","","","",""
"2019","college entrance qualification","","","","","","","","",""
"2019","lower secondary degree","","","","","","","","",""
"2019","no degree/no degree yet","6.42","7","140","6.19","6.65","5","7","7","7"
"2019","Other degree","6.46","7","87","6.27","6.65","5","7","7","7"
"2019","secondary school degree","","","","","","","","",""
