"year","age_gr","pgisced97","mean","median","n","ptile10","ptile25","ptile75","ptile90","lowerci_mean","upperci_mean","lowerci_median","upperci_median"
"2005","16-34 y.","general elemantary","5.86","6","835","4","5","7","7","5.78","5.94","6","6"
"2005","16-34 y.","higher education","5.69","6","522","4","5","6","7","5.6","5.78","6","6"
"2005","16-34 y.","higher vocational","5.91","6","206","5","5","7","7","5.77","6.05","6","6"
"2005","16-34 y.","in school","5.76","6","648","4","5","7","7","5.66","5.86","6","6"
"2005","16-34 y.","inadequately","5.82","6","58","4","5","7","7","5.49","6.15","6","7"
"2005","16-34 y.","middle vocational","5.87","6","2333","4","5","7","7","5.82","5.92","6","6"
"2005","16-34 y.","vocational + Abi","5.74","6","438","4","5","7","7","5.64","5.84","6","6"
"2005","35-65 y.","general elemantary","5.98","6","819","4","5","7","7","5.9","6.06","6","6"
"2005","35-65 y.","higher education","5.9","6","2979","4","5","7","7","5.86","5.94","6","6"
"2005","35-65 y.","higher vocational","5.82","6","1097","4","5","7","7","5.75","5.89","6","6"
"2005","35-65 y.","in school","","","","","","","","","","",""
"2005","35-65 y.","inadequately","6.09","6","126","4","6","7","7","5.88","6.3","6","7"
"2005","35-65 y.","middle vocational","5.97","6","5957","4","5","7","7","5.94","6","6","6"
"2005","35-65 y.","vocational + Abi","5.8","6","592","4","5","7","7","5.7","5.9","6","6"
"2005","66 and older","general elemantary","5.73","6","744","4","5","7","7","5.63","5.83","6","6"
"2005","66 and older","higher education","6","6","664","4","5","7","7","5.91","6.09","6","6"
"2005","66 and older","higher vocational","5.86","6","256","4","5","7","7","5.69","6.03","6","6"
"2005","66 and older","in school","","","","","","","","","","",""
"2005","66 and older","inadequately","5.92","6","49","4","5","7","7","5.54","6.3","5","7"
"2005","66 and older","middle vocational","5.9","6","1955","4","5","7","7","5.84","5.96","6","6"
"2005","66 and older","vocational + Abi","5.84","6","102","4","5","7","7","5.61","6.07","6","6"
"2006","16-34 y.","general elemantary","","","","","","","","","","",""
"2006","16-34 y.","higher education","","","","","","","","","","",""
"2006","16-34 y.","higher vocational","","","","","","","","","","",""
"2006","16-34 y.","in school","","","","","","","","","","",""
"2006","16-34 y.","inadequately","","","","","","","","","","",""
"2006","16-34 y.","middle vocational","","","","","","","","","","",""
"2006","16-34 y.","vocational + Abi","","","","","","","","","","",""
"2006","35-65 y.","general elemantary","","","","","","","","","","",""
"2006","35-65 y.","higher education","","","","","","","","","","",""
"2006","35-65 y.","higher vocational","","","","","","","","","","",""
"2006","35-65 y.","in school","","","","","","","","","","",""
"2006","35-65 y.","inadequately","","","","","","","","","","",""
"2006","35-65 y.","middle vocational","","","","","","","","","","",""
"2006","35-65 y.","vocational + Abi","","","","","","","","","","",""
"2006","66 and older","general elemantary","","","","","","","","","","",""
"2006","66 and older","higher education","","","","","","","","","","",""
"2006","66 and older","higher vocational","","","","","","","","","","",""
"2006","66 and older","in school","","","","","","","","","","",""
"2006","66 and older","inadequately","","","","","","","","","","",""
"2006","66 and older","middle vocational","","","","","","","","","","",""
"2006","66 and older","vocational + Abi","","","","","","","","","","",""
"2007","16-34 y.","general elemantary","","","","","","","","","","",""
"2007","16-34 y.","higher education","","","","","","","","","","",""
"2007","16-34 y.","higher vocational","","","","","","","","","","",""
"2007","16-34 y.","in school","","","","","","","","","","",""
"2007","16-34 y.","inadequately","","","","","","","","","","",""
"2007","16-34 y.","middle vocational","","","","","","","","","","",""
"2007","16-34 y.","vocational + Abi","","","","","","","","","","",""
"2007","35-65 y.","general elemantary","","","","","","","","","","",""
"2007","35-65 y.","higher education","","","","","","","","","","",""
"2007","35-65 y.","higher vocational","","","","","","","","","","",""
"2007","35-65 y.","in school","","","","","","","","","","",""
"2007","35-65 y.","inadequately","","","","","","","","","","",""
"2007","35-65 y.","middle vocational","","","","","","","","","","",""
"2007","35-65 y.","vocational + Abi","","","","","","","","","","",""
"2007","66 and older","general elemantary","","","","","","","","","","",""
"2007","66 and older","higher education","","","","","","","","","","",""
"2007","66 and older","higher vocational","","","","","","","","","","",""
"2007","66 and older","in school","","","","","","","","","","",""
"2007","66 and older","inadequately","","","","","","","","","","",""
"2007","66 and older","middle vocational","","","","","","","","","","",""
"2007","66 and older","vocational + Abi","","","","","","","","","","",""
"2008","16-34 y.","general elemantary","","","","","","","","","","",""
"2008","16-34 y.","higher education","","","","","","","","","","",""
"2008","16-34 y.","higher vocational","","","","","","","","","","",""
"2008","16-34 y.","in school","","","","","","","","","","",""
"2008","16-34 y.","inadequately","","","","","","","","","","",""
"2008","16-34 y.","middle vocational","","","","","","","","","","",""
"2008","16-34 y.","vocational + Abi","","","","","","","","","","",""
"2008","35-65 y.","general elemantary","","","","","","","","","","",""
"2008","35-65 y.","higher education","","","","","","","","","","",""
"2008","35-65 y.","higher vocational","","","","","","","","","","",""
"2008","35-65 y.","in school","","","","","","","","","","",""
"2008","35-65 y.","inadequately","","","","","","","","","","",""
"2008","35-65 y.","middle vocational","","","","","","","","","","",""
"2008","35-65 y.","vocational + Abi","","","","","","","","","","",""
"2008","66 and older","general elemantary","","","","","","","","","","",""
"2008","66 and older","higher education","","","","","","","","","","",""
"2008","66 and older","higher vocational","","","","","","","","","","",""
"2008","66 and older","in school","","","","","","","","","","",""
"2008","66 and older","inadequately","","","","","","","","","","",""
"2008","66 and older","middle vocational","","","","","","","","","","",""
"2008","66 and older","vocational + Abi","","","","","","","","","","",""
"2009","16-34 y.","general elemantary","","","","","","","","","","",""
"2009","16-34 y.","higher education","","","","","","","","","","",""
"2009","16-34 y.","higher vocational","","","","","","","","","","",""
"2009","16-34 y.","in school","","","","","","","","","","",""
"2009","16-34 y.","inadequately","","","","","","","","","","",""
"2009","16-34 y.","middle vocational","","","","","","","","","","",""
"2009","16-34 y.","vocational + Abi","","","","","","","","","","",""
"2009","35-65 y.","general elemantary","","","","","","","","","","",""
"2009","35-65 y.","higher education","","","","","","","","","","",""
"2009","35-65 y.","higher vocational","","","","","","","","","","",""
"2009","35-65 y.","in school","","","","","","","","","","",""
"2009","35-65 y.","inadequately","","","","","","","","","","",""
"2009","35-65 y.","middle vocational","","","","","","","","","","",""
"2009","35-65 y.","vocational + Abi","","","","","","","","","","",""
"2009","66 and older","general elemantary","","","","","","","","","","",""
"2009","66 and older","higher education","","","","","","","","","","",""
"2009","66 and older","higher vocational","","","","","","","","","","",""
"2009","66 and older","in school","","","","","","","","","","",""
"2009","66 and older","inadequately","","","","","","","","","","",""
"2009","66 and older","middle vocational","","","","","","","","","","",""
"2009","66 and older","vocational + Abi","","","","","","","","","","",""
"2010","16-34 y.","general elemantary","5.8","6","473","4","5","7","7","5.69","5.91","6","6"
"2010","16-34 y.","higher education","5.76","6","518","5","5","7","7","5.67","5.85","6","6"
"2010","16-34 y.","higher vocational","5.57","6","105","4","5","6","7","5.35","5.79","6","6"
"2010","16-34 y.","in school","5.62","6","268","4","5","7","7","5.47","5.77","6","6"
"2010","16-34 y.","inadequately","5.74","6","31","1","6","7","7","5.09","6.39","6","7"
