"year","age_gr","migback","mean","median","n","ptile10","ptile25","ptile75","ptile90","lowerci_mean","upperci_mean","lowerci_median","upperci_median"
"2005","16-34 y.","direct migration background","5.91","6","528","4","5","7","7","5.81","6.01","6","6"
"2005","16-34 y.","indirect migration background","5.91","6","662","4","5","7","7","5.82","6","6","6"
"2005","16-34 y.","no migration background","5.8","6","4127","4","5","7","7","5.77","5.83","6","6"
"2005","35-65 y.","direct migration background","6.05","6","1468","4","6","7","7","5.99","6.11","6","6"
"2005","35-65 y.","indirect migration background","5.88","6","154","4","5","7","7","5.69","6.07","6","6"
"2005","35-65 y.","no migration background","5.92","6","9966","4","5","7","7","5.9","5.94","6","6"
"2005","66 and older","direct migration background","5.95","6","366","4","5","7","7","5.81","6.09","6","6"
"2005","66 and older","indirect migration background","","","","","","","","","","",""
"2005","66 and older","no migration background","5.87","6","3399","4","5","7","7","5.83","5.91","6","6"
"2006","16-34 y.","direct migration background","","","","","","","","","","",""
"2006","16-34 y.","indirect migration background","","","","","","","","","","",""
"2006","16-34 y.","no migration background","","","","","","","","","","",""
"2006","35-65 y.","direct migration background","","","","","","","","","","",""
"2006","35-65 y.","indirect migration background","","","","","","","","","","",""
"2006","35-65 y.","no migration background","","","","","","","","","","",""
"2006","66 and older","direct migration background","","","","","","","","","","",""
"2006","66 and older","indirect migration background","","","","","","","","","","",""
"2006","66 and older","no migration background","","","","","","","","","","",""
"2007","16-34 y.","direct migration background","","","","","","","","","","",""
"2007","16-34 y.","indirect migration background","","","","","","","","","","",""
"2007","16-34 y.","no migration background","","","","","","","","","","",""
"2007","35-65 y.","direct migration background","","","","","","","","","","",""
"2007","35-65 y.","indirect migration background","","","","","","","","","","",""
"2007","35-65 y.","no migration background","","","","","","","","","","",""
"2007","66 and older","direct migration background","","","","","","","","","","",""
"2007","66 and older","indirect migration background","","","","","","","","","","",""
"2007","66 and older","no migration background","","","","","","","","","","",""
"2008","16-34 y.","direct migration background","","","","","","","","","","",""
"2008","16-34 y.","indirect migration background","","","","","","","","","","",""
"2008","16-34 y.","no migration background","","","","","","","","","","",""
"2008","35-65 y.","direct migration background","","","","","","","","","","",""
"2008","35-65 y.","indirect migration background","","","","","","","","","","",""
"2008","35-65 y.","no migration background","","","","","","","","","","",""
"2008","66 and older","direct migration background","","","","","","","","","","",""
"2008","66 and older","indirect migration background","","","","","","","","","","",""
"2008","66 and older","no migration background","","","","","","","","","","",""
"2009","16-34 y.","direct migration background","","","","","","","","","","",""
"2009","16-34 y.","indirect migration background","","","","","","","","","","",""
"2009","16-34 y.","no migration background","","","","","","","","","","",""
"2009","35-65 y.","direct migration background","","","","","","","","","","",""
"2009","35-65 y.","indirect migration background","","","","","","","","","","",""
"2009","35-65 y.","no migration background","","","","","","","","","","",""
"2009","66 and older","direct migration background","","","","","","","","","","",""
"2009","66 and older","indirect migration background","","","","","","","","","","",""
"2009","66 and older","no migration background","","","","","","","","","","",""
