"year","education","sampreg","mean","median","n","ptile10","ptile25","ptile75","ptile90","lowerci_mean","upperci_mean","lowerci_median","upperci_median"
"2005","college entrance qualification","Ostdeutschland, neue Bundeslaender","5.85","6","1123","4","5","7","7","5.78","5.92","6","6"
"2005","college entrance qualification","Westdeutschland, alte Bundeslaender","5.8","6","4063","4","5","7","7","5.77","5.83","6","6"
"2005","lower secondary degree","Ostdeutschland, neue Bundeslaender","5.88","6","1391","4","5","7","7","5.82","5.94","6","6"
"2005","lower secondary degree","Westdeutschland, alte Bundeslaender","5.92","6","5685","4","5","7","7","5.89","5.95","6","6"
"2005","no degree/no degree yet","Ostdeutschland, neue Bundeslaender","5.81","6","167","4","5","7","7","5.62","6","6","6"
"2005","no degree/no degree yet","Westdeutschland, alte Bundeslaender","5.81","6","729","4","5","7","7","5.72","5.9","6","6"
"2005","Other degree","Ostdeutschland, neue Bundeslaender","6.27","7","48","4","6","7","7","5.9","6.64","6","7"
"2005","Other degree","Westdeutschland, alte Bundeslaender","5.99","6","1072","4","5","7","7","5.92","6.06","6","6"
"2005","secondary school degree","Ostdeutschland, neue Bundeslaender","5.97","6","2222","4","5","7","7","5.92","6.02","6","6"
"2005","secondary school degree","Westdeutschland, alte Bundeslaender","5.9","6","3795","4","5","7","7","5.86","5.94","6","6"
"2006","college entrance qualification","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"2006","college entrance qualification","Westdeutschland, alte Bundeslaender","","","","","","","","","","",""
"2006","lower secondary degree","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"2006","lower secondary degree","Westdeutschland, alte Bundeslaender","","","","","","","","","","",""
"2006","no degree/no degree yet","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"2006","no degree/no degree yet","Westdeutschland, alte Bundeslaender","","","","","","","","","","",""
"2006","Other degree","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"2006","Other degree","Westdeutschland, alte Bundeslaender","","","","","","","","","","",""
"2006","secondary school degree","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"2006","secondary school degree","Westdeutschland, alte Bundeslaender","","","","","","","","","","",""
"2007","college entrance qualification","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"2007","college entrance qualification","Westdeutschland, alte Bundeslaender","","","","","","","","","","",""
"2007","lower secondary degree","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"2007","lower secondary degree","Westdeutschland, alte Bundeslaender","","","","","","","","","","",""
"2007","no degree/no degree yet","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"2007","no degree/no degree yet","Westdeutschland, alte Bundeslaender","","","","","","","","","","",""
"2007","Other degree","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"2007","Other degree","Westdeutschland, alte Bundeslaender","","","","","","","","","","",""
"2007","secondary school degree","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"2007","secondary school degree","Westdeutschland, alte Bundeslaender","","","","","","","","","","",""
"2008","college entrance qualification","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"2008","college entrance qualification","Westdeutschland, alte Bundeslaender","","","","","","","","","","",""
"2008","lower secondary degree","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"2008","lower secondary degree","Westdeutschland, alte Bundeslaender","","","","","","","","","","",""
"2008","no degree/no degree yet","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"2008","no degree/no degree yet","Westdeutschland, alte Bundeslaender","","","","","","","","","","",""
"2008","Other degree","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"2008","Other degree","Westdeutschland, alte Bundeslaender","","","","","","","","","","",""
"2008","secondary school degree","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"2008","secondary school degree","Westdeutschland, alte Bundeslaender","","","","","","","","","","",""
"2009","college entrance qualification","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"2009","college entrance qualification","Westdeutschland, alte Bundeslaender","","","","","","","","","","",""
"2009","lower secondary degree","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"2009","lower secondary degree","Westdeutschland, alte Bundeslaender","","","","","","","","","","",""
"2009","no degree/no degree yet","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"2009","no degree/no degree yet","Westdeutschland, alte Bundeslaender","","","","","","","","","","",""
"2009","Other degree","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"2009","Other degree","Westdeutschland, alte Bundeslaender","","","","","","","","","","",""
"2009","secondary school degree","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"2009","secondary school degree","Westdeutschland, alte Bundeslaender","","","","","","","","","","",""
"2010","college entrance qualification","Ostdeutschland, neue Bundeslaender","5.82","6","1018","4","5","7","7","5.75","5.89","6","6"
"2010","college entrance qualification","Westdeutschland, alte Bundeslaender","5.7","6","3644","4","5","7","7","5.66","5.74","6","6"
"2010","lower secondary degree","Ostdeutschland, neue Bundeslaender","5.88","6","1060","4","5","7","7","5.8","5.96","6","6"
"2010","lower secondary degree","Westdeutschland, alte Bundeslaender","5.88","6","4295","4","5","7","7","5.84","5.92","6","6"
"2010","no degree/no degree yet","Ostdeutschland, neue Bundeslaender","5.9","6","46","4","5","7","7","5.51","6.29","5","6"
"2010","no degree/no degree yet","Westdeutschland, alte Bundeslaender","5.76","6","368","4","5","7","7","5.63","5.89","6","6"
"2010","Other degree","Ostdeutschland, neue Bundeslaender","6.32","6","38","5","6","7","7","6.09","6.55","6","7"
"2010","Other degree","Westdeutschland, alte Bundeslaender","5.97","6","676","4","5","7","7","5.88","6.06","6","6"
"2010","secondary school degree","Ostdeutschland, neue Bundeslaender","5.87","6","1857","4","5","7","7","5.82","5.92","6","6"
"2010","secondary school degree","Westdeutschland, alte Bundeslaender","5.84","6","3189","4","5","7","7","5.8","5.88","6","6"
"2011","college entrance qualification","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"2011","college entrance qualification","Westdeutschland, alte Bundeslaender","","","","","","","","","","",""
"2011","lower secondary degree","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"2011","lower secondary degree","Westdeutschland, alte Bundeslaender","","","","","","","","","","",""
"2011","no degree/no degree yet","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"2011","no degree/no degree yet","Westdeutschland, alte Bundeslaender","","","","","","","","","","",""
"2011","Other degree","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"2011","Other degree","Westdeutschland, alte Bundeslaender","","","","","","","","","","",""
"2011","secondary school degree","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"2011","secondary school degree","Westdeutschland, alte Bundeslaender","","","","","","","","","","",""
"2012","college entrance qualification","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
