"year","education","hgtyp1hh","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"2005","college entrance qualification","(Married) couple without C.","5.9","6","1730","4","5","7","7","7","5.85","5.95","1","7","6","6"
"2005","college entrance qualification","1-pers.-HH","5.79","6","784","4","5","7","7","7","5.71","5.87","1","7","6","6"
"2005","college entrance qualification","Couple + C. GT 16 ","5.7","6","898","4","5","7","7","7","5.63","5.77","1","7","6","6"
"2005","college entrance qualification","Couple + C. LE 16","5.79","6","1149","4","5","7","7","7","5.73","5.85","1","7","6","6"
"2005","college entrance qualification","Couple + C. LE and GT 16","5.65","6","332","4","5","7","7","7","5.52","5.78","1","7","6","6"
"2005","college entrance qualification","Single parent","5.86","6","188","4","5","7","7","7","5.68","6.04","1","7","6","6"
"2005","lower secondary degree","(Married) couple without C.","5.92","6","2992","4","5","7","7","7","5.88","5.96","1","7","6","6"
"2005","lower secondary degree","1-pers.-HH","5.91","6","1236","4","5","7","7","7","5.84","5.98","1","7","6","6"
"2005","lower secondary degree","Couple + C. GT 16 ","5.87","6","973","4","5","7","7","7","5.8","5.94","1","7","6","6"
"2005","lower secondary degree","Couple + C. LE 16","5.96","6","930","4","5","7","7","7","5.89","6.03","1","7","6","6"
"2005","lower secondary degree","Couple + C. LE and GT 16","5.91","6","390","4","5","7","7","7","5.79","6.03","1","7","6","6"
"2005","lower secondary degree","Single parent","5.89","6","345","4","5","7","7","7","5.76","6.02","1","7","6","6"
"2005","no degree/no degree yet","(Married) couple without C.","5.83","6","83","4","5","7","7","7","5.55","6.11","1","7","6","7"
"2005","no degree/no degree yet","1-pers.-HH","5.86","6","37","3","5","7","7","7","5.43","6.29","3","7","6","7"
"2005","no degree/no degree yet","Couple + C. GT 16 ","5.83","6","303","4","5","7","7","7","5.7","5.96","1","7","6","6"
"2005","no degree/no degree yet","Couple + C. LE 16","5.94","6","36","4","5","7","7","7","5.55","6.33","4","7","6","7"
"2005","no degree/no degree yet","Couple + C. LE and GT 16","5.89","6","284","4","5","7","7","7","5.75","6.03","1","7","6","6"
"2005","no degree/no degree yet","Single parent","5.69","6","116","4","5","7","7","7","5.43","5.95","1","7","6","6"
"2005","Other degree","(Married) couple without C.","6.08","6","349","4","6","7","7","7","5.96","6.2","1","7","6","7"
"2005","Other degree","1-pers.-HH","6.16","7","97","5","6","7","7","7","5.91","6.41","1","7","6","7"
"2005","Other degree","Couple + C. GT 16 ","5.98","6","219","4","5","7","7","7","5.83","6.13","3","7","6","7"
"2005","Other degree","Couple + C. LE 16","6.03","6","210","4","5","7","7","7","5.87","6.19","3","7","6","7"
"2005","Other degree","Couple + C. LE and GT 16","6.03","7","118","4","6","7","7","7","5.8","6.26","2","7","6","7"
"2005","Other degree","Single parent","5.66","6","62","4","5","7","7","7","5.33","5.99","1","7","6","6"
"2005","secondary school degree","(Married) couple without C.","6.01","6","1798","5","5","7","7","7","5.96","6.06","1","7","6","6"
"2005","secondary school degree","1-pers.-HH","5.92","6","770","4","5","7","7","7","5.83","6.01","1","7","6","6"
"2005","secondary school degree","Couple + C. GT 16 ","5.84","6","1112","4","5","7","7","7","5.77","5.91","1","7","6","6"
"2005","secondary school degree","Couple + C. LE 16","5.9","6","1362","4","5","7","7","7","5.84","5.96","1","7","6","6"
"2005","secondary school degree","Couple + C. LE and GT 16","5.8","6","500","4","5","7","7","7","5.7","5.9","1","7","6","6"
"2005","secondary school degree","Single parent","5.85","6","348","4","5","7","7","7","5.73","5.97","1","7","6","6"
"2006","college entrance qualification","(Married) couple without C.","","","","","","","","","","","","","",""
"2006","college entrance qualification","1-pers.-HH","","","","","","","","","","","","","",""
"2006","college entrance qualification","Couple + C. GT 16 ","","","","","","","","","","","","","",""
"2006","college entrance qualification","Couple + C. LE 16","","","","","","","","","","","","","",""
