"year","migback","pgcasmin","mean","median","n","ptile10","ptile25","ptile75","ptile90","lowerci_mean","upperci_mean","lowerci_median","upperci_median"
"2005","direct migration background","(0) in school","6.25","7","55","5","6","7","7","6","6.5","6","7"
"2005","direct migration background","(1a) inadequately completed","6.06","6","160","5","6","7","7","5.88","6.24","6","7"
"2005","direct migration background","(1b) general elementary school","5.9","6","516","4","5","7","7","5.8","6","6","7"
"2005","direct migration background","(1c) basic vocational qualification","6","6","669","4","5","7","7","5.91","6.09","6","6"
"2005","direct migration background","(2a) intermediate vocational","6.19","6","147","5","6","7","7","6.03","6.35","6","7"
"2005","direct migration background","(2b) intermediate general qualification","5.64","6","49","3","5","7","7","5.23","6.05","5","7"
"2005","direct migration background","(2c_gen) general maturity certificate","5.84","6","107","4","5","7","7","5.58","6.1","6","6"
"2005","direct migration background","(2c_voc) vocational maturity certificate","6.07","7","269","4","6","7","7","5.92","6.22","6","7"
"2005","direct migration background","(3a) lower tertiary education","5.84","6","75","4","5","7","7","5.57","6.11","5","6"
"2005","direct migration background","(3b) higher tertiary education","6.11","6","266","5","6","7","7","5.97","6.25","6","7"
"2005","indirect migration background","(0) in school","5.56","5","91","4","5","7","7","5.31","5.81","5","6"
"2005","indirect migration background","(1a) inadequately completed","","","","","","","","","","",""
"2005","indirect migration background","(1b) general elementary school","5.85","6","115","4","5","7","7","5.62","6.08","6","7"
"2005","indirect migration background","(1c) basic vocational qualification","6.14","7","144","5","5","7","7","5.95","6.33","6","7"
"2005","indirect migration background","(2a) intermediate vocational","6.05","6","127","5","5","7","7","5.85","6.25","6","7"
"2005","indirect migration background","(2b) intermediate general qualification","6.15","6","70","5","6","7","7","5.95","6.35","6","7"
"2005","indirect migration background","(2c_gen) general maturity certificate","5.59","6","87","4","5","7","7","5.31","5.87","5","6"
"2005","indirect migration background","(2c_voc) vocational maturity certificate","5.44","6","57","4","5","6","7","5.1","5.78","5","6"
"2005","indirect migration background","(3a) lower tertiary education","","","","","","","","","","",""
"2005","indirect migration background","(3b) higher tertiary education","6.06","6","48","5","5","7","7","5.76","6.36","5","7"
"2005","no migration background","(0) in school","5.74","6","506","4","5","7","7","5.63","5.85","6","6"
"2005","no migration background","(1a) inadequately completed","5.67","6","75","3","5","7","7","5.34","6","6","7"
"2005","no migration background","(1b) general elementary school","5.83","6","1225","4","5","7","7","5.76","5.9","6","6"
"2005","no migration background","(1c) basic vocational qualification","5.94","6","4897","4","5","7","7","5.91","5.97","6","6"
"2005","no migration background","(2a) intermediate vocational","5.91","6","4522","4","5","7","7","5.88","5.94","6","6"
"2005","no migration background","(2b) intermediate general qualification","5.87","6","460","4","5","7","7","5.76","5.98","6","6"
"2005","no migration background","(2c_gen) general maturity certificate","5.65","6","601","4","5","7","7","5.56","5.74","6","6"
"2005","no migration background","(2c_voc) vocational maturity certificate","5.77","6","1188","4","5","7","7","5.71","5.83","6","6"
"2005","no migration background","(3a) lower tertiary education","5.92","6","1549","4","5","7","7","5.87","5.97","6","6"
"2005","no migration background","(3b) higher tertiary education","5.81","6","2207","4","5","7","7","5.76","5.86","6","6"
"2006","direct migration background","(0) in school","","","","","","","","","","",""
"2006","direct migration background","(1a) inadequately completed","","","","","","","","","","",""
"2006","direct migration background","(1b) general elementary school","","","","","","","","","","",""
"2006","direct migration background","(1c) basic vocational qualification","","","","","","","","","","",""
"2006","direct migration background","(2a) intermediate vocational","","","","","","","","","","",""
"2006","direct migration background","(2b) intermediate general qualification","","","","","","","","","","",""
"2006","direct migration background","(2c_gen) general maturity certificate","","","","","","","","","","",""
"2006","direct migration background","(2c_voc) vocational maturity certificate","","","","","","","","","","",""
"2006","direct migration background","(3a) lower tertiary education","","","","","","","","","","",""
"2006","direct migration background","(3b) higher tertiary education","","","","","","","","","","",""
"2006","indirect migration background","(0) in school","","","","","","","","","","",""
"2006","indirect migration background","(1a) inadequately completed","","","","","","","","","","",""
"2006","indirect migration background","(1b) general elementary school","","","","","","","","","","",""
"2006","indirect migration background","(1c) basic vocational qualification","","","","","","","","","","",""
"2006","indirect migration background","(2a) intermediate vocational","","","","","","","","","","",""
"2006","indirect migration background","(2b) intermediate general qualification","","","","","","","","","","",""
"2006","indirect migration background","(2c_gen) general maturity certificate","","","","","","","","","","",""
"2006","indirect migration background","(2c_voc) vocational maturity certificate","","","","","","","","","","",""
"2006","indirect migration background","(3a) lower tertiary education","","","","","","","","","","",""
"2006","indirect migration background","(3b) higher tertiary education","","","","","","","","","","",""
"2006","no migration background","(0) in school","","","","","","","","","","",""
"2006","no migration background","(1a) inadequately completed","","","","","","","","","","",""
"2006","no migration background","(1b) general elementary school","","","","","","","","","","",""
"2006","no migration background","(1c) basic vocational qualification","","","","","","","","","","",""
"2006","no migration background","(2a) intermediate vocational","","","","","","","","","","",""
"2006","no migration background","(2b) intermediate general qualification","","","","","","","","","","",""
"2006","no migration background","(2c_gen) general maturity certificate","","","","","","","","","","",""
"2006","no migration background","(2c_voc) vocational maturity certificate","","","","","","","","","","",""
"2006","no migration background","(3a) lower tertiary education","","","","","","","","","","",""
"2006","no migration background","(3b) higher tertiary education","","","","","","","","","","",""
"2007","direct migration background","(0) in school","","","","","","","","","","",""
"2007","direct migration background","(1a) inadequately completed","","","","","","","","","","",""
"2007","direct migration background","(1b) general elementary school","","","","","","","","","","",""
"2007","direct migration background","(1c) basic vocational qualification","","","","","","","","","","",""
"2007","direct migration background","(2a) intermediate vocational","","","","","","","","","","",""
"2007","direct migration background","(2b) intermediate general qualification","","","","","","","","","","",""
"2007","direct migration background","(2c_gen) general maturity certificate","","","","","","","","","","",""
"2007","direct migration background","(2c_voc) vocational maturity certificate","","","","","","","","","","",""
"2007","direct migration background","(3a) lower tertiary education","","","","","","","","","","",""
"2007","direct migration background","(3b) higher tertiary education","","","","","","","","","","",""
"2007","indirect migration background","(0) in school","","","","","","","","","","",""
"2007","indirect migration background","(1a) inadequately completed","","","","","","","","","","",""
"2007","indirect migration background","(1b) general elementary school","","","","","","","","","","",""
"2007","indirect migration background","(1c) basic vocational qualification","","","","","","","","","","",""
"2007","indirect migration background","(2a) intermediate vocational","","","","","","","","","","",""
"2007","indirect migration background","(2b) intermediate general qualification","","","","","","","","","","",""
"2007","indirect migration background","(2c_gen) general maturity certificate","","","","","","","","","","",""
"2007","indirect migration background","(2c_voc) vocational maturity certificate","","","","","","","","","","",""
"2007","indirect migration background","(3a) lower tertiary education","","","","","","","","","","",""
"2007","indirect migration background","(3b) higher tertiary education","","","","","","","","","","",""
"2007","no migration background","(0) in school","","","","","","","","","","",""
"2007","no migration background","(1a) inadequately completed","","","","","","","","","","",""
"2007","no migration background","(1b) general elementary school","","","","","","","","","","",""
"2007","no migration background","(1c) basic vocational qualification","","","","","","","","","","",""
"2007","no migration background","(2a) intermediate vocational","","","","","","","","","","",""
"2007","no migration background","(2b) intermediate general qualification","","","","","","","","","","",""
"2007","no migration background","(2c_gen) general maturity certificate","","","","","","","","","","",""
"2007","no migration background","(2c_voc) vocational maturity certificate","","","","","","","","","","",""
"2007","no migration background","(3a) lower tertiary education","","","","","","","","","","",""
"2007","no migration background","(3b) higher tertiary education","","","","","","","","","","",""
"2008","direct migration background","(0) in school","","","","","","","","","","",""
"2008","direct migration background","(1a) inadequately completed","","","","","","","","","","",""
"2008","direct migration background","(1b) general elementary school","","","","","","","","","","",""
"2008","direct migration background","(1c) basic vocational qualification","","","","","","","","","","",""
"2008","direct migration background","(2a) intermediate vocational","","","","","","","","","","",""
"2008","direct migration background","(2b) intermediate general qualification","","","","","","","","","","",""
"2008","direct migration background","(2c_gen) general maturity certificate","","","","","","","","","","",""
"2008","direct migration background","(2c_voc) vocational maturity certificate","","","","","","","","","","",""
"2008","direct migration background","(3a) lower tertiary education","","","","","","","","","","",""
"2008","direct migration background","(3b) higher tertiary education","","","","","","","","","","",""
"2008","indirect migration background","(0) in school","","","","","","","","","","",""
"2008","indirect migration background","(1a) inadequately completed","","","","","","","","","","",""
"2008","indirect migration background","(1b) general elementary school","","","","","","","","","","",""
"2008","indirect migration background","(1c) basic vocational qualification","","","","","","","","","","",""
"2008","indirect migration background","(2a) intermediate vocational","","","","","","","","","","",""
"2008","indirect migration background","(2b) intermediate general qualification","","","","","","","","","","",""
"2008","indirect migration background","(2c_gen) general maturity certificate","","","","","","","","","","",""
"2008","indirect migration background","(2c_voc) vocational maturity certificate","","","","","","","","","","",""
"2008","indirect migration background","(3a) lower tertiary education","","","","","","","","","","",""
"2008","indirect migration background","(3b) higher tertiary education","","","","","","","","","","",""
"2008","no migration background","(0) in school","","","","","","","","","","",""
"2008","no migration background","(1a) inadequately completed","","","","","","","","","","",""
"2008","no migration background","(1b) general elementary school","","","","","","","","","","",""
"2008","no migration background","(1c) basic vocational qualification","","","","","","","","","","",""
"2008","no migration background","(2a) intermediate vocational","","","","","","","","","","",""
"2008","no migration background","(2b) intermediate general qualification","","","","","","","","","","",""
"2008","no migration background","(2c_gen) general maturity certificate","","","","","","","","","","",""
"2008","no migration background","(2c_voc) vocational maturity certificate","","","","","","","","","","",""
"2008","no migration background","(3a) lower tertiary education","","","","","","","","","","",""
"2008","no migration background","(3b) higher tertiary education","","","","","","","","","","",""
"2009","direct migration background","(0) in school","","","","","","","","","","",""
"2009","direct migration background","(1a) inadequately completed","","","","","","","","","","",""
"2009","direct migration background","(1b) general elementary school","","","","","","","","","","",""
"2009","direct migration background","(1c) basic vocational qualification","","","","","","","","","","",""
"2009","direct migration background","(2a) intermediate vocational","","","","","","","","","","",""
"2009","direct migration background","(2b) intermediate general qualification","","","","","","","","","","",""
"2009","direct migration background","(2c_gen) general maturity certificate","","","","","","","","","","",""
"2009","direct migration background","(2c_voc) vocational maturity certificate","","","","","","","","","","",""
"2009","direct migration background","(3a) lower tertiary education","","","","","","","","","","",""
"2009","direct migration background","(3b) higher tertiary education","","","","","","","","","","",""
"2009","indirect migration background","(0) in school","","","","","","","","","","",""
"2009","indirect migration background","(1a) inadequately completed","","","","","","","","","","",""
"2009","indirect migration background","(1b) general elementary school","","","","","","","","","","",""
"2009","indirect migration background","(1c) basic vocational qualification","","","","","","","","","","",""
"2009","indirect migration background","(2a) intermediate vocational","","","","","","","","","","",""
"2009","indirect migration background","(2b) intermediate general qualification","","","","","","","","","","",""
"2009","indirect migration background","(2c_gen) general maturity certificate","","","","","","","","","","",""
"2009","indirect migration background","(2c_voc) vocational maturity certificate","","","","","","","","","","",""
"2009","indirect migration background","(3a) lower tertiary education","","","","","","","","","","",""
"2009","indirect migration background","(3b) higher tertiary education","","","","","","","","","","",""
"2009","no migration background","(0) in school","","","","","","","","","","",""
"2009","no migration background","(1a) inadequately completed","","","","","","","","","","",""
"2009","no migration background","(1b) general elementary school","","","","","","","","","","",""
"2009","no migration background","(1c) basic vocational qualification","","","","","","","","","","",""
"2009","no migration background","(2a) intermediate vocational","","","","","","","","","","",""
"2009","no migration background","(2b) intermediate general qualification","","","","","","","","","","",""
"2009","no migration background","(2c_gen) general maturity certificate","","","","","","","","","","",""
"2009","no migration background","(2c_voc) vocational maturity certificate","","","","","","","","","","",""
"2009","no migration background","(3a) lower tertiary education","","","","","","","","","","",""
"2009","no migration background","(3b) higher tertiary education","","","","","","","","","","",""
"2010","direct migration background","(0) in school","","","","","","","","","","",""
"2010","direct migration background","(1a) inadequately completed","5.87","6","78","4","5","7","7","5.54","6.2","6","7"
"2010","direct migration background","(1b) general elementary school","5.97","6","302","4","5","7","7","5.84","6.1","6","6"
"2010","direct migration background","(1c) basic vocational qualification","6.02","6","389","5","6","7","7","5.9","6.14","6","6"
"2010","direct migration background","(2a) intermediate vocational","6.08","6","103","4","6","7","7","5.88","6.28","6","7"
"2010","direct migration background","(2b) intermediate general qualification","","","","","","","","","","",""
"2010","direct migration background","(2c_gen) general maturity certificate","5.82","6","74","4","5","7","7","5.48","6.16","6","7"
