"year","education","pgisced97","mean","median","n","ptile10","ptile25","ptile75","ptile90","lowerci_mean","upperci_mean","lowerci_median","upperci_median"
"2005","college entrance qualification","general elemantary","","","","","","","","","","",""
"2005","college entrance qualification","higher education","5.86","6","3158","4","5","7","7","5.82","5.9","6","6"
"2005","college entrance qualification","higher vocational","5.88","6","347","4","5","7","7","5.76","6","6","6"
"2005","college entrance qualification","in school","","","","","","","","","","",""
"2005","college entrance qualification","inadequately","","","","","","","","","","",""
"2005","college entrance qualification","middle vocational","5.66","6","730","4","5","7","7","5.58","5.74","6","6"
"2005","college entrance qualification","vocational + Abi","5.75","6","951","4","5","7","7","5.68","5.82","6","6"
"2005","lower secondary degree","general elemantary","5.83","6","1493","4","5","7","7","5.77","5.89","6","6"
"2005","lower secondary degree","higher education","5.96","6","181","5","5","7","7","5.8","6.12","6","6"
"2005","lower secondary degree","higher vocational","5.74","6","452","4","5","7","7","5.62","5.86","6","6"
"2005","lower secondary degree","in school","","","","","","","","","","",""
"2005","lower secondary degree","inadequately","","","","","","","","","","",""
"2005","lower secondary degree","middle vocational","5.96","6","4927","4","5","7","7","5.93","5.99","6","6"
"2005","lower secondary degree","vocational + Abi","","","","","","","","","","",""
"2005","no degree/no degree yet","general elemantary","","","","","","","","","","",""
"2005","no degree/no degree yet","higher education","","","","","","","","","","",""
"2005","no degree/no degree yet","higher vocational","","","","","","","","","","",""
"2005","no degree/no degree yet","in school","5.76","6","648","4","5","7","7","5.66","5.86","6","6"
"2005","no degree/no degree yet","inadequately","5.99","6","196","4","5","7","7","5.82","6.16","6","7"
"2005","no degree/no degree yet","middle vocational","5.64","6","46","3","5","7","7","5.23","6.05","6","7"
"2005","no degree/no degree yet","vocational + Abi","","","","","","","","","","",""
"2005","Other degree","general elemantary","5.91","6","329","4","5","7","7","5.78","6.04","6","7"
"2005","Other degree","higher education","6.02","6","188","4","5","7","7","5.86","6.18","6","7"
"2005","Other degree","higher vocational","6.39","7","55","5","6","7","7","6.15","6.63","6","7"
"2005","Other degree","in school","","","","","","","","","","",""
"2005","Other degree","inadequately","5.91","6","37","4","5","7","7","5.49","6.33","5","7"
"2005","Other degree","middle vocational","5.98","6","389","4","5","7","7","5.86","6.1","6","6"
"2005","Other degree","vocational + Abi","6.09","6.33","122","4","6","7","7","5.87","6.31","6","7"
"2005","secondary school degree","general elemantary","5.87","6","576","4","5","7","7","5.77","5.97","6","6"
"2005","secondary school degree","higher education","5.92","6","622","4","5","7","7","5.83","6.01","6","6"
"2005","secondary school degree","higher vocational","5.85","6","696","4","5","7","7","5.77","5.93","6","6"
"2005","secondary school degree","in school","","","","","","","","","","",""
"2005","secondary school degree","inadequately","","","","","","","","","","",""
"2005","secondary school degree","middle vocational","5.94","6","4087","4","5","7","7","5.9","5.98","6","6"
"2005","secondary school degree","vocational + Abi","6.1","6","36","5","5","7","7","5.8","6.4","6","7"
"2006","college entrance qualification","general elemantary","","","","","","","","","","",""
"2006","college entrance qualification","higher education","","","","","","","","","","",""
"2006","college entrance qualification","higher vocational","","","","","","","","","","",""
"2006","college entrance qualification","in school","","","","","","","","","","",""
"2006","college entrance qualification","inadequately","","","","","","","","","","",""
"2006","college entrance qualification","middle vocational","","","","","","","","","","",""
"2006","college entrance qualification","vocational + Abi","","","","","","","","","","",""
"2006","lower secondary degree","general elemantary","","","","","","","","","","",""
"2006","lower secondary degree","higher education","","","","","","","","","","",""
"2006","lower secondary degree","higher vocational","","","","","","","","","","",""
"2006","lower secondary degree","in school","","","","","","","","","","",""
"2006","lower secondary degree","inadequately","","","","","","","","","","",""
"2006","lower secondary degree","middle vocational","","","","","","","","","","",""
"2006","lower secondary degree","vocational + Abi","","","","","","","","","","",""
"2006","no degree/no degree yet","general elemantary","","","","","","","","","","",""
"2006","no degree/no degree yet","higher education","","","","","","","","","","",""
"2006","no degree/no degree yet","higher vocational","","","","","","","","","","",""
"2006","no degree/no degree yet","in school","","","","","","","","","","",""
"2006","no degree/no degree yet","inadequately","","","","","","","","","","",""
"2006","no degree/no degree yet","middle vocational","","","","","","","","","","",""
"2006","no degree/no degree yet","vocational + Abi","","","","","","","","","","",""
"2006","Other degree","general elemantary","","","","","","","","","","",""
"2006","Other degree","higher education","","","","","","","","","","",""
"2006","Other degree","higher vocational","","","","","","","","","","",""
"2006","Other degree","in school","","","","","","","","","","",""
"2006","Other degree","inadequately","","","","","","","","","","",""
"2006","Other degree","middle vocational","","","","","","","","","","",""
"2006","Other degree","vocational + Abi","","","","","","","","","","",""
"2006","secondary school degree","general elemantary","","","","","","","","","","",""
