"plh0188","year","migback","regtyp","n","percent","lower_confidence","upper_confidence","value"
"Rather not true","1990","no migration background","Urban Area","452","0.295622274221863","0.272436691830769","0.318807856612957","3"
"Rather not true","1990","no migration background","Rural Area","831","0.304808942835503","0.287487297787571","0.322130587883436","3"
"Rather not true","1990","direct migration background","Urban Area","14","","","","3"
"Rather not true","1990","direct migration background","Rural Area","25","","","","3"
"Rather not true","1990","indirect migration background","Urban Area","1","","","","3"
"Rather not true","1990","indirect migration background","Rural Area","","","","","3"
"Tends to agree","1990","no migration background","Urban Area","660","0.444427982665232","0.419180533584744","0.46967543174572","2"
"Tends to agree","1990","direct migration background","Urban Area","26","","","","2"
"Tends to agree","1990","direct migration background","Rural Area","50","0.535683100839147","0.433773430780814","0.637592770897479","2"
"Tends to agree","1990","indirect migration background","Urban Area","","","","","2"
"Tends to agree","1990","no migration background","Rural Area","1194","0.437158219786353","0.418492889359836","0.455823550212871","2"
"Tends to agree","1990","indirect migration background","Rural Area","1","","","","2"
"Totally disagree","1990","no migration background","Urban Area","121","0.0826355358310982","0.0686460740660343","0.0966249975961622","4"
"Totally disagree","1990","no migration background","Rural Area","190","0.073367010271994","0.0635556892937752","0.0831783312502129","4"
"Totally disagree","1990","direct migration background","Urban Area","3","","","","4"
"Totally disagree","1990","indirect migration background","Urban Area","","","","","4"
"Totally disagree","1990","direct migration background","Rural Area","3","","","","4"
"Totally disagree","1990","indirect migration background","Rural Area","","","","","4"
"True entirely","1990","no migration background","Urban Area","255","0.177314207281807","0.15790823568057","0.196720178883043","1"
"True entirely","1990","no migration background","Rural Area","498","0.184665827106149","0.17006477050537","0.199266883706928","1"
"True entirely","1990","direct migration background","Urban Area","6","","","","1"
"True entirely","1990","direct migration background","Rural Area","14","","","","1"
"True entirely","1990","indirect migration background","Urban Area","","","","","1"
"True entirely","1990","indirect migration background","Rural Area","","","","","1"
"Rather not true","1991","no migration background","Urban Area","460","0.336974770601224","0.311816431493466","0.362133109708983","3"
"Rather not true","1991","no migration background","Rural Area","858","0.335690848019131","0.317497156641813","0.353884539396449","3"
"Rather not true","1991","direct migration background","Urban Area","12","","","","3"
"Rather not true","1991","direct migration background","Rural Area","31","0.370462122102184","0.272312314028233","0.468611930176136","3"
"Rather not true","1991","indirect migration background","Urban Area","1","","","","3"
"Rather not true","1991","indirect migration background","Rural Area","","","","","3"
"Tends to agree","1991","no migration background","Rural Area","1077","0.411728732971977","0.392767771260518","0.430689694683436","2"
"Tends to agree","1991","direct migration background","Urban Area","20","","","","2"
"Tends to agree","1991","no migration background","Urban Area","558","0.400926852682251","0.374841858433798","0.427011846930703","2"
"Tends to agree","1991","direct migration background","Rural Area","33","0.316384239532196","0.221865032231595","0.410903446832797","2"
"Tends to agree","1991","indirect migration background","Urban Area","","","","","2"
"Tends to agree","1991","indirect migration background","Rural Area","2","","","","2"
"Totally disagree","1991","no migration background","Urban Area","143","0.112352333797994","0.0955438088504273","0.12916085874556","4"
"Totally disagree","1991","no migration background","Rural Area","256","0.103202648769317","0.0914818142227383","0.114923483315896","4"
"Totally disagree","1991","direct migration background","Urban Area","6","","","","4"
"Totally disagree","1991","indirect migration background","Urban Area","","","","","4"
"Totally disagree","1991","direct migration background","Rural Area","8","","","","4"
"Totally disagree","1991","indirect migration background","Rural Area","","","","","4"
"True entirely","1991","no migration background","Urban Area","195","0.149746042918531","0.13075406246696","0.168738023370103","1"
"True entirely","1991","no migration background","Rural Area","397","0.149377770239575","0.135644394405473","0.163111146073676","1"
"True entirely","1991","direct migration background","Urban Area","11","","","","1"
"True entirely","1991","direct migration background","Rural Area","21","","","","1"
"True entirely","1991","indirect migration background","Urban Area","","","","","1"
"True entirely","1991","indirect migration background","Rural Area","","","","","1"
"Rather not true","1992","no migration background","Urban Area","1960","0.32776494174982","0.316135144591071","0.339394738908569","3"
"Rather not true","1992","no migration background","Rural Area","1267","0.321666219050984","0.307132167069409","0.336200271032559","3"
"Rather not true","1992","direct migration background","Urban Area","108","0.270177745752566","0.226877461598272","0.313478029906861","3"
"Rather not true","1992","direct migration background","Rural Area","62","0.346190597082735","0.274462723895065","0.417918470270406","3"
"Rather not true","1992","indirect migration background","Urban Area","20","","","","3"
"Rather not true","1992","indirect migration background","Rural Area","4","","","","3"
"Tends to agree","1992","no migration background","Urban Area","2953","0.457864972659018","0.445521062394636","0.4702088829234","2"
"Tends to agree","1992","no migration background","Rural Area","1850","0.458231980511392","0.442729127129172","0.473734833893613","2"
"Tends to agree","1992","direct migration background","Rural Area","75","0.482102025007339","0.406767106466035","0.557436943548643","2"
"Tends to agree","1992","direct migration background","Urban Area","202","0.485737559222156","0.437001472446178","0.534473645998135","2"
"Tends to agree","1992","indirect migration background","Urban Area","30","0.46065807367176","0.340404620088929","0.580911527254591","2"
"Tends to agree","1992","indirect migration background","Rural Area","6","","","","2"
"Totally disagree","1992","no migration background","Urban Area","460","0.0766209317367915","0.0700308008718949","0.0832110626016881","4"
"Totally disagree","1992","no migration background","Rural Area","294","0.0831549255401704","0.0745637176767466","0.0917461334035942","4"
"Totally disagree","1992","direct migration background","Urban Area","30","0.0839794496625302","0.0569338553638105","0.11102504396125","4"
"Totally disagree","1992","direct migration background","Rural Area","9","","","","4"
"Totally disagree","1992","indirect migration background","Urban Area","5","","","","4"
"Totally disagree","1992","indirect migration background","Rural Area","2","","","","4"
"True entirely","1992","no migration background","Urban Area","885","0.137749153854371","0.12921045698292","0.146287850725822","1"
"True entirely","1992","no migration background","Rural Area","557","0.136946874897453","0.126249995801738","0.147643753993168","1"
"True entirely","1992","direct migration background","Urban Area","64","0.160105245362747","0.124347294503988","0.195863196221506","1"
"True entirely","1992","direct migration background","Rural Area","23","","","","1"
"True entirely","1992","indirect migration background","Urban Area","11","","","","1"
"True entirely","1992","indirect migration background","Rural Area","3","","","","1"
"Rather not true","1993","no migration background","Urban Area","2276","0.371728931877201","0.359740209007029","0.383717654747374","3"
"Rather not true","1993","no migration background","Rural Area","1480","0.396933599142608","0.381605821982762","0.412261376302454","3"
"Rather not true","1993","direct migration background","Urban Area","673","0.341710448162352","0.321328108547041","0.362092787777662","3"
"Rather not true","1993","indirect migration background","Urban Area","118","0.327764281677222","0.281878654850489","0.373649908503955","3"
"Rather not true","1993","direct migration background","Rural Area","151","0.400191695546411","0.351936867612068","0.448446523480754","3"
"Rather not true","1993","indirect migration background","Rural Area","18","","","","3"
"Tends to agree","1993","no migration background","Urban Area","2612","0.403757408617077","0.391585520298109","0.415929296936044","2"
"Tends to agree","1993","direct migration background","Rural Area","156","0.380643912356561","0.332821646704494","0.428466178008627","2"
"Tends to agree","1993","no migration background","Rural Area","1686","0.403902999341345","0.3885308467165","0.419275151966189","2"
"Tends to agree","1993","direct migration background","Urban Area","923","0.410303025690058","0.389164084376401","0.431441967003714","2"
