"plh0188","year","age_gr","migback","n","percent","lower_confidence","upper_confidence","value"
"Rather not true","1990","16-34 y.","no migration background","472","0.279679304390756","0.25817164092905","0.301186967852462","3"
"Rather not true","1990","35-65 y.","direct migration background","32","0.306465003943343","0.217431367218947","0.395498640667739","3"
"Rather not true","1990","16-34 y.","direct migration background","2","","","","3"
"Rather not true","1990","66 and older","indirect migration background","","","","","3"
"Rather not true","1990","66 and older","direct migration background","5","","","","3"
"Rather not true","1990","16-34 y.","indirect migration background","1","","","","3"
"Rather not true","1990","35-65 y.","no migration background","719","0.326053245804097","0.306469528709668","0.345636962898526","3"
"Rather not true","1990","35-65 y.","indirect migration background","","","","","3"
"Rather not true","1990","66 and older","no migration background","118","0.273149808920382","0.230176779553148","0.316122838287615","3"
"Tends to agree","1990","35-65 y.","direct migration background","54","0.527159365855208","0.430741428240353","0.623577303470062","2"
"Tends to agree","1990","35-65 y.","indirect migration background","","","","","2"
"Tends to agree","1990","16-34 y.","no migration background","804","0.482511753000269","0.458567333421183","0.506456172579355","2"
"Tends to agree","1990","66 and older","direct migration background","11","","","","2"
"Tends to agree","1990","66 and older","no migration background","174","0.428556970363906","0.380830005525985","0.476283935201828","2"
"Tends to agree","1990","66 and older","indirect migration background","","","","","2"
"Tends to agree","1990","16-34 y.","direct migration background","12","","","","2"
"Tends to agree","1990","16-34 y.","indirect migration background","1","","","","2"
"Tends to agree","1990","35-65 y.","no migration background","913","0.412567672771089","0.392000973929133","0.433134371613045","2"
"Totally disagree","1990","35-65 y.","direct migration background","4","","","","4"
"Totally disagree","1990","16-34 y.","no migration background","112","0.0650832869484503","0.0532631823028227","0.0769033915940778","4"
"Totally disagree","1990","66 and older","direct migration background","1","","","","4"
"Totally disagree","1990","16-34 y.","indirect migration background","","","","","4"
"Totally disagree","1990","16-34 y.","direct migration background","1","","","","4"
"Totally disagree","1990","35-65 y.","indirect migration background","","","","","4"
"Totally disagree","1990","66 and older","indirect migration background","","","","","4"
"Totally disagree","1990","35-65 y.","no migration background","172","0.0823015089028386","0.0708201847826178","0.0937828330230594","4"
"Totally disagree","1990","66 and older","no migration background","34","0.0868718592325657","0.0597088121180171","0.114034906347114","4"
"True entirely","1990","16-34 y.","no migration background","285","0.172725655660525","0.15461211611678","0.19083919520427","1"
"True entirely","1990","16-34 y.","direct migration background","1","","","","1"
"True entirely","1990","16-34 y.","indirect migration background","","","","","1"
"True entirely","1990","35-65 y.","no migration background","397","0.179077572521976","0.163059519406714","0.195095625637237","1"
"True entirely","1990","35-65 y.","direct migration background","13","","","","1"
"True entirely","1990","35-65 y.","indirect migration background","","","","","1"
"True entirely","1990","66 and older","no migration background","87","0.211421361483147","0.172041879217586","0.250800843748707","1"
"True entirely","1990","66 and older","direct migration background","6","","","","1"
"True entirely","1990","66 and older","indirect migration background","","","","","1"
"Rather not true","1991","16-34 y.","no migration background","475","0.308877037239937","0.285695549906479","0.332058524573394","3"
"Rather not true","1991","35-65 y.","direct migration background","38","0.422716668307924","0.327776364555677","0.51765697206017","3"
"Rather not true","1991","66 and older","direct migration background","3","","","","3"
"Rather not true","1991","66 and older","indirect migration background","","","","","3"
"Rather not true","1991","16-34 y.","direct migration background","2","","","","3"
"Rather not true","1991","16-34 y.","indirect migration background","1","","","","3"
"Rather not true","1991","35-65 y.","no migration background","741","0.349469695612753","0.329206736260696","0.36973265496481","3"
"Rather not true","1991","35-65 y.","indirect migration background","","","","","3"
"Rather not true","1991","66 and older","no migration background","133","0.349959029532388","0.302003878902086","0.397914180162689","3"
"Tends to agree","1991","66 and older","direct migration background","11","","","","2"
"Tends to agree","1991","16-34 y.","no migration background","690","0.450886472204389","0.425921246402081","0.475851698006697","2"
"Tends to agree","1991","35-65 y.","direct migration background","34","0.298262411518457","0.210336262200665","0.386188560836248","2"
"Tends to agree","1991","35-65 y.","indirect migration background","","","","","2"
"Tends to agree","1991","66 and older","no migration background","156","0.389592682738906","0.34056159207159","0.438623773406221","2"
"Tends to agree","1991","66 and older","indirect migration background","","","","","2"
"Tends to agree","1991","16-34 y.","direct migration background","9","","","","2"
"Tends to agree","1991","16-34 y.","indirect migration background","2","","","","2"
"Tends to agree","1991","35-65 y.","no migration background","830","0.388443429394958","0.367730260128546","0.409156598661369","2"
"Totally disagree","1991","16-34 y.","no migration background","121","0.0824782587558688","0.0686760450327142","0.0962804724790233","4"
"Totally disagree","1991","66 and older","direct migration background","2","","","","4"
"Totally disagree","1991","35-65 y.","direct migration background","12","","","","4"
"Totally disagree","1991","66 and older","indirect migration background","","","","","4"
"Totally disagree","1991","16-34 y.","direct migration background","","","","","4"
"Totally disagree","1991","16-34 y.","indirect migration background","","","","","4"
"Totally disagree","1991","35-65 y.","indirect migration background","","","","","4"
"Totally disagree","1991","35-65 y.","no migration background","241","0.117075534204337","0.103412121206643","0.130738947202031","4"
"Totally disagree","1991","66 and older","no migration background","43","0.118406497403463","0.0859218430369302","0.150891151769995","4"
"True entirely","1991","16-34 y.","no migration background","240","0.157758231799805","0.139469431124394","0.176047032475217","1"
