"plh0188","year","bula_h","e11102","n","percent","lower_confidence","upper_confidence"
"True entirely","1992","Schleswig-Holstein","Not Employed","11","","",""
"True entirely","1992","Schleswig-Holstein","Employed","40","0.252893536631621","0.184464196246172","0.32132287701707"
"True entirely","1992","Hamburg","Not Employed","3","","",""
"True entirely","1992","Hamburg","Employed","23","","",""
"True entirely","1992","Lower Saxony","Not Employed","47","0.147585193915406","0.108101831380462","0.187068556450349"
"True entirely","1992","Lower Saxony","Employed","97","0.184542938173377","0.151422807020651","0.217663069326103"
"True entirely","1992","Bremen","Not Employed","12","","",""
"True entirely","1992","Bremen","Employed","6","","",""
"True entirely","1992","North Rhine-Westphalia","Not Employed","97","0.128574243746258","0.103918185493498","0.153230301999018"
"True entirely","1992","North Rhine-Westphalia","Employed","201","0.162792513898077","0.141790714886793","0.183794312909361"
"True entirely","1992","Hesse","Not Employed","32","0.118195507920929","0.0773514287596202","0.159039587082237"
"True entirely","1992","Hesse","Employed","63","0.135760541150608","0.102923518243485","0.168597564057731"
"True entirely","1992","Rhineland-Palatinate,Saarland","Not Employed","21","","",""
"True entirely","1992","Rhineland-Palatinate,Saarland","Employed","42","0.113582421113295","0.07955338884739","0.147611453379201"
"True entirely","1992","Baden-Württemberg","Not Employed","44","0.123443107270638","0.0888824537464415","0.158003760794835"
"True entirely","1992","Baden-Württemberg","Employed","97","0.124000764234272","0.100615091562955","0.147386436905589"
"True entirely","1992","Bavaria","Not Employed","36","0.0809336883024238","0.0552745943952979","0.10659278220955"
"True entirely","1992","Bavaria","Employed","121","0.130654848930232","0.108336866977739","0.152972830882724"
"True entirely","1992","Berlin","Not Employed","11","","",""
"True entirely","1992","Berlin","Employed","44","0.118740382845468","0.0857349019330956","0.15174586375784"
"True entirely","1992","Brandenburg","Not Employed","27","","",""
"True entirely","1992","Brandenburg","Employed","55","0.111312603695792","0.0833787861890848","0.139246421202499"
"True entirely","1992","Mecklenburg-Western Pomerania","Not Employed","10","","",""
"True entirely","1992","Mecklenburg-Western Pomerania","Employed","39","0.131171286489582","0.0940087856907968","0.168333787288367"
"True entirely","1992","Saxony","Not Employed","42","0.123608658000336","0.0866708043502266","0.160546511650445"
"True entirely","1992","Saxony","Employed","119","0.143054429722724","0.119558055542219","0.166550803903229"
"True entirely","1992","Saxony-Anhalt","Not Employed","36","0.173444650024886","0.122596551840985","0.224292748208788"
"True entirely","1992","Saxony-Anhalt","Employed","85","0.159393795457403","0.129130798450339","0.189656792464468"
"True entirely","1992","Thuringia","Not Employed","21","","",""
"True entirely","1992","Thuringia","Employed","83","0.168358876395882","0.13556074688585","0.201157005905915"
"Tends to agree","1992","Schleswig-Holstein","Not Employed","35","0.430733616235097","0.326078366507066","0.535388865963129"
"Tends to agree","1992","Schleswig-Holstein","Employed","76","0.489876689947242","0.411178777236844","0.568574602657639"
"Tends to agree","1992","Hamburg","Not Employed","18","","",""
"Tends to agree","1992","Hamburg","Employed","27","","",""
"Tends to agree","1992","Lower Saxony","Not Employed","142","0.422772069746543","0.367780760866888","0.477763378626198"
"Tends to agree","1992","Lower Saxony","Employed","277","0.52174292590748","0.479094621497814","0.564391230317145"
"Tends to agree","1992","Bremen","Not Employed","11","","",""
"Tends to agree","1992","Bremen","Employed","17","","",""
"Tends to agree","1992","North Rhine-Westphalia","Not Employed","305","0.41936602629803","0.383018127841294","0.455713924754767"
"Tends to agree","1992","North Rhine-Westphalia","Employed","631","0.526576397915413","0.498172471494427","0.554980324336398"
"Tends to agree","1992","Hesse","Not Employed","100","0.394042036060379","0.332221182621027","0.455862889499731"
"Tends to agree","1992","Hesse","Employed","218","0.523069891977084","0.475188454366425","0.570951329587743"
"Tends to agree","1992","Rhineland-Palatinate,Saarland","Not Employed","82","0.383248073629696","0.31780323394758","0.448692913311811"
"Tends to agree","1992","Rhineland-Palatinate,Saarland","Employed","162","0.470326471612112","0.416798756746053","0.52385418647817"
"Tends to agree","1992","Baden-Württemberg","Not Employed","148","0.386290616383796","0.335134574982143","0.437446657785449"
"Tends to agree","1992","Baden-Württemberg","Employed","370","0.478512506044813","0.443067552025658","0.513957460063968"
"Tends to agree","1992","Bavaria","Not Employed","201","0.44532633057228","0.398567764054905","0.492084897089655"
"Tends to agree","1992","Bavaria","Employed","433","0.504229376320455","0.471120037762061","0.537338714878848"
"Tends to agree","1992","Berlin","Not Employed","53","0.362304400417784","0.280920367652492","0.443688433183076"
"Tends to agree","1992","Berlin","Employed","159","0.426124002376209","0.375668104721459","0.47657990003096"
"Tends to agree","1992","Brandenburg","Not Employed","85","0.457544618756456","0.384357133194774","0.530732104318138"
"Tends to agree","1992","Brandenburg","Employed","216","0.456612122830677","0.412372409733816","0.500851835927538"
"Tends to agree","1992","Mecklenburg-Western Pomerania","Not Employed","47","0.417768213455071","0.321584164205619","0.513952262704523"
"Tends to agree","1992","Mecklenburg-Western Pomerania","Employed","139","0.434454774014175","0.379888485225202","0.489021062803148"
"Tends to agree","1992","Saxony","Not Employed","128","0.430475451159202","0.374906961791881","0.486043940526523"
"Tends to agree","1992","Saxony","Employed","375","0.428807455317333","0.395595380750103","0.462019529884564"
"Tends to agree","1992","Saxony-Anhalt","Not Employed","96","0.406510581897874","0.340547535161378","0.47247362863437"
"Tends to agree","1992","Saxony-Anhalt","Employed","286","0.504369386882437","0.463032919957111","0.545705853807764"
"Tends to agree","1992","Thuringia","Not Employed","79","0.406448333562414","0.334893209086594","0.478003458038234"
"Tends to agree","1992","Thuringia","Employed","260","0.529721215458575","0.485972584622086","0.573469846295064"
"Rather not true","1992","Schleswig-Holstein","Not Employed","29","","",""
"Rather not true","1992","Schleswig-Holstein","Employed","35","0.239821142782255","0.172603408551858","0.307038877012653"
"Rather not true","1992","Hamburg","Not Employed","18","","",""
"Rather not true","1992","Hamburg","Employed","17","","",""
"Rather not true","1992","Lower Saxony","Not Employed","95","0.329451662050345","0.277130408482431","0.381772915618259"
"Rather not true","1992","Lower Saxony","Employed","130","0.24840799127806","0.211517312872181","0.285298669683938"
"Rather not true","1992","Bremen","Not Employed","21","","",""
"Rather not true","1992","Bremen","Employed","16","","",""
"Rather not true","1992","North Rhine-Westphalia","Not Employed","257","0.372187770530607","0.336581425390472","0.407794115670743"
"Rather not true","1992","North Rhine-Westphalia","Employed","300","0.260861432580531","0.235881538016037","0.285841327145025"
"Rather not true","1992","Hesse","Not Employed","79","0.356220053480792","0.295634319356555","0.416805787605028"
"Rather not true","1992","Hesse","Employed","115","0.286672519952296","0.243321685689065","0.330023354215528"
"Rather not true","1992","Rhineland-Palatinate,Saarland","Not Employed","76","0.362279939144785","0.297577993117902","0.426981885171668"
"Rather not true","1992","Rhineland-Palatinate,Saarland","Employed","107","0.348077667320833","0.296990612420698","0.399164722220969"
"Rather not true","1992","Baden-Württemberg","Not Employed","127","0.415871239566672","0.364087643371173","0.467654835762172"
"Rather not true","1992","Baden-Württemberg","Employed","247","0.330706429702932","0.297324190265706","0.364088669140159"
"Rather not true","1992","Bavaria","Not Employed","159","0.381004529127725","0.335315489321103","0.426693568934348"
"Rather not true","1992","Bavaria","Employed","269","0.299161664840491","0.268839658565289","0.329483671115694"
"Rather not true","1992","Berlin","Not Employed","52","0.405633921340961","0.322497785892423","0.488770056789499"
"Rather not true","1992","Berlin","Employed","127","0.343113032893661","0.294673623644544","0.391552442142779"
"Rather not true","1992","Brandenburg","Not Employed","49","0.280824284282807","0.214804678409942","0.346843890155672"
"Rather not true","1992","Brandenburg","Employed","177","0.349882965200207","0.307524444708118","0.392241485692295"
"Rather not true","1992","Mecklenburg-Western Pomerania","Not Employed","32","0.358927967795817","0.265377821844385","0.452478113747249"
"Rather not true","1992","Mecklenburg-Western Pomerania","Employed","116","0.356018996281972","0.303309171326994","0.408728821236949"
"Rather not true","1992","Saxony","Not Employed","106","0.346784234146631","0.293370102444503","0.400198365848758"
"Rather not true","1992","Saxony","Employed","280","0.323192710957936","0.291806646103222","0.35457877581265"
"Rather not true","1992","Saxony-Anhalt","Not Employed","62","0.32309115695573","0.260287357391614","0.385894956519846"
"Rather not true","1992","Saxony-Anhalt","Employed","158","0.277204356259107","0.240197028891957","0.314211683626256"
"Rather not true","1992","Thuringia","Not Employed","68","0.377708018513074","0.307078863839043","0.448337173187106"
"Rather not true","1992","Thuringia","Employed","131","0.232310516461095","0.195294445447464","0.269326587474726"
"Totally disagree","1992","Schleswig-Holstein","Not Employed","11","","",""
"Totally disagree","1992","Schleswig-Holstein","Employed","4","","",""
"Totally disagree","1992","Hamburg","Not Employed","5","","",""
"Totally disagree","1992","Hamburg","Employed","2","","",""
"Totally disagree","1992","Lower Saxony","Not Employed","26","","",""
"Totally disagree","1992","Lower Saxony","Employed","23","","",""
"Totally disagree","1992","Bremen","Not Employed","3","","",""
"Totally disagree","1992","Bremen","Employed","1","","",""
"Totally disagree","1992","North Rhine-Westphalia","Not Employed","49","0.0798719594251044","0.0599031227701918","0.0998407960800171"
"Totally disagree","1992","North Rhine-Westphalia","Employed","55","0.0497696556059787","0.037398237153356","0.0621410740586015"
"Totally disagree","1992","Hesse","Not Employed","29","","",""
"Totally disagree","1992","Hesse","Employed","22","","",""
"Totally disagree","1992","Rhineland-Palatinate,Saarland","Not Employed","33","0.176949316296568","0.125578331065064","0.228320301528072"
"Totally disagree","1992","Rhineland-Palatinate,Saarland","Employed","23","","",""
"Totally disagree","1992","Baden-Württemberg","Not Employed","29","","",""
"Totally disagree","1992","Baden-Württemberg","Employed","49","0.0667803000179827","0.0490668990349288","0.0844937010010367"
"Totally disagree","1992","Bavaria","Not Employed","38","0.0927354519975708","0.0654461081670551","0.120024795828087"
"Totally disagree","1992","Bavaria","Employed","53","0.065954109908822","0.0495179227973797","0.0823902970202643"
"Totally disagree","1992","Berlin","Not Employed","18","","",""
"Totally disagree","1992","Berlin","Employed","39","0.112022581884662","0.079842387901922","0.144202775867401"
"Totally disagree","1992","Brandenburg","Not Employed","17","","",""
"Totally disagree","1992","Brandenburg","Employed","39","0.0821923082733247","0.0577987561594149","0.106585860387235"
"Totally disagree","1992","Mecklenburg-Western Pomerania","Not Employed","12","","",""
"Totally disagree","1992","Mecklenburg-Western Pomerania","Employed","23","","",""
"Totally disagree","1992","Saxony","Not Employed","29","","",""
"Totally disagree","1992","Saxony","Employed","79","0.104945404002007","0.0843779729170171","0.125512835086996"
"Totally disagree","1992","Saxony-Anhalt","Not Employed","19","","",""
"Totally disagree","1992","Saxony-Anhalt","Employed","33","0.0590324614010526","0.0395469100035105","0.0785180127985947"
"Totally disagree","1992","Thuringia","Not Employed","13","","",""
"Totally disagree","1992","Thuringia","Employed","26","","",""
"True entirely","1993","Schleswig-Holstein","Not Employed","12","","",""
"True entirely","1993","Schleswig-Holstein","Employed","35","0.14534861809391","0.094697204295305","0.196000031892515"
"True entirely","1993","Hamburg","Not Employed","2","","",""
"True entirely","1993","Hamburg","Employed","8","","",""
"True entirely","1993","Lower Saxony","Not Employed","36","0.0950029995199527","0.0647556922143335","0.125250306825572"
"True entirely","1993","Lower Saxony","Employed","92","0.1352323635763","0.108270873737772","0.162193853414827"
"True entirely","1993","Bremen","Not Employed","10","","",""
"True entirely","1993","Bremen","Employed","8","","",""
"True entirely","1993","North Rhine-Westphalia","Not Employed","96","0.0951487151524314","0.0761987531406227","0.11409867716424"
"True entirely","1993","North Rhine-Westphalia","Employed","224","0.136325725442925","0.119470271238341","0.153181179647508"
"True entirely","1993","Hesse","Not Employed","31","0.1071549680254","0.0717382364793517","0.142571699571447"
"True entirely","1993","Hesse","Employed","81","0.108577078559603","0.0843985143451943","0.132755642774012"
"True entirely","1993","Rhineland-Palatinate,Saarland","Not Employed","20","","",""
"True entirely","1993","Rhineland-Palatinate,Saarland","Employed","37","0.0936208105385081","0.0645983807196241","0.122643240357392"
"True entirely","1993","Baden-Württemberg","Not Employed","50","0.0623677542440428","0.0418956720505592","0.0828398364375265"
"True entirely","1993","Baden-Württemberg","Employed","142","0.0979952669999367","0.0814539852644794","0.114536548735394"
"True entirely","1993","Bavaria","Not Employed","41","0.0824246572306725","0.058099436648807","0.106749877812538"
"True entirely","1993","Bavaria","Employed","127","0.123244925171378","0.104044866197173","0.142444984145584"
"True entirely","1993","Berlin","Not Employed","11","","",""
"True entirely","1993","Berlin","Employed","38","0.101204766926476","0.0719397436287684","0.130469790224183"
"True entirely","1993","Brandenburg","Not Employed","17","","",""
"True entirely","1993","Brandenburg","Employed","28","","",""
"True entirely","1993","Mecklenburg-Western Pomerania","Not Employed","11","","",""
"True entirely","1993","Mecklenburg-Western Pomerania","Employed","25","","",""
"True entirely","1993","Saxony","Not Employed","43","0.115832267015474","0.0836557966728687","0.148008737358079"
"True entirely","1993","Saxony","Employed","76","0.0964532473728217","0.0751256012796769","0.117780893465967"
"True entirely","1993","Saxony-Anhalt","Not Employed","26","","",""
"True entirely","1993","Saxony-Anhalt","Employed","50","0.106672683011679","0.0797756268935907","0.133569739129768"
"True entirely","1993","Thuringia","Not Employed","23","","",""
"True entirely","1993","Thuringia","Employed","50","0.108267753969959","0.0793007381993283","0.13723476974059"
"Tends to agree","1993","Schleswig-Holstein","Not Employed","39","0.39502658902442","0.299688001754011","0.490365176294829"
"Tends to agree","1993","Schleswig-Holstein","Employed","69","0.348244673683796","0.27977848465788","0.416710862709712"
"Tends to agree","1993","Hamburg","Not Employed","16","","",""
"Tends to agree","1993","Hamburg","Employed","47","0.530636981880904","0.424542738692913","0.636731225068895"
"Tends to agree","1993","Lower Saxony","Not Employed","139","0.340808640455736","0.291914643454935","0.389702637456536"
"Tends to agree","1993","Lower Saxony","Employed","288","0.470799201318042","0.431445828703273","0.510152573932811"
"Tends to agree","1993","Bremen","Not Employed","16","","",""
"Tends to agree","1993","Bremen","Employed","16","","",""
"Tends to agree","1993","North Rhine-Westphalia","Not Employed","364","0.397849891689728","0.36623947051321","0.429460312866246"
"Tends to agree","1993","North Rhine-Westphalia","Employed","726","0.453873234263549","0.429416944214395","0.478329524312703"
"Tends to agree","1993","Hesse","Not Employed","113","0.32446235601659","0.270855391390058","0.378069320643122"
"Tends to agree","1993","Hesse","Employed","282","0.426951451523135","0.388509583020945","0.465393320025324"
"Tends to agree","1993","Rhineland-Palatinate,Saarland","Not Employed","90","0.305434573475691","0.248567156921264","0.362301990030118"
"Tends to agree","1993","Rhineland-Palatinate,Saarland","Employed","168","0.401361487169373","0.352525183700262","0.450197790638484"
"Tends to agree","1993","Baden-Württemberg","Not Employed","184","0.299355132197663","0.260584041124379","0.338126223270947"
"Tends to agree","1993","Baden-Württemberg","Employed","516","0.392680173896825","0.365510125181701","0.419850222611949"
"Tends to agree","1993","Bavaria","Not Employed","195","0.386470994934668","0.343400154403161","0.429541835466174"
"Tends to agree","1993","Bavaria","Employed","498","0.427589882322624","0.398693314897197","0.45648644974805"
"Tends to agree","1993","Berlin","Not Employed","64","0.367866233405509","0.294508905308251","0.441223561502768"
"Tends to agree","1993","Berlin","Employed","178","0.421359062072951","0.373446570396853","0.469271553749048"
"Tends to agree","1993","Brandenburg","Not Employed","92","0.423497992242413","0.357141353460271","0.489854631024555"
