"plh0188","year","education","pgisced97","n","percent","lower_confidence","upper_confidence"
"True entirely","1990","lower secondary degree","in school","","","",""
"True entirely","1990","lower secondary degree","inadequately","","","",""
"True entirely","1990","lower secondary degree","general elemantary","56","0.179764865661172","0.137427274864025","0.22210245645832"
"True entirely","1990","lower secondary degree","middle vocational","254","0.213983416772955","0.191008005437669","0.23695882810824"
"True entirely","1990","lower secondary degree","vocational + Abi","","","",""
"True entirely","1990","lower secondary degree","higher vocational","19","","",""
"True entirely","1990","lower secondary degree","higher education","8","","",""
"True entirely","1990","secondary school degree","in school","","","",""
"True entirely","1990","secondary school degree","inadequately","","","",""
"True entirely","1990","secondary school degree","general elemantary","30","0.140600341901191","0.0900989702862668","0.191101713516115"
"True entirely","1990","secondary school degree","middle vocational","228","0.19207738031433","0.16999947542257","0.214155285206089"
"True entirely","1990","secondary school degree","vocational + Abi","","","",""
"True entirely","1990","secondary school degree","higher vocational","35","0.226725635597319","0.159940972764676","0.293510298429962"
"True entirely","1990","secondary school degree","higher education","62","0.124770313880721","0.0950524260005467","0.154488201760896"
"True entirely","1990","college entrance qualification","in school","","","",""
"True entirely","1990","college entrance qualification","inadequately","","","",""
"True entirely","1990","college entrance qualification","general elemantary","","","",""
"True entirely","1990","college entrance qualification","middle vocational","7","","",""
"True entirely","1990","college entrance qualification","vocational + Abi","17","","",""
"True entirely","1990","college entrance qualification","higher vocational","","","",""
"True entirely","1990","college entrance qualification","higher education","55","0.131602190934866","0.0987188455873734","0.164485536282359"
"True entirely","1990","Other degree","in school","","","",""
"True entirely","1990","Other degree","inadequately","","","",""
"True entirely","1990","Other degree","general elemantary","","","",""
"True entirely","1990","Other degree","middle vocational","8","","",""
"True entirely","1990","Other degree","vocational + Abi","","","",""
"True entirely","1990","Other degree","higher vocational","","","",""
"True entirely","1990","Other degree","higher education","1","","",""
"True entirely","1990","no degree/no degree yet","in school","6","","",""
"True entirely","1990","no degree/no degree yet","inadequately","1","","",""
"True entirely","1990","no degree/no degree yet","general elemantary","","","",""
"True entirely","1990","no degree/no degree yet","middle vocational","","","",""
"True entirely","1990","no degree/no degree yet","vocational + Abi","","","",""
"True entirely","1990","no degree/no degree yet","higher vocational","","","",""
"True entirely","1990","no degree/no degree yet","higher education","","","",""
"Tends to agree","1990","lower secondary degree","in school","","","",""
"Tends to agree","1990","lower secondary degree","inadequately","","","",""
"Tends to agree","1990","lower secondary degree","general elemantary","139","0.452838029791803","0.397955521946843","0.507720537636763"
"Tends to agree","1990","lower secondary degree","middle vocational","526","0.419964788281729","0.392315051528328","0.447614525035131"
"Tends to agree","1990","lower secondary degree","vocational + Abi","","","",""
"Tends to agree","1990","lower secondary degree","higher vocational","54","0.540921633752064","0.444214481582151","0.637628785921976"
"Tends to agree","1990","lower secondary degree","higher education","40","0.39012385191661","0.29726629898994","0.48298140484328"
"Tends to agree","1990","secondary school degree","in school","","","",""
"Tends to agree","1990","secondary school degree","inadequately","","","",""
"Tends to agree","1990","secondary school degree","general elemantary","90","0.521213596975424","0.448637907626842","0.593789286324006"
"Tends to agree","1990","secondary school degree","middle vocational","565","0.459536806567662","0.431606347429439","0.487467265705885"
"Tends to agree","1990","secondary school degree","vocational + Abi","","","",""
"Tends to agree","1990","secondary school degree","higher vocational","73","0.494659684192055","0.414914429575472","0.574404938808638"
"Tends to agree","1990","secondary school degree","higher education","217","0.452122783933067","0.407364739518758","0.496880828347377"
"Tends to agree","1990","college entrance qualification","in school","","","",""
"Tends to agree","1990","college entrance qualification","inadequately","","","",""
"Tends to agree","1990","college entrance qualification","general elemantary","","","",""
"Tends to agree","1990","college entrance qualification","middle vocational","18","","",""
"Tends to agree","1990","college entrance qualification","vocational + Abi","34","0.474512678780312","0.365089801835321","0.583935555725303"
"Tends to agree","1990","college entrance qualification","higher vocational","2","","",""
"Tends to agree","1990","college entrance qualification","higher education","162","0.407780940413551","0.359979638417745","0.455582242409357"
"Tends to agree","1990","Other degree","in school","","","",""
"Tends to agree","1990","Other degree","inadequately","","","",""
"Tends to agree","1990","Other degree","general elemantary","5","","",""
"Tends to agree","1990","Other degree","middle vocational","12","","",""
"Tends to agree","1990","Other degree","vocational + Abi","","","",""
"Tends to agree","1990","Other degree","higher vocational","2","","",""
"Tends to agree","1990","Other degree","higher education","2","","",""
"Tends to agree","1990","no degree/no degree yet","in school","16","","",""
"Tends to agree","1990","no degree/no degree yet","inadequately","9","","",""
"Tends to agree","1990","no degree/no degree yet","general elemantary","","","",""
"Tends to agree","1990","no degree/no degree yet","middle vocational","","","",""
"Tends to agree","1990","no degree/no degree yet","vocational + Abi","","","",""
"Tends to agree","1990","no degree/no degree yet","higher vocational","","","",""
"Tends to agree","1990","no degree/no degree yet","higher education","","","",""
"Rather not true","1990","lower secondary degree","in school","","","",""
"Rather not true","1990","lower secondary degree","inadequately","","","",""
"Rather not true","1990","lower secondary degree","general elemantary","97","0.285310578502679","0.235522867056507","0.335098289948852"
"Rather not true","1990","lower secondary degree","middle vocational","360","0.292195953302324","0.266718794080695","0.317673112523953"
"Rather not true","1990","lower secondary degree","vocational + Abi","","","",""
"Rather not true","1990","lower secondary degree","higher vocational","20","","",""
"Rather not true","1990","lower secondary degree","higher education","47","0.42635935842806","0.332213110857043","0.520505605999077"
"Rather not true","1990","secondary school degree","in school","","","",""
"Rather not true","1990","secondary school degree","inadequately","","","",""
"Rather not true","1990","secondary school degree","general elemantary","49","0.269085938521785","0.204655504428967","0.333516372614604"
"Rather not true","1990","secondary school degree","middle vocational","350","0.284219610184578","0.258941082223329","0.309498138145826"
"Rather not true","1990","secondary school degree","vocational + Abi","","","",""
"Rather not true","1990","secondary school degree","higher vocational","36","0.236647863665533","0.168856655460136","0.304439071870929"
"Rather not true","1990","secondary school degree","higher education","151","0.316107853422609","0.27429471777856","0.357920989066657"
"Rather not true","1990","college entrance qualification","in school","","","",""
"Rather not true","1990","college entrance qualification","inadequately","","","",""
"Rather not true","1990","college entrance qualification","general elemantary","","","",""
"Rather not true","1990","college entrance qualification","middle vocational","21","","",""
"Rather not true","1990","college entrance qualification","vocational + Abi","26","","",""
"Rather not true","1990","college entrance qualification","higher vocational","2","","",""
"Rather not true","1990","college entrance qualification","higher education","151","0.368910911560435","0.321976523448141","0.41584529967273"
"Rather not true","1990","Other degree","in school","","","",""
"Rather not true","1990","Other degree","inadequately","","","",""
"Rather not true","1990","Other degree","general elemantary","10","","",""
"Rather not true","1990","Other degree","middle vocational","11","","",""
"Rather not true","1990","Other degree","vocational + Abi","","","",""
"Rather not true","1990","Other degree","higher vocational","","","",""
"Rather not true","1990","Other degree","higher education","3","","",""
"Rather not true","1990","no degree/no degree yet","in school","6","","",""
"Rather not true","1990","no degree/no degree yet","inadequately","1","","",""
"Rather not true","1990","no degree/no degree yet","general elemantary","","","",""
"Rather not true","1990","no degree/no degree yet","middle vocational","2","","",""
"Rather not true","1990","no degree/no degree yet","vocational + Abi","","","",""
"Rather not true","1990","no degree/no degree yet","higher vocational","","","",""
"Rather not true","1990","no degree/no degree yet","higher education","","","",""
"Totally disagree","1990","lower secondary degree","in school","","","",""
"Totally disagree","1990","lower secondary degree","inadequately","","","",""
"Totally disagree","1990","lower secondary degree","general elemantary","24","","",""
"Totally disagree","1990","lower secondary degree","middle vocational","84","0.0738558416429921","0.0592041050016468","0.0885075782843375"
"Totally disagree","1990","lower secondary degree","vocational + Abi","","","",""
"Totally disagree","1990","lower secondary degree","higher vocational","9","","",""
"Totally disagree","1990","lower secondary degree","higher education","11","","",""
"Totally disagree","1990","secondary school degree","in school","","","",""
"Totally disagree","1990","secondary school degree","inadequately","","","",""
"Totally disagree","1990","secondary school degree","general elemantary","13","","",""
"Totally disagree","1990","secondary school degree","middle vocational","80","0.0641662029334305","0.050432508023367","0.077899897843494"
"Totally disagree","1990","secondary school degree","vocational + Abi","","","",""
"Totally disagree","1990","secondary school degree","higher vocational","7","","",""
"Totally disagree","1990","secondary school degree","higher education","45","0.106999048763603","0.0792008148317328","0.134797282695472"
"Totally disagree","1990","college entrance qualification","in school","","","",""
"Totally disagree","1990","college entrance qualification","inadequately","","","",""
"Totally disagree","1990","college entrance qualification","general elemantary","","","",""
"Totally disagree","1990","college entrance qualification","middle vocational","","","",""
"Totally disagree","1990","college entrance qualification","vocational + Abi","3","","",""
"Totally disagree","1990","college entrance qualification","higher vocational","","","",""
