"plh0188","year","sampreg","n","percent","lower_confidence","upper_confidence"
"True entirely","1990","West Germany","","","",""
"True entirely","1990","East Germany","789","0.180850340924988","0.169517507396631","0.192183174453345"
"Tends to agree","1990","West Germany","","","",""
"Tends to agree","1990","East Germany","1969","0.443361855995857","0.428734600042374","0.457989111949339"
"Rather not true","1990","West Germany","","","",""
"Rather not true","1990","East Germany","1349","0.30012322617235","0.286628694724623","0.313617757620077"
"Totally disagree","1990","West Germany","","","",""
"Totally disagree","1990","East Germany","324","0.075664576906805","0.0678777894908595","0.0834513643227506"
"True entirely","1991","West Germany","12","","",""
"True entirely","1991","East Germany","623","0.150526693947922","0.139635459536662","0.161417928359182"
"Tends to agree","1991","West Germany","17","","",""
"Tends to agree","1991","East Germany","1715","0.407431907961626","0.392466377136983","0.422397438786269"
"Rather not true","1991","West Germany","8","","",""
"Rather not true","1991","East Germany","1385","0.336344442296461","0.321954502679772","0.35073438191315"
"Totally disagree","1991","West Germany","1","","",""
"Totally disagree","1991","East Germany","418","0.105696955793991","0.0963327905260921","0.115061121061891"
"True entirely","1992","West Germany","1018","0.138619580670631","0.130536844698488","0.146702316642774"
"True entirely","1992","East Germany","547","0.138162345878634","0.127437825540258","0.14888686621701"
"Tends to agree","1992","West Germany","3356","0.464008729493747","0.452343573835553","0.475673885151942"
"Tends to agree","1992","East Germany","1820","0.444687312094473","0.429243074902767","0.46013154928618"
"Rather not true","1992","West Germany","2170","0.32359704286127","0.312653608800914","0.334540476921626"
"Rather not true","1992","East Germany","1285","0.323417426973577","0.308879167757917","0.337955686189238"
"Totally disagree","1992","West Germany","477","0.0737746469743517","0.0676601532054689","0.0798891407432345"
"Totally disagree","1992","East Germany","325","0.0937329150533155","0.0846746617547611","0.10279116835187"
"True entirely","1993","West Germany","1080","0.108593495286125","0.10226266440214","0.11492432617011"
"True entirely","1993","East Germany","370","0.0952976925276565","0.0859949092948358","0.104600475760477"
"Tends to agree","1993","West Germany","3899","0.400583888663745","0.390613046260587","0.410554731066903"
"Tends to agree","1993","East Germany","1692","0.421606800591964","0.405961487714447","0.437252113469482"
"Rather not true","1993","West Germany","3337","0.378721486180555","0.368851329506352","0.388591642854758"
"Rather not true","1993","East Germany","1379","0.362974381239193","0.347739632503019","0.378209129975368"
"Totally disagree","1993","West Germany","962","0.112101129869575","0.105681534523448","0.118520725215701"
"Totally disagree","1993","East Germany","386","0.120121125641186","0.109821059777373","0.130421191504999"
"True entirely","1994","West Germany","","","",""
"True entirely","1994","East Germany","","","",""
"Tends to agree","1994","West Germany","","","",""
"Tends to agree","1994","East Germany","","","",""
"Rather not true","1994","West Germany","","","",""
"Rather not true","1994","East Germany","","","",""
"Totally disagree","1994","West Germany","","","",""
"Totally disagree","1994","East Germany","","","",""
"True entirely","1995","West Germany","1539","0.148491120516619","0.141381378747765","0.155600862285474"
"True entirely","1995","East Germany","392","0.113011936334423","0.102802055074888","0.123221817593957"
"Tends to agree","1995","West Germany","5062","0.511602491191823","0.501607968930884","0.521597013452761"
"Tends to agree","1995","East Germany","1914","0.488660460936404","0.472540724619542","0.504780197253266"
"Rather not true","1995","West Germany","2542","0.282322904514885","0.273322819868497","0.291322989161272"
"Rather not true","1995","East Germany","1194","0.331369962980713","0.316190753433281","0.346549172528144"
"Totally disagree","1995","West Germany","466","0.0575834837766735","0.0529256991121546","0.0622412684411923"
