"plh0188","year","sampreg","sex","n","percent","lower_confidence","upper_confidence","value"
"Rather not true","1990","West Germany","Female","","","","","3"
"Rather not true","1990","East Germany","Male","611","0.286033285020557","0.266737471519354","0.305329098521759","3"
"Rather not true","1990","East Germany","Female","738","0.312667142275553","0.293819600953129","0.331514683597976","3"
"Rather not true","1990","West Germany","Male","","","","","3"
"Tends to agree","1990","West Germany","Male","","","","","2"
"Tends to agree","1990","East Germany","Male","953","0.453123106139672","0.431867733913929","0.474378478365415","2"
"Tends to agree","1990","West Germany","Female","","","","","2"
"Tends to agree","1990","East Germany","Female","1016","0.434671663357911","0.414517671859318","0.454825654856504","2"
"Totally disagree","1990","West Germany","Male","","","","","4"
"Totally disagree","1990","West Germany","Female","","","","","4"
"Totally disagree","1990","East Germany","Male","135","0.0661330197043966","0.0555217461673739","0.0767442932414194","4"
"Totally disagree","1990","East Germany","Female","189","0.0841502797633191","0.0728635034056323","0.0954370561210059","4"
"True entirely","1990","West Germany","Male","","","","","1"
"True entirely","1990","West Germany","Female","","","","","1"
"True entirely","1990","East Germany","Male","408","0.194710589135375","0.177802808568474","0.211618369702275","1"
"True entirely","1990","East Germany","Female","381","0.168510914603217","0.153292397965184","0.18372943124125","1"
"Rather not true","1991","East Germany","Female","773","0.352957978200072","0.332837125570071","0.373078830830073","3"
"Rather not true","1991","West Germany","Female","3","","","","3"
"Rather not true","1991","West Germany","Male","5","","","","3"
"Rather not true","1991","East Germany","Male","612","0.31815762307467","0.297611131316996","0.338704114832344","3"
"Tends to agree","1991","West Germany","Male","9","","","","2"
"Tends to agree","1991","East Germany","Male","848","0.425246343694729","0.40343734721884","0.447055340170617","2"
"Tends to agree","1991","West Germany","Female","8","","","","2"
"Tends to agree","1991","East Germany","Female","867","0.391158541847124","0.370611601819388","0.41170548187486","2"
"Totally disagree","1991","West Germany","Male","1","","","","4"
"Totally disagree","1991","West Germany","Female","","","","","4"
"Totally disagree","1991","East Germany","Male","182","0.0938863228258777","0.0810196272828749","0.10675301836888","4"
"Totally disagree","1991","East Germany","Female","236","0.116485888837601","0.102978791193013","0.129992986482188","4"
"True entirely","1991","West Germany","Female","6","","","","1"
"True entirely","1991","West Germany","Male","6","","","","1"
"True entirely","1991","East Germany","Male","332","0.162709710404724","0.146427278139839","0.178992142669609","1"
"True entirely","1991","East Germany","Female","291","0.139397591115204","0.124814568526458","0.15398061370395","1"
"Rather not true","1992","West Germany","Male","927","0.291890761997728","0.27645169400077","0.307329829994687","3"
"Rather not true","1992","East Germany","Female","700","0.334920570574005","0.314671992289634","0.355169148858376","3"
"Rather not true","1992","West Germany","Female","1243","0.352054547805401","0.336644318171385","0.367464777439418","3"
"Rather not true","1992","East Germany","Male","585","0.310926722496839","0.290058814300048","0.33179463069363","3"
"Tends to agree","1992","West Germany","Male","1657","0.487480070856823","0.470505664833146","0.5044544768805","2"
"Tends to agree","1992","West Germany","Female","1699","0.442942373090743","0.426915138847173","0.458969607334314","2"
"Tends to agree","1992","East Germany","Male","871","0.452093159676819","0.429655140329197","0.474531179024441","2"
"Tends to agree","1992","East Germany","Female","949","0.437866997965574","0.41658180877291","0.459152187158239","2"
"Totally disagree","1992","West Germany","Male","214","0.0662876283235172","0.0578390512232707","0.0747362054237637","4"
"Totally disagree","1992","West Germany","Female","263","0.0804945101834713","0.0717165177492488","0.0892725026176938","4"
"Totally disagree","1992","East Germany","Male","150","0.0906568366231404","0.0777124530896752","0.103601220156606","4"
"Totally disagree","1992","East Germany","Female","175","0.0965657874484938","0.0838937404154871","0.1092378344815","4"
"True entirely","1992","West Germany","Female","485","0.124508568920384","0.113855849741427","0.135161288099342","1"
"True entirely","1992","West Germany","Male","533","0.154341538821932","0.142072806620082","0.166610271023781","1"
"True entirely","1992","East Germany","Male","284","0.146323281203202","0.13038943490911","0.162257127497294","1"
"True entirely","1992","East Germany","Female","263","0.130646644011927","0.116187780333665","0.145105507690188","1"
"Rather not true","1993","West Germany","Male","1562","0.364667714927879","0.350674088766242","0.378661341089515","3"
"Rather not true","1993","East Germany","Female","760","0.386154718084211","0.364875670314067","0.407433765854355","3"
"Rather not true","1993","West Germany","Female","1775","0.3917573687966","0.377850580163141","0.405664157430059","3"
"Rather not true","1993","East Germany","Male","619","0.337851321153161","0.31609774121058","0.359604901095741","3"
"Tends to agree","1993","West Germany","Male","1974","0.414717860926757","0.400394657744322","0.429041064109191","2"
"Tends to agree","1993","West Germany","Female","1925","0.387473613848082","0.373594449886669","0.401352777809495","2"
"Tends to agree","1993","East Germany","Male","860","0.457215278448955","0.434303207606742","0.480127349291168","2"
"Tends to agree","1993","East Germany","Female","832","0.388751865387542","0.367446593928862","0.410057136846221","2"
"Totally disagree","1993","West Germany","Male","463","0.107676613574935","0.0986649913136878","0.116688235836183","4"
"Totally disagree","1993","West Germany","Female","499","0.116205186639299","0.107075238317042","0.125335134961556","4"
"Totally disagree","1993","East Germany","Female","225","0.130101706214523","0.115398305567712","0.144805106861335","4"
"Totally disagree","1993","East Germany","Male","161","0.109304081561374","0.0949533814269014","0.123654781695847","4"
"True entirely","1993","East Germany","Female","194","0.094991710313724","0.0821769293346634","0.107806491292785","1"
"True entirely","1993","West Germany","Female","534","0.104563830716019","0.0958464121747449","0.113281249257294","1"
"True entirely","1993","West Germany","Male","546","0.112937810570429","0.103735903069257","0.122139718071601","1"
"True entirely","1993","East Germany","Male","176","0.0956293188365097","0.0821036441631777","0.109154993509842","1"
"Rather not true","1994","East Germany","Female","","","","","3"
"Rather not true","1994","West Germany","Male","","","","","3"
"Rather not true","1994","West Germany","Female","","","","","3"
"Rather not true","1994","East Germany","Male","","","","","3"
"Tends to agree","1994","West Germany","Male","","","","","2"
"Tends to agree","1994","West Germany","Female","","","","","2"
"Tends to agree","1994","East Germany","Male","","","","","2"
"Tends to agree","1994","East Germany","Female","","","","","2"
"Totally disagree","1994","West Germany","Male","","","","","4"
"Totally disagree","1994","West Germany","Female","","","","","4"
"Totally disagree","1994","East Germany","Male","","","","","4"
"Totally disagree","1994","East Germany","Female","","","","","4"
"True entirely","1994","East Germany","Female","","","","","1"
"True entirely","1994","West Germany","Male","","","","","1"
"True entirely","1994","West Germany","Female","","","","","1"
"True entirely","1994","East Germany","Male","","","","","1"
"Rather not true","1995","East Germany","Female","683","0.358272878765006","0.336958036431608","0.379587721098405","3"
"Rather not true","1995","West Germany","Male","1208","0.276958175303651","0.264108547732458","0.289807802874844","3"
"Rather not true","1995","East Germany","Male","511","0.301954481863687","0.280444419067557","0.323464544659818","3"
"Rather not true","1995","West Germany","Female","1334","0.287242691499426","0.274637750276835","0.299847632722017","3"
"Tends to agree","1995","West Germany","Male","2457","0.519017460306417","0.504670583289299","0.533364337323535","2"
"Tends to agree","1995","West Germany","Female","2605","0.504802507985891","0.490874292995524","0.518730722976259","2"
"Tends to agree","1995","East Germany","Male","943","0.503184051362401","0.479758476086516","0.526609626638285","2"
"Tends to agree","1995","East Germany","Female","971","0.47537742373019","0.453177947650497","0.497576899809882","2"
"Totally disagree","1995","West Germany","Female","250","0.0625846663692805","0.0558371260420795","0.0693322066964814","4"
"Totally disagree","1995","West Germany","Male","216","0.0521299975933131","0.0457470691191657","0.0585129260674605","4"
"Totally disagree","1995","East Germany","Male","84","0.0635323317538355","0.0521042626423431","0.0749604008653279","4"
"Totally disagree","1995","East Germany","Female","110","0.0700903701684741","0.0587415814675789","0.0814391588693692","4"
"True entirely","1995","East Germany","Female","180","0.09625932733633","0.0831481018632021","0.109370552809458","1"
"True entirely","1995","West Germany","Male","778","0.151894366796619","0.141588191059747","0.162200542533491","1"
"True entirely","1995","East Germany","Male","212","0.131329135020077","0.115504371222059","0.147153898818094","1"
"True entirely","1995","West Germany","Female","761","0.145370134145402","0.135551024266556","0.155189244024248","1"
"Rather not true","1996","East Germany","Male","623","0.35649545879748","0.334086981844997","0.378903935749963","3"
"Rather not true","1996","West Germany","Female","1487","0.328106693322484","0.314895398106678","0.341317988538291","3"
"Rather not true","1996","East Germany","Female","711","0.377917145476547","0.356307767307702","0.399526523645393","3"
"Rather not true","1996","West Germany","Male","1285","0.304884582984306","0.29149052922515","0.318278636743462","3"
"Tends to agree","1996","West Germany","Female","2366","0.471741904732821","0.457695570327073","0.485788239138569","2"
"Tends to agree","1996","East Germany","Male","852","0.465960964345208","0.442622579347963","0.489299349342453","2"
"Tends to agree","1996","West Germany","Male","2311","0.511160001857949","0.496616210231164","0.525703793484733","2"
"Tends to agree","1996","East Germany","Female","922","0.439941382487942","0.417818892574196","0.462063872401688","2"
"Totally disagree","1996","West Germany","Female","284","0.0664204596446309","0.0594137471745429","0.073427172114719","4"
"Totally disagree","1996","West Germany","Male","225","0.0481390650442937","0.04191102462333","0.0543671054652574","4"
"Totally disagree","1996","East Germany","Female","142","0.0872425868889248","0.0746660286028984","0.0998191451749513","4"
"Totally disagree","1996","East Germany","Male","111","0.0724852712503017","0.0603543209832784","0.084616221517325","4"
"True entirely","1996","East Germany","Female","159","0.094898885146586","0.0818372075051661","0.107960562788006","1"
"True entirely","1996","West Germany","Male","717","0.135816350113451","0.125848651558358","0.145784048668545","1"
"True entirely","1996","East Germany","Male","169","0.10505830560701","0.0907125939434472","0.119404017270573","1"
"True entirely","1996","West Germany","Female","715","0.133730942300063","0.124153929930519","0.143307954669607","1"
"Rather not true","1997","East Germany","Male","791","0.450768351764238","0.42744280339413","0.474093900134345","3"
"Rather not true","1997","West Germany","Female","1759","0.378487752803591","0.364693513138357","0.392281992468824","3"
"Rather not true","1997","East Germany","Female","931","0.491284049811291","0.468787369589435","0.513780730033147","3"
"Rather not true","1997","West Germany","Male","1619","0.375848204682646","0.361641651826541","0.390054757538752","3"
"Tends to agree","1997","West Germany","Female","2095","0.421725354656023","0.40768012199446","0.435770587317587","2"
"Tends to agree","1997","East Germany","Male","663","0.357804016187601","0.335332427608153","0.380275604767049","2"
"Tends to agree","1997","West Germany","Male","1973","0.427306760524084","0.412796731886601","0.441816789161567","2"
"Tends to agree","1997","East Germany","Female","641","0.315275053719251","0.294366821977669","0.336183285460833","2"
"Totally disagree","1997","West Germany","Female","451","0.111961418344309","0.102993386963753","0.120929449724866","4"
"Totally disagree","1997","West Germany","Male","397","0.10239735489712","0.0935048566066994","0.111289853187541","4"
"Totally disagree","1997","East Germany","Female","224","0.135366597073322","0.119971366913605","0.15076182723304","4"
"Totally disagree","1997","East Germany","Male","204","0.130628499334478","0.114830610796431","0.146426387872526","4"
"True entirely","1997","East Germany","Female","101","0.0580742993961352","0.0475494779050181","0.0685991208872523","1"
"True entirely","1997","West Germany","Male","476","0.0944476798961493","0.0858696060587062","0.103025753733592","1"
"True entirely","1997","West Germany","Female","444","0.0878254741960768","0.0797754677580325","0.095875480634121","1"
"True entirely","1997","East Germany","Male","90","0.060799132713683","0.0495968814013636","0.0720013840260023","1"
"Rather not true","1998","West Germany","Male","","","","","3"
"Rather not true","1998","East Germany","Male","","","","","3"
"Rather not true","1998","West Germany","Female","","","","","3"
"Rather not true","1998","East Germany","Female","","","","","3"
"Tends to agree","1998","East Germany","Male","","","","","2"
"Tends to agree","1998","West Germany","Female","","","","","2"
"Tends to agree","1998","West Germany","Male","","","","","2"
"Tends to agree","1998","East Germany","Female","","","","","2"
"Totally disagree","1998","West Germany","Female","","","","","4"
"Totally disagree","1998","West Germany","Male","","","","","4"
"Totally disagree","1998","East Germany","Male","","","","","4"
"Totally disagree","1998","East Germany","Female","","","","","4"
"True entirely","1998","West Germany","Male","","","","","1"
"True entirely","1998","West Germany","Female","","","","","1"
"True entirely","1998","East Germany","Male","","","","","1"
"True entirely","1998","East Germany","Female","","","","","1"
"Rather not true","1999","West Germany","Male","","","","","3"
"Rather not true","1999","East Germany","Male","","","","","3"
"Rather not true","1999","West Germany","Female","","","","","3"
"Rather not true","1999","East Germany","Female","","","","","3"
"Tends to agree","1999","West Germany","Female","","","","","2"
"Tends to agree","1999","East Germany","Male","","","","","2"
"Tends to agree","1999","West Germany","Male","","","","","2"
"Tends to agree","1999","East Germany","Female","","","","","2"
"Totally disagree","1999","West Germany","Female","","","","","4"
"Totally disagree","1999","West Germany","Male","","","","","4"
"Totally disagree","1999","East Germany","Male","","","","","4"
"Totally disagree","1999","East Germany","Female","","","","","4"
"True entirely","1999","East Germany","Male","","","","","1"
"True entirely","1999","West Germany","Male","","","","","1"
"True entirely","1999","West Germany","Female","","","","","1"
"True entirely","1999","East Germany","Female","","","","","1"
"Rather not true","2000","West Germany","Male","","","","","3"
"Rather not true","2000","East Germany","Male","","","","","3"
"Rather not true","2000","West Germany","Female","","","","","3"
"Rather not true","2000","East Germany","Female","","","","","3"
"Tends to agree","2000","West Germany","Female","","","","","2"
"Tends to agree","2000","West Germany","Male","","","","","2"
"Tends to agree","2000","East Germany","Male","","","","","2"
"Tends to agree","2000","East Germany","Female","","","","","2"
"Totally disagree","2000","West Germany","Female","","","","","4"
"Totally disagree","2000","West Germany","Male","","","","","4"
"Totally disagree","2000","East Germany","Male","","","","","4"
"Totally disagree","2000","East Germany","Female","","","","","4"
"True entirely","2000","East Germany","Male","","","","","1"
"True entirely","2000","West Germany","Male","","","","","1"
"True entirely","2000","West Germany","Female","","","","","1"
"True entirely","2000","East Germany","Female","","","","","1"
"Rather not true","2001","West Germany","Male","","","","","3"
"Rather not true","2001","East Germany","Female","","","","","3"
"Rather not true","2001","West Germany","Female","","","","","3"
"Rather not true","2001","East Germany","Male","","","","","3"
"Tends to agree","2001","West Germany","Female","","","","","2"
"Tends to agree","2001","West Germany","Male","","","","","2"
"Tends to agree","2001","East Germany","Male","","","","","2"
"Tends to agree","2001","East Germany","Female","","","","","2"
"Totally disagree","2001","West Germany","Male","","","","","4"
