"plh0188","year","education","migback","n","percent","lower_confidence","upper_confidence"
"True entirely","1990","lower secondary degree","no migration background","323","0.196481700353057","0.177407812226997","0.215555588479116"
"True entirely","1990","lower secondary degree","direct migration background","14","","",""
"True entirely","1990","lower secondary degree","indirect migration background","","","",""
"True entirely","1990","secondary school degree","no migration background","352","0.175691403167075","0.159017214278037","0.192365592056113"
"True entirely","1990","secondary school degree","direct migration background","3","","",""
"True entirely","1990","secondary school degree","indirect migration background","","","",""
"True entirely","1990","college entrance qualification","no migration background","77","0.147673812828775","0.117003289127848","0.178344336529703"
"True entirely","1990","college entrance qualification","direct migration background","2","","",""
"True entirely","1990","college entrance qualification","indirect migration background","","","",""
"True entirely","1990","Other degree","no migration background","8","","",""
"True entirely","1990","Other degree","direct migration background","1","","",""
"True entirely","1990","Other degree","indirect migration background","","","",""
"True entirely","1990","no degree/no degree yet","no migration background","7","","",""
"True entirely","1990","no degree/no degree yet","direct migration background","","","",""
"True entirely","1990","no degree/no degree yet","indirect migration background","","","",""
"Tends to agree","1990","lower secondary degree","no migration background","718","0.43014523774761","0.406378479881175","0.453911995614046"
"Tends to agree","1990","lower secondary degree","direct migration background","40","0.478648857399942","0.36918348077426","0.588114234025624"
"Tends to agree","1990","lower secondary degree","indirect migration background","1","","",""
"Tends to agree","1990","secondary school degree","no migration background","926","0.46293580480176","0.441088491711926","0.484783117891594"
"Tends to agree","1990","secondary school degree","direct migration background","19","","",""
"Tends to agree","1990","secondary school degree","indirect migration background","","","",""
"Tends to agree","1990","college entrance qualification","no migration background","207","0.414243662877031","0.371659024261352","0.456828301492709"
"Tends to agree","1990","college entrance qualification","direct migration background","9","","",""
"Tends to agree","1990","college entrance qualification","indirect migration background","","","",""
"Tends to agree","1990","Other degree","no migration background","16","","",""
"Tends to agree","1990","Other degree","direct migration background","5","","",""
"Tends to agree","1990","Other degree","indirect migration background","","","",""
"Tends to agree","1990","no degree/no degree yet","no migration background","21","","",""
"Tends to agree","1990","no degree/no degree yet","direct migration background","4","","",""
"Tends to agree","1990","no degree/no degree yet","indirect migration background","","","",""
"Rather not true","1990","lower secondary degree","no migration background","502","0.29404209059371","0.272170798221827","0.315913382965594"
"Rather not true","1990","lower secondary degree","direct migration background","22","","",""
"Rather not true","1990","lower secondary degree","indirect migration background","","","",""
"Rather not true","1990","secondary school degree","no migration background","578","0.287365813265974","0.267537972461748","0.307193654070199"
"Rather not true","1990","secondary school degree","direct migration background","7","","",""
"Rather not true","1990","secondary school degree","indirect migration background","1","","",""
"Rather not true","1990","college entrance qualification","no migration background","191","0.363838937625964","0.322247430223506","0.405430445028422"
"Rather not true","1990","college entrance qualification","direct migration background","9","","",""
"Rather not true","1990","college entrance qualification","indirect migration background","","","",""
"Rather not true","1990","Other degree","no migration background","23","","",""
"Rather not true","1990","Other degree","direct migration background","1","","",""
"Rather not true","1990","Other degree","indirect migration background","","","",""
"Rather not true","1990","no degree/no degree yet","no migration background","9","","",""
"Rather not true","1990","no degree/no degree yet","direct migration background","","","",""
