"pli0081","year","migback","sampreg","n","percent","lower_confidence","upper_confidence","value"
"Daily","1990","no migration background","West Germany","432","0.0653638647167754","0.0594210697952315","0.0713066596383193","1"
"Daily","1990","no migration background","East Germany","","","","","1"
"Daily","1990","direct migration background","West Germany","254","0.0835183247241508","0.0727505429208903","0.0942861065274114","1"
"Daily","1990","direct migration background","East Germany","","","","","1"
"Daily","1990","indirect migration background","West Germany","28","","","","1"
"Daily","1990","indirect migration background","East Germany","","","","","1"
"Min 1x per month","1990","no migration background","East Germany","","","","","3"
"Min 1x per month","1990","no migration background","West Germany","2190","0.32566306658947","0.314395676619451","0.336930456559489","3"
"Min 1x per month","1990","direct migration background","West Germany","493","0.234393964087076","0.217906671210571","0.25088125696358","3"
"Min 1x per month","1990","direct migration background","East Germany","","","","","3"
"Min 1x per month","1990","indirect migration background","West Germany","60","0.30000893606814","0.247626249417603","0.352391622718677","3"
"Min 1x per month","1990","indirect migration background","East Germany","","","","","3"
"Min 1x per week","1990","no migration background","East Germany","","","","","2"
"Min 1x per week","1990","no migration background","West Germany","2369","0.35433754214683","0.342837168519116","0.365837915774544","2"
"Min 1x per week","1990","direct migration background","West Germany","1038","0.367318803250799","0.348556441271612","0.386081165229987","2"
"Min 1x per week","1990","direct migration background","East Germany","","","","","2"
"Min 1x per week","1990","indirect migration background","West Germany","128","0.35180812641889","0.297222392950356","0.406393859887425","2"
"Min 1x per week","1990","indirect migration background","East Germany","","","","","2"
"Never","1990","no migration background","West Germany","130","0.0217555407179727","0.0182479473708359","0.0252631340651094","5"
"Never","1990","no migration background","East Germany","","","","","5"
"Never","1990","direct migration background","West Germany","232","0.0775798821746832","0.0671684036563796","0.0879913606929868","5"
"Never","1990","direct migration background","East Germany","","","","","5"
"Never","1990","indirect migration background","West Germany","19","","","","5"
"Never","1990","indirect migration background","East Germany","","","","","5"
"Rarely","1990","no migration background","East Germany","","","","","4"
"Rarely","1990","direct migration background","West Germany","519","0.237189025763291","0.220634024117507","0.253744027409075","4"
"Rarely","1990","no migration background","West Germany","1524","0.232879985828951","0.222717537786189","0.243042433871713","4"
"Rarely","1990","indirect migration background","West Germany","59","0.205750250552741","0.159541613876059","0.251958887229422","4"
"Rarely","1990","direct migration background","East Germany","","","","","4"
"Rarely","1990","indirect migration background","East Germany","","","","","4"
"Daily","1991","no migration background","West Germany","","","","","1"
"Daily","1991","no migration background","East Germany","","","","","1"
"Daily","1991","direct migration background","West Germany","","","","","1"
"Daily","1991","direct migration background","East Germany","","","","","1"
"Daily","1991","indirect migration background","West Germany","","","","","1"
"Daily","1991","indirect migration background","East Germany","","","","","1"
"Min 1x per month","1991","no migration background","East Germany","","","","","3"
"Min 1x per month","1991","no migration background","West Germany","","","","","3"
"Min 1x per month","1991","direct migration background","West Germany","","","","","3"
"Min 1x per month","1991","direct migration background","East Germany","","","","","3"
"Min 1x per month","1991","indirect migration background","West Germany","","","","","3"
"Min 1x per month","1991","indirect migration background","East Germany","","","","","3"
"Min 1x per week","1991","no migration background","West Germany","","","","","2"
"Min 1x per week","1991","no migration background","East Germany","","","","","2"
"Min 1x per week","1991","direct migration background","West Germany","","","","","2"
"Min 1x per week","1991","direct migration background","East Germany","","","","","2"
"Min 1x per week","1991","indirect migration background","West Germany","","","","","2"
"Min 1x per week","1991","indirect migration background","East Germany","","","","","2"
"Never","1991","no migration background","West Germany","","","","","5"
"Never","1991","no migration background","East Germany","","","","","5"
"Never","1991","direct migration background","West Germany","","","","","5"
"Never","1991","direct migration background","East Germany","","","","","5"
"Never","1991","indirect migration background","West Germany","","","","","5"
"Never","1991","indirect migration background","East Germany","","","","","5"
"Rarely","1991","no migration background","East Germany","","","","","4"
"Rarely","1991","no migration background","West Germany","","","","","4"
"Rarely","1991","direct migration background","West Germany","","","","","4"
"Rarely","1991","direct migration background","East Germany","","","","","4"
"Rarely","1991","indirect migration background","West Germany","","","","","4"
"Rarely","1991","indirect migration background","East Germany","","","","","4"
"Daily","1992","no migration background","West Germany","","","","","1"
"Daily","1992","no migration background","East Germany","","","","","1"
"Daily","1992","direct migration background","West Germany","","","","","1"
"Daily","1992","direct migration background","East Germany","","","","","1"
"Daily","1992","indirect migration background","West Germany","","","","","1"
"Daily","1992","indirect migration background","East Germany","","","","","1"
"Min 1x per month","1992","no migration background","East Germany","","","","","3"
"Min 1x per month","1992","no migration background","West Germany","","","","","3"
"Min 1x per month","1992","direct migration background","West Germany","","","","","3"
"Min 1x per month","1992","direct migration background","East Germany","","","","","3"
"Min 1x per month","1992","indirect migration background","West Germany","","","","","3"
"Min 1x per month","1992","indirect migration background","East Germany","","","","","3"
"Min 1x per week","1992","no migration background","West Germany","","","","","2"
"Min 1x per week","1992","direct migration background","West Germany","","","","","2"
"Min 1x per week","1992","no migration background","East Germany","","","","","2"
"Min 1x per week","1992","indirect migration background","West Germany","","","","","2"
"Min 1x per week","1992","direct migration background","East Germany","","","","","2"
"Min 1x per week","1992","indirect migration background","East Germany","","","","","2"
"Never","1992","no migration background","West Germany","","","","","5"
"Never","1992","no migration background","East Germany","","","","","5"
"Never","1992","direct migration background","West Germany","","","","","5"
