"pli0081","year","e11102","education","n","percent","lower_confidence","upper_confidence"
"Daily","1990","Not Employed","lower secondary degree","180","0.0987536451423634","0.0849831817260245","0.112524108558702"
"Daily","1990","Not Employed","secondary school degree","30","0.0681855227301184","0.045175955931109","0.0911950895291278"
"Daily","1990","Not Employed","college entrance qualification","13","","",""
"Daily","1990","Not Employed","Other degree","24","","",""
"Daily","1990","Not Employed","no degree/no degree yet","47","0.0816835305631713","0.0557666407740494","0.107600420352293"
"Daily","1990","Employed","lower secondary degree","210","0.0668185824144136","0.0574567697785376","0.0761803950502897"
"Daily","1990","Employed","secondary school degree","68","0.0501317670575023","0.037891850776594","0.0623716833384105"
"Daily","1990","Employed","college entrance qualification","21","","",""
"Daily","1990","Employed","Other degree","58","0.0628463820325865","0.0455009666620932","0.0801917974030797"
"Daily","1990","Employed","no degree/no degree yet","45","0.0856076657169836","0.0585257876414945","0.112689543792473"
"Min 1x per week","1990","Not Employed","lower secondary degree","677","0.370913795476844","0.348617033297971","0.393210557655717"
"Min 1x per week","1990","Not Employed","secondary school degree","151","0.319038646977992","0.2764905139737","0.361586779982284"
"Min 1x per week","1990","Not Employed","college entrance qualification","92","0.30405987553218","0.253421011483545","0.354698739580816"
"Min 1x per week","1990","Not Employed","Other degree","101","0.37948913507234","0.319812324938111","0.439165945206568"
"Min 1x per week","1990","Not Employed","no degree/no degree yet","155","0.258920260207006","0.217469267824142","0.300371252589871"
"Min 1x per week","1990","Employed","lower secondary degree","1055","0.362519943463428","0.344496924975067","0.380542961951788"
"Min 1x per week","1990","Employed","secondary school degree","468","0.376926444414484","0.34974401790072","0.404108870928249"
"Min 1x per week","1990","Employed","college entrance qualification","292","0.340531503268534","0.309327745002707","0.371735261534361"
"Min 1x per week","1990","Employed","Other degree","289","0.322698538375637","0.289284522370669","0.356112554380606"
"Min 1x per week","1990","Employed","no degree/no degree yet","168","0.373197511562532","0.326381879816762","0.420013143308302"
"Min 1x per month","1990","Not Employed","lower secondary degree","559","0.300797761735406","0.279629317898612","0.3219662055722"
"Min 1x per month","1990","Not Employed","secondary school degree","158","0.340738448881623","0.297473412492475","0.38400348527077"
"Min 1x per month","1990","Not Employed","college entrance qualification","102","0.327740254924921","0.276068655264191","0.379411854585652"
"Min 1x per month","1990","Not Employed","Other degree","35","0.128679097879384","0.0875002394604279","0.16985795629834"
"Min 1x per month","1990","Not Employed","no degree/no degree yet","103","0.30577769206877","0.262179184142009","0.34937619999553"
"Min 1x per month","1990","Employed","lower secondary degree","823","0.323357781542785","0.305821016662211","0.34089454642336"
"Min 1x per month","1990","Employed","secondary school degree","401","0.336007724989524","0.309513793831834","0.362501656147214"
"Min 1x per month","1990","Employed","college entrance qualification","293","0.331334081162349","0.300340705579432","0.362327456745266"
"Min 1x per month","1990","Employed","Other degree","151","0.235341417417544","0.205021910310984","0.265660924524105"
"Min 1x per month","1990","Employed","no degree/no degree yet","77","0.21267413871345","0.173065422858542","0.252282854568358"
"Rarely","1990","Not Employed","lower secondary degree","339","0.20185657384483","0.183329273284412","0.220383874405248"
"Rarely","1990","Not Employed","secondary school degree","110","0.24356438440604","0.204382032185639","0.28274673662644"
"Rarely","1990","Not Employed","college entrance qualification","97","0.283029606295058","0.233440645772469","0.332618566817648"
"Rarely","1990","Not Employed","Other degree","60","0.260895706187759","0.206892746660069","0.31489866571545"
"Rarely","1990","Not Employed","no degree/no degree yet","89","0.29035261941555","0.247398618590328","0.333306620240772"
"Rarely","1990","Employed","lower secondary degree","583","0.229675762271323","0.213906091016892","0.245445433525754"
"Rarely","1990","Employed","secondary school degree","265","0.223070235569811","0.199719425474979","0.246421045664643"
"Rarely","1990","Employed","college entrance qualification","265","0.286146868383227","0.256387057758387","0.315906679008066"
"Rarely","1990","Employed","Other degree","168","0.253932065746626","0.222822988390147","0.285041143103105"
"Rarely","1990","Employed","no degree/no degree yet","75","0.19520170794561","0.156836152310369","0.23356726358085"
