"pli0081","year","e11102","pgisced97","n","percent","lower_confidence","upper_confidence","value"
"Daily","1990","Not Employed","in school","11","","","","1"
"Daily","1990","Not Employed","inadequately","34","0.139555665956615","0.0980683040025155","0.181043027910715","1"
"Daily","1990","Not Employed","general elemantary","116","0.11390511615574","0.0949840504938061","0.132826181817674","1"
"Daily","1990","Not Employed","middle vocational","112","0.0735527485912891","0.0599849904057148","0.0871205067768633","1"
"Daily","1990","Not Employed","vocational + Abi","5","","","","1"
"Daily","1990","Not Employed","higher vocational","10","","","","1"
"Daily","1990","Not Employed","higher education","7","","","","1"
"Daily","1990","Employed","in school","1","","","","1"
"Daily","1990","Employed","inadequately","44","0.0913327917612751","0.0618191132279178","0.120846470294632","1"
"Daily","1990","Employed","general elemantary","132","0.0870402280551402","0.0721995991085136","0.101880857001767","1"
"Daily","1990","Employed","middle vocational","194","0.0529079255484489","0.0450633186257176","0.0607525324711801","1"
"Daily","1990","Employed","vocational + Abi","4","","","","1"
"Daily","1990","Employed","higher vocational","19","","","","1"
"Daily","1990","Employed","higher education","14","","","","1"
"Min 1x per month","1990","Not Employed","in school","51","0.409247656255488","0.329490898615625","0.489004413895351","3"
"Min 1x per month","1990","Not Employed","inadequately","48","0.168377295661794","0.123576510248461","0.213178081075127","3"
"Min 1x per month","1990","Not Employed","general elemantary","310","0.309674156085708","0.282137359888751","0.337210952282665","3"
"Min 1x per month","1990","Not Employed","middle vocational","435","0.300974799973805","0.277134606460512","0.324814993487098","3"
"Min 1x per month","1990","Not Employed","vocational + Abi","18","","","","3"
"Min 1x per month","1990","Not Employed","higher vocational","51","0.331571126934061","0.253025049556751","0.410117204311371","3"
"Min 1x per month","1990","Not Employed","higher education","46","0.33376163240878","0.253620533056398","0.413902731761163","3"
"Min 1x per month","1990","Employed","in school","4","","","","3"
"Min 1x per month","1990","Employed","inadequately","69","0.217193740474834","0.174950391052911","0.259437089896757","3"
"Min 1x per month","1990","Employed","general elemantary","341","0.290205446148574","0.266311626216882","0.314099266080267","3"
"Min 1x per month","1990","Employed","middle vocational","951","0.326518980516597","0.310085422019554","0.34295253901364","3"
"Min 1x per month","1990","Employed","vocational + Abi","72","0.384559117498326","0.31860382126258","0.450514413734072","3"
"Min 1x per month","1990","Employed","higher vocational","136","0.355276331415655","0.306836524652843","0.403716138178468","3"
"Min 1x per month","1990","Employed","higher education","182","0.32609448819513","0.287440429619792","0.364748546770467","3"
"Min 1x per week","1990","Not Employed","general elemantary","418","0.364756097570624","0.336087569497481","0.393424625643768","2"
"Min 1x per week","1990","Not Employed","in school","34","0.187082900736493","0.123825427552905","0.250340373920081","2"
"Min 1x per week","1990","Not Employed","inadequately","119","0.390171389539341","0.331771462840752","0.448571316237931","2"
"Min 1x per week","1990","Not Employed","middle vocational","506","0.356759038289284","0.331860569970943","0.381657506607625","2"
"Min 1x per week","1990","Not Employed","vocational + Abi","29","","","","2"
"Min 1x per week","1990","Not Employed","higher vocational","39","0.315541818112409","0.238004554656771","0.393079081568047","2"
"Min 1x per week","1990","Not Employed","higher education","36","0.297878325782049","0.220155619799534","0.375601031764563","2"
"Min 1x per week","1990","Employed","in school","5","","","","2"
"Min 1x per week","1990","Employed","inadequately","148","0.369250693951327","0.319808629193418","0.418692758709235","2"
"Min 1x per week","1990","Employed","general elemantary","531","0.348934491311927","0.32384159625182","0.374027386372033","2"
"Min 1x per week","1990","Employed","middle vocational","1221","0.374054206451263","0.357097154412813","0.391011258489713","2"
"Min 1x per week","1990","Employed","vocational + Abi","79","0.360212231814802","0.295128545620803","0.425295918008801","2"
"Min 1x per week","1990","Employed","higher vocational","122","0.323253449831053","0.275914669239337","0.370592230422768","2"
"Min 1x per week","1990","Employed","higher education","180","0.329203668396904","0.290455467783321","0.367951869010487","2"
"Never","1990","Not Employed","in school","11","","","","5"
"Never","1990","Employed","general elemantary","85","0.0401481126003388","0.0298133345480763","0.0504828906526012","5"
"Never","1990","Employed","middle vocational","83","0.0192719664970817","0.0144541303070178","0.0240898026871456","5"
"Never","1990","Employed","vocational + Abi","8","","","","5"
"Never","1990","Employed","higher vocational","2","","","","5"
"Never","1990","Employed","higher education","7","","","","5"
"Never","1990","Not Employed","inadequately","23","","","","5"
"Never","1990","Not Employed","general elemantary","49","0.0348651376323979","0.0239400845352257","0.0457901907295701","5"
"Never","1990","Not Employed","middle vocational","46","0.0299077690469238","0.0210546395819992","0.0387608985118483","5"
"Never","1990","Not Employed","vocational + Abi","5","","","","5"
"Never","1990","Not Employed","higher vocational","5","","","","5"
"Never","1990","Not Employed","higher education","4","","","","5"
"Never","1990","Employed","in school","1","","","","5"
"Never","1990","Employed","inadequately","41","0.125658210026579","0.0917000929724904","0.159616327080668","5"
"Rarely","1990","Not Employed","in school","39","0.313835792422488","0.238563190306547","0.38910839453843","4"
"Rarely","1990","Not Employed","higher vocational","33","0.241348384334728","0.169955991340373","0.312740777329084","4"
"Rarely","1990","Not Employed","higher education","40","0.27509805090337","0.199204362310607","0.350991739496132","4"
"Rarely","1990","Not Employed","inadequately","44","0.205896359283877","0.15748540749092","0.254307311076834","4"
"Rarely","1990","Not Employed","general elemantary","190","0.17679949255553","0.154078506009467","0.199520479101593","4"
"Rarely","1990","Not Employed","middle vocational","323","0.238805644098699","0.216645715024921","0.260965573172476","4"
"Rarely","1990","Not Employed","vocational + Abi","28","","","","4"
"Rarely","1990","Employed","in school","4","","","","4"
"Rarely","1990","Employed","inadequately","64","0.196564563785985","0.155851324927581","0.237277802644389","4"
"Rarely","1990","Employed","general elemantary","297","0.23367172188402","0.211393681795068","0.255949761972972","4"
"Rarely","1990","Employed","middle vocational","679","0.22724692098661","0.212561577983913","0.241932263989307","4"
"Rarely","1990","Employed","vocational + Abi","46","0.208479846629742","0.153406942818721","0.263552750440764","4"
"Rarely","1990","Employed","higher vocational","96","0.267304987715434","0.222513281504416","0.312096693926451","4"
"Rarely","1990","Employed","higher education","182","0.308632736608058","0.270543763177499","0.346721710038618","4"
"Daily","1991","Not Employed","in school","","","","","1"
"Daily","1991","Not Employed","inadequately","","","","","1"
"Daily","1991","Not Employed","general elemantary","","","","","1"
"Daily","1991","Not Employed","middle vocational","","","","","1"
"Daily","1991","Not Employed","vocational + Abi","","","","","1"
"Daily","1991","Not Employed","higher vocational","","","","","1"
"Daily","1991","Not Employed","higher education","","","","","1"
"Daily","1991","Employed","in school","","","","","1"
"Daily","1991","Employed","inadequately","","","","","1"
"Daily","1991","Employed","general elemantary","","","","","1"
"Daily","1991","Employed","middle vocational","","","","","1"
"Daily","1991","Employed","vocational + Abi","","","","","1"
"Daily","1991","Employed","higher vocational","","","","","1"
"Daily","1991","Employed","higher education","","","","","1"
"Min 1x per month","1991","Not Employed","in school","","","","","3"
"Min 1x per month","1991","Not Employed","inadequately","","","","","3"
"Min 1x per month","1991","Not Employed","general elemantary","","","","","3"
"Min 1x per month","1991","Not Employed","middle vocational","","","","","3"
"Min 1x per month","1991","Not Employed","vocational + Abi","","","","","3"
"Min 1x per month","1991","Not Employed","higher vocational","","","","","3"
"Min 1x per month","1991","Not Employed","higher education","","","","","3"
"Min 1x per month","1991","Employed","in school","","","","","3"
"Min 1x per month","1991","Employed","inadequately","","","","","3"
"Min 1x per month","1991","Employed","general elemantary","","","","","3"
"Min 1x per month","1991","Employed","middle vocational","","","","","3"
