"pli0081","year","hgtyp1hh","pgisced97","n","percent","lower_confidence","upper_confidence","value"
"Daily","1990","1-pers.-HH","in school","1","","","","1"
"Daily","1990","1-pers.-HH","inadequately","4","","","","1"
"Daily","1990","1-pers.-HH","general elemantary","46","0.147346839833652","0.107436686830909","0.187256992836395","1"
"Daily","1990","1-pers.-HH","middle vocational","36","0.0653313097027874","0.0432018982328681","0.0874607211727067","1"
"Daily","1990","1-pers.-HH","vocational + Abi","","","","","1"
"Daily","1990","1-pers.-HH","higher vocational","3","","","","1"
"Daily","1990","1-pers.-HH","higher education","4","","","","1"
"Daily","1990","(Married) couple without C. ","in school","","","","","1"
"Daily","1990","(Married) couple without C. ","inadequately","8","","","","1"
"Daily","1990","(Married) couple without C. ","general elemantary","53","0.0976172412174069","0.0724911833561759","0.122743299078638","1"
"Daily","1990","(Married) couple without C. ","middle vocational","103","0.0763597466961359","0.0616078765548412","0.0911116168374306","1"
"Daily","1990","(Married) couple without C. ","vocational + Abi","5","","","","1"
"Daily","1990","(Married) couple without C. ","higher vocational","9","","","","1"
"Daily","1990","(Married) couple without C. ","higher education","5","","","","1"
"Daily","1990","Single parent ","in school","2","","","","1"
"Daily","1990","Single parent ","inadequately","6","","","","1"
"Daily","1990","Single parent ","general elemantary","16","","","","1"
"Daily","1990","Single parent ","middle vocational","16","","","","1"
"Daily","1990","Single parent ","vocational + Abi","","","","","1"
"Daily","1990","Single parent ","higher vocational","4","","","","1"
"Daily","1990","Single parent ","higher education","1","","","","1"
"Daily","1990","Couple + C. LE 16 ","in school","","","","","1"
"Daily","1990","Couple + C. LE 16 ","inadequately","22","","","","1"
"Daily","1990","Couple + C. LE 16 ","general elemantary","52","0.151083495255594","0.116074788747998","0.186092201763191","1"
"Daily","1990","Couple + C. LE 16 ","middle vocational","79","0.0617777259236932","0.0474656659520398","0.0760897858953465","1"
"Daily","1990","Couple + C. LE 16 ","vocational + Abi","4","","","","1"
"Daily","1990","Couple + C. LE 16 ","higher vocational","7","","","","1"
"Daily","1990","Couple + C. LE 16 ","higher education","5","","","","1"
"Daily","1990","Couple + C. GT 16 ","in school","3","","","","1"
"Daily","1990","Couple + C. GT 16 ","inadequately","22","","","","1"
"Daily","1990","Couple + C. GT 16 ","general elemantary","38","0.0427387786997221","0.0260457620774313","0.0594317953220128","1"
"Daily","1990","Couple + C. GT 16 ","middle vocational","49","0.0346122719765068","0.0231559659991108","0.0460685779539029","1"
"Daily","1990","Couple + C. GT 16 ","vocational + Abi","","","","","1"
"Daily","1990","Couple + C. GT 16 ","higher vocational","4","","","","1"
"Daily","1990","Couple + C. GT 16 ","higher education","5","","","","1"
"Daily","1990","Couple + C. LE and GT 16","in school","4","","","","1"
"Daily","1990","Couple + C. LE and GT 16","inadequately","10","","","","1"
"Daily","1990","Couple + C. LE and GT 16","general elemantary","20","","","","1"
"Daily","1990","Couple + C. LE and GT 16","middle vocational","12","","","","1"
"Daily","1990","Couple + C. LE and GT 16","vocational + Abi","","","","","1"
"Daily","1990","Couple + C. LE and GT 16","higher vocational","1","","","","1"
"Daily","1990","Couple + C. LE and GT 16","higher education","","","","","1"
"Min 1x per month","1990","Couple + C. LE and GT 16","vocational + Abi","2","","","","3"
"Min 1x per month","1990","Couple + C. LE and GT 16","middle vocational","106","0.386361810194792","0.332505505278768","0.440218115110817","3"
"Min 1x per month","1990","1-pers.-HH","in school","","","","","3"
"Min 1x per month","1990","1-pers.-HH","inadequately","7","","","","3"
"Min 1x per month","1990","1-pers.-HH","general elemantary","81","0.296447078356813","0.245025103762465","0.34786905295116","3"
"Min 1x per month","1990","1-pers.-HH","middle vocational","121","0.258190427571263","0.218998500411097","0.297382354731428","3"
"Min 1x per month","1990","1-pers.-HH","vocational + Abi","12","","","","3"
"Min 1x per month","1990","1-pers.-HH","higher vocational","15","","","","3"
"Min 1x per month","1990","1-pers.-HH","higher education","29","","","","3"
"Min 1x per month","1990","(Married) couple without C. ","in school","","","","","3"
"Min 1x per month","1990","(Married) couple without C. ","inadequately","17","","","","3"
"Min 1x per month","1990","(Married) couple without C. ","general elemantary","140","0.277979983075748","0.240053106600983","0.315906859550513","3"
"Min 1x per month","1990","(Married) couple without C. ","middle vocational","408","0.343153066997563","0.316781286886113","0.369524847109013","3"
"Min 1x per month","1990","Single parent ","in school","3","","","","3"
"Min 1x per month","1990","Single parent ","inadequately","3","","","","3"
"Min 1x per month","1990","Single parent ","general elemantary","42","0.376259969314405","0.295724627291204","0.456795311337606","3"
"Min 1x per month","1990","Single parent ","middle vocational","54","0.252692215639966","0.193205930946931","0.312178500333","3"
"Min 1x per month","1990","Single parent ","vocational + Abi","7","","","","3"
"Min 1x per month","1990","Single parent ","higher vocational","8","","","","3"
"Min 1x per month","1990","Single parent ","higher education","6","","","","3"
"Min 1x per month","1990","Couple + C. LE 16 ","in school","","","","","3"
"Min 1x per month","1990","Couple + C. LE 16 ","inadequately","26","","","","3"
"Min 1x per month","1990","Couple + C. LE 16 ","general elemantary","79","0.211085685835657","0.171194277002275","0.250977094669039","3"
"Min 1x per month","1990","Couple + C. LE 16 ","middle vocational","317","0.321102354356397","0.293346332857798","0.348858375854996","3"
"Min 1x per month","1990","Couple + C. LE 16 ","vocational + Abi","16","","","","3"
"Min 1x per month","1990","Couple + C. LE 16 ","higher vocational","60","0.407291595558315","0.328400457007481","0.48618273410915","3"
"Min 1x per month","1990","Couple + C. LE 16 ","higher education","68","0.36319480319492","0.295521038280707","0.430868568109132","3"
"Min 1x per month","1990","Couple + C. GT 16 ","in school","24","","","","3"
