"pli0081","year","bula_h","education","n","percent","lower_confidence","upper_confidence"
"Daily","1990","Schleswig-Holstein","lower secondary degree","12","","",""
"Daily","1990","Schleswig-Holstein","secondary school degree","5","","",""
"Daily","1990","Schleswig-Holstein","college entrance qualification","","","",""
"Daily","1990","Schleswig-Holstein","Other degree","6","","",""
"Daily","1990","Schleswig-Holstein","no degree/no degree yet","2","","",""
"Daily","1990","Hamburg","lower secondary degree","1","","",""
"Daily","1990","Hamburg","secondary school degree","1","","",""
"Daily","1990","Hamburg","college entrance qualification","1","","",""
"Daily","1990","Hamburg","Other degree","1","","",""
"Daily","1990","Hamburg","no degree/no degree yet","","","",""
"Daily","1990","Lower Saxony","lower secondary degree","37","0.0791186123937714","0.0555298434136346","0.102707381373908"
"Daily","1990","Lower Saxony","secondary school degree","8","","",""
"Daily","1990","Lower Saxony","college entrance qualification","6","","",""
"Daily","1990","Lower Saxony","Other degree","3","","",""
"Daily","1990","Lower Saxony","no degree/no degree yet","5","","",""
"Daily","1990","Bremen","lower secondary degree","1","","",""
"Daily","1990","Bremen","secondary school degree","3","","",""
"Daily","1990","Bremen","college entrance qualification","","","",""
"Daily","1990","Bremen","Other degree","","","",""
"Daily","1990","Bremen","no degree/no degree yet","","","",""
"Daily","1990","North Rhine-Westphalia","lower secondary degree","93","0.075750579983782","0.0604843162379413","0.0910168437296227"
"Daily","1990","North Rhine-Westphalia","secondary school degree","24","","",""
"Daily","1990","North Rhine-Westphalia","college entrance qualification","10","","",""
"Daily","1990","North Rhine-Westphalia","Other degree","14","","",""
"Daily","1990","North Rhine-Westphalia","no degree/no degree yet","21","","",""
"Daily","1990","Hesse","lower secondary degree","36","0.0809359806198827","0.0546957443449275","0.107176216894838"
"Daily","1990","Hesse","secondary school degree","16","","",""
"Daily","1990","Hesse","college entrance qualification","5","","",""
"Daily","1990","Hesse","Other degree","11","","",""
"Daily","1990","Hesse","no degree/no degree yet","15","","",""
"Daily","1990","Rhineland-Palatinate,Saarland","lower secondary degree","51","0.123207162709005","0.091431570380559","0.15498275503745"
"Daily","1990","Rhineland-Palatinate,Saarland","secondary school degree","10","","",""
"Daily","1990","Rhineland-Palatinate,Saarland","college entrance qualification","4","","",""
"Daily","1990","Rhineland-Palatinate,Saarland","Other degree","3","","",""
"Daily","1990","Rhineland-Palatinate,Saarland","no degree/no degree yet","5","","",""
"Daily","1990","Baden-Württemberg","lower secondary degree","92","0.112652047087229","0.0912584589576828","0.134045635216774"
"Daily","1990","Baden-Württemberg","secondary school degree","17","","",""
"Daily","1990","Baden-Württemberg","college entrance qualification","4","","",""
"Daily","1990","Baden-Württemberg","Other degree","28","","",""
"Daily","1990","Baden-Württemberg","no degree/no degree yet","25","","",""
"Daily","1990","Bavaria","lower secondary degree","58","0.0679700293626959","0.0505722533849799","0.085367805340412"
"Daily","1990","Bavaria","secondary school degree","10","","",""
"Daily","1990","Bavaria","college entrance qualification","4","","",""
"Daily","1990","Bavaria","Other degree","11","","",""
"Daily","1990","Bavaria","no degree/no degree yet","8","","",""
"Daily","1990","Berlin","lower secondary degree","9","","",""
"Daily","1990","Berlin","secondary school degree","4","","",""
"Daily","1990","Berlin","college entrance qualification","","","",""
"Daily","1990","Berlin","Other degree","5","","",""
"Daily","1990","Berlin","no degree/no degree yet","11","","",""
"Daily","1990","Brandenburg","lower secondary degree","","","",""
"Daily","1990","Brandenburg","secondary school degree","","","",""
"Daily","1990","Brandenburg","college entrance qualification","","","",""
"Daily","1990","Brandenburg","Other degree","","","",""
"Daily","1990","Brandenburg","no degree/no degree yet","","","",""
"Daily","1990","Mecklenburg-Western Pomerania","lower secondary degree","","","",""
"Daily","1990","Mecklenburg-Western Pomerania","secondary school degree","","","",""
"Daily","1990","Mecklenburg-Western Pomerania","college entrance qualification","","","",""
"Daily","1990","Mecklenburg-Western Pomerania","Other degree","","","",""
"Daily","1990","Mecklenburg-Western Pomerania","no degree/no degree yet","","","",""
"Daily","1990","Saxony","lower secondary degree","","","",""
"Daily","1990","Saxony","secondary school degree","","","",""
"Daily","1990","Saxony","college entrance qualification","","","",""
"Daily","1990","Saxony","Other degree","","","",""
"Daily","1990","Saxony","no degree/no degree yet","","","",""
"Daily","1990","Saxony-Anhalt","lower secondary degree","","","",""
"Daily","1990","Saxony-Anhalt","secondary school degree","","","",""
"Daily","1990","Saxony-Anhalt","college entrance qualification","","","",""
"Daily","1990","Saxony-Anhalt","Other degree","","","",""
"Daily","1990","Saxony-Anhalt","no degree/no degree yet","","","",""
"Daily","1990","Thuringia","lower secondary degree","","","",""
"Daily","1990","Thuringia","secondary school degree","","","",""
"Daily","1990","Thuringia","college entrance qualification","","","",""
"Daily","1990","Thuringia","Other degree","","","",""
"Daily","1990","Thuringia","no degree/no degree yet","","","",""
"Min 1x per week","1990","Schleswig-Holstein","lower secondary degree","51","0.354592889638441","0.279036775355204","0.430149003921677"
"Min 1x per week","1990","Schleswig-Holstein","secondary school degree","16","","",""
"Min 1x per week","1990","Schleswig-Holstein","college entrance qualification","5","","",""
"Min 1x per week","1990","Schleswig-Holstein","Other degree","6","","",""
"Min 1x per week","1990","Schleswig-Holstein","no degree/no degree yet","2","","",""
"Min 1x per week","1990","Hamburg","lower secondary degree","27","","",""
"Min 1x per week","1990","Hamburg","secondary school degree","11","","",""
"Min 1x per week","1990","Hamburg","college entrance qualification","11","","",""
"Min 1x per week","1990","Hamburg","Other degree","11","","",""
"Min 1x per week","1990","Hamburg","no degree/no degree yet","3","","",""
"Min 1x per week","1990","Lower Saxony","lower secondary degree","173","0.319159174500693","0.278422032222779","0.359896316778608"
"Min 1x per week","1990","Lower Saxony","secondary school degree","77","0.353130393772461","0.289244528192962","0.417016259351959"
"Min 1x per week","1990","Lower Saxony","college entrance qualification","33","0.272276949089317","0.195758718563631","0.348795179615003"
"Min 1x per week","1990","Lower Saxony","Other degree","24","","",""
"Min 1x per week","1990","Lower Saxony","no degree/no degree yet","20","","",""
"Min 1x per week","1990","Bremen","lower secondary degree","18","","",""
"Min 1x per week","1990","Bremen","secondary school degree","7","","",""
"Min 1x per week","1990","Bremen","college entrance qualification","5","","",""
"Min 1x per week","1990","Bremen","Other degree","","","",""
"Min 1x per week","1990","Bremen","no degree/no degree yet","","","",""
"Min 1x per week","1990","North Rhine-Westphalia","lower secondary degree","459","0.395030146351821","0.366825076908184","0.423235215795459"
"Min 1x per week","1990","North Rhine-Westphalia","secondary school degree","187","0.390747812052269","0.345866350537011","0.435629273567527"
"Min 1x per week","1990","North Rhine-Westphalia","college entrance qualification","131","0.364063996903966","0.315299037976686","0.412828955831245"
"Min 1x per week","1990","North Rhine-Westphalia","Other degree","103","0.38261633916479","0.323079272956689","0.442153405372892"
"Min 1x per week","1990","North Rhine-Westphalia","no degree/no degree yet","99","0.313455138568472","0.257283175361427","0.369627101775517"
"Min 1x per week","1990","Hesse","lower secondary degree","146","0.319205239088758","0.274354753387434","0.364055724790082"
