"pli0081","year","migback","pgisced97","n","percent","lower_confidence","upper_confidence","value"
"Daily","1990","no migration background","in school","5","","","","1"
"Daily","1990","no migration background","inadequately","5","","","","1"
"Daily","1990","no migration background","general elemantary","142","0.102054028654853","0.0867397013501643","0.117368355959542","1"
"Daily","1990","no migration background","middle vocational","228","0.0594864953546465","0.0518140485839508","0.0671589421253422","1"
"Daily","1990","no migration background","vocational + Abi","4","","","","1"
"Daily","1990","no migration background","higher vocational","25","","","","1"
"Daily","1990","no migration background","higher education","19","","","","1"
"Daily","1990","direct migration background","in school","3","","","","1"
"Daily","1990","direct migration background","inadequately","69","0.124343923994268","0.0967920363578788","0.151895811630658","1"
"Daily","1990","direct migration background","general elemantary","94","0.0995205602173496","0.0794311641030757","0.119609956331623","1"
"Daily","1990","direct migration background","middle vocational","70","0.0682615232673413","0.0508183569693551","0.0857046895653275","1"
"Daily","1990","direct migration background","vocational + Abi","5","","","","1"
"Daily","1990","direct migration background","higher vocational","4","","","","1"
"Daily","1990","direct migration background","higher education","2","","","","1"
"Daily","1990","indirect migration background","in school","4","","","","1"
"Daily","1990","indirect migration background","inadequately","4","","","","1"
"Daily","1990","indirect migration background","general elemantary","12","","","","1"
"Daily","1990","indirect migration background","middle vocational","8","","","","1"
"Daily","1990","indirect migration background","vocational + Abi","","","","","1"
"Daily","1990","indirect migration background","higher vocational","","","","","1"
"Daily","1990","indirect migration background","higher education","","","","","1"
"Min 1x per month","1990","indirect migration background","vocational + Abi","1","","","","3"
"Min 1x per month","1990","direct migration background","in school","2","","","","3"
"Min 1x per month","1990","direct migration background","inadequately","98","0.161313983763192","0.130601990714206","0.192025976812179","3"
"Min 1x per month","1990","direct migration background","vocational + Abi","20","","","","3"
"Min 1x per month","1990","indirect migration background","general elemantary","23","","","","3"
"Min 1x per month","1990","indirect migration background","middle vocational","21","","","","3"
"Min 1x per month","1990","direct migration background","general elemantary","154","0.219435193226151","0.191661655712424","0.247208730739879","3"
"Min 1x per month","1990","direct migration background","middle vocational","168","0.24493813096141","0.215193417641507","0.274682844281312","3"
"Min 1x per month","1990","direct migration background","higher vocational","13","","","","3"
"Min 1x per month","1990","direct migration background","higher education","27","","","","3"
"Min 1x per month","1990","indirect migration background","in school","9","","","","3"
"Min 1x per month","1990","indirect migration background","inadequately","4","","","","3"
"Min 1x per month","1990","indirect migration background","higher vocational","","","","","3"
"Min 1x per month","1990","indirect migration background","higher education","1","","","","3"
"Min 1x per month","1990","no migration background","in school","44","0.424075792077471","0.327214000225155","0.520937583929787","3"
"Min 1x per month","1990","no migration background","inadequately","15","","","","3"
"Min 1x per month","1990","no migration background","general elemantary","474","0.31414323982281","0.29066106505954","0.337625414586081","3"
"Min 1x per month","1990","no migration background","middle vocational","1197","0.323920753666468","0.308741152394365","0.339100354938571","3"
"Min 1x per month","1990","no migration background","vocational + Abi","69","0.373245281663074","0.304652664047457","0.44183789927869","3"
"Min 1x per month","1990","no migration background","higher vocational","174","0.362015591370185","0.318050253143965","0.405980929596406","3"
"Min 1x per month","1990","no migration background","higher education","200","0.32174683722467","0.284522801122141","0.358970873327199","3"
"Min 1x per week","1990","indirect migration background","in school","11","","","","2"
"Min 1x per week","1990","indirect migration background","inadequately","7","","","","2"
"Min 1x per week","1990","indirect migration background","general elemantary","44","0.3172364828876","0.23217638317945","0.402296582595749","2"
"Min 1x per week","1990","indirect migration background","middle vocational","48","0.41578908170105","0.317198858558305","0.514379304843795","2"
"Min 1x per week","1990","indirect migration background","vocational + Abi","2","","","","2"
"Min 1x per week","1990","indirect migration background","higher vocational","5","","","","2"
"Min 1x per week","1990","indirect migration background","higher education","","","","","2"
"Min 1x per week","1990","no migration background","in school","18","","","","2"
"Min 1x per week","1990","no migration background","inadequately","22","","","","2"
"Min 1x per week","1990","no migration background","general elemantary","535","0.349080888906798","0.324966054010822","0.373195723802773","2"
"Min 1x per week","1990","no migration background","middle vocational","1364","0.36914695793306","0.353493657443597","0.384800258422524","2"
"Min 1x per week","1990","no migration background","vocational + Abi","71","0.362068359024253","0.293910841179865","0.43022587686864","2"
"Min 1x per week","1990","no migration background","higher vocational","138","0.307582497087596","0.265363629901486","0.349801364273705","2"
"Min 1x per week","1990","no migration background","higher education","190","0.330633646846934","0.293147062877888","0.36812023081598","2"
"Min 1x per week","1990","direct migration background","in school","10","","","","2"
"Min 1x per week","1990","direct migration background","inadequately","238","0.393411409332937","0.352622425528045","0.434200393137829","2"
"Min 1x per week","1990","direct migration background","general elemantary","370","0.410094169782131","0.37708711931605","0.443101220248213","2"
"Min 1x per week","1990","direct migration background","middle vocational","315","0.348525139877786","0.315567492400122","0.381482787355451","2"
"Min 1x per week","1990","direct migration background","vocational + Abi","35","0.246639323402371","0.160411959676008","0.332866687128734","2"
"Min 1x per week","1990","direct migration background","higher vocational","18","","","","2"
"Min 1x per week","1990","direct migration background","higher education","26","","","","2"
"Never","1990","indirect migration background","in school","4","","","","5"
"Never","1990","indirect migration background","vocational + Abi","","","","","5"
"Never","1990","indirect migration background","inadequately","2","","","","5"
"Never","1990","indirect migration background","general elemantary","8","","","","5"
"Never","1990","indirect migration background","middle vocational","4","","","","5"
"Never","1990","direct migration background","in school","3","","","","5"
"Never","1990","direct migration background","inadequately","59","0.13790281527454","0.109113126423502","0.166692504125578","5"
"Never","1990","direct migration background","general elemantary","86","0.0809263042528426","0.0626245130036227","0.0992280955020625","5"
"Never","1990","indirect migration background","higher vocational","","","","","5"
"Never","1990","indirect migration background","higher education","","","","","5"
"Never","1990","direct migration background","middle vocational","61","0.0623913681032799","0.0456626227140779","0.0791201134924818","5"
"Never","1990","direct migration background","vocational + Abi","12","","","","5"
"Never","1990","direct migration background","higher vocational","","","","","5"
"Never","1990","direct migration background","higher education","4","","","","5"
"Never","1990","no migration background","in school","5","","","","5"
"Never","1990","no migration background","inadequately","3","","","","5"
"Never","1990","no migration background","general elemantary","40","0.0292942308029224","0.0207633750270453","0.0378250865787996","5"
"Never","1990","no migration background","middle vocational","64","0.019592122105687","0.0150965361054938","0.0240877081058803","5"
"Never","1990","no migration background","vocational + Abi","1","","","","5"
"Never","1990","no migration background","higher vocational","7","","","","5"
"Never","1990","no migration background","higher education","7","","","","5"
"Rarely","1990","no migration background","general elemantary","310","0.205427611812616","0.184988882683725","0.225866340941507","4"
"Rarely","1990","no migration background","middle vocational","798","0.227853670940138","0.214247999001005","0.241459342879272","4"
"Rarely","1990","no migration background","vocational + Abi","46","0.233795144303665","0.173771604896132","0.293818683711198","4"
"Rarely","1990","no migration background","higher vocational","115","0.261598600410444","0.221391226201018","0.30180597461987","4"
"Rarely","1990","no migration background","higher education","189","0.29982931873455","0.263319522145595","0.336339115323505","4"
"Rarely","1990","direct migration background","in school","9","","","","4"
"Rarely","1990","direct migration background","inadequately","87","0.183027867635063","0.150740359923946","0.21531537534618","4"
"Rarely","1990","direct migration background","general elemantary","149","0.190023772521525","0.163696026503672","0.216351518539379","4"
"Rarely","1990","direct migration background","middle vocational","189","0.275883837790183","0.244969669395303","0.306798006185063","4"
"Rarely","1990","direct migration background","vocational + Abi","24","","","","4"
"Rarely","1990","direct migration background","higher vocational","13","","","","4"
"Rarely","1990","direct migration background","higher education","31","0.317746729819837","0.221554455276304","0.413939004363371","4"
"Rarely","1990","indirect migration background","in school","6","","","","4"
"Rarely","1990","indirect migration background","inadequately","1","","","","4"
"Rarely","1990","no migration background","in school","28","","","","4"
"Rarely","1990","no migration background","inadequately","20","","","","4"
"Rarely","1990","indirect migration background","general elemantary","28","","","","4"
"Rarely","1990","indirect migration background","middle vocational","15","","","","4"
"Rarely","1990","indirect migration background","vocational + Abi","4","","","","4"
"Rarely","1990","indirect migration background","higher vocational","1","","","","4"
"Rarely","1990","indirect migration background","higher education","2","","","","4"
"Daily","1991","no migration background","in school","","","","","1"
"Daily","1991","no migration background","inadequately","","","","","1"
"Daily","1991","no migration background","general elemantary","","","","","1"
"Daily","1991","no migration background","middle vocational","","","","","1"
"Daily","1991","no migration background","vocational + Abi","","","","","1"
"Daily","1991","no migration background","higher vocational","","","","","1"
"Daily","1991","no migration background","higher education","","","","","1"
"Daily","1991","direct migration background","in school","","","","","1"
"Daily","1991","direct migration background","inadequately","","","","","1"
"Daily","1991","direct migration background","general elemantary","","","","","1"
"Daily","1991","direct migration background","middle vocational","","","","","1"
"Daily","1991","direct migration background","vocational + Abi","","","","","1"
"Daily","1991","direct migration background","higher vocational","","","","","1"
"Daily","1991","direct migration background","higher education","","","","","1"
"Daily","1991","indirect migration background","in school","","","","","1"
"Daily","1991","indirect migration background","inadequately","","","","","1"
"Daily","1991","indirect migration background","general elemantary","","","","","1"
"Daily","1991","indirect migration background","middle vocational","","","","","1"
"Daily","1991","indirect migration background","vocational + Abi","","","","","1"
"Daily","1991","indirect migration background","higher vocational","","","","","1"
"Daily","1991","indirect migration background","higher education","","","","","1"
"Min 1x per month","1991","indirect migration background","middle vocational","","","","","3"
"Min 1x per month","1991","indirect migration background","vocational + Abi","","","","","3"
"Min 1x per month","1991","direct migration background","in school","","","","","3"
"Min 1x per month","1991","direct migration background","inadequately","","","","","3"
"Min 1x per month","1991","direct migration background","general elemantary","","","","","3"
"Min 1x per month","1991","direct migration background","middle vocational","","","","","3"
"Min 1x per month","1991","direct migration background","vocational + Abi","","","","","3"
"Min 1x per month","1991","direct migration background","higher vocational","","","","","3"
"Min 1x per month","1991","direct migration background","higher education","","","","","3"
"Min 1x per month","1991","indirect migration background","in school","","","","","3"
"Min 1x per month","1991","indirect migration background","inadequately","","","","","3"
"Min 1x per month","1991","indirect migration background","general elemantary","","","","","3"
"Min 1x per month","1991","indirect migration background","higher vocational","","","","","3"
"Min 1x per month","1991","indirect migration background","higher education","","","","","3"
"Min 1x per month","1991","no migration background","in school","","","","","3"
"Min 1x per month","1991","no migration background","inadequately","","","","","3"
"Min 1x per month","1991","no migration background","general elemantary","","","","","3"
"Min 1x per month","1991","no migration background","middle vocational","","","","","3"
"Min 1x per month","1991","no migration background","vocational + Abi","","","","","3"
"Min 1x per month","1991","no migration background","higher vocational","","","","","3"
"Min 1x per month","1991","no migration background","higher education","","","","","3"
"Min 1x per week","1991","indirect migration background","in school","","","","","2"
"Min 1x per week","1991","indirect migration background","inadequately","","","","","2"
"Min 1x per week","1991","indirect migration background","general elemantary","","","","","2"
"Min 1x per week","1991","indirect migration background","middle vocational","","","","","2"
"Min 1x per week","1991","indirect migration background","vocational + Abi","","","","","2"
"Min 1x per week","1991","indirect migration background","higher vocational","","","","","2"
"Min 1x per week","1991","indirect migration background","higher education","","","","","2"
"Min 1x per week","1991","direct migration background","vocational + Abi","","","","","2"
"Min 1x per week","1991","direct migration background","higher vocational","","","","","2"
"Min 1x per week","1991","direct migration background","higher education","","","","","2"
"Min 1x per week","1991","no migration background","in school","","","","","2"
"Min 1x per week","1991","no migration background","inadequately","","","","","2"
"Min 1x per week","1991","no migration background","general elemantary","","","","","2"
"Min 1x per week","1991","no migration background","middle vocational","","","","","2"
"Min 1x per week","1991","no migration background","vocational + Abi","","","","","2"
"Min 1x per week","1991","no migration background","higher vocational","","","","","2"
"Min 1x per week","1991","no migration background","higher education","","","","","2"
"Min 1x per week","1991","direct migration background","in school","","","","","2"
"Min 1x per week","1991","direct migration background","inadequately","","","","","2"
"Min 1x per week","1991","direct migration background","general elemantary","","","","","2"
"Min 1x per week","1991","direct migration background","middle vocational","","","","","2"
"Never","1991","indirect migration background","vocational + Abi","","","","","5"
"Never","1991","indirect migration background","in school","","","","","5"
"Never","1991","indirect migration background","inadequately","","","","","5"
"Never","1991","indirect migration background","general elemantary","","","","","5"
"Never","1991","indirect migration background","middle vocational","","","","","5"
"Never","1991","indirect migration background","higher vocational","","","","","5"
"Never","1991","indirect migration background","higher education","","","","","5"
"Never","1991","direct migration background","in school","","","","","5"
"Never","1991","direct migration background","inadequately","","","","","5"
"Never","1991","direct migration background","general elemantary","","","","","5"
"Never","1991","direct migration background","middle vocational","","","","","5"
"Never","1991","direct migration background","vocational + Abi","","","","","5"
"Never","1991","direct migration background","higher vocational","","","","","5"
"Never","1991","direct migration background","higher education","","","","","5"
"Never","1991","no migration background","in school","","","","","5"
"Never","1991","no migration background","inadequately","","","","","5"
"Never","1991","no migration background","general elemantary","","","","","5"
"Never","1991","no migration background","middle vocational","","","","","5"
"Never","1991","no migration background","vocational + Abi","","","","","5"
"Never","1991","no migration background","higher vocational","","","","","5"
"Never","1991","no migration background","higher education","","","","","5"
"Rarely","1991","no migration background","general elemantary","","","","","4"
"Rarely","1991","no migration background","middle vocational","","","","","4"
"Rarely","1991","no migration background","vocational + Abi","","","","","4"
"Rarely","1991","no migration background","higher vocational","","","","","4"
"Rarely","1991","no migration background","higher education","","","","","4"
"Rarely","1991","direct migration background","in school","","","","","4"
"Rarely","1991","direct migration background","inadequately","","","","","4"
"Rarely","1991","direct migration background","general elemantary","","","","","4"
"Rarely","1991","direct migration background","middle vocational","","","","","4"
"Rarely","1991","direct migration background","vocational + Abi","","","","","4"
"Rarely","1991","direct migration background","higher vocational","","","","","4"
"Rarely","1991","direct migration background","higher education","","","","","4"
"Rarely","1991","indirect migration background","in school","","","","","4"
"Rarely","1991","indirect migration background","inadequately","","","","","4"
"Rarely","1991","indirect migration background","vocational + Abi","","","","","4"
"Rarely","1991","indirect migration background","higher vocational","","","","","4"
"Rarely","1991","indirect migration background","higher education","","","","","4"
"Rarely","1991","no migration background","in school","","","","","4"
"Rarely","1991","no migration background","inadequately","","","","","4"
"Rarely","1991","indirect migration background","general elemantary","","","","","4"
"Rarely","1991","indirect migration background","middle vocational","","","","","4"
"Daily","1992","direct migration background","general elemantary","","","","","1"
"Daily","1992","direct migration background","middle vocational","","","","","1"
"Daily","1992","direct migration background","vocational + Abi","","","","","1"
"Daily","1992","direct migration background","higher vocational","","","","","1"
"Daily","1992","direct migration background","higher education","","","","","1"
"Daily","1992","indirect migration background","in school","","","","","1"
"Daily","1992","indirect migration background","inadequately","","","","","1"
"Daily","1992","no migration background","in school","","","","","1"
"Daily","1992","no migration background","inadequately","","","","","1"
"Daily","1992","no migration background","general elemantary","","","","","1"
"Daily","1992","no migration background","middle vocational","","","","","1"
"Daily","1992","no migration background","vocational + Abi","","","","","1"
"Daily","1992","no migration background","higher vocational","","","","","1"
"Daily","1992","no migration background","higher education","","","","","1"
"Daily","1992","direct migration background","in school","","","","","1"
"Daily","1992","direct migration background","inadequately","","","","","1"
"Daily","1992","indirect migration background","general elemantary","","","","","1"
"Daily","1992","indirect migration background","middle vocational","","","","","1"
"Daily","1992","indirect migration background","vocational + Abi","","","","","1"
"Daily","1992","indirect migration background","higher vocational","","","","","1"
"Daily","1992","indirect migration background","higher education","","","","","1"
"Min 1x per month","1992","direct migration background","general elemantary","","","","","3"
"Min 1x per month","1992","indirect migration background","higher vocational","","","","","3"
"Min 1x per month","1992","direct migration background","in school","","","","","3"
"Min 1x per month","1992","indirect migration background","vocational + Abi","","","","","3"
"Min 1x per month","1992","direct migration background","middle vocational","","","","","3"
"Min 1x per month","1992","direct migration background","vocational + Abi","","","","","3"
"Min 1x per month","1992","direct migration background","inadequately","","","","","3"
"Min 1x per month","1992","no migration background","in school","","","","","3"
"Min 1x per month","1992","no migration background","inadequately","","","","","3"
"Min 1x per month","1992","no migration background","general elemantary","","","","","3"
"Min 1x per month","1992","direct migration background","higher vocational","","","","","3"
"Min 1x per month","1992","direct migration background","higher education","","","","","3"
"Min 1x per month","1992","indirect migration background","in school","","","","","3"
"Min 1x per month","1992","indirect migration background","inadequately","","","","","3"
"Min 1x per month","1992","indirect migration background","general elemantary","","","","","3"
"Min 1x per month","1992","indirect migration background","middle vocational","","","","","3"
"Min 1x per month","1992","indirect migration background","higher education","","","","","3"
"Min 1x per month","1992","no migration background","middle vocational","","","","","3"
"Min 1x per month","1992","no migration background","vocational + Abi","","","","","3"
"Min 1x per month","1992","no migration background","higher vocational","","","","","3"
"Min 1x per month","1992","no migration background","higher education","","","","","3"
"Min 1x per week","1992","indirect migration background","in school","","","","","2"
"Min 1x per week","1992","indirect migration background","inadequately","","","","","2"
"Min 1x per week","1992","indirect migration background","general elemantary","","","","","2"
"Min 1x per week","1992","indirect migration background","middle vocational","","","","","2"
"Min 1x per week","1992","indirect migration background","vocational + Abi","","","","","2"
"Min 1x per week","1992","indirect migration background","higher vocational","","","","","2"
"Min 1x per week","1992","indirect migration background","higher education","","","","","2"
"Min 1x per week","1992","direct migration background","in school","","","","","2"
"Min 1x per week","1992","direct migration background","inadequately","","","","","2"
"Min 1x per week","1992","direct migration background","general elemantary","","","","","2"
"Min 1x per week","1992","direct migration background","middle vocational","","","","","2"
"Min 1x per week","1992","direct migration background","vocational + Abi","","","","","2"
"Min 1x per week","1992","direct migration background","higher vocational","","","","","2"
"Min 1x per week","1992","direct migration background","higher education","","","","","2"
"Min 1x per week","1992","no migration background","in school","","","","","2"
"Min 1x per week","1992","no migration background","inadequately","","","","","2"
"Min 1x per week","1992","no migration background","general elemantary","","","","","2"
"Min 1x per week","1992","no migration background","middle vocational","","","","","2"
"Min 1x per week","1992","no migration background","vocational + Abi","","","","","2"
"Min 1x per week","1992","no migration background","higher vocational","","","","","2"
"Min 1x per week","1992","no migration background","higher education","","","","","2"
"Never","1992","indirect migration background","higher vocational","","","","","5"
"Never","1992","direct migration background","in school","","","","","5"
"Never","1992","direct migration background","inadequately","","","","","5"
"Never","1992","direct migration background","general elemantary","","","","","5"
"Never","1992","direct migration background","middle vocational","","","","","5"
"Never","1992","indirect migration background","in school","","","","","5"
"Never","1992","indirect migration background","inadequately","","","","","5"
"Never","1992","indirect migration background","general elemantary","","","","","5"
"Never","1992","indirect migration background","middle vocational","","","","","5"
"Never","1992","indirect migration background","vocational + Abi","","","","","5"
"Never","1992","indirect migration background","higher education","","","","","5"
"Never","1992","direct migration background","vocational + Abi","","","","","5"
"Never","1992","direct migration background","higher vocational","","","","","5"
"Never","1992","direct migration background","higher education","","","","","5"
"Never","1992","no migration background","in school","","","","","5"
