"pli0081","year","education","n","percent","lower_confidence","upper_confidence"
"Daily","1990","lower secondary degree","390","0.0814380732462957","0.0734786878598937","0.0893974586326977"
"Daily","1990","secondary school degree","98","0.0557194185028253","0.0447574408497127","0.0666813961559378"
"Daily","1990","college entrance qualification","34","0.0264177958566681","0.0173552570193326","0.0354803346940037"
"Daily","1990","Other degree","82","0.0713908971689404","0.055480281366912","0.0873015129709687"
"Daily","1990","no degree/no degree yet","92","0.0831094543127456","0.0644305639358528","0.101788344689638"
"Min 1x per week","1990","lower secondary degree","1732","0.366362548802885","0.352341273289373","0.380383824316397"
"Min 1x per week","1990","secondary school degree","619","0.359010126010818","0.336084878732459","0.381935373289178"
"Min 1x per week","1990","college entrance qualification","384","0.330464045227478","0.303883472354674","0.357044618100283"
"Min 1x per week","1990","Other degree","390","0.33740308693053","0.308185231853209","0.366620942007851"
"Min 1x per week","1990","no degree/no degree yet","323","0.300445498344028","0.26942414510472","0.331466851583336"
"Min 1x per month","1990","lower secondary degree","1382","0.31303007354513","0.299535055725254","0.326525091365007"
"Min 1x per month","1990","secondary school degree","559","0.337471887719565","0.314874613743684","0.360069161695445"
"Min 1x per month","1990","college entrance qualification","395","0.330342058126972","0.303763970781057","0.356920145472887"
"Min 1x per month","1990","Other degree","186","0.207723794996657","0.182655168995993","0.232792420997321"
"Min 1x per month","1990","no degree/no degree yet","180","0.271946398625645","0.241837806822793","0.302054990428496"
"Rarely","1990","lower secondary degree","922","0.216940469605198","0.204946049779261","0.228934889431134"
"Rarely","1990","secondary school degree","375","0.229413190600443","0.209319714572004","0.249506666628882"
"Rarely","1990","college entrance qualification","362","0.285286393893235","0.259769851097669","0.310802936688801"
"Rarely","1990","Other degree","228","0.255735131657913","0.228775866076714","0.282694397239111"
"Rarely","1990","no degree/no degree yet","164","0.255777371841109","0.226255111465865","0.285299632216353"
"Never","1990","lower secondary degree","110","0.0222288348004916","0.0179385262191245","0.0265191433818587"
"Never","1990","secondary school degree","31","0.0183853771663487","0.011965275924069","0.0248054784086284"
"Never","1990","college entrance qualification","28","","",""
"Never","1990","Other degree","120","0.127747089245959","0.107119626043246","0.148374552448673"
"Never","1990","no degree/no degree yet","80","0.0887212768764727","0.0694812082157145","0.107961345537231"
"Daily","1991","lower secondary degree","","","",""
"Daily","1991","secondary school degree","","","",""
"Daily","1991","college entrance qualification","","","",""
"Daily","1991","Other degree","","","",""
"Daily","1991","no degree/no degree yet","","","",""
"Min 1x per week","1991","lower secondary degree","","","",""
"Min 1x per week","1991","secondary school degree","","","",""
"Min 1x per week","1991","college entrance qualification","","","",""
"Min 1x per week","1991","Other degree","","","",""
"Min 1x per week","1991","no degree/no degree yet","","","",""
"Min 1x per month","1991","lower secondary degree","","","",""
"Min 1x per month","1991","secondary school degree","","","",""
"Min 1x per month","1991","college entrance qualification","","","",""
"Min 1x per month","1991","Other degree","","","",""
"Min 1x per month","1991","no degree/no degree yet","","","",""
"Rarely","1991","lower secondary degree","","","",""
"Rarely","1991","secondary school degree","","","",""
"Rarely","1991","college entrance qualification","","","",""
"Rarely","1991","Other degree","","","",""
"Rarely","1991","no degree/no degree yet","","","",""
"Never","1991","lower secondary degree","","","",""
"Never","1991","secondary school degree","","","",""
"Never","1991","college entrance qualification","","","",""
"Never","1991","Other degree","","","",""
"Never","1991","no degree/no degree yet","","","",""
"Daily","1992","lower secondary degree","","","",""
"Daily","1992","secondary school degree","","","",""
"Daily","1992","college entrance qualification","","","",""
"Daily","1992","Other degree","","","",""
"Daily","1992","no degree/no degree yet","","","",""
"Min 1x per week","1992","lower secondary degree","","","",""
"Min 1x per week","1992","secondary school degree","","","",""
"Min 1x per week","1992","college entrance qualification","","","",""
"Min 1x per week","1992","Other degree","","","",""
"Min 1x per week","1992","no degree/no degree yet","","","",""
"Min 1x per month","1992","lower secondary degree","","","",""
"Min 1x per month","1992","secondary school degree","","","",""
"Min 1x per month","1992","college entrance qualification","","","",""
"Min 1x per month","1992","Other degree","","","",""
"Min 1x per month","1992","no degree/no degree yet","","","",""
"Rarely","1992","lower secondary degree","","","",""
"Rarely","1992","secondary school degree","","","",""
"Rarely","1992","college entrance qualification","","","",""
"Rarely","1992","Other degree","","","",""
"Rarely","1992","no degree/no degree yet","","","",""
"Never","1992","lower secondary degree","","","",""
"Never","1992","secondary school degree","","","",""
"Never","1992","college entrance qualification","","","",""
"Never","1992","Other degree","","","",""
"Never","1992","no degree/no degree yet","","","",""
"Daily","1993","lower secondary degree","","","",""
"Daily","1993","secondary school degree","","","",""
"Daily","1993","college entrance qualification","","","",""
"Daily","1993","Other degree","","","",""
"Daily","1993","no degree/no degree yet","","","",""
"Min 1x per week","1993","lower secondary degree","","","",""
"Min 1x per week","1993","secondary school degree","","","",""
"Min 1x per week","1993","college entrance qualification","","","",""
"Min 1x per week","1993","Other degree","","","",""
"Min 1x per week","1993","no degree/no degree yet","","","",""
"Min 1x per month","1993","lower secondary degree","","","",""
"Min 1x per month","1993","secondary school degree","","","",""
"Min 1x per month","1993","college entrance qualification","","","",""
"Min 1x per month","1993","Other degree","","","",""
"Min 1x per month","1993","no degree/no degree yet","","","",""
"Rarely","1993","lower secondary degree","","","",""
"Rarely","1993","secondary school degree","","","",""
"Rarely","1993","college entrance qualification","","","",""
"Rarely","1993","Other degree","","","",""
"Rarely","1993","no degree/no degree yet","","","",""
"Never","1993","lower secondary degree","","","",""
"Never","1993","secondary school degree","","","",""
"Never","1993","college entrance qualification","","","",""
"Never","1993","Other degree","","","",""
"Never","1993","no degree/no degree yet","","","",""
"Daily","1994","lower secondary degree","","","",""
"Daily","1994","secondary school degree","","","",""
"Daily","1994","college entrance qualification","","","",""
"Daily","1994","Other degree","","","",""
"Daily","1994","no degree/no degree yet","","","",""
"Min 1x per week","1994","lower secondary degree","","","",""
"Min 1x per week","1994","secondary school degree","","","",""
"Min 1x per week","1994","college entrance qualification","","","",""
"Min 1x per week","1994","Other degree","","","",""
"Min 1x per week","1994","no degree/no degree yet","","","",""
"Min 1x per month","1994","lower secondary degree","","","",""
"Min 1x per month","1994","secondary school degree","","","",""
"Min 1x per month","1994","college entrance qualification","","","",""
"Min 1x per month","1994","Other degree","","","",""
"Min 1x per month","1994","no degree/no degree yet","","","",""
"Rarely","1994","lower secondary degree","","","",""
"Rarely","1994","secondary school degree","","","",""
"Rarely","1994","college entrance qualification","","","",""
"Rarely","1994","Other degree","","","",""
"Rarely","1994","no degree/no degree yet","","","",""
"Never","1994","lower secondary degree","","","",""
"Never","1994","secondary school degree","","","",""
"Never","1994","college entrance qualification","","","",""
"Never","1994","Other degree","","","",""
"Never","1994","no degree/no degree yet","","","",""
"Daily","1995","lower secondary degree","502","0.0892045947050299","0.0815985934239349","0.0968105959861248"
"Daily","1995","secondary school degree","252","0.0672059438162445","0.0589973730944671","0.0754145145380219"
"Daily","1995","college entrance qualification","82","0.0388187027603468","0.0301605087740557","0.0474768967466378"
"Daily","1995","Other degree","118","0.0924169702345549","0.0758785321205451","0.108955408348565"
"Daily","1995","no degree/no degree yet","91","0.0867988735909983","0.0679494556517139","0.105648291530283"
"Min 1x per week","1995","lower secondary degree","2196","0.393743800224563","0.380706510188424","0.406781090260702"
"Min 1x per week","1995","secondary school degree","1436","0.392487391546097","0.376478497888091","0.408496285204103"
"Min 1x per week","1995","college entrance qualification","657","0.32768428139361","0.306645596731456","0.348722966055764"
"Min 1x per week","1995","Other degree","539","0.420950477308763","0.392756989676906","0.449143964940619"
"Min 1x per week","1995","no degree/no degree yet","363","0.372768131303923","0.340394521613548","0.405141740994298"
"Min 1x per month","1995","lower secondary degree","1552","0.289998579978724","0.277890370919746","0.302106789037701"
"Min 1x per month","1995","secondary school degree","1099","0.300188865882138","0.28516234182764","0.315215389936635"
"Min 1x per month","1995","college entrance qualification","672","0.339362986330828","0.318139445816635","0.360586526845021"
"Min 1x per month","1995","Other degree","231","0.197858486626418","0.175108649917135","0.220608323335701"
"Min 1x per month","1995","no degree/no degree yet","201","0.272393276429197","0.242587240294792","0.302199312563603"
"Rarely","1995","lower secondary degree","1011","0.200020366169033","0.18934632334484","0.210694408993225"
"Rarely","1995","secondary school degree","719","0.216499725887404","0.202997074078119","0.230002377696689"
"Rarely","1995","college entrance qualification","475","0.278915904013871","0.258814159685477","0.299017648342265"
"Rarely","1995","Other degree","191","0.182018930076588","0.159984320947708","0.204053539205468"
"Rarely","1995","no degree/no degree yet","141","0.201427741811862","0.174575878266126","0.228279605357599"
"Never","1995","lower secondary degree","134","0.0270326589226506","0.0227050711967215","0.0313602466485796"
"Never","1995","secondary school degree","68","0.0236180728681166","0.0186395224222882","0.028596623313945"
"Never","1995","college entrance qualification","26","","",""
"Never","1995","Other degree","99","0.106755135753677","0.0891209627053994","0.124389308801954"
"Never","1995","no degree/no degree yet","61","0.0666119768640188","0.0499178021905272","0.0833061515375104"
"Daily","1996","lower secondary degree","","","",""
"Daily","1996","secondary school degree","","","",""
"Daily","1996","college entrance qualification","","","",""
"Daily","1996","Other degree","","","",""
"Daily","1996","no degree/no degree yet","","","",""
"Min 1x per week","1996","lower secondary degree","","","",""
"Min 1x per week","1996","secondary school degree","","","",""
"Min 1x per week","1996","college entrance qualification","","","",""
"Min 1x per week","1996","Other degree","","","",""
"Min 1x per week","1996","no degree/no degree yet","","","",""
"Min 1x per month","1996","lower secondary degree","","","",""
"Min 1x per month","1996","secondary school degree","","","",""
"Min 1x per month","1996","college entrance qualification","","","",""
"Min 1x per month","1996","Other degree","","","",""
"Min 1x per month","1996","no degree/no degree yet","","","",""
