"pli0081","year","age_gr","pgisced97","n","percent","lower_confidence","upper_confidence","value"
"Daily","1990","16-34 y.","in school","12","","","","1"
"Daily","1990","16-34 y.","inadequately","23","","","","1"
"Daily","1990","16-34 y.","general elemantary","101","0.0995997639027854","0.0804252108254778","0.118774316980093","1"
"Daily","1990","16-34 y.","middle vocational","156","0.0734352247580237","0.0612068853624739","0.0856635641535736","1"
"Daily","1990","16-34 y.","vocational + Abi","4","","","","1"
"Daily","1990","16-34 y.","higher vocational","9","","","","1"
"Daily","1990","16-34 y.","higher education","10","","","","1"
"Daily","1990","35-65 y.","in school","","","","","1"
"Daily","1990","35-65 y.","inadequately","53","0.12539478365362","0.0950324073953047","0.155757159911935","1"
"Daily","1990","35-65 y.","general elemantary","94","0.0758444418197952","0.0605362993191514","0.0911525843204389","1"
"Daily","1990","35-65 y.","middle vocational","115","0.0491694196145817","0.0403386158621561","0.0580002233670073","1"
"Daily","1990","35-65 y.","vocational + Abi","2","","","","1"
"Daily","1990","35-65 y.","higher vocational","13","","","","1"
"Daily","1990","35-65 y.","higher education","7","","","","1"
"Daily","1990","66 and older","in school","","","","","1"
"Daily","1990","66 and older","inadequately","2","","","","1"
"Daily","1990","66 and older","general elemantary","53","0.147921924658893","0.112366597930749","0.183477251387037","1"
"Daily","1990","66 and older","middle vocational","35","0.0694968698143109","0.0471848257229824","0.0918089139056393","1"
"Daily","1990","66 and older","vocational + Abi","3","","","","1"
"Daily","1990","66 and older","higher vocational","7","","","","1"
"Daily","1990","66 and older","higher education","4","","","","1"
"Min 1x per month","1990","66 and older","vocational + Abi","7","","","","3"
"Min 1x per month","1990","35-65 y.","in school","","","","","3"
"Min 1x per month","1990","35-65 y.","inadequately","84","0.178847675005346","0.143712388134043","0.213982961876648","3"
"Min 1x per month","1990","35-65 y.","vocational + Abi","26","","","","3"
"Min 1x per month","1990","66 and older","general elemantary","114","0.296924060874758","0.251165483104002","0.342682638645514","3"
"Min 1x per month","1990","66 and older","middle vocational","156","0.285992677406102","0.246344191436189","0.325641163376015","3"
"Min 1x per month","1990","35-65 y.","general elemantary","326","0.314285582057754","0.287443144823289","0.341128019292218","3"
"Min 1x per month","1990","35-65 y.","middle vocational","775","0.347314008019868","0.327868718312486","0.36675929772725","3"
"Min 1x per month","1990","35-65 y.","higher vocational","104","0.366746751828201","0.31009706097713","0.423396442679272","3"
"Min 1x per month","1990","35-65 y.","higher education","148","0.346209690547108","0.301654337915134","0.390765043179082","3"
"Min 1x per month","1990","66 and older","in school","","","","","3"
"Min 1x per month","1990","66 and older","inadequately","3","","","","3"
"Min 1x per month","1990","66 and older","higher vocational","23","","","","3"
"Min 1x per month","1990","66 and older","higher education","15","","","","3"
"Min 1x per month","1990","16-34 y.","in school","55","0.394317348033024","0.318828871193462","0.469805824872587","3"
"Min 1x per month","1990","16-34 y.","inadequately","30","0.239968166208567","0.173587403710683","0.306348928706452","3"
"Min 1x per month","1990","16-34 y.","general elemantary","211","0.282170839168346","0.253354095130919","0.310987583205773","3"
"Min 1x per month","1990","16-34 y.","middle vocational","455","0.285892054983913","0.264710377429994","0.307073732537831","3"
