"pli0081","year","migback","pgcasmin","n","percent","lower_confidence","upper_confidence"
"Daily","1990","no migration background","(0) in school","5","","",""
"Daily","1990","no migration background","(1a) inadequately completed","6","","",""
"Daily","1990","no migration background","(1b) general elementary school","122","0.104719096048795","0.0877109875266847","0.121727204570905"
"Daily","1990","no migration background","(1c) basic vocational qualification","175","0.0664520728355155","0.0568653668472116","0.0760387788238194"
"Daily","1990","no migration background","(2b) intermediate general qualification","20","","",""
"Daily","1990","no migration background","(2a) intermediate vocational","66","0.0518386982025028","0.0390363390102563","0.0646410573947492"
"Daily","1990","no migration background","(2c_gen) general maturity certificate","5","","",""
"Daily","1990","no migration background","(2c_voc) vocational maturity certificate","8","","",""
"Daily","1990","no migration background","(3a) lower tertiary education","6","","",""
"Daily","1990","no migration background","(3b) higher tertiary education","13","","",""
"Daily","1990","direct migration background","(0) in school","3","","",""
"Daily","1990","direct migration background","(1a) inadequately completed","74","0.119519424605452","0.0938393080684253","0.14519954114248"
"Daily","1990","direct migration background","(1b) general elementary school","92","0.105060117482701","0.0839044274114243","0.126215807553978"
"Daily","1990","direct migration background","(1c) basic vocational qualification","57","0.0869674585564998","0.0637937553301538","0.110141161782846"
"Daily","1990","direct migration background","(2b) intermediate general qualification","2","","",""
"Daily","1990","direct migration background","(2a) intermediate vocational","5","","",""
"Daily","1990","direct migration background","(2c_gen) general maturity certificate","5","","",""
"Daily","1990","direct migration background","(2c_voc) vocational maturity certificate","6","","",""
"Daily","1990","direct migration background","(3a) lower tertiary education","1","","",""
"Daily","1990","direct migration background","(3b) higher tertiary education","1","","",""
"Daily","1990","indirect migration background","(0) in school","4","","",""
"Daily","1990","indirect migration background","(1a) inadequately completed","4","","",""
"Daily","1990","indirect migration background","(1b) general elementary school","10","","",""
"Daily","1990","indirect migration background","(1c) basic vocational qualification","5","","",""
"Daily","1990","indirect migration background","(2b) intermediate general qualification","2","","",""
"Daily","1990","indirect migration background","(2a) intermediate vocational","2","","",""
"Daily","1990","indirect migration background","(2c_gen) general maturity certificate","1","","",""
"Daily","1990","indirect migration background","(2c_voc) vocational maturity certificate","","","",""
"Daily","1990","indirect migration background","(3a) lower tertiary education","","","",""
"Daily","1990","indirect migration background","(3b) higher tertiary education","","","",""
"Min 1x per week","1990","no migration background","(0) in school","18","","",""
"Min 1x per week","1990","no migration background","(1a) inadequately completed","16","","",""
"Min 1x per week","1990","no migration background","(1b) general elementary school","450","0.354348630202384","0.327779469672375","0.380917790732394"
"Min 1x per week","1990","no migration background","(1c) basic vocational qualification","964","0.365521893937149","0.346986071924938","0.384057715949361"
"Min 1x per week","1990","no migration background","(2b) intermediate general qualification","93","0.326677705466118","0.271347179879924","0.382008231052312"
"Min 1x per week","1990","no migration background","(2a) intermediate vocational","429","0.370394923245799","0.342508778657282","0.398281067834317"
"Min 1x per week","1990","no migration background","(2c_gen) general maturity certificate","73","0.337695262424596","0.27657635419938","0.398814170649813"
"Min 1x per week","1990","no migration background","(2c_voc) vocational maturity certificate","100","0.338688764772103","0.284591193038527","0.392786336505679"
"Min 1x per week","1990","no migration background","(3a) lower tertiary education","77","0.405844221108885","0.339110357487716","0.472578084730054"
"Min 1x per week","1990","no migration background","(3b) higher tertiary education","113","0.291721576026482","0.24700802936072","0.336435122692245"
"Min 1x per week","1990","direct migration background","(0) in school","10","","",""
"Min 1x per week","1990","direct migration background","(1a) inadequately completed","265","0.395855697560784","0.357142713755805","0.434568681365763"
"Min 1x per week","1990","direct migration background","(1b) general elementary school","353","0.417587244227583","0.383562068662772","0.451612419792393"
"Min 1x per week","1990","direct migration background","(1c) basic vocational qualification","217","0.364477154585818","0.324897257320197","0.404057051851439"
"Min 1x per week","1990","direct migration background","(2b) intermediate general qualification","18","","",""
"Min 1x per week","1990","direct migration background","(2a) intermediate vocational","37","0.303281628546098","0.210846303804072","0.395716953288123"
"Min 1x per week","1990","direct migration background","(2c_gen) general maturity certificate","34","0.328979938533956","0.232446037985135","0.425513839082777"
"Min 1x per week","1990","direct migration background","(2c_voc) vocational maturity certificate","41","0.323108747947342","0.236108515985341","0.410108979909343"
"Min 1x per week","1990","direct migration background","(3a) lower tertiary education","5","","",""
"Min 1x per week","1990","direct migration background","(3b) higher tertiary education","21","","",""
"Min 1x per week","1990","indirect migration background","(0) in school","11","","",""
"Min 1x per week","1990","indirect migration background","(1a) inadequately completed","5","","",""
"Min 1x per week","1990","indirect migration background","(1b) general elementary school","36","0.353617395788504","0.252573401387633","0.454661390189374"
"Min 1x per week","1990","indirect migration background","(1c) basic vocational qualification","32","0.521096437560555","0.3936272637032","0.64856561141791"
"Min 1x per week","1990","indirect migration background","(2b) intermediate general qualification","11","","",""
