"pli0081","year","bula_h","pgisced97","n","percent","lower_confidence","upper_confidence","value"
"Daily","1990","Schleswig-Holstein","in school","","","","","1"
"Daily","1990","Schleswig-Holstein","inadequately","2","","","","1"
"Daily","1990","Schleswig-Holstein","general elemantary","14","","","","1"
"Daily","1990","Schleswig-Holstein","middle vocational","9","","","","1"
"Daily","1990","Schleswig-Holstein","vocational + Abi","","","","","1"
"Daily","1990","Schleswig-Holstein","higher vocational","","","","","1"
"Daily","1990","Schleswig-Holstein","higher education","","","","","1"
"Daily","1990","Hamburg","in school","","","","","1"
"Daily","1990","Hamburg","inadequately","1","","","","1"
"Daily","1990","Hamburg","general elemantary","2","","","","1"
"Daily","1990","Hamburg","middle vocational","","","","","1"
"Daily","1990","Hamburg","vocational + Abi","","","","","1"
"Daily","1990","Hamburg","higher vocational","2","","","","1"
"Daily","1990","Hamburg","higher education","","","","","1"
"Daily","1990","Lower Saxony","in school","","","","","1"
"Daily","1990","Lower Saxony","inadequately","4","","","","1"
"Daily","1990","Lower Saxony","general elemantary","23","","","","1"
"Daily","1990","Lower Saxony","middle vocational","25","","","","1"
"Daily","1990","Lower Saxony","vocational + Abi","","","","","1"
"Daily","1990","Lower Saxony","higher vocational","3","","","","1"
"Daily","1990","Lower Saxony","higher education","4","","","","1"
"Daily","1990","Bremen","in school","","","","","1"
"Daily","1990","Bremen","inadequately","","","","","1"
"Daily","1990","Bremen","general elemantary","1","","","","1"
"Daily","1990","Bremen","middle vocational","3","","","","1"
"Daily","1990","Bremen","vocational + Abi","","","","","1"
"Daily","1990","Bremen","higher vocational","","","","","1"
"Daily","1990","Bremen","higher education","","","","","1"
"Daily","1990","North Rhine-Westphalia","in school","4","","","","1"
"Daily","1990","North Rhine-Westphalia","inadequately","17","","","","1"
"Daily","1990","North Rhine-Westphalia","general elemantary","57","0.10042288026495","0.0768024156582753","0.124043344871624","1"
"Daily","1990","North Rhine-Westphalia","middle vocational","71","0.0539501933925777","0.0412937731793652","0.0666066136057903","1"
"Daily","1990","North Rhine-Westphalia","vocational + Abi","2","","","","1"
"Daily","1990","North Rhine-Westphalia","higher vocational","5","","","","1"
"Daily","1990","North Rhine-Westphalia","higher education","6","","","","1"
"Daily","1990","Hesse","in school","2","","","","1"
"Daily","1990","Hesse","inadequately","10","","","","1"
"Daily","1990","Hesse","general elemantary","26","","","","1"
