"pli0081","year","age_gr","sex","n","percent","lower_confidence","upper_confidence","value"
"Daily","1990","16-34 y.","Male","130","0.0524376127334865","0.0423047126849929","0.06257051278198","1"
"Daily","1990","16-34 y.","Female","196","0.0928788749281613","0.0794172192740787","0.106340530582244","1"
"Daily","1990","35-65 y.","Male","114","0.0414001652432726","0.0334300943885019","0.0493702360980432","1"
"Daily","1990","35-65 y.","Female","170","0.0623154478083674","0.0525916935540789","0.072039202062656","1"
"Daily","1990","66 and older","Male","27","","","","1"
"Daily","1990","66 and older","Female","77","0.122734393642467","0.0973125644625009","0.148156222822433","1"
"Min 1x per month","1990","16-34 y.","Female","450","0.288105256554566","0.267101796366721","0.30910871674241","3"
"Min 1x per month","1990","16-34 y.","Male","508","0.311031050817719","0.289987932618901","0.332074169016537","3"
"Min 1x per month","1990","35-65 y.","Male","739","0.33855484352361","0.31962252048365","0.357487166563569","3"
"Min 1x per month","1990","35-65 y.","Female","728","0.330516462173942","0.311594148709766","0.349438775638119","3"
"Min 1x per month","1990","66 and older","Male","131","0.303149782207093","0.258982591542007","0.347316972872179","3"
"Min 1x per month","1990","66 and older","Female","187","0.280340578666052","0.245541752514164","0.315139404817941","3"
"Min 1x per week","1990","16-34 y.","Female","761","0.413262363678961","0.390425194725598","0.436099532632325","2"
"Min 1x per week","1990","16-34 y.","Male","745","0.376299744984805","0.354277412308179","0.398322077661432","2"
"Min 1x per week","1990","35-65 y.","Male","793","0.313402440987451","0.294843859204185","0.331961022770716","2"
"Min 1x per week","1990","35-65 y.","Female","864","0.355454525499688","0.336200278473846","0.374708772525531","2"
"Min 1x per week","1990","66 and older","Male","142","0.332258307953787","0.286995280691438","0.377521335216136","2"
"Min 1x per week","1990","66 and older","Female","230","0.351841513256413","0.314844024239704","0.388839002273122","2"
"Never","1990","16-34 y.","Male","74","0.0282574266726447","0.0207247328395325","0.0357901205057569","5"
"Never","1990","16-34 y.","Female","52","0.0166305182701135","0.0106996453490624","0.0225613911911647","5"
"Never","1990","35-65 y.","Male","119","0.0294553527271815","0.0226909050260497","0.0362198004283134","5"
