"pli0081","year","pgisced97","sex","n","percent","lower_confidence","upper_confidence","value"
"Daily","1990","in school","Male","5","","","","1"
"Daily","1990","in school","Female","7","","","","1"
"Daily","1990","inadequately","Male","32","0.101597273560038","0.0647322262656993","0.138462320854377","1"
"Daily","1990","inadequately","Female","46","0.122127057650786","0.0890310241659793","0.155223091135594","1"
"Daily","1990","general elemantary","Male","69","0.06862421532987","0.0518153123775245","0.0854331182822156","1"
"Daily","1990","general elemantary","Female","179","0.113773887853692","0.0982148882325101","0.129332887474874","1"
"Daily","1990","middle vocational","Male","131","0.0479612815985435","0.0395206146927184","0.0564019485043686","1"
"Daily","1990","middle vocational","Female","175","0.0743202108434312","0.063069843549459","0.0855705781374034","1"
"Daily","1990","vocational + Abi","Male","4","","","","1"
"Daily","1990","vocational + Abi","Female","5","","","","1"
"Daily","1990","higher vocational","Male","12","","","","1"
"Daily","1990","higher vocational","Female","17","","","","1"
"Daily","1990","higher education","Male","13","","","","1"
"Daily","1990","higher education","Female","8","","","","1"
"Min 1x per month","1990","in school","Male","32","0.392291531513514","0.291973383606021","0.492609679421007","3"
"Min 1x per month","1990","in school","Female","23","","","","3"
"Min 1x per month","1990","inadequately","Male","47","0.171673608716948","0.125659527407304","0.217687690026593","3"
"Min 1x per month","1990","inadequately","Female","70","0.214498305566121","0.173008665753551","0.255987945378692","3"
"Min 1x per month","1990","general elemantary","Male","211","0.301962288360895","0.271437405935971","0.33248717078582","3"
"Min 1x per month","1990","general elemantary","Female","440","0.300339187927674","0.277877733430935","0.322800642424413","3"
"Min 1x per month","1990","middle vocational","Male","760","0.324257445753112","0.305767327872859","0.342747563633364","3"
"Min 1x per month","1990","middle vocational","Female","626","0.3094275753358","0.289600120594853","0.329255030076748","3"
"Min 1x per month","1990","vocational + Abi","Male","57","0.390427251070956","0.316437308760567","0.464417193381346","3"
"Min 1x per month","1990","vocational + Abi","Female","33","0.310854654702761","0.230357536754964","0.391351772650558","3"
"Min 1x per month","1990","higher vocational","Male","104","0.368581083192739","0.312275838224823","0.424886328160655","3"
"Min 1x per month","1990","higher vocational","Female","83","0.322737523125912","0.262447515446091","0.383027530805733","3"
"Min 1x per month","1990","higher education","Male","144","0.315201193885548","0.273153992608941","0.357248395162154","3"
"Min 1x per month","1990","higher education","Female","84","0.352662506877193","0.290778934585491","0.414546079168896","3"
"Min 1x per week","1990","inadequately","Male","108","0.384395541284544","0.325037674177839","0.443753408391249","2"
"Min 1x per week","1990","in school","Male","24","","","","2"
"Min 1x per week","1990","in school","Female","15","","","","2"
"Min 1x per week","1990","inadequately","Female","159","0.373942899279762","0.32503671422421","0.422849084335314","2"
"Min 1x per week","1990","general elemantary","Male","333","0.337009761241378","0.305582031488552","0.368437490994204","2"
"Min 1x per week","1990","general elemantary","Female","616","0.365075951913446","0.341485264226536","0.388666639600355","2"
"Min 1x per week","1990","middle vocational","Male","904","0.350432926476751","0.331586955381593","0.369278897571908","2"
"Min 1x per week","1990","middle vocational","Female","823","0.387261019511479","0.366366976186764","0.408155062836195","2"
"Min 1x per week","1990","vocational + Abi","Male","51","0.28667175728312","0.218087092637895","0.355256421928345","2"
"Min 1x per week","1990","vocational + Abi","Female","57","0.418733314485589","0.332930268732166","0.504536360239012","2"
"Min 1x per week","1990","higher vocational","Male","84","0.28795233153178","0.235103137216065","0.340801525847495","2"
"Min 1x per week","1990","higher vocational","Female","77","0.359852967176517","0.29795954252486","0.421746391828174","2"
"Min 1x per week","1990","higher education","Male","150","0.336806366256934","0.294033141884631","0.379579590629236","2"
"Min 1x per week","1990","higher education","Female","66","0.293981099512717","0.234974821856775","0.352987377168659","2"
"Never","1990","in school","Male","6","","","","5"
"Never","1990","vocational + Abi","Female","5","","","","5"
"Never","1990","higher vocational","Male","4","","","","5"
"Never","1990","higher vocational","Female","3","","","","5"
"Never","1990","higher education","Male","9","","","","5"
"Never","1990","higher education","Female","2","","","","5"
"Never","1990","in school","Female","6","","","","5"
"Never","1990","inadequately","Male","24","","","","5"
"Never","1990","inadequately","Female","40","0.104575829877515","0.0736455225708385","0.135506137184191","5"
"Never","1990","general elemantary","Male","71","0.05539367017281","0.040184913944094","0.070602426401526","5"
"Never","1990","general elemantary","Female","63","0.030612338237232","0.0221715093720028","0.0390531671024611","5"
