"pli0081","year","hgtyp1hh","sex","n","percent","lower_confidence","upper_confidence"
"Daily","1990","1-pers.-HH","Male","18","","",""
"Daily","1990","1-pers.-HH","Female","76","0.109832589947687","0.0851804110328657","0.134484768862508"
"Daily","1990","(Married) couple without C. ","Male","74","0.0639210233963902","0.0497833717498308","0.0780586750429495"
"Daily","1990","(Married) couple without C. ","Female","110","0.0889282612290457","0.0725198941990344","0.105336628259057"
"Daily","1990","Single parent ","Male","12","","",""
"Daily","1990","Single parent ","Female","33","0.107974005849712","0.0714265989389893","0.144521412760435"
"Daily","1990","Couple + C. LE 16 ","Male","70","0.0519446271457758","0.0384249884757036","0.0654642658158479"
"Daily","1990","Couple + C. LE 16 ","Female","103","0.0856809789446426","0.068767563818674","0.102594394070611"
"Daily","1990","Couple + C. GT 16 ","Male","60","0.034302619778054","0.02375124261881","0.0448539969372979"
"Daily","1990","Couple + C. GT 16 ","Female","64","0.0431423562578239","0.0299342137799385","0.0563504987357093"
"Daily","1990","Couple + C. LE and GT 16","Male","20","","",""
"Daily","1990","Couple + C. LE and GT 16","Female","29","","",""
"Min 1x per week","1990","1-pers.-HH","Male","142","0.352406377789891","0.306444559232833","0.398368196346948"
"Min 1x per week","1990","1-pers.-HH","Female","208","0.343191485821331","0.305759618492046","0.380623353150616"
"Min 1x per week","1990","(Married) couple without C. ","Male","433","0.366347737369081","0.338501185705129","0.394194289033032"
"Min 1x per week","1990","(Married) couple without C. ","Female","467","0.406380769715526","0.378067519369823","0.434694020061229"
"Min 1x per week","1990","Single parent ","Male","52","0.253233132127919","0.190055232879529","0.316411031376309"
"Min 1x per week","1990","Single parent ","Female","90","0.315977734918337","0.261229317924238","0.370726151912436"
"Min 1x per week","1990","Couple + C. LE 16 ","Male","442","0.398025955541747","0.368204935408135","0.427846975675359"
"Min 1x per week","1990","Couple + C. LE 16 ","Female","469","0.430628252612738","0.400706333982984","0.460550171242492"
"Min 1x per week","1990","Couple + C. GT 16 ","Male","353","0.282240705842536","0.256147693901769","0.308333717783303"
"Min 1x per week","1990","Couple + C. GT 16 ","Female","320","0.333836952682265","0.303180378452348","0.364493526912182"
"Min 1x per week","1990","Couple + C. LE and GT 16","Male","151","0.271920370867537","0.231259236804526","0.312581504930549"
"Min 1x per week","1990","Couple + C. LE and GT 16","Female","149","0.320967714056388","0.276739226014826","0.365196202097949"
"Min 1x per month","1990","1-pers.-HH","Male","93","0.248206420757803","0.206646007747193","0.289766833768414"
"Min 1x per month","1990","1-pers.-HH","Female","172","0.284554199841432","0.248980853330341","0.320127546352522"
"Min 1x per month","1990","(Married) couple without C. ","Male","369","0.335836911621163","0.308540802080789","0.363133021161537"
"Min 1x per month","1990","(Married) couple without C. ","Female","353","0.31819338335326","0.291343317697321","0.345043449009199"
"Min 1x per month","1990","Single parent ","Male","49","0.304367129900696","0.237517144136598","0.371217115664794"
"Min 1x per month","1990","Single parent ","Female","77","0.315569526173812","0.260840161791497","0.370298890556126"
"Min 1x per month","1990","Couple + C. LE 16 ","Male","297","0.331816071177913","0.303129764474977","0.360502377880848"
"Min 1x per month","1990","Couple + C. LE 16 ","Female","274","0.294307032345367","0.266768015247144","0.32184604944359"
"Min 1x per month","1990","Couple + C. GT 16 ","Male","358","0.346692674738205","0.319102396990312","0.374282952486098"
"Min 1x per month","1990","Couple + C. GT 16 ","Female","278","0.340597980717229","0.309790064807279","0.37140589662718"
