"pli0081","year","bula_h","migback","n","percent","lower_confidence","upper_confidence","value"
"Daily","1990","Schleswig-Holstein","no migration background","16","","","","1"
"Daily","1990","Schleswig-Holstein","direct migration background","9","","","","1"
"Daily","1990","Schleswig-Holstein","indirect migration background","1","","","","1"
"Daily","1990","Hamburg","no migration background","1","","","","1"
"Daily","1990","Hamburg","direct migration background","3","","","","1"
"Daily","1990","Hamburg","indirect migration background","1","","","","1"
"Daily","1990","Lower Saxony","no migration background","48","0.0607851298752029","0.0442692688006537","0.0773009909497521","1"
"Daily","1990","Lower Saxony","direct migration background","13","","","","1"
"Daily","1990","Lower Saxony","indirect migration background","","","","","1"
"Daily","1990","Bremen","no migration background","3","","","","1"
"Daily","1990","Bremen","direct migration background","1","","","","1"
"Daily","1990","Bremen","indirect migration background","","","","","1"
"Daily","1990","North Rhine-Westphalia","no migration background","104","0.0595986703945417","0.0486891989377676","0.0705081418513158","1"
"Daily","1990","North Rhine-Westphalia","direct migration background","53","0.0668750201607679","0.0480019554178259","0.0857480849037098","1"
"Daily","1990","North Rhine-Westphalia","indirect migration background","9","","","","1"
"Daily","1990","Hesse","no migration background","49","0.0662930785147686","0.0464845980429785","0.0861015589865587","1"
"Daily","1990","Hesse","direct migration background","34","0.0832546455705071","0.0542702682580138","0.112239022883","1"
"Daily","1990","Hesse","indirect migration background","3","","","","1"
"Daily","1990","Rhineland-Palatinate,Saarland","no migration background","64","0.116892669794419","0.0897686475297716","0.144016692059065","1"
"Daily","1990","Rhineland-Palatinate,Saarland","direct migration background","9","","","","1"
"Daily","1990","Rhineland-Palatinate,Saarland","indirect migration background","1","","","","1"
"Daily","1990","Baden-Württemberg","no migration background","77","0.0845452502550493","0.0676045537738911","0.101485946736207","1"
"Daily","1990","Baden-Württemberg","direct migration background","82","0.104046981996729","0.0812158689407797","0.126878095052679","1"
"Daily","1990","Baden-Württemberg","indirect migration background","10","","","","1"
"Daily","1990","Bavaria","no migration background","58","0.0549759488000092","0.0419818205095078","0.0679700770905106","1"
"Daily","1990","Bavaria","direct migration background","32","0.0745062200485823","0.047492910451845","0.10151952964532","1"
"Daily","1990","Bavaria","indirect migration background","1","","","","1"
"Daily","1990","Berlin","no migration background","12","","","","1"
"Daily","1990","Berlin","direct migration background","18","","","","1"
"Daily","1990","Berlin","indirect migration background","2","","","","1"
"Daily","1990","Brandenburg","no migration background","","","","","1"
"Daily","1990","Brandenburg","direct migration background","","","","","1"
"Daily","1990","Brandenburg","indirect migration background","","","","","1"
"Daily","1990","Mecklenburg-Western Pomerania","no migration background","","","","","1"
"Daily","1990","Mecklenburg-Western Pomerania","direct migration background","","","","","1"
"Daily","1990","Mecklenburg-Western Pomerania","indirect migration background","","","","","1"
"Daily","1990","Saxony","no migration background","","","","","1"
"Daily","1990","Saxony","direct migration background","","","","","1"
"Daily","1990","Saxony","indirect migration background","","","","","1"
"Daily","1990","Saxony-Anhalt","no migration background","","","","","1"
"Daily","1990","Saxony-Anhalt","direct migration background","","","","","1"
"Daily","1990","Saxony-Anhalt","indirect migration background","","","","","1"
"Daily","1990","Thuringia","no migration background","","","","","1"
"Daily","1990","Thuringia","direct migration background","","","","","1"
"Daily","1990","Thuringia","indirect migration background","","","","","1"
"Min 1x per month","1990","Mecklenburg-Western Pomerania","direct migration background","","","","","3"
"Min 1x per month","1990","Brandenburg","indirect migration background","","","","","3"
"Min 1x per month","1990","Hamburg","direct migration background","7","","","","3"
"Min 1x per month","1990","Hamburg","indirect migration background","1","","","","3"
"Min 1x per month","1990","Mecklenburg-Western Pomerania","no migration background","","","","","3"
"Min 1x per month","1990","Schleswig-Holstein","no migration background","105","0.41331241457014","0.351901963302695","0.474722865837585","3"
"Min 1x per month","1990","Hamburg","no migration background","33","0.294579004290539","0.213355730240604","0.375802278340473","3"
"Min 1x per month","1990","Mecklenburg-Western Pomerania","indirect migration background","","","","","3"
"Min 1x per month","1990","Saxony","no migration background","","","","","3"
"Min 1x per month","1990","Saxony","direct migration background","","","","","3"
"Min 1x per month","1990","Schleswig-Holstein","direct migration background","3","","","","3"
"Min 1x per month","1990","Schleswig-Holstein","indirect migration background","","","","","3"
"Min 1x per month","1990","Lower Saxony","no migration background","297","0.352621870291458","0.319596043356591","0.385647697226325","3"
"Min 1x per month","1990","Lower Saxony","direct migration background","25","","","","3"
"Min 1x per month","1990","Lower Saxony","indirect migration background","3","","","","3"
"Min 1x per month","1990","Bremen","no migration background","29","","","","3"
"Min 1x per month","1990","Bremen","direct migration background","4","","","","3"
"Min 1x per month","1990","Bremen","indirect migration background","","","","","3"
"Min 1x per month","1990","North Rhine-Westphalia","no migration background","606","0.333717217036368","0.311987833290475","0.355446600782261","3"
"Min 1x per month","1990","North Rhine-Westphalia","direct migration background","122","0.216213438116533","0.185111975951785","0.247314900281282","3"
"Min 1x per month","1990","North Rhine-Westphalia","indirect migration background","20","","","","3"
"Min 1x per month","1990","Hesse","no migration background","198","0.319731381201926","0.282599698607269","0.356863063796582","3"
"Min 1x per month","1990","Hesse","direct migration background","68","0.21191442408758","0.169039602478219","0.254789245696941","3"
"Min 1x per month","1990","Hesse","indirect migration background","3","","","","3"
"Min 1x per month","1990","Rhineland-Palatinate,Saarland","no migration background","147","0.267569996109915","0.230197209772131","0.3049427824477","3"
"Min 1x per month","1990","Rhineland-Palatinate,Saarland","direct migration background","22","","","","3"
"Min 1x per month","1990","Rhineland-Palatinate,Saarland","indirect migration background","1","","","","3"
"Min 1x per month","1990","Baden-Württemberg","no migration background","325","0.308511190614151","0.280385949629035","0.336636431599267","3"
