"pli0081","year","pgcasmin","sex","n","percent","lower_confidence","upper_confidence"
"Daily","1990","(0) in school","Male","5","","",""
"Daily","1990","(0) in school","Female","7","","",""
"Daily","1990","(1a) inadequately completed","Male","35","0.105444636670096","0.0700966281204443","0.140792645219749"
"Daily","1990","(1a) inadequately completed","Female","49","0.127600998542235","0.0946980999012755","0.160503897183194"
"Daily","1990","(1b) general elementary school","Male","65","0.0753851038310564","0.0566887500302559","0.0940814576318569"
"Daily","1990","(1b) general elementary school","Female","159","0.115550935627375","0.098635071741005","0.132466799513746"
"Daily","1990","(1c) basic vocational qualification","Male","111","0.0557243497252659","0.0453414333786229","0.066107266071909"
"Daily","1990","(1c) basic vocational qualification","Female","126","0.0837833509280088","0.0689764250781403","0.0985902767778774"
"Daily","1990","(2b) intermediate general qualification","Male","4","","",""
"Daily","1990","(2b) intermediate general qualification","Female","20","","",""
"Daily","1990","(2a) intermediate vocational","Male","19","","",""
"Daily","1990","(2a) intermediate vocational","Female","54","0.0682006196513224","0.0499759447308639","0.0864252945717809"
"Daily","1990","(2c_gen) general maturity certificate","Male","5","","",""
"Daily","1990","(2c_gen) general maturity certificate","Female","6","","",""
"Daily","1990","(2c_voc) vocational maturity certificate","Male","7","","",""
"Daily","1990","(2c_voc) vocational maturity certificate","Female","7","","",""
"Daily","1990","(3a) lower tertiary education","Male","6","","",""
"Daily","1990","(3a) lower tertiary education","Female","1","","",""
"Daily","1990","(3b) higher tertiary education","Male","7","","",""
"Daily","1990","(3b) higher tertiary education","Female","7","","",""
"Min 1x per week","1990","(0) in school","Male","24","","",""
"Min 1x per week","1990","(0) in school","Female","15","","",""
"Min 1x per week","1990","(1a) inadequately completed","Male","118","0.354151113549804","0.299107256859715","0.409194970239894"
"Min 1x per week","1990","(1a) inadequately completed","Female","168","0.371346996852753","0.323698961476152","0.418995032229354"
"Min 1x per week","1990","(1b) general elementary school","Male","306","0.346589578591548","0.312889222902003","0.380289934281093"
"Min 1x per week","1990","(1b) general elementary school","Female","533","0.370699826056859","0.345142750768352","0.396256901345365"
"Min 1x per week","1990","(1c) basic vocational qualification","Male","683","0.346950868500356","0.325405477866226","0.368496259134487"
"Min 1x per week","1990","(1c) basic vocational qualification","Female","530","0.391907199207891","0.365817834705658","0.417996563710123"
"Min 1x per week","1990","(2b) intermediate general qualification","Male","35","0.303940374986459","0.221645102591695","0.386235647381223"
"Min 1x per week","1990","(2b) intermediate general qualification","Female","87","0.335099980619187","0.275256821107106","0.394943140131268"
"Min 1x per week","1990","(2a) intermediate vocational","Male","201","0.368134817963862","0.327074168348079","0.409195467579645"
"Min 1x per week","1990","(2a) intermediate vocational","Female","275","0.365157931797879","0.330350046456098","0.39996581713966"
"Min 1x per week","1990","(2c_gen) general maturity certificate","Male","64","0.285511230130427","0.224278411777477","0.346744048483376"
"Min 1x per week","1990","(2c_gen) general maturity certificate","Female","52","0.419032115859153","0.335178462636772","0.502885769081535"
"Min 1x per week","1990","(2c_voc) vocational maturity certificate","Male","69","0.277287502262132","0.21955903438156","0.335015970142704"
"Min 1x per week","1990","(2c_voc) vocational maturity certificate","Female","74","0.411517065566317","0.339825235748439","0.483208895384194"
