"pli0081","year","education","migback","n","percent","lower_confidence","upper_confidence"
"Daily","1990","lower secondary degree","no migration background","296","0.0794747619132244","0.0708885003777646","0.0880610234486843"
"Daily","1990","lower secondary degree","direct migration background","80","0.10755357570056","0.0825119262564343","0.132595225144686"
"Daily","1990","lower secondary degree","indirect migration background","14","","",""
"Daily","1990","secondary school degree","no migration background","87","0.0559966600525364","0.0442871590199504","0.0677061610851225"
"Daily","1990","secondary school degree","direct migration background","7","","",""
"Daily","1990","secondary school degree","indirect migration background","4","","",""
"Daily","1990","college entrance qualification","no migration background","29","","",""
"Daily","1990","college entrance qualification","direct migration background","4","","",""
"Daily","1990","college entrance qualification","indirect migration background","1","","",""
"Daily","1990","Other degree","no migration background","3","","",""
"Daily","1990","Other degree","direct migration background","78","0.0726947696065444","0.0562193364833224","0.0891702027297663"
"Daily","1990","Other degree","indirect migration background","1","","",""
"Daily","1990","no degree/no degree yet","no migration background","11","","",""
"Daily","1990","no degree/no degree yet","direct migration background","74","0.103857322608272","0.0801102213804847","0.127604423836059"
"Daily","1990","no degree/no degree yet","indirect migration background","7","","",""
"Min 1x per week","1990","lower secondary degree","no migration background","1405","0.361812382979145","0.346558249410651","0.377066516547639"
"Min 1x per week","1990","lower secondary degree","direct migration background","264","0.415881849676961","0.376044103329527","0.455719596024395"
"Min 1x per week","1990","lower secondary degree","indirect migration background","63","0.430865251267062","0.347639653500837","0.514090849033287"
"Min 1x per week","1990","secondary school degree","no migration background","541","0.362491296377044","0.338008421524112","0.386974171229976"
"Min 1x per week","1990","secondary school degree","direct migration background","57","0.311514172279432","0.237153832759237","0.385874511799627"
"Min 1x per week","1990","secondary school degree","indirect migration background","21","","",""
"Min 1x per week","1990","college entrance qualification","no migration background","339","0.333289054384844","0.304884722704343","0.361693386065344"
"Min 1x per week","1990","college entrance qualification","direct migration background","37","0.310221805474694","0.22710946708789","0.393334143861499"
"Min 1x per week","1990","college entrance qualification","indirect migration background","8","","",""
"Min 1x per week","1990","Other degree","no migration background","14","","",""
"Min 1x per week","1990","Other degree","direct migration background","368","0.328441421809491","0.298639462603575","0.358243381015408"
