"pli0081","year","education","pgisced97","n","percent","lower_confidence","upper_confidence"
"Daily","1990","lower secondary degree","in school","","","",""
"Daily","1990","lower secondary degree","inadequately","","","",""
"Daily","1990","lower secondary degree","general elemantary","171","0.107492230614802","0.0922581102628","0.122726350966803"
"Daily","1990","lower secondary degree","middle vocational","201","0.0681196848989798","0.0586232382765256","0.0776161315214339"
"Daily","1990","lower secondary degree","vocational + Abi","","","",""
"Daily","1990","lower secondary degree","higher vocational","16","","",""
"Daily","1990","lower secondary degree","higher education","2","","",""
"Daily","1990","secondary school degree","in school","","","",""
"Daily","1990","secondary school degree","inadequately","","","",""
"Daily","1990","secondary school degree","general elemantary","24","","",""
"Daily","1990","secondary school degree","middle vocational","65","0.0521993239656526","0.039072753293332","0.0653258946379732"
"Daily","1990","secondary school degree","vocational + Abi","","","",""
"Daily","1990","secondary school degree","higher vocational","8","","",""
"Daily","1990","secondary school degree","higher education","1","","",""
"Daily","1990","college entrance qualification","in school","","","",""
"Daily","1990","college entrance qualification","inadequately","","","",""
"Daily","1990","college entrance qualification","general elemantary","","","",""
"Daily","1990","college entrance qualification","middle vocational","7","","",""
"Daily","1990","college entrance qualification","vocational + Abi","5","","",""
"Daily","1990","college entrance qualification","higher vocational","5","","",""
"Daily","1990","college entrance qualification","higher education","17","","",""
"Daily","1990","Other degree","in school","","","",""
"Daily","1990","Other degree","inadequately","","","",""
"Daily","1990","Other degree","general elemantary","53","0.0932246179590479","0.0682828056855697","0.118166430232526"
"Daily","1990","Other degree","middle vocational","24","","",""
"Daily","1990","Other degree","vocational + Abi","4","","",""
"Daily","1990","Other degree","higher vocational","","","",""
"Daily","1990","Other degree","higher education","1","","",""
"Daily","1990","no degree/no degree yet","in school","12","","",""
"Daily","1990","no degree/no degree yet","inadequately","74","0.121101534034743","0.0949751771304717","0.147227890939014"
"Daily","1990","no degree/no degree yet","general elemantary","","","",""
"Daily","1990","no degree/no degree yet","middle vocational","6","","",""
"Daily","1990","no degree/no degree yet","vocational + Abi","","","",""
"Daily","1990","no degree/no degree yet","higher vocational","","","",""
"Daily","1990","no degree/no degree yet","higher education","","","",""
"Min 1x per week","1990","lower secondary degree","in school","","","",""
"Min 1x per week","1990","lower secondary degree","inadequately","","","",""
"Min 1x per week","1990","lower secondary degree","general elemantary","608","0.362861016498657","0.339212163182269","0.386509869815045"
"Min 1x per week","1990","lower secondary degree","middle vocational","1047","0.373213839887528","0.354983980587946","0.391443699187111"
"Min 1x per week","1990","lower secondary degree","vocational + Abi","4","","",""
"Min 1x per week","1990","lower secondary degree","higher vocational","68","0.308953935694374","0.248444312739719","0.369463558649029"
"Min 1x per week","1990","lower secondary degree","higher education","5","","",""
"Min 1x per week","1990","secondary school degree","in school","","","",""
"Min 1x per week","1990","secondary school degree","inadequately","","","",""
"Min 1x per week","1990","secondary school degree","general elemantary","122","0.32570881403367","0.277231409058084","0.374186219009255"
"Min 1x per week","1990","secondary school degree","middle vocational","421","0.369168758754368","0.340689452748299","0.397648064760436"
"Min 1x per week","1990","secondary school degree","vocational + Abi","","","",""
"Min 1x per week","1990","secondary school degree","higher vocational","56","0.346291435201344","0.273694367112215","0.418888503290473"
"Min 1x per week","1990","secondary school degree","higher education","20","","",""
"Min 1x per week","1990","college entrance qualification","in school","","","",""
"Min 1x per week","1990","college entrance qualification","inadequately","","","",""
"Min 1x per week","1990","college entrance qualification","general elemantary","","","",""
