"pli0081","year","education","hgtyp1hh","n","percent","lower_confidence","upper_confidence"
"Daily","1990","lower secondary degree","1-pers.-HH","64","0.106616275648512","0.0801913837443349","0.13304116755269"
"Daily","1990","lower secondary degree","(Married) couple without C. ","120","0.0886653935997057","0.0731593509512247","0.104171436248187"
"Daily","1990","lower secondary degree","Single parent ","26","","",""
"Daily","1990","lower secondary degree","Couple + C. LE 16 ","80","0.0799281374403363","0.0621618250388291","0.0976944498418435"
"Daily","1990","lower secondary degree","Couple + C. GT 16 ","57","0.0434841924105036","0.0305017709909023","0.056466613830105"
"Daily","1990","lower secondary degree","Couple + C. LE and GT 16","18","","",""
"Daily","1990","secondary school degree","1-pers.-HH","14","","",""
"Daily","1990","secondary school degree","(Married) couple without C. ","30","0.063027307253415","0.0402690564484924","0.0857855580583377"
"Daily","1990","secondary school degree","Single parent ","6","","",""
"Daily","1990","secondary school degree","Couple + C. LE 16 ","30","0.0664360889396133","0.0419997748039723","0.0908724030752543"
"Daily","1990","secondary school degree","Couple + C. GT 16 ","13","","",""
"Daily","1990","secondary school degree","Couple + C. LE and GT 16","4","","",""
"Daily","1990","college entrance qualification","1-pers.-HH","4","","",""
"Daily","1990","college entrance qualification","(Married) couple without C. ","11","","",""
"Daily","1990","college entrance qualification","Single parent ","3","","",""
"Daily","1990","college entrance qualification","Couple + C. LE 16 ","8","","",""
"Daily","1990","college entrance qualification","Couple + C. GT 16 ","7","","",""
"Daily","1990","college entrance qualification","Couple + C. LE and GT 16","","","",""
"Daily","1990","Other degree","1-pers.-HH","6","","",""
"Daily","1990","Other degree","(Married) couple without C. ","14","","",""
"Daily","1990","Other degree","Single parent ","2","","",""
"Daily","1990","Other degree","Couple + C. LE 16 ","26","","",""
"Daily","1990","Other degree","Couple + C. GT 16 ","16","","",""
"Daily","1990","Other degree","Couple + C. LE and GT 16","10","","",""
"Daily","1990","no degree/no degree yet","1-pers.-HH","5","","",""
"Daily","1990","no degree/no degree yet","(Married) couple without C. ","8","","",""
"Daily","1990","no degree/no degree yet","Single parent ","6","","",""
"Daily","1990","no degree/no degree yet","Couple + C. LE 16 ","23","","",""
"Daily","1990","no degree/no degree yet","Couple + C. GT 16 ","27","","",""
"Daily","1990","no degree/no degree yet","Couple + C. LE and GT 16","14","","",""
"Min 1x per week","1990","lower secondary degree","1-pers.-HH","177","0.331522232653255","0.291215066955887","0.371829398350624"
"Min 1x per week","1990","lower secondary degree","(Married) couple without C. ","526","0.401561948020393","0.374821366571444","0.428302529469343"
"Min 1x per week","1990","lower secondary degree","Single parent ","77","0.321805317544507","0.261298522715415","0.382312112373598"
"Min 1x per week","1990","lower secondary degree","Couple + C. LE 16 ","409","0.423514682175643","0.391143024865653","0.455886339485633"
"Min 1x per week","1990","lower secondary degree","Couple + C. GT 16 ","322","0.333580146183638","0.303566553584888","0.363593738782388"
"Min 1x per week","1990","lower secondary degree","Couple + C. LE and GT 16","106","0.300954918903809","0.252200728673855","0.349709109133763"
"Min 1x per week","1990","secondary school degree","1-pers.-HH","76","0.36062559245981","0.295211877436573","0.426039307483048"
"Min 1x per week","1990","secondary school degree","(Married) couple without C. ","187","0.388436077612108","0.342791231787876","0.43408092343634"
"Min 1x per week","1990","secondary school degree","Single parent ","24","","",""
"Min 1x per week","1990","secondary school degree","Couple + C. LE 16 ","177","0.441266306285921","0.392545501027859","0.489987111543983"
