"pli0081","year","bula_h","sampreg","n","percent","lower_confidence","upper_confidence","value"
"Daily","1990","Schleswig-Holstein","West Germany","26","","","","1"
"Daily","1990","Schleswig-Holstein","East Germany","","","","","1"
"Daily","1990","Hamburg","West Germany","5","","","","1"
"Daily","1990","Hamburg","East Germany","","","","","1"
"Daily","1990","Lower Saxony","West Germany","61","0.0609147558099976","0.0459174042798984","0.0759121073400967","1"
"Daily","1990","Lower Saxony","East Germany","","","","","1"
"Daily","1990","Bremen","West Germany","4","","","","1"
"Daily","1990","Bremen","East Germany","","","","","1"
"Daily","1990","North Rhine-Westphalia","West Germany","166","0.0611916018826485","0.0519196845504194","0.0704635192148777","1"
"Daily","1990","North Rhine-Westphalia","East Germany","","","","","1"
"Daily","1990","Hesse","West Germany","86","0.0697454629834725","0.0538384419636037","0.0856524840033412","1"
"Daily","1990","Hesse","East Germany","","","","","1"
"Daily","1990","Rhineland-Palatinate,Saarland","West Germany","74","0.112151567805034","0.0882579022605505","0.136045233349518","1"
"Daily","1990","Rhineland-Palatinate,Saarland","East Germany","","","","","1"
"Daily","1990","Baden-Württemberg","West Germany","169","0.0877096945042502","0.074627359865512","0.100792029142988","1"
"Daily","1990","Baden-Württemberg","East Germany","","","","","1"
"Daily","1990","Bavaria","West Germany","91","0.0564939147044141","0.0451707240274748","0.0678171053813534","1"
"Daily","1990","Bavaria","East Germany","","","","","1"
"Daily","1990","Berlin","West Germany","32","0.0518373741319424","0.027917767441543","0.0757569808223419","1"
"Daily","1990","Berlin","East Germany","","","","","1"
"Daily","1990","Brandenburg","West Germany","","","","","1"
"Daily","1990","Brandenburg","East Germany","","","","","1"
"Daily","1990","Mecklenburg-Western Pomerania","West Germany","","","","","1"
"Daily","1990","Mecklenburg-Western Pomerania","East Germany","","","","","1"
"Daily","1990","Saxony","West Germany","","","","","1"
"Daily","1990","Saxony","East Germany","","","","","1"
"Daily","1990","Saxony-Anhalt","West Germany","","","","","1"
"Daily","1990","Saxony-Anhalt","East Germany","","","","","1"
"Daily","1990","Thuringia","West Germany","","","","","1"
"Daily","1990","Thuringia","East Germany","","","","","1"
"Min 1x per month","1990","Hamburg","East Germany","","","","","3"
"Min 1x per month","1990","Saxony","East Germany","","","","","3"
"Min 1x per month","1990","Schleswig-Holstein","East Germany","","","","","3"
"Min 1x per month","1990","Hamburg","West Germany","41","0.286255305255732","0.217700472735567","0.354810137775898","3"
"Min 1x per month","1990","Mecklenburg-Western Pomerania","West Germany","","","","","3"
"Min 1x per month","1990","Mecklenburg-Western Pomerania","East Germany","","","","","3"
"Min 1x per month","1990","Saxony","West Germany","","","","","3"
"Min 1x per month","1990","Schleswig-Holstein","West Germany","108","0.398642941708934","0.341598528232824","0.455687355185044","3"
"Min 1x per month","1990","Brandenburg","East Germany","","","","","3"
"Min 1x per month","1990","Thuringia","East Germany","","","","","3"
"Min 1x per month","1990","Saxony-Anhalt","West Germany","","","","","3"
"Min 1x per month","1990","Saxony-Anhalt","East Germany","","","","","3"
"Min 1x per month","1990","Thuringia","West Germany","","","","","3"
"Min 1x per month","1990","Lower Saxony","West Germany","325","0.341905682148163","0.312161773480466","0.371649590815861","3"
"Min 1x per month","1990","Lower Saxony","East Germany","","","","","3"
"Min 1x per month","1990","Bremen","West Germany","33","0.339497211547362","0.248046958367088","0.430947464727637","3"
"Min 1x per month","1990","Bremen","East Germany","","","","","3"
"Min 1x per month","1990","North Rhine-Westphalia","West Germany","748","0.320030794388389","0.301985014164151","0.338076574612628","3"
"Min 1x per month","1990","North Rhine-Westphalia","East Germany","","","","","3"
"Min 1x per month","1990","Hesse","West Germany","269","0.302585171451095","0.273897230063929","0.33127311283826","3"
"Min 1x per month","1990","Hesse","East Germany","","","","","3"
"Min 1x per month","1990","Rhineland-Palatinate,Saarland","West Germany","170","0.26395898396609","0.230583319419063","0.297334648513118","3"
"Min 1x per month","1990","Rhineland-Palatinate,Saarland","East Germany","","","","","3"
"Min 1x per month","1990","Baden-Württemberg","West Germany","462","0.293320430606568","0.272264358961249","0.314376502251888","3"
