"pli0081","year","age_gr","e11103","n","percent","lower_confidence","upper_confidence","value"
"Daily","1990","16-34 y.","Full Time","154","0.0671626353692905","0.0559107871872709","0.0784144835513101","1"
"Daily","1990","16-34 y.","Part Time","80","0.0764054667256407","0.0583549632008464","0.094455970250435","1"
"Daily","1990","16-34 y.","Not Working","92","0.0791539798297482","0.0616321056467103","0.0966758540127862","1"
"Daily","1990","35-65 y.","Full Time","115","0.035600932990335","0.0283477271155741","0.0428541388650958","1"
"Daily","1990","35-65 y.","Part Time","61","0.0641194003324463","0.047756832361756","0.0804819683031366","1"
"Daily","1990","35-65 y.","Not Working","108","0.0713899665771278","0.0579316510537423","0.0848482821005133","1"
"Daily","1990","66 and older","Full Time","2","","","","1"
"Daily","1990","66 and older","Part Time","3","","","","1"
"Daily","1990","66 and older","Not Working","99","0.101668389340676","0.0830488407649759","0.120287937916375","1"
"Min 1x per month","1990","66 and older","Full Time","3","","","","3"
"Min 1x per month","1990","66 and older","Not Working","304","0.286078969844965","0.258235337599659","0.313922602090271","3"
"Min 1x per month","1990","35-65 y.","Not Working","415","0.319179047512292","0.294812776277017","0.343545318747567","3"
"Min 1x per month","1990","16-34 y.","Full Time","501","0.295174419005836","0.274670483830041","0.31567835418163","3"
"Min 1x per month","1990","16-34 y.","Part Time","206","0.283989145844971","0.253348557398624","0.314629734291318","3"
"Min 1x per month","1990","16-34 y.","Not Working","251","0.326881081310739","0.29643779982242","0.357324362799058","3"
"Min 1x per month","1990","35-65 y.","Full Time","773","0.344944975017388","0.326337616449319","0.363552333585457","3"
"Min 1x per month","1990","35-65 y.","Part Time","279","0.331271175328034","0.299832563521611","0.362709787134458","3"
"Min 1x per month","1990","66 and older","Part Time","11","","","","3"
"Min 1x per week","1990","16-34 y.","Not Working","320","0.314480569023127","0.284346521777998","0.344614616268256","2"
"Min 1x per week","1990","66 and older","Full Time","5","","","","2"
"Min 1x per week","1990","16-34 y.","Full Time","837","0.424011304074417","0.401795976054","0.446226632094834","2"
"Min 1x per week","1990","16-34 y.","Part Time","349","0.405235554181876","0.371876579136238","0.438594529227515","2"
"Min 1x per week","1990","35-65 y.","Not Working","523","0.367088143476785","0.34189326748034","0.392283019473231","2"
"Min 1x per week","1990","66 and older","Not Working","360","0.348152758420888","0.318802247137372","0.377503269704403","2"
"Min 1x per week","1990","35-65 y.","Part Time","291","0.326919406719478","0.295586520561566","0.35825229287739","2"
"Min 1x per week","1990","66 and older","Part Time","7","","","","2"
"Min 1x per week","1990","35-65 y.","Full Time","843","0.31752814728906","0.299305796157048","0.335750498421071","2"
"Never","1990","35-65 y.","Part Time","36","0.0300477211595233","0.0186445020472725","0.0414509402717741","5"
"Never","1990","35-65 y.","Full Time","118","0.0280858433858712","0.0216184599066035","0.0345532268651389","5"
"Never","1990","16-34 y.","Full Time","53","0.0166215177965412","0.0108743652788757","0.0223686703142067","5"
"Never","1990","16-34 y.","Part Time","25","","","","5"
"Never","1990","16-34 y.","Not Working","48","0.0357873620908437","0.0237313985671452","0.0478433256145422","5"
"Never","1990","35-65 y.","Not Working","62","0.0276589835491568","0.0190869701403763","0.0362309969579372","5"
"Never","1990","66 and older","Full Time","","","","","5"
"Never","1990","66 and older","Part Time","1","","","","5"
"Never","1990","66 and older","Not Working","38","0.0405768496924545","0.0284205305091264","0.0527331688757826","5"
"Rarely","1990","35-65 y.","Not Working","298","0.214683858884638","0.19322150314106","0.236146214628216","4"
"Rarely","1990","16-34 y.","Not Working","201","0.243697007745543","0.215834276909435","0.27155973858165","4"
"Rarely","1990","66 and older","Part Time","8","","","","4"
"Rarely","1990","66 and older","Not Working","211","0.223523032701017","0.197855550812919","0.249190514589116","4"
"Rarely","1990","16-34 y.","Full Time","356","0.197030123753916","0.179149898979166","0.214910348528666","4"
"Rarely","1990","16-34 y.","Part Time","172","0.211146427325373","0.18341472722435","0.238878127426396","4"
"Rarely","1990","35-65 y.","Part Time","194","0.247642296460518","0.218810539212763","0.276474053708273","4"
"Rarely","1990","66 and older","Full Time","4","","","","4"
"Rarely","1990","35-65 y.","Full Time","658","0.273840101317346","0.256384469283845","0.291295733350847","4"
"Daily","1991","16-34 y.","Full Time","","","","","1"
"Daily","1991","16-34 y.","Part Time","","","","","1"
"Daily","1991","16-34 y.","Not Working","","","","","1"
"Daily","1991","35-65 y.","Full Time","","","","","1"
"Daily","1991","35-65 y.","Part Time","","","","","1"
"Daily","1991","35-65 y.","Not Working","","","","","1"
"Daily","1991","66 and older","Full Time","","","","","1"
"Daily","1991","66 and older","Part Time","","","","","1"
"Daily","1991","66 and older","Not Working","","","","","1"
"Min 1x per month","1991","66 and older","Full Time","","","","","3"
"Min 1x per month","1991","35-65 y.","Not Working","","","","","3"
"Min 1x per month","1991","16-34 y.","Full Time","","","","","3"
"Min 1x per month","1991","16-34 y.","Part Time","","","","","3"
"Min 1x per month","1991","66 and older","Not Working","","","","","3"
"Min 1x per month","1991","16-34 y.","Not Working","","","","","3"
"Min 1x per month","1991","35-65 y.","Full Time","","","","","3"
"Min 1x per month","1991","35-65 y.","Part Time","","","","","3"
"Min 1x per month","1991","66 and older","Part Time","","","","","3"
"Min 1x per week","1991","16-34 y.","Not Working","","","","","2"
"Min 1x per week","1991","35-65 y.","Not Working","","","","","2"
"Min 1x per week","1991","66 and older","Full Time","","","","","2"
"Min 1x per week","1991","16-34 y.","Full Time","","","","","2"
"Min 1x per week","1991","16-34 y.","Part Time","","","","","2"
"Min 1x per week","1991","35-65 y.","Part Time","","","","","2"
"Min 1x per week","1991","66 and older","Not Working","","","","","2"
"Min 1x per week","1991","35-65 y.","Full Time","","","","","2"
"Min 1x per week","1991","66 and older","Part Time","","","","","2"
"Never","1991","35-65 y.","Part Time","","","","","5"
"Never","1991","16-34 y.","Full Time","","","","","5"
"Never","1991","35-65 y.","Full Time","","","","","5"
"Never","1991","16-34 y.","Part Time","","","","","5"
"Never","1991","16-34 y.","Not Working","","","","","5"
"Never","1991","35-65 y.","Not Working","","","","","5"
"Never","1991","66 and older","Full Time","","","","","5"
"Never","1991","66 and older","Part Time","","","","","5"
"Never","1991","66 and older","Not Working","","","","","5"
"Rarely","1991","16-34 y.","Not Working","","","","","4"
"Rarely","1991","35-65 y.","Not Working","","","","","4"
"Rarely","1991","16-34 y.","Part Time","","","","","4"
"Rarely","1991","66 and older","Part Time","","","","","4"
"Rarely","1991","66 and older","Not Working","","","","","4"
"Rarely","1991","16-34 y.","Full Time","","","","","4"
"Rarely","1991","35-65 y.","Full Time","","","","","4"
"Rarely","1991","35-65 y.","Part Time","","","","","4"
"Rarely","1991","66 and older","Full Time","","","","","4"
"Daily","1992","16-34 y.","Full Time","","","","","1"
"Daily","1992","16-34 y.","Part Time","","","","","1"
"Daily","1992","16-34 y.","Not Working","","","","","1"
"Daily","1992","35-65 y.","Full Time","","","","","1"
"Daily","1992","35-65 y.","Part Time","","","","","1"
"Daily","1992","35-65 y.","Not Working","","","","","1"
"Daily","1992","66 and older","Full Time","","","","","1"
"Daily","1992","66 and older","Part Time","","","","","1"
"Daily","1992","66 and older","Not Working","","","","","1"
"Min 1x per month","1992","16-34 y.","Part Time","","","","","3"
"Min 1x per month","1992","35-65 y.","Not Working","","","","","3"
"Min 1x per month","1992","66 and older","Full Time","","","","","3"
"Min 1x per month","1992","66 and older","Not Working","","","","","3"
"Min 1x per month","1992","16-34 y.","Full Time","","","","","3"
"Min 1x per month","1992","16-34 y.","Not Working","","","","","3"
"Min 1x per month","1992","35-65 y.","Full Time","","","","","3"
"Min 1x per month","1992","35-65 y.","Part Time","","","","","3"
"Min 1x per month","1992","66 and older","Part Time","","","","","3"
"Min 1x per week","1992","16-34 y.","Full Time","","","","","2"
"Min 1x per week","1992","16-34 y.","Part Time","","","","","2"
"Min 1x per week","1992","16-34 y.","Not Working","","","","","2"
"Min 1x per week","1992","35-65 y.","Part Time","","","","","2"
"Min 1x per week","1992","35-65 y.","Not Working","","","","","2"
"Min 1x per week","1992","66 and older","Full Time","","","","","2"
"Min 1x per week","1992","66 and older","Not Working","","","","","2"
"Min 1x per week","1992","35-65 y.","Full Time","","","","","2"
"Min 1x per week","1992","66 and older","Part Time","","","","","2"
"Never","1992","16-34 y.","Full Time","","","","","5"
"Never","1992","35-65 y.","Full Time","","","","","5"
"Never","1992","35-65 y.","Part Time","","","","","5"
"Never","1992","16-34 y.","Part Time","","","","","5"
"Never","1992","16-34 y.","Not Working","","","","","5"
"Never","1992","35-65 y.","Not Working","","","","","5"
"Never","1992","66 and older","Full Time","","","","","5"
"Never","1992","66 and older","Part Time","","","","","5"
"Never","1992","66 and older","Not Working","","","","","5"
"Rarely","1992","16-34 y.","Part Time","","","","","4"
"Rarely","1992","16-34 y.","Not Working","","","","","4"
"Rarely","1992","35-65 y.","Not Working","","","","","4"
"Rarely","1992","66 and older","Not Working","","","","","4"
"Rarely","1992","16-34 y.","Full Time","","","","","4"
"Rarely","1992","66 and older","Part Time","","","","","4"
"Rarely","1992","35-65 y.","Full Time","","","","","4"
"Rarely","1992","35-65 y.","Part Time","","","","","4"
"Rarely","1992","66 and older","Full Time","","","","","4"
"Daily","1993","16-34 y.","Full Time","","","","","1"
"Daily","1993","16-34 y.","Part Time","","","","","1"
"Daily","1993","16-34 y.","Not Working","","","","","1"
"Daily","1993","35-65 y.","Full Time","","","","","1"
"Daily","1993","35-65 y.","Part Time","","","","","1"
"Daily","1993","35-65 y.","Not Working","","","","","1"
"Daily","1993","66 and older","Full Time","","","","","1"
"Daily","1993","66 and older","Part Time","","","","","1"
"Daily","1993","66 and older","Not Working","","","","","1"
"Min 1x per month","1993","16-34 y.","Part Time","","","","","3"
"Min 1x per month","1993","16-34 y.","Not Working","","","","","3"
"Min 1x per month","1993","66 and older","Not Working","","","","","3"
"Min 1x per month","1993","35-65 y.","Not Working","","","","","3"
"Min 1x per month","1993","16-34 y.","Full Time","","","","","3"
"Min 1x per month","1993","35-65 y.","Part Time","","","","","3"
"Min 1x per month","1993","35-65 y.","Full Time","","","","","3"
