"pli0081","year","migback","sex","n","percent","lower_confidence","upper_confidence","value"
"Daily","1990","no migration background","Male","149","0.0456281707343391","0.0383889472442331","0.0528673942244451","1"
"Daily","1990","no migration background","Female","283","0.0831028396088704","0.073895841634302","0.0923098375834388","1"
"Daily","1990","direct migration background","Male","112","0.067748094327737","0.0542821995686599","0.081213989086814","1"
"Daily","1990","direct migration background","Female","142","0.100289575121983","0.0832797850393981","0.117299365204568","1"
"Daily","1990","indirect migration background","Male","10","","","","1"
"Daily","1990","indirect migration background","Female","18","","","","1"
"Min 1x per month","1990","no migration background","Female","1109","0.31481940507795","0.299328275874882","0.330310534281017","3"
"Min 1x per month","1990","no migration background","Male","1081","0.337727302913288","0.321320719112356","0.35413388671422","3"
"Min 1x per month","1990","direct migration background","Male","263","0.229736947685016","0.207196891680579","0.252277003689453","3"
"Min 1x per month","1990","direct migration background","Female","230","0.23934658597163","0.215184929238746","0.263508242704514","3"
"Min 1x per month","1990","indirect migration background","Male","34","0.323757284560518","0.247597595150493","0.399916973970542","3"
"Min 1x per month","1990","indirect migration background","Female","26","","","","3"
"Min 1x per week","1990","no migration background","Female","1293","0.371650813652232","0.355532564142802","0.387769063161662","2"
"Min 1x per week","1990","no migration background","Male","1076","0.335075469206093","0.318700739322438","0.351450199089747","2"
"Min 1x per week","1990","direct migration background","Male","542","0.358412687547113","0.332718221013468","0.384107154080758","2"
"Min 1x per week","1990","direct migration background","Female","496","0.376790237261843","0.349350078054737","0.40423039646895","2"
"Min 1x per week","1990","indirect migration background","Male","62","0.329200318234608","0.252712788147801","0.405687848321416","2"
"Min 1x per week","1990","indirect migration background","Female","66","0.373574481528386","0.295900015111726","0.451248947945046","2"
"Never","1990","no migration background","Male","62","0.0197741601885869","0.0149443646379323","0.0246039557392415","5"
"Never","1990","no migration background","Female","68","0.0235364590628629","0.0184799780472119","0.0285929400785138","5"
"Never","1990","direct migration background","Male","134","0.097324394923815","0.0814427038734065","0.113206085974224","5"
"Never","1990","direct migration background","Female","98","0.0565820806857348","0.0434989644660797","0.0696651969053899","5"
"Never","1990","indirect migration background","Male","13","","","","5"
"Never","1990","indirect migration background","Female","6","","","","5"
"Rarely","1990","no migration background","Female","700","0.206890482598085","0.19337950919927","0.2204014559969","4"
"Rarely","1990","direct migration background","Male","287","0.246777875516319","0.223676668129939","0.269879082902698","4"
"Rarely","1990","no migration background","Male","824","0.261794896957693","0.246544338068983","0.277045455846404","4"
"Rarely","1990","indirect migration background","Male","26","","","","4"
"Rarely","1990","direct migration background","Female","232","0.226991520958809","0.203271414806169","0.250711627111449","4"
