"pli0081","year","pgisced97","regtyp","n","percent","lower_confidence","upper_confidence"
"Daily","1990","in school","Urban Area","10","","",""
"Daily","1990","in school","Rural Area","2","","",""
"Daily","1990","inadequately","Urban Area","65","0.115692311109558","0.0890094435181338","0.142375178700983"
"Daily","1990","inadequately","Rural Area","13","","",""
"Daily","1990","general elemantary","Urban Area","210","0.112319082173489","0.0982682372343354","0.126369927112642"
"Daily","1990","general elemantary","Rural Area","38","0.0692997741096543","0.0476580889766915","0.0909414592426172"
"Daily","1990","middle vocational","Urban Area","253","0.061196930220651","0.0533210847138308","0.0690727757274711"
"Daily","1990","middle vocational","Rural Area","53","0.0576633340474016","0.0431574175062365","0.0721692505885668"
"Daily","1990","vocational + Abi","Urban Area","6","","",""
"Daily","1990","vocational + Abi","Rural Area","3","","",""
"Daily","1990","higher vocational","Urban Area","23","","",""
"Daily","1990","higher vocational","Rural Area","6","","",""
"Daily","1990","higher education","Urban Area","18","","",""
"Daily","1990","higher education","Rural Area","3","","",""
"Min 1x per week","1990","in school","Urban Area","33","0.195164099355719","0.127808158551646","0.262520040159791"
"Min 1x per week","1990","in school","Rural Area","6","","",""
"Min 1x per week","1990","inadequately","Urban Area","243","0.390372298148842","0.349676422784631","0.431068173513052"
"Min 1x per week","1990","inadequately","Rural Area","24","","",""
"Min 1x per week","1990","general elemantary","Urban Area","767","0.371043976852711","0.349547362796524","0.392540590908897"
"Min 1x per week","1990","general elemantary","Rural Area","182","0.316652879110795","0.277012969085639","0.356292789135952"
"Min 1x per week","1990","middle vocational","Urban Area","1396","0.382558244172928","0.366588722798423","0.398527765547434"
"Min 1x per week","1990","middle vocational","Rural Area","331","0.318315010685435","0.28932738264784","0.34730263872303"
"Min 1x per week","1990","vocational + Abi","Urban Area","99","0.370388255323378","0.310883339612817","0.429893171033939"
"Min 1x per week","1990","vocational + Abi","Rural Area","9","","",""
"Min 1x per week","1990","higher vocational","Urban Area","127","0.316457681345869","0.271049292536468","0.361866070155271"
"Min 1x per week","1990","higher vocational","Rural Area","34","0.336632421202751","0.248323040352452","0.42494180205305"
"Min 1x per week","1990","higher education","Urban Area","184","0.325764323905149","0.288138797392599","0.363389850417698"
"Min 1x per week","1990","higher education","Rural Area","32","0.303743166012713","0.214497733560576","0.392988598464851"
"Min 1x per month","1990","in school","Urban Area","44","0.389870728950356","0.306982374853154","0.472759083047557"
"Min 1x per month","1990","in school","Rural Area","11","","",""
"Min 1x per month","1990","inadequately","Urban Area","100","0.186406041246063","0.153918832321551","0.218893250170575"
"Min 1x per month","1990","inadequately","Rural Area","17","","",""
"Min 1x per month","1990","general elemantary","Urban Area","473","0.277372798849685","0.257450643923719","0.297294953775651"
"Min 1x per month","1990","general elemantary","Rural Area","178","0.371529038137862","0.330351607463857","0.412706468811868"
"Min 1x per month","1990","middle vocational","Urban Area","1051","0.308879286807125","0.293697724488464","0.324060849125787"
"Min 1x per month","1990","middle vocational","Rural Area","335","0.345371956721215","0.315782765571586","0.374961147870844"
"Min 1x per month","1990","vocational + Abi","Urban Area","75","0.348858353253759","0.290129688025708","0.407587018481809"
"Min 1x per month","1990","vocational + Abi","Rural Area","15","","",""
"Min 1x per month","1990","higher vocational","Urban Area","149","0.367214618040643","0.32015116723534","0.414278068845946"
"Min 1x per month","1990","higher vocational","Rural Area","38","0.275785188791147","0.192268951626388","0.359301425955906"
"Min 1x per month","1990","higher education","Urban Area","197","0.335387571968898","0.297483778850482","0.373291365087313"
"Min 1x per month","1990","higher education","Rural Area","31","0.284303580647588","0.196764175314112","0.371842985981063"
"Rarely","1990","in school","Urban Area","36","0.335758800739954","0.25549885208892","0.416018749390988"
"Rarely","1990","in school","Rural Area","7","","",""
"Rarely","1990","inadequately","Urban Area","89","0.187734662398189","0.155158513192265","0.220310811604112"
"Rarely","1990","inadequately","Rural Area","19","","",""
"Rarely","1990","general elemantary","Urban Area","376","0.198469668791472","0.180721470213584","0.216217867369359"
"Rarely","1990","general elemantary","Rural Area","111","0.215864419871948","0.180804867429306","0.250923972314591"
"Rarely","1990","middle vocational","Urban Area","755","0.223933809316244","0.21023589847772","0.237631720154768"
"Rarely","1990","middle vocational","Rural Area","247","0.256557409684593","0.229379987892176","0.283734831477011"
"Rarely","1990","vocational + Abi","Urban Area","61","0.22968932244393","0.177858130931336","0.281520513956523"
"Rarely","1990","vocational + Abi","Rural Area","13","","",""
"Rarely","1990","higher vocational","Urban Area","98","0.245192787995532","0.203191033275422","0.287194542715643"
"Rarely","1990","higher vocational","Rural Area","31","0.30953867355964","0.22314560771204","0.395931739407241"
"Rarely","1990","higher education","Urban Area","186","0.288509497063782","0.252135621919705","0.324883372207859"
"Rarely","1990","higher education","Rural Area","36","0.374800865185079","0.280859367081803","0.468742363288356"
"Never","1990","in school","Urban Area","10","","",""
"Never","1990","in school","Rural Area","2","","",""
"Never","1990","inadequately","Urban Area","55","0.119794687097348","0.0927059147317297","0.146883459462967"
"Never","1990","inadequately","Rural Area","9","","",""
"Never","1990","general elemantary","Urban Area","114","0.0407944733326439","0.0319920200752413","0.0495969265900466"
"Never","1990","general elemantary","Rural Area","20","","",""
"Never","1990","middle vocational","Urban Area","103","0.0234317294830512","0.0184612464419661","0.0284022125241362"
"Never","1990","middle vocational","Rural Area","26","","",""
"Never","1990","vocational + Abi","Urban Area","12","","",""
"Never","1990","vocational + Abi","Rural Area","1","","",""
"Never","1990","higher vocational","Urban Area","6","","",""
"Never","1990","higher vocational","Rural Area","1","","",""
"Never","1990","higher education","Urban Area","11","","",""
"Never","1990","higher education","Rural Area","","","",""
"Daily","1991","in school","Urban Area","","","",""
"Daily","1991","in school","Rural Area","","","",""
"Daily","1991","inadequately","Urban Area","","","",""
"Daily","1991","inadequately","Rural Area","","","",""
"Daily","1991","general elemantary","Urban Area","","","",""
"Daily","1991","general elemantary","Rural Area","","","",""
"Daily","1991","middle vocational","Urban Area","","","",""
"Daily","1991","middle vocational","Rural Area","","","",""
"Daily","1991","vocational + Abi","Urban Area","","","",""
"Daily","1991","vocational + Abi","Rural Area","","","",""
"Daily","1991","higher vocational","Urban Area","","","",""
"Daily","1991","higher vocational","Rural Area","","","",""
"Daily","1991","higher education","Urban Area","","","",""
"Daily","1991","higher education","Rural Area","","","",""
"Min 1x per week","1991","in school","Urban Area","","","",""
"Min 1x per week","1991","in school","Rural Area","","","",""
"Min 1x per week","1991","inadequately","Urban Area","","","",""
"Min 1x per week","1991","inadequately","Rural Area","","","",""
"Min 1x per week","1991","general elemantary","Urban Area","","","",""
"Min 1x per week","1991","general elemantary","Rural Area","","","",""
"Min 1x per week","1991","middle vocational","Urban Area","","","",""
"Min 1x per week","1991","middle vocational","Rural Area","","","",""
"Min 1x per week","1991","vocational + Abi","Urban Area","","","",""
"Min 1x per week","1991","vocational + Abi","Rural Area","","","",""
"Min 1x per week","1991","higher vocational","Urban Area","","","",""
"Min 1x per week","1991","higher vocational","Rural Area","","","",""
"Min 1x per week","1991","higher education","Urban Area","","","",""
"Min 1x per week","1991","higher education","Rural Area","","","",""
"Min 1x per month","1991","in school","Urban Area","","","",""
"Min 1x per month","1991","in school","Rural Area","","","",""
"Min 1x per month","1991","inadequately","Urban Area","","","",""
"Min 1x per month","1991","inadequately","Rural Area","","","",""
"Min 1x per month","1991","general elemantary","Urban Area","","","",""
"Min 1x per month","1991","general elemantary","Rural Area","","","",""
"Min 1x per month","1991","middle vocational","Urban Area","","","",""
"Min 1x per month","1991","middle vocational","Rural Area","","","",""
"Min 1x per month","1991","vocational + Abi","Urban Area","","","",""
"Min 1x per month","1991","vocational + Abi","Rural Area","","","",""
"Min 1x per month","1991","higher vocational","Urban Area","","","",""
"Min 1x per month","1991","higher vocational","Rural Area","","","",""
"Min 1x per month","1991","higher education","Urban Area","","","",""
"Min 1x per month","1991","higher education","Rural Area","","","",""
"Rarely","1991","in school","Urban Area","","","",""
"Rarely","1991","in school","Rural Area","","","",""
"Rarely","1991","inadequately","Urban Area","","","",""
"Rarely","1991","inadequately","Rural Area","","","",""
"Rarely","1991","general elemantary","Urban Area","","","",""
"Rarely","1991","general elemantary","Rural Area","","","",""
"Rarely","1991","middle vocational","Urban Area","","","",""
"Rarely","1991","middle vocational","Rural Area","","","",""
"Rarely","1991","vocational + Abi","Urban Area","","","",""
"Rarely","1991","vocational + Abi","Rural Area","","","",""
"Rarely","1991","higher vocational","Urban Area","","","",""
"Rarely","1991","higher vocational","Rural Area","","","",""
"Rarely","1991","higher education","Urban Area","","","",""
"Rarely","1991","higher education","Rural Area","","","",""
"Never","1991","in school","Urban Area","","","",""
"Never","1991","in school","Rural Area","","","",""
"Never","1991","inadequately","Urban Area","","","",""
"Never","1991","inadequately","Rural Area","","","",""
"Never","1991","general elemantary","Urban Area","","","",""
"Never","1991","general elemantary","Rural Area","","","",""
"Never","1991","middle vocational","Urban Area","","","",""
"Never","1991","middle vocational","Rural Area","","","",""
"Never","1991","vocational + Abi","Urban Area","","","",""
"Never","1991","vocational + Abi","Rural Area","","","",""
"Never","1991","higher vocational","Urban Area","","","",""
"Never","1991","higher vocational","Rural Area","","","",""
"Never","1991","higher education","Urban Area","","","",""
"Never","1991","higher education","Rural Area","","","",""
"Daily","1992","in school","Urban Area","","","",""
"Daily","1992","in school","Rural Area","","","",""
"Daily","1992","inadequately","Urban Area","","","",""
"Daily","1992","inadequately","Rural Area","","","",""
"Daily","1992","general elemantary","Urban Area","","","",""
"Daily","1992","general elemantary","Rural Area","","","",""
"Daily","1992","middle vocational","Urban Area","","","",""
"Daily","1992","middle vocational","Rural Area","","","",""
"Daily","1992","vocational + Abi","Urban Area","","","",""
"Daily","1992","vocational + Abi","Rural Area","","","",""
"Daily","1992","higher vocational","Urban Area","","","",""
"Daily","1992","higher vocational","Rural Area","","","",""
"Daily","1992","higher education","Urban Area","","","",""
"Daily","1992","higher education","Rural Area","","","",""
"Min 1x per week","1992","in school","Urban Area","","","",""
"Min 1x per week","1992","in school","Rural Area","","","",""
"Min 1x per week","1992","inadequately","Urban Area","","","",""
"Min 1x per week","1992","inadequately","Rural Area","","","",""
"Min 1x per week","1992","general elemantary","Urban Area","","","",""
"Min 1x per week","1992","general elemantary","Rural Area","","","",""
"Min 1x per week","1992","middle vocational","Urban Area","","","",""
"Min 1x per week","1992","middle vocational","Rural Area","","","",""
"Min 1x per week","1992","vocational + Abi","Urban Area","","","",""
"Min 1x per week","1992","vocational + Abi","Rural Area","","","",""
"Min 1x per week","1992","higher vocational","Urban Area","","","",""
"Min 1x per week","1992","higher vocational","Rural Area","","","",""
"Min 1x per week","1992","higher education","Urban Area","","","",""
"Min 1x per week","1992","higher education","Rural Area","","","",""
"Min 1x per month","1992","in school","Urban Area","","","",""
"Min 1x per month","1992","in school","Rural Area","","","",""
"Min 1x per month","1992","inadequately","Urban Area","","","",""
"Min 1x per month","1992","inadequately","Rural Area","","","",""
"Min 1x per month","1992","general elemantary","Urban Area","","","",""
"Min 1x per month","1992","general elemantary","Rural Area","","","",""
"Min 1x per month","1992","middle vocational","Urban Area","","","",""
"Min 1x per month","1992","middle vocational","Rural Area","","","",""
"Min 1x per month","1992","vocational + Abi","Urban Area","","","",""
"Min 1x per month","1992","vocational + Abi","Rural Area","","","",""
"Min 1x per month","1992","higher vocational","Urban Area","","","",""
"Min 1x per month","1992","higher vocational","Rural Area","","","",""
"Min 1x per month","1992","higher education","Urban Area","","","",""
"Min 1x per month","1992","higher education","Rural Area","","","",""
"Rarely","1992","in school","Urban Area","","","",""
"Rarely","1992","in school","Rural Area","","","",""
"Rarely","1992","inadequately","Urban Area","","","",""
