"pli0081","year","pgisced97","sampreg","n","percent","lower_confidence","upper_confidence","value"
"Daily","1990","in school","West Germany","12","","","","1"
"Daily","1990","in school","East Germany","","","","","1"
"Daily","1990","inadequately","West Germany","78","0.112935569897057","0.0882980823097531","0.137573057484362","1"
"Daily","1990","inadequately","East Germany","","","","","1"
"Daily","1990","general elemantary","West Germany","248","0.101626381634322","0.0897079455304089","0.113544817738234","1"
"Daily","1990","general elemantary","East Germany","","","","","1"
"Daily","1990","middle vocational","West Germany","306","0.0603846587728692","0.0534634691109263","0.0673058484348122","1"
"Daily","1990","middle vocational","East Germany","","","","","1"
"Daily","1990","vocational + Abi","West Germany","9","","","","1"
"Daily","1990","vocational + Abi","East Germany","","","","","1"
"Daily","1990","higher vocational","West Germany","29","","","","1"
"Daily","1990","higher vocational","East Germany","","","","","1"
"Daily","1990","higher education","West Germany","21","","","","1"
"Daily","1990","higher education","East Germany","","","","","1"
"Min 1x per month","1990","in school","West Germany","55","0.394317348033024","0.318828871193462","0.469805824872587","3"
"Min 1x per month","1990","in school","East Germany","","","","","3"
"Min 1x per month","1990","inadequately","West Germany","117","0.195325055866738","0.164465286219793","0.226184825513683","3"
"Min 1x per month","1990","inadequately","East Germany","","","","","3"
"Min 1x per month","1990","general elemantary","West Germany","651","0.300775882625666","0.282686770501806","0.318864994749526","3"
"Min 1x per month","1990","general elemantary","East Germany","","","","","3"
"Min 1x per month","1990","middle vocational","West Germany","1386","0.317267895004332","0.303744659254387","0.330791130754278","3"
"Min 1x per month","1990","middle vocational","East Germany","","","","","3"
"Min 1x per month","1990","vocational + Abi","West Germany","90","0.35450192926012","0.299821589852546","0.409182268667693","3"
"Min 1x per month","1990","vocational + Abi","East Germany","","","","","3"
"Min 1x per month","1990","higher vocational","West Germany","187","0.347654203134707","0.306444253389559","0.388864152879856","3"
"Min 1x per month","1990","higher vocational","East Germany","","","","","3"
"Min 1x per month","1990","higher education","West Germany","228","0.327742886844835","0.292920805941861","0.362564967747809","3"
"Min 1x per month","1990","higher education","East Germany","","","","","3"
"Min 1x per week","1990","inadequately","West Germany","267","0.378622701588271","0.340866831911423","0.416378571265118","2"
"Min 1x per week","1990","in school","West Germany","39","0.198485097620034","0.136874573070969","0.260095622169098","2"
"Min 1x per week","1990","in school","East Germany","","","","","2"
"Min 1x per week","1990","inadequately","East Germany","","","","","2"
"Min 1x per week","1990","general elemantary","West Germany","949","0.357524751501901","0.338620094448312","0.376429408555491","2"
"Min 1x per week","1990","general elemantary","East Germany","","","","","2"
"Min 1x per week","1990","middle vocational","West Germany","1727","0.367790584905548","0.353779454471999","0.381801715339096","2"
"Min 1x per week","1990","middle vocational","East Germany","","","","","2"
"Min 1x per week","1990","vocational + Abi","West Germany","108","0.346294719934559","0.291908564805538","0.400680875063579","2"
"Min 1x per week","1990","vocational + Abi","East Germany","","","","","2"
"Min 1x per week","1990","higher vocational","West Germany","161","0.32077386581141","0.2803817975782","0.36116593404462","2"
"Min 1x per week","1990","higher vocational","East Germany","","","","","2"
"Min 1x per week","1990","higher education","West Germany","216","0.322468872359554","0.287792879446981","0.357144865272128","2"
"Min 1x per week","1990","higher education","East Germany","","","","","2"
"Never","1990","in school","West Germany","12","","","","5"
"Never","1990","vocational + Abi","East Germany","","","","","5"
"Never","1990","higher vocational","West Germany","7","","","","5"
"Never","1990","higher vocational","East Germany","","","","","5"
"Never","1990","higher education","West Germany","11","","","","5"
"Never","1990","higher education","East Germany","","","","","5"
"Never","1990","in school","East Germany","","","","","5"
"Never","1990","inadequately","West Germany","64","0.11237167144271","0.087787959438841","0.136955383446578","5"
"Never","1990","inadequately","East Germany","","","","","5"
"Never","1990","general elemantary","West Germany","134","0.0372797483641358","0.029807107921892","0.0447523888063795","5"
