"pli0081","year","bula_h","sex","n","percent","lower_confidence","upper_confidence"
"Daily","1990","Schleswig-Holstein","Male","7","","",""
"Daily","1990","Schleswig-Holstein","Female","19","","",""
"Daily","1990","Hamburg","Male","3","","",""
"Daily","1990","Hamburg","Female","2","","",""
"Daily","1990","Lower Saxony","Male","25","","",""
"Daily","1990","Lower Saxony","Female","36","0.0717657214182236","0.0489826663428178","0.0945487764936294"
"Daily","1990","Bremen","Male","1","","",""
"Daily","1990","Bremen","Female","3","","",""
"Daily","1990","North Rhine-Westphalia","Male","62","0.0442079493101192","0.0328849070013134","0.0555309916189251"
"Daily","1990","North Rhine-Westphalia","Female","104","0.0760941652238862","0.0616863219324086","0.0905020085153638"
"Daily","1990","Hesse","Male","35","0.0545770714437913","0.0345053916949659","0.0746487511926167"
"Daily","1990","Hesse","Female","51","0.0846783582394171","0.060103121428859","0.109253595049975"
"Daily","1990","Rhineland-Palatinate,Saarland","Male","29","","",""
"Daily","1990","Rhineland-Palatinate,Saarland","Female","45","0.128085924769689","0.0930250356029204","0.163146813936458"
"Daily","1990","Baden-Württemberg","Male","61","0.0505935147913991","0.0363066347419425","0.0648803948408557"
"Daily","1990","Baden-Württemberg","Female","108","0.121995634929131","0.100518015276666","0.143473254581595"
"Daily","1990","Bavaria","Male","36","0.0435761870308125","0.0293222516468068","0.0578301224148182"
"Daily","1990","Bavaria","Female","55","0.0686620817342396","0.051236553343847","0.0860876101246322"
"Daily","1990","Berlin","Male","12","","",""
"Daily","1990","Berlin","Female","20","","",""
"Daily","1990","Brandenburg","Male","","","",""
"Daily","1990","Brandenburg","Female","","","",""
"Daily","1990","Mecklenburg-Western Pomerania","Male","","","",""
"Daily","1990","Mecklenburg-Western Pomerania","Female","","","",""
"Daily","1990","Saxony","Male","","","",""
"Daily","1990","Saxony","Female","","","",""
"Daily","1990","Saxony-Anhalt","Male","","","",""
"Daily","1990","Saxony-Anhalt","Female","","","",""
"Daily","1990","Thuringia","Male","","","",""
"Daily","1990","Thuringia","Female","","","",""
"Min 1x per week","1990","Schleswig-Holstein","Male","40","0.274115396038317","0.199692073471484","0.348538718605149"
"Min 1x per week","1990","Schleswig-Holstein","Female","43","0.337297032473364","0.260343278997477","0.414250785949251"
"Min 1x per week","1990","Hamburg","Male","29","","",""
"Min 1x per week","1990","Hamburg","Female","34","0.327767157576126","0.229132158379997","0.426402156772256"
"Min 1x per week","1990","Lower Saxony","Male","161","0.31874091915363","0.277226355967146","0.360255482340114"
"Min 1x per week","1990","Lower Saxony","Female","172","0.318484588122653","0.27735951504579","0.359609661199516"
"Min 1x per week","1990","Bremen","Male","9","","",""
"Min 1x per week","1990","Bremen","Female","21","","",""
"Min 1x per week","1990","North Rhine-Westphalia","Male","486","0.37131933500516","0.344704727116656","0.397933942893664"
"Min 1x per week","1990","North Rhine-Westphalia","Female","522","0.395582822129987","0.369012516234965","0.422153128025009"
"Min 1x per week","1990","Hesse","Male","158","0.301758209467649","0.261198203911559","0.342318215023738"
"Min 1x per week","1990","Hesse","Female","178","0.360516560447905","0.318132565227964","0.402900555667846"
"Min 1x per week","1990","Rhineland-Palatinate,Saarland","Male","134","0.38823970944754","0.334926332384709","0.441553086510371"
"Min 1x per week","1990","Rhineland-Palatinate,Saarland","Female","143","0.389990396869896","0.338818599667826","0.441162194071966"
"Min 1x per week","1990","Baden-Württemberg","Male","354","0.352926652933033","0.321774873422219","0.384078432443847"
"Min 1x per week","1990","Baden-Württemberg","Female","371","0.384128975693937","0.352209989874906","0.416047961512967"
"Min 1x per week","1990","Bavaria","Male","263","0.309515940373381","0.277238185356957","0.341793695389805"
"Min 1x per week","1990","Bavaria","Female","309","0.374456990491507","0.341106410649073","0.407807570333941"
"Min 1x per week","1990","Berlin","Male","46","0.296162438516431","0.224286512900604","0.368038364132257"
"Min 1x per week","1990","Berlin","Female","62","0.338909415597414","0.2687798142986","0.409039016896228"
"Min 1x per week","1990","Brandenburg","Male","","","",""
"Min 1x per week","1990","Brandenburg","Female","","","",""
"Min 1x per week","1990","Mecklenburg-Western Pomerania","Male","","","",""
