"plh0196","year","age_gr","sex","n","percent","lower_confidence","upper_confidence"
"People are helpful","2003","16-34 y.","Male","884","0.299781973785633","0.282769129156987","0.316794818414279"
"People are helpful","2003","16-34 y.","Female","950","0.295180657775758","0.2788967242049","0.311464591346615"
"People are helpful","2003","35-65 y.","Male","1989","0.304273000968012","0.292782363400066","0.315763638535958"
"People are helpful","2003","35-65 y.","Female","2210","0.336590001169145","0.324985673415176","0.348194328923114"
"People are helpful","2003","66 and older","Male","796","0.489360948715977","0.465240921921837","0.513480975510117"
"People are helpful","2003","66 and older","Female","1058","0.540677613314855","0.518749298500731","0.56260592812898"
"People pursue self-interest","2003","16-34 y.","Male","1902","0.700218026214367","0.683205181585721","0.717230870843013"
"People pursue self-interest","2003","16-34 y.","Female","2064","0.704819342224242","0.688535408653385","0.7211032757951"
"People pursue self-interest","2003","35-65 y.","Male","4170","0.695726999031988","0.684236361464042","0.707217636599934"
"People pursue self-interest","2003","35-65 y.","Female","4160","0.663409998830855","0.651805671076886","0.675014326584824"
"People pursue self-interest","2003","66 and older","Male","854","0.510639051284023","0.486519024489883","0.534759078078163"
"People pursue self-interest","2003","66 and older","Female","926","0.459322386685145","0.43739407187102","0.481250701499269"
"People are helpful","2004","16-34 y.","Male","","","",""
"People are helpful","2004","16-34 y.","Female","","","",""
"People are helpful","2004","35-65 y.","Male","","","",""
"People are helpful","2004","35-65 y.","Female","","","",""
"People are helpful","2004","66 and older","Male","","","",""
"People are helpful","2004","66 and older","Female","","","",""
"People pursue self-interest","2004","16-34 y.","Male","","","",""
"People pursue self-interest","2004","16-34 y.","Female","","","",""
"People pursue self-interest","2004","35-65 y.","Male","","","",""
"People pursue self-interest","2004","35-65 y.","Female","","","",""
"People pursue self-interest","2004","66 and older","Male","","","",""
"People pursue self-interest","2004","66 and older","Female","","","",""
"People are helpful","2005","16-34 y.","Male","","","",""
"People are helpful","2005","16-34 y.","Female","","","",""
"People are helpful","2005","35-65 y.","Male","","","",""
"People are helpful","2005","35-65 y.","Female","","","",""
"People are helpful","2005","66 and older","Male","","","",""
"People are helpful","2005","66 and older","Female","","","",""
"People pursue self-interest","2005","16-34 y.","Male","","","",""
"People pursue self-interest","2005","16-34 y.","Female","","","",""
"People pursue self-interest","2005","35-65 y.","Male","","","",""
"People pursue self-interest","2005","35-65 y.","Female","","","",""
"People pursue self-interest","2005","66 and older","Male","","","",""
"People pursue self-interest","2005","66 and older","Female","","","",""
"People are helpful","2006","16-34 y.","Male","","","",""
"People are helpful","2006","16-34 y.","Female","","","",""
"People are helpful","2006","35-65 y.","Male","","","",""
"People are helpful","2006","35-65 y.","Female","","","",""
"People are helpful","2006","66 and older","Male","","","",""
"People are helpful","2006","66 and older","Female","","","",""
"People pursue self-interest","2006","16-34 y.","Male","","","",""
"People pursue self-interest","2006","16-34 y.","Female","","","",""
"People pursue self-interest","2006","35-65 y.","Male","","","",""
"People pursue self-interest","2006","35-65 y.","Female","","","",""
"People pursue self-interest","2006","66 and older","Male","","","",""
"People pursue self-interest","2006","66 and older","Female","","","",""
"People are helpful","2007","16-34 y.","Male","","","",""
"People are helpful","2007","16-34 y.","Female","","","",""
"People are helpful","2007","35-65 y.","Male","","","",""
"People are helpful","2007","35-65 y.","Female","","","",""
"People are helpful","2007","66 and older","Male","","","",""
"People are helpful","2007","66 and older","Female","","","",""
"People pursue self-interest","2007","16-34 y.","Male","","","",""
"People pursue self-interest","2007","16-34 y.","Female","","","",""
"People pursue self-interest","2007","35-65 y.","Male","","","",""
"People pursue self-interest","2007","35-65 y.","Female","","","",""
"People pursue self-interest","2007","66 and older","Male","","","",""
"People pursue self-interest","2007","66 and older","Female","","","",""
"People are helpful","2008","16-34 y.","Male","670","0.302949118467467","0.28310982589477","0.322788411040164"
"People are helpful","2008","16-34 y.","Female","777","0.317747047289573","0.298546949118854","0.336947145460292"
"People are helpful","2008","35-65 y.","Male","1656","0.315328529217107","0.302506987367796","0.328150071066418"
"People are helpful","2008","35-65 y.","Female","2022","0.34779920691643","0.335199616408441","0.360398797424418"
"People are helpful","2008","66 and older","Male","942","0.456959740154156","0.435241735698669","0.478677744609643"
"People are helpful","2008","66 and older","Female","1207","0.533875712466417","0.513349832192781","0.554401592740053"
"People pursue self-interest","2008","16-34 y.","Male","1391","0.697050881532533","0.677211588959836","0.71689017410523"
"People pursue self-interest","2008","16-34 y.","Female","1482","0.682252952710427","0.663052854539708","0.701453050881146"
"People pursue self-interest","2008","35-65 y.","Male","3389","0.684671470782893","0.671849928933583","0.697493012632204"
"People pursue self-interest","2008","35-65 y.","Female","3467","0.65220079308357","0.639601202575582","0.664800383591559"
"People pursue self-interest","2008","66 and older","Male","1079","0.543040259845844","0.521322255390357","0.564758264301331"
"People pursue self-interest","2008","66 and older","Female","1062","0.466124287533583","0.445598407259947","0.486650167807219"
