"plh0196","year","education","pgcasmin","n","percent","lower_confidence","upper_confidence"
"People are helpful","2003","lower secondary degree","(0) in school","","","",""
"People are helpful","2003","lower secondary degree","(1a) inadequately completed","","","",""
"People are helpful","2003","lower secondary degree","(1b) general elementary school","696","0.418105963455501","0.394795602326891","0.44141632458411"
"People are helpful","2003","lower secondary degree","(1c) basic vocational qualification","2205","0.374169936605391","0.361784430256502","0.386555442954279"
"People are helpful","2003","lower secondary degree","(2b) intermediate general qualification","","","",""
"People are helpful","2003","lower secondary degree","(2a) intermediate vocational","5","","",""
"People are helpful","2003","lower secondary degree","(2c_gen) general maturity certificate","2","","",""
"People are helpful","2003","lower secondary degree","(2c_voc) vocational maturity certificate","12","","",""
"People are helpful","2003","lower secondary degree","(3a) lower tertiary education","53","0.403679569477462","0.324365971227933","0.48299316772699"
"People are helpful","2003","lower secondary degree","(3b) higher tertiary education","18","","",""
"People are helpful","2003","secondary school degree","(0) in school","","","",""
"People are helpful","2003","secondary school degree","(1a) inadequately completed","","","",""
"People are helpful","2003","secondary school degree","(1b) general elementary school","","","",""
"People are helpful","2003","secondary school degree","(1c) basic vocational qualification","","","",""
"People are helpful","2003","secondary school degree","(2b) intermediate general qualification","215","0.316983328727977","0.280504410974604","0.353462246481349"
"People are helpful","2003","secondary school degree","(2a) intermediate vocational","1550","0.302547927252658","0.289910997831129","0.315184856674187"
"People are helpful","2003","secondary school degree","(2c_gen) general maturity certificate","2","","",""
"People are helpful","2003","secondary school degree","(2c_voc) vocational maturity certificate","17","","",""
"People are helpful","2003","secondary school degree","(3a) lower tertiary education","175","0.320685548183228","0.280836504381683","0.360534591984773"
"People are helpful","2003","secondary school degree","(3b) higher tertiary education","42","0.329457619470714","0.242410987153566","0.416504251787863"
"People are helpful","2003","college entrance qualification","(0) in school","","","",""
"People are helpful","2003","college entrance qualification","(1a) inadequately completed","","","",""
"People are helpful","2003","college entrance qualification","(1b) general elementary school","","","",""
"People are helpful","2003","college entrance qualification","(1c) basic vocational qualification","","","",""
"People are helpful","2003","college entrance qualification","(2b) intermediate general qualification","","","",""
"People are helpful","2003","college entrance qualification","(2a) intermediate vocational","","","",""
"People are helpful","2003","college entrance qualification","(2c_gen) general maturity certificate","269","0.321623876413881","0.288843781430988","0.354403971396774"
"People are helpful","2003","college entrance qualification","(2c_voc) vocational maturity certificate","387","0.323065728282926","0.297780370448869","0.348351086116983"
"People are helpful","2003","college entrance qualification","(3a) lower tertiary education","391","0.374983059726767","0.345067246087106","0.404898873366428"
"People are helpful","2003","college entrance qualification","(3b) higher tertiary education","937","0.410353700198429","0.390082626320552","0.430624774076305"
"People are helpful","2003","Other degree","(0) in school","","","",""
"People are helpful","2003","Other degree","(1a) inadequately completed","","","",""
"People are helpful","2003","Other degree","(1b) general elementary school","163","0.390774851949422","0.343137481288193","0.438412222610651"
"People are helpful","2003","Other degree","(1c) basic vocational qualification","158","0.389528008358765","0.341918051843349","0.43713796487418"
"People are helpful","2003","Other degree","(2b) intermediate general qualification","","","",""
"People are helpful","2003","Other degree","(2a) intermediate vocational","","","",""
"People are helpful","2003","Other degree","(2c_gen) general maturity certificate","24","","",""
"People are helpful","2003","Other degree","(2c_voc) vocational maturity certificate","46","0.212790071532906","0.14917346624037","0.276406676825441"
"People are helpful","2003","Other degree","(3a) lower tertiary education","10","","",""
"People are helpful","2003","Other degree","(3b) higher tertiary education","68","0.386628535022382","0.313639306754067","0.459617763290697"
"People are helpful","2003","no degree/no degree yet","(0) in school","245","0.386078351163747","0.347506846670526","0.424649855656968"
"People are helpful","2003","no degree/no degree yet","(1a) inadequately completed","98","0.338693261967655","0.282450273185102","0.394936250750207"
"People are helpful","2003","no degree/no degree yet","(1b) general elementary school","","","",""
"People are helpful","2003","no degree/no degree yet","(1c) basic vocational qualification","","","",""
"People are helpful","2003","no degree/no degree yet","(2b) intermediate general qualification","","","",""
"People are helpful","2003","no degree/no degree yet","(2a) intermediate vocational","","","",""
"People are helpful","2003","no degree/no degree yet","(2c_gen) general maturity certificate","","","",""
"People are helpful","2003","no degree/no degree yet","(2c_voc) vocational maturity certificate","","","",""
"People are helpful","2003","no degree/no degree yet","(3a) lower tertiary education","","","",""
"People are helpful","2003","no degree/no degree yet","(3b) higher tertiary education","","","",""
"People pursue self-interest","2003","lower secondary degree","(0) in school","","","",""
"People pursue self-interest","2003","lower secondary degree","(1a) inadequately completed","","","",""
"People pursue self-interest","2003","lower secondary degree","(1b) general elementary school","1024","0.581894036544499","0.55858367541589","0.605204397673109"
"People pursue self-interest","2003","lower secondary degree","(1c) basic vocational qualification","3659","0.625830063394609","0.613444557045721","0.638215569743498"
"People pursue self-interest","2003","lower secondary degree","(2b) intermediate general qualification","2","","",""
"People pursue self-interest","2003","lower secondary degree","(2a) intermediate vocational","17","","",""
"People pursue self-interest","2003","lower secondary degree","(2c_gen) general maturity certificate","9","","",""
"People pursue self-interest","2003","lower secondary degree","(2c_voc) vocational maturity certificate","20","","",""
