"plh0196","year","pgcasmin","pgisced97","n","percent","lower_confidence","upper_confidence"
"People are helpful","2003","(0) in school","in school","245","0.386078351163747","0.347506846670526","0.424649855656968"
"People are helpful","2003","(0) in school","inadequately","","","",""
"People are helpful","2003","(0) in school","general elemantary","","","",""
"People are helpful","2003","(0) in school","middle vocational","","","",""
"People are helpful","2003","(0) in school","vocational + Abi","","","",""
"People are helpful","2003","(0) in school","higher vocational","","","",""
"People are helpful","2003","(0) in school","higher education","","","",""
"People are helpful","2003","(1a) inadequately completed","in school","","","",""
"People are helpful","2003","(1a) inadequately completed","inadequately","83","0.357825700370588","0.29519041544832","0.420460985292856"
"People are helpful","2003","(1a) inadequately completed","general elemantary","","","",""
"People are helpful","2003","(1a) inadequately completed","middle vocational","15","","",""
"People are helpful","2003","(1a) inadequately completed","vocational + Abi","","","",""
"People are helpful","2003","(1a) inadequately completed","higher vocational","","","",""
"People are helpful","2003","(1a) inadequately completed","higher education","","","",""
"People are helpful","2003","(1b) general elementary school","in school","","","",""
"People are helpful","2003","(1b) general elementary school","inadequately","16","","",""
"People are helpful","2003","(1b) general elementary school","general elemantary","843","0.413968385784255","0.392852025730567","0.435084745837944"
"People are helpful","2003","(1b) general elementary school","middle vocational","","","",""
"People are helpful","2003","(1b) general elementary school","vocational + Abi","","","",""
"People are helpful","2003","(1b) general elementary school","higher vocational","","","",""
"People are helpful","2003","(1b) general elementary school","higher education","","","",""
"People are helpful","2003","(1c) basic vocational qualification","in school","","","",""
"People are helpful","2003","(1c) basic vocational qualification","inadequately","","","",""
"People are helpful","2003","(1c) basic vocational qualification","general elemantary","","","",""
"People are helpful","2003","(1c) basic vocational qualification","middle vocational","2195","0.377771650779083","0.365243398705489","0.390299902852677"
"People are helpful","2003","(1c) basic vocational qualification","vocational + Abi","","","",""
"People are helpful","2003","(1c) basic vocational qualification","higher vocational","168","0.343931011523631","0.302865526666768","0.384996496380493"
"People are helpful","2003","(1c) basic vocational qualification","higher education","","","",""
"People are helpful","2003","(2b) intermediate general qualification","in school","","","",""
"People are helpful","2003","(2b) intermediate general qualification","inadequately","","","",""
