"plh0196","year","pgcasmin","n","percent","lower_confidence","upper_confidence"
"People are helpful","2003","(0) in school","245","0.386078351163747","0.347506846670526","0.424649855656968"
"People are helpful","2003","(1a) inadequately completed","98","0.338693261967655","0.282450273185102","0.394936250750207"
"People are helpful","2003","(1b) general elementary school","859","0.414181398007544","0.393228216851289","0.4351345791638"
"People are helpful","2003","(1c) basic vocational qualification","2363","0.375130067038603","0.363143246727839","0.387116887349368"
"People are helpful","2003","(2b) intermediate general qualification","215","0.31622552949669","0.279828224680623","0.352622834312758"
"People are helpful","2003","(2a) intermediate vocational","1555","0.302361451190237","0.289754019579325","0.314968882801149"
"People are helpful","2003","(2c_gen) general maturity certificate","297","0.323245101474116","0.291967518188218","0.354522684760013"
"People are helpful","2003","(2c_voc) vocational maturity certificate","462","0.313916489990444","0.290790598175848","0.337042381805041"
"People are helpful","2003","(3a) lower tertiary education","630","0.363679769312866","0.340852392142832","0.3865071464829"
"People are helpful","2003","(3b) higher tertiary education","1067","0.405198315752758","0.386306094821631","0.424090536683885"
"People pursue self-interest","2003","(0) in school","367","0.613921648836253","0.575350144343032","0.652493153329474"
"People pursue self-interest","2003","(1a) inadequately completed","174","0.661306738032345","0.605063749249793","0.717549726814898"
"People pursue self-interest","2003","(1b) general elementary school","1264","0.585818601992456","0.5648654208362","0.606771783148711"
"People pursue self-interest","2003","(1c) basic vocational qualification","3904","0.624869932961397","0.612883112650632","0.636856753272161"
"People pursue self-interest","2003","(2b) intermediate general qualification","412","0.68377447050331","0.647377165687242","0.720171775319378"
"People pursue self-interest","2003","(2a) intermediate vocational","3543","0.697638548809763","0.685031117198851","0.710245980420675"
"People pursue self-interest","2003","(2c_gen) general maturity certificate","562","0.676754898525884","0.645477315239987","0.708032481811782"
"People pursue self-interest","2003","(2c_voc) vocational maturity certificate","1085","0.686083510009556","0.662957618194959","0.709209401824152"
"People pursue self-interest","2003","(3a) lower tertiary education","1076","0.636320230687134","0.6134928535171","0.659147607857168"
"People pursue self-interest","2003","(3b) higher tertiary education","1527","0.594801684247242","0.575909463316115","0.613693905178369"
"People are helpful","2004","(0) in school","","","",""
"People are helpful","2004","(1a) inadequately completed","","","",""
"People are helpful","2004","(1b) general elementary school","","","",""
"People are helpful","2004","(1c) basic vocational qualification","","","",""
"People are helpful","2004","(2b) intermediate general qualification","","","",""
"People are helpful","2004","(2a) intermediate vocational","","","",""
"People are helpful","2004","(2c_gen) general maturity certificate","","","",""
"People are helpful","2004","(2c_voc) vocational maturity certificate","","","",""
"People are helpful","2004","(3a) lower tertiary education","","","",""
"People are helpful","2004","(3b) higher tertiary education","","","",""
"People pursue self-interest","2004","(0) in school","","","",""
"People pursue self-interest","2004","(1a) inadequately completed","","","",""
"People pursue self-interest","2004","(1b) general elementary school","","","",""
"People pursue self-interest","2004","(1c) basic vocational qualification","","","",""
"People pursue self-interest","2004","(2b) intermediate general qualification","","","",""
"People pursue self-interest","2004","(2a) intermediate vocational","","","",""
"People pursue self-interest","2004","(2c_gen) general maturity certificate","","","",""
"People pursue self-interest","2004","(2c_voc) vocational maturity certificate","","","",""
"People pursue self-interest","2004","(3a) lower tertiary education","","","",""
"People pursue self-interest","2004","(3b) higher tertiary education","","","",""
"People are helpful","2005","(0) in school","","","",""
"People are helpful","2005","(1a) inadequately completed","","","",""
"People are helpful","2005","(1b) general elementary school","","","",""
"People are helpful","2005","(1c) basic vocational qualification","","","",""
"People are helpful","2005","(2b) intermediate general qualification","","","",""
"People are helpful","2005","(2a) intermediate vocational","","","",""
"People are helpful","2005","(2c_gen) general maturity certificate","","","",""
"People are helpful","2005","(2c_voc) vocational maturity certificate","","","",""
"People are helpful","2005","(3a) lower tertiary education","","","",""
"People are helpful","2005","(3b) higher tertiary education","","","",""
"People pursue self-interest","2005","(0) in school","","","",""
"People pursue self-interest","2005","(1a) inadequately completed","","","",""
"People pursue self-interest","2005","(1b) general elementary school","","","",""
"People pursue self-interest","2005","(1c) basic vocational qualification","","","",""
"People pursue self-interest","2005","(2b) intermediate general qualification","","","",""
"People pursue self-interest","2005","(2a) intermediate vocational","","","",""
"People pursue self-interest","2005","(2c_gen) general maturity certificate","","","",""
"People pursue self-interest","2005","(2c_voc) vocational maturity certificate","","","",""
"People pursue self-interest","2005","(3a) lower tertiary education","","","",""
"People pursue self-interest","2005","(3b) higher tertiary education","","","",""
"People are helpful","2006","(0) in school","","","",""
"People are helpful","2006","(1a) inadequately completed","","","",""
"People are helpful","2006","(1b) general elementary school","","","",""
"People are helpful","2006","(1c) basic vocational qualification","","","",""
"People are helpful","2006","(2b) intermediate general qualification","","","",""
"People are helpful","2006","(2a) intermediate vocational","","","",""
"People are helpful","2006","(2c_gen) general maturity certificate","","","",""
"People are helpful","2006","(2c_voc) vocational maturity certificate","","","",""
"People are helpful","2006","(3a) lower tertiary education","","","",""
"People are helpful","2006","(3b) higher tertiary education","","","",""
"People pursue self-interest","2006","(0) in school","","","",""
"People pursue self-interest","2006","(1a) inadequately completed","","","",""
"People pursue self-interest","2006","(1b) general elementary school","","","",""
"People pursue self-interest","2006","(1c) basic vocational qualification","","","",""
