"plh0196","year","e11102","pgisced97","n","percent","lower_confidence","upper_confidence"
"People are helpful","2003","Not Employed","in school","207","0.39387098228274","0.350871147810151","0.436870816755329"
"People are helpful","2003","Not Employed","inadequately","64","0.386865964138006","0.309944825461078","0.463787102814935"
"People are helpful","2003","Not Employed","general elemantary","649","0.456547453263662","0.431058217725052","0.482036688802272"
"People are helpful","2003","Not Employed","middle vocational","1772","0.429905147316193","0.414834021132567","0.44497627349982"
"People are helpful","2003","Not Employed","vocational + Abi","110","0.4579265880807","0.400485037756132","0.515368138405267"
"People are helpful","2003","Not Employed","higher vocational","179","0.361219117802051","0.318291491807665","0.404146743796437"
"People are helpful","2003","Not Employed","higher education","416","0.439236381190592","0.407726939507171","0.470745822874014"
"People are helpful","2003","Employed","in school","38","0.345520229838643","0.25898280848217","0.432057651195115"
"People are helpful","2003","Employed","inadequately","35","0.331006050121181","0.240566064962537","0.421446035279825"
"People are helpful","2003","Employed","general elemantary","409","0.311096553806395","0.285432818741504","0.336760288871286"
"People are helpful","2003","Employed","middle vocational","2066","0.289841350913213","0.279130269517732","0.300552432308694"
"People are helpful","2003","Employed","vocational + Abi","232","0.273163396542859","0.243313635701907","0.303013157383811"
"People are helpful","2003","Employed","higher vocational","342","0.280399962677542","0.25481370294708","0.305986222408004"
"People are helpful","2003","Employed","higher education","1281","0.367693501850267","0.351358204860075","0.38402879884046"
"People pursue self-interest","2003","Not Employed","in school","289","0.60612901771726","0.563129183244671","0.649128852189849"
"People pursue self-interest","2003","Not Employed","inadequately","90","0.613134035861993","0.536212897185065","0.690055174538922"
"People pursue self-interest","2003","Not Employed","general elemantary","818","0.543452546736338","0.517963311197728","0.568941782274948"
"People pursue self-interest","2003","Not Employed","middle vocational","2373","0.570094852683807","0.55502372650018","0.585165978867433"
"People pursue self-interest","2003","Not Employed","vocational + Abi","179","0.5420734119193","0.484631861594733","0.599514962243868"
"People pursue self-interest","2003","Not Employed","higher vocational","302","0.638780882197949","0.595853256203564","0.681708508192335"
"People pursue self-interest","2003","Not Employed","higher education","537","0.560763618809408","0.529254177125986","0.592273060492829"
"People pursue self-interest","2003","Employed","in school","78","0.654479770161357","0.567942348804885","0.74101719151783"
"People pursue self-interest","2003","Employed","inadequately","69","0.668993949878819","0.578553964720175","0.759433935037463"
"People pursue self-interest","2003","Employed","general elemantary","841","0.688903446193605","0.663239711128714","0.714567181258496"
"People pursue self-interest","2003","Employed","middle vocational","4826","0.710158649086787","0.699447567691306","0.720869730482268"
"People pursue self-interest","2003","Employed","vocational + Abi","624","0.726836603457141","0.696986842616189","0.756686364298093"
"People pursue self-interest","2003","Employed","higher vocational","842","0.719600037322458","0.694013777591996","0.74518629705292"
"People pursue self-interest","2003","Employed","higher education","2066","0.632306498149733","0.61597120115954","0.648641795139925"
"People are helpful","2004","Not Employed","in school","","","",""
"People are helpful","2004","Not Employed","inadequately","","","",""
"People are helpful","2004","Not Employed","general elemantary","","","",""
"People are helpful","2004","Not Employed","middle vocational","","","",""
"People are helpful","2004","Not Employed","vocational + Abi","","","",""
"People are helpful","2004","Not Employed","higher vocational","","","",""
"People are helpful","2004","Not Employed","higher education","","","",""
"People are helpful","2004","Employed","in school","","","",""
"People are helpful","2004","Employed","inadequately","","","",""
"People are helpful","2004","Employed","general elemantary","","","",""
"People are helpful","2004","Employed","middle vocational","","","",""
"People are helpful","2004","Employed","vocational + Abi","","","",""
"People are helpful","2004","Employed","higher vocational","","","",""
"People are helpful","2004","Employed","higher education","","","",""
"People pursue self-interest","2004","Not Employed","in school","","","",""
"People pursue self-interest","2004","Not Employed","inadequately","","","",""
"People pursue self-interest","2004","Not Employed","general elemantary","","","",""
"People pursue self-interest","2004","Not Employed","middle vocational","","","",""
"People pursue self-interest","2004","Not Employed","vocational + Abi","","","",""
"People pursue self-interest","2004","Not Employed","higher vocational","","","",""
"People pursue self-interest","2004","Not Employed","higher education","","","",""
"People pursue self-interest","2004","Employed","in school","","","",""
"People pursue self-interest","2004","Employed","inadequately","","","",""
"People pursue self-interest","2004","Employed","general elemantary","","","",""
"People pursue self-interest","2004","Employed","middle vocational","","","",""
"People pursue self-interest","2004","Employed","vocational + Abi","","","",""
"People pursue self-interest","2004","Employed","higher vocational","","","",""
"People pursue self-interest","2004","Employed","higher education","","","",""
"People are helpful","2005","Not Employed","in school","","","",""
"People are helpful","2005","Not Employed","inadequately","","","",""
"People are helpful","2005","Not Employed","general elemantary","","","",""
"People are helpful","2005","Not Employed","middle vocational","","","",""
"People are helpful","2005","Not Employed","vocational + Abi","","","",""
"People are helpful","2005","Not Employed","higher vocational","","","",""
"People are helpful","2005","Not Employed","higher education","","","",""
"People are helpful","2005","Employed","in school","","","",""
"People are helpful","2005","Employed","inadequately","","","",""
"People are helpful","2005","Employed","general elemantary","","","",""
"People are helpful","2005","Employed","middle vocational","","","",""
"People are helpful","2005","Employed","vocational + Abi","","","",""
"People are helpful","2005","Employed","higher vocational","","","",""
"People are helpful","2005","Employed","higher education","","","",""
"People pursue self-interest","2005","Not Employed","in school","","","",""
"People pursue self-interest","2005","Not Employed","inadequately","","","",""
"People pursue self-interest","2005","Not Employed","general elemantary","","","",""
"People pursue self-interest","2005","Not Employed","middle vocational","","","",""
"People pursue self-interest","2005","Not Employed","vocational + Abi","","","",""
"People pursue self-interest","2005","Not Employed","higher vocational","","","",""
"People pursue self-interest","2005","Not Employed","higher education","","","",""
"People pursue self-interest","2005","Employed","in school","","","",""
"People pursue self-interest","2005","Employed","inadequately","","","",""
"People pursue self-interest","2005","Employed","general elemantary","","","",""
"People pursue self-interest","2005","Employed","middle vocational","","","",""
"People pursue self-interest","2005","Employed","vocational + Abi","","","",""
"People pursue self-interest","2005","Employed","higher vocational","","","",""
"People pursue self-interest","2005","Employed","higher education","","","",""
"People are helpful","2006","Not Employed","in school","","","",""
"People are helpful","2006","Not Employed","inadequately","","","",""
"People are helpful","2006","Not Employed","general elemantary","","","",""
