"plh0196","year","hgtyp1hh","migback","n","percent","lower_confidence","upper_confidence"
"People are helpful","2003","1-pers.-HH","no migration background","1097","0.417420288143178","0.398530472262099","0.436310104024256"
"People are helpful","2003","1-pers.-HH","direct migration background","88","0.38357936024118","0.320600245602614","0.446558474879747"
"People are helpful","2003","1-pers.-HH","indirect migration background","34","0.389708746677407","0.284791304475143","0.49462618887967"
"People are helpful","2003","(Married) couple without C. ","no migration background","2464","0.383512366907792","0.371591288259583","0.395433445556001"
"People are helpful","2003","(Married) couple without C. ","direct migration background","284","0.385208876153201","0.349882729780856","0.420535022525547"
"People are helpful","2003","(Married) couple without C. ","indirect migration background","51","0.419562786584592","0.331268302591543","0.507857270577641"
"People are helpful","2003","Single parent ","no migration background","308","0.322118033661765","0.291589116797471","0.352646950526059"
"People are helpful","2003","Single parent ","direct migration background","51","0.400733693601762","0.318972653491106","0.482494733712419"
"People are helpful","2003","Single parent ","indirect migration background","22","","",""
"People are helpful","2003","Couple + C. LE 16 ","no migration background","1053","0.28753948581556","0.272518826403036","0.302560145228083"
"People are helpful","2003","Couple + C. LE 16 ","direct migration background","230","0.3017501921665","0.2668103839427","0.3366900003903"
"People are helpful","2003","Couple + C. LE 16 ","indirect migration background","40","0.187221081922563","0.129425763986904","0.245016399858222"
"People are helpful","2003","Couple + C. GT 16 ","no migration background","1078","0.306922661813876","0.291188969378919","0.322656354248833"
"People are helpful","2003","Couple + C. GT 16 ","direct migration background","152","0.405249221144716","0.358408834675261","0.45208960761417"
"People are helpful","2003","Couple + C. GT 16 ","indirect migration background","66","0.267222610171301","0.203284203338516","0.331161017004086"
"People are helpful","2003","Couple + C. LE and GT 16","no migration background","451","0.307357114385737","0.283265332732936","0.331448896038537"
"People are helpful","2003","Couple + C. LE and GT 16","direct migration background","115","0.355454625621791","0.300270012434697","0.410639238808884"
"People are helpful","2003","Couple + C. LE and GT 16","indirect migration background","42","0.307035747953165","0.226813261668238","0.387258234238091"
"People pursue self-interest","2003","1-pers.-HH","no migration background","1521","0.582579711856822","0.563689895975744","0.601469527737901"
"People pursue self-interest","2003","1-pers.-HH","direct migration background","141","0.61642063975882","0.553441525120253","0.679399754397387"
"People pursue self-interest","2003","1-pers.-HH","indirect migration background","49","0.610291253322593","0.50537381112033","0.715208695524857"
"People pursue self-interest","2003","(Married) couple without C. ","no migration background","3927","0.616487633092208","0.604566554444","0.628408711740417"
"People pursue self-interest","2003","(Married) couple without C. ","direct migration background","445","0.614791123846799","0.579464977474453","0.650117270219144"
