"plh0196","year","age_gr","hgtyp1hh","n","percent","lower_confidence","upper_confidence"
"People are helpful","2003","16-34 y.","1-pers.-HH","208","0.28910575461503","0.254623558396969","0.323587950833091"
"People are helpful","2003","16-34 y.","(Married) couple without C. ","283","0.279511392511565","0.25187656970229","0.307146215320841"
"People are helpful","2003","16-34 y.","Single parent ","149","0.312054373233226","0.269805094714538","0.354303651751913"
"People are helpful","2003","16-34 y.","Couple + C. LE 16 ","398","0.26777849545453","0.24429667139955","0.29126031950951"
"People are helpful","2003","16-34 y.","Couple + C. GT 16 ","490","0.313565861918011","0.289727279909389","0.337404443926633"
"People are helpful","2003","16-34 y.","Couple + C. LE and GT 16","235","0.349312945841","0.313266962450429","0.385358929231572"
"People are helpful","2003","35-65 y.","1-pers.-HH","424","0.333472282140854","0.307049786156971","0.359894778124737"
"People are helpful","2003","35-65 y.","(Married) couple without C. ","1453","0.338606439795478","0.323979325929218","0.353233553661739"
"People are helpful","2003","35-65 y.","Single parent ","188","0.330678792154339","0.291955076189743","0.369402508118936"
"People are helpful","2003","35-65 y.","Couple + C. LE 16 ","923","0.295401141955605","0.278954663192523","0.311847620718687"
"People are helpful","2003","35-65 y.","Couple + C. GT 16 ","724","0.311862914754586","0.292826869038248","0.330898960470925"
"People are helpful","2003","35-65 y.","Couple + C. LE and GT 16","372","0.298345155763712","0.271913054560734","0.324777256966691"
"People are helpful","2003","66 and older","1-pers.-HH","587","0.566402399999636","0.536326965237268","0.596477834762005"
"People are helpful","2003","66 and older","(Married) couple without C. ","1063","0.488129675034374","0.467270702194995","0.508988647873753"
"People are helpful","2003","66 and older","Single parent ","44","0.573758965644021","0.460315618478421","0.687202312809622"
"People are helpful","2003","66 and older","Couple + C. LE 16 ","2","","",""
"People are helpful","2003","66 and older","Couple + C. GT 16 ","82","0.408853396907136","0.336427670088433","0.48127912372584"
"People are helpful","2003","66 and older","Couple + C. LE and GT 16","1","","",""
"People pursue self-interest","2003","16-34 y.","1-pers.-HH","456","0.710894245384969","0.676412049166908","0.745376441603031"
"People pursue self-interest","2003","16-34 y.","(Married) couple without C. ","730","0.720488607488435","0.692853784679159","0.74812343029771"
"People pursue self-interest","2003","16-34 y.","Single parent ","313","0.687945626766774","0.645696348248087","0.730194905285462"
"People pursue self-interest","2003","16-34 y.","Couple + C. LE 16 ","968","0.73222150454547","0.70873968049049","0.75570332860045"
"People pursue self-interest","2003","16-34 y.","Couple + C. GT 16 ","965","0.686434138081989","0.662595556073367","0.710272720090611"
"People pursue self-interest","2003","16-34 y.","Couple + C. LE and GT 16","437","0.650687054159","0.614641070768428","0.686733037549571"
"People pursue self-interest","2003","35-65 y.","1-pers.-HH","799","0.666527717859146","0.640105221875263","0.692950213843029"
"People pursue self-interest","2003","35-65 y.","(Married) couple without C. ","2568","0.661393560204522","0.646766446338261","0.676020674070782"
"People pursue self-interest","2003","35-65 y.","Single parent ","379","0.669321207845661","0.630597491881064","0.708044923810257"
"People pursue self-interest","2003","35-65 y.","Couple + C. LE 16 ","2033","0.704598858044395","0.688152379281313","0.721045336807477"
"People pursue self-interest","2003","35-65 y.","Couple + C. GT 16 ","1551","0.688137085245414","0.669101039529075","0.707173130961752"
"People pursue self-interest","2003","35-65 y.","Couple + C. LE and GT 16","779","0.701654844236288","0.67522274303331","0.728086945439266"
"People pursue self-interest","2003","66 and older","1-pers.-HH","456","0.433597600000364","0.403522165237995","0.463673034762732"
"People pursue self-interest","2003","66 and older","(Married) couple without C. ","1143","0.511870324965626","0.491011352126247","0.532729297805005"
"People pursue self-interest","2003","66 and older","Single parent ","29","","",""
"People pursue self-interest","2003","66 and older","Couple + C. LE 16 ","2","","",""
"People pursue self-interest","2003","66 and older","Couple + C. GT 16 ","95","0.591146603092864","0.51872087627416","0.663572329911567"
"People pursue self-interest","2003","66 and older","Couple + C. LE and GT 16","1","","",""
"People are helpful","2004","16-34 y.","1-pers.-HH","","","",""
"People are helpful","2004","16-34 y.","(Married) couple without C. ","","","",""
"People are helpful","2004","16-34 y.","Single parent ","","","",""
"People are helpful","2004","16-34 y.","Couple + C. LE 16 ","","","",""
"People are helpful","2004","16-34 y.","Couple + C. GT 16 ","","","",""
"People are helpful","2004","16-34 y.","Couple + C. LE and GT 16","","","",""
"People are helpful","2004","35-65 y.","1-pers.-HH","","","",""
"People are helpful","2004","35-65 y.","(Married) couple without C. ","","","",""
"People are helpful","2004","35-65 y.","Single parent ","","","",""
"People are helpful","2004","35-65 y.","Couple + C. LE 16 ","","","",""
"People are helpful","2004","35-65 y.","Couple + C. GT 16 ","","","",""
"People are helpful","2004","35-65 y.","Couple + C. LE and GT 16","","","",""
"People are helpful","2004","66 and older","1-pers.-HH","","","",""
"People are helpful","2004","66 and older","(Married) couple without C. ","","","",""
"People are helpful","2004","66 and older","Single parent ","","","",""
"People are helpful","2004","66 and older","Couple + C. LE 16 ","","","",""
"People are helpful","2004","66 and older","Couple + C. GT 16 ","","","",""
"People are helpful","2004","66 and older","Couple + C. LE and GT 16","","","",""
"People pursue self-interest","2004","16-34 y.","1-pers.-HH","","","",""
"People pursue self-interest","2004","16-34 y.","(Married) couple without C. ","","","",""
"People pursue self-interest","2004","16-34 y.","Single parent ","","","",""
"People pursue self-interest","2004","16-34 y.","Couple + C. LE 16 ","","","",""
"People pursue self-interest","2004","16-34 y.","Couple + C. GT 16 ","","","",""
"People pursue self-interest","2004","16-34 y.","Couple + C. LE and GT 16","","","",""
"People pursue self-interest","2004","35-65 y.","1-pers.-HH","","","",""
"People pursue self-interest","2004","35-65 y.","(Married) couple without C. ","","","",""
"People pursue self-interest","2004","35-65 y.","Single parent ","","","",""
"People pursue self-interest","2004","35-65 y.","Couple + C. LE 16 ","","","",""
"People pursue self-interest","2004","35-65 y.","Couple + C. GT 16 ","","","",""
"People pursue self-interest","2004","35-65 y.","Couple + C. LE and GT 16","","","",""
"People pursue self-interest","2004","66 and older","1-pers.-HH","","","",""
"People pursue self-interest","2004","66 and older","(Married) couple without C. ","","","",""
"People pursue self-interest","2004","66 and older","Single parent ","","","",""
"People pursue self-interest","2004","66 and older","Couple + C. LE 16 ","","","",""
"People pursue self-interest","2004","66 and older","Couple + C. GT 16 ","","","",""
"People pursue self-interest","2004","66 and older","Couple + C. LE and GT 16","","","",""
"People are helpful","2005","16-34 y.","1-pers.-HH","","","",""
"People are helpful","2005","16-34 y.","(Married) couple without C. ","","","",""
"People are helpful","2005","16-34 y.","Single parent ","","","",""
"People are helpful","2005","16-34 y.","Couple + C. LE 16 ","","","",""
"People are helpful","2005","16-34 y.","Couple + C. GT 16 ","","","",""
"People are helpful","2005","16-34 y.","Couple + C. LE and GT 16","","","",""
"People are helpful","2005","35-65 y.","1-pers.-HH","","","",""
"People are helpful","2005","35-65 y.","(Married) couple without C. ","","","",""
"People are helpful","2005","35-65 y.","Single parent ","","","",""
"People are helpful","2005","35-65 y.","Couple + C. LE 16 ","","","",""
"People are helpful","2005","35-65 y.","Couple + C. GT 16 ","","","",""
"People are helpful","2005","35-65 y.","Couple + C. LE and GT 16","","","",""
