"plh0196","year","age_gr","n","percent","lower_confidence","upper_confidence","value"
"People are helpful","2003","16-34 y.","1834","0.297531018708479","0.28576542641765","0.309296610999308","1"
"People are helpful","2003","35-65 y.","4199","0.320305259017507","0.312135130730075","0.328475387304939","1"
"People are helpful","2003","66 and older","1854","0.519399285309819","0.50315507851678","0.535643492102857","1"
"People pursue self-interest","2003","16-34 y.","3966","0.702468981291521","0.690703389000692","0.71423457358235","2"
"People pursue self-interest","2003","66 and older","1780","0.480600714690181","0.464356507897143","0.49684492148322","2"
"People pursue self-interest","2003","35-65 y.","8330","0.679694740982493","0.671524612695061","0.687864869269925","2"
"People are helpful","2004","16-34 y.","","","","","1"
"People are helpful","2004","35-65 y.","","","","","1"
"People are helpful","2004","66 and older","","","","","1"
"People pursue self-interest","2004","66 and older","","","","","2"
"People pursue self-interest","2004","16-34 y.","","","","","2"
"People pursue self-interest","2004","35-65 y.","","","","","2"
"People are helpful","2005","16-34 y.","","","","","1"
"People are helpful","2005","35-65 y.","","","","","1"
"People are helpful","2005","66 and older","","","","","1"
"People pursue self-interest","2005","16-34 y.","","","","","2"
"People pursue self-interest","2005","35-65 y.","","","","","2"
"People pursue self-interest","2005","66 and older","","","","","2"
"People are helpful","2006","16-34 y.","","","","","1"
"People are helpful","2006","35-65 y.","","","","","1"
"People are helpful","2006","66 and older","","","","","1"
"People pursue self-interest","2006","16-34 y.","","","","","2"
"People pursue self-interest","2006","35-65 y.","","","","","2"
"People pursue self-interest","2006","66 and older","","","","","2"
"People are helpful","2007","16-34 y.","","","","","1"
"People are helpful","2007","35-65 y.","","","","","1"
"People are helpful","2007","66 and older","","","","","1"
"People pursue self-interest","2007","16-34 y.","","","","","2"
"People pursue self-interest","2007","35-65 y.","","","","","2"
"People pursue self-interest","2007","66 and older","","","","","2"
"People are helpful","2008","16-34 y.","1447","0.310228186847093","0.296433890031187","0.324022483662999","1"
"People are helpful","2008","35-65 y.","3678","0.331523676585356","0.322533841519965","0.340513511650746","1"
"People are helpful","2008","66 and older","2149","0.500912558228968","0.485950590078213","0.515874526379723","1"
"People pursue self-interest","2008","16-34 y.","2873","0.689771813152907","0.675977516337001","0.703566109968813","2"
"People pursue self-interest","2008","35-65 y.","6856","0.668476323414644","0.659486488349254","0.677466158480035","2"
"People pursue self-interest","2008","66 and older","2141","0.499087441771032","0.484125473620277","0.514049409921786","2"
"People are helpful","2009","16-34 y.","","","","","1"
"People are helpful","2009","35-65 y.","","","","","1"
"People are helpful","2009","66 and older","","","","","1"
"People pursue self-interest","2009","16-34 y.","","","","","2"
"People pursue self-interest","2009","35-65 y.","","","","","2"
"People pursue self-interest","2009","66 and older","","","","","2"
"People are helpful","2010","16-34 y.","","","","","1"
"People are helpful","2010","35-65 y.","","","","","1"
"People are helpful","2010","66 and older","","","","","1"
"People pursue self-interest","2010","16-34 y.","","","","","2"
"People pursue self-interest","2010","35-65 y.","","","","","2"
"People pursue self-interest","2010","66 and older","","","","","2"
"People are helpful","2011","16-34 y.","","","","","1"
"People are helpful","2011","35-65 y.","","","","","1"
"People are helpful","2011","66 and older","","","","","1"
"People pursue self-interest","2011","16-34 y.","","","","","2"
"People pursue self-interest","2011","35-65 y.","","","","","2"
"People pursue self-interest","2011","66 and older","","","","","2"
"People are helpful","2012","16-34 y.","","","","","1"
"People are helpful","2012","35-65 y.","","","","","1"
"People are helpful","2012","66 and older","","","","","1"
"People pursue self-interest","2012","16-34 y.","","","","","2"
"People pursue self-interest","2012","35-65 y.","","","","","2"
"People pursue self-interest","2012","66 and older","","","","","2"
"People are helpful","2013","16-34 y.","2148","0.374857423847918","0.362149131236571","0.387565716459264","1"
"People are helpful","2013","35-65 y.","6137","0.389091173789257","0.381199029887482","0.396983317691031","1"
"People are helpful","2013","66 and older","2767","0.56797559695777","0.554095916720836","0.581855277194704","1"
"People pursue self-interest","2013","16-34 y.","3426","0.625142576152082","0.612434283540736","0.637850868763429","2"
"People pursue self-interest","2013","35-65 y.","8523","0.610908826210743","0.603016682308969","0.618800970112518","2"
"People pursue self-interest","2013","66 and older","2126","0.43202440304223","0.418144722805297","0.445904083279164","2"
"People are helpful","2014","16-34 y.","","","","","1"
"People are helpful","2014","35-65 y.","","","","","1"
"People are helpful","2014","66 and older","","","","","1"
"People pursue self-interest","2014","16-34 y.","","","","","2"
"People pursue self-interest","2014","35-65 y.","","","","","2"
"People pursue self-interest","2014","66 and older","","","","","2"
"People are helpful","2015","16-34 y.","","","","","1"
"People are helpful","2015","35-65 y.","","","","","1"
"People are helpful","2015","66 and older","","","","","1"
"People pursue self-interest","2015","16-34 y.","","","","","2"
"People pursue self-interest","2015","35-65 y.","","","","","2"
"People pursue self-interest","2015","66 and older","","","","","2"
"People are helpful","2016","16-34 y.","","","","","1"
"People are helpful","2016","35-65 y.","","","","","1"
"People are helpful","2016","66 and older","","","","","1"
"People pursue self-interest","2016","16-34 y.","","","","","2"
"People pursue self-interest","2016","35-65 y.","","","","","2"
"People pursue self-interest","2016","66 and older","","","","","2"
"People are helpful","2017","35-65 y.","","","","","1"
"People are helpful","2017","66 and older","","","","","1"
"People are helpful","2017","16-34 y.","","","","","1"
"People pursue self-interest","2017","16-34 y.","","","","","2"
"People pursue self-interest","2017","35-65 y.","","","","","2"
"People pursue self-interest","2017","66 and older","","","","","2"
"People are helpful","2018","35-65 y.","7287","0.4345904915577","0.42691706310887","0.442263920006531","1"
"People are helpful","2018","16-34 y.","3435","0.410065333331142","0.399206431323646","0.420924235338639","1"
"People are helpful","2018","66 and older","2886","0.586914636757145","0.573228215450396","0.600601058063894","1"
"People pursue self-interest","2018","16-34 y.","4446","0.589934666668858","0.579075764661361","0.600793568676354","2"
"People pursue self-interest","2018","35-65 y.","8744","0.5654095084423","0.557736079993469","0.57308293689113","2"
"People pursue self-interest","2018","66 and older","2086","0.413085363242855","0.399398941936106","0.426771784549604","2"
