"plh0196","year","age_gr","migback","n","percent","lower_confidence","upper_confidence","value"
"People are helpful","2003","16-34 y.","no migration background","1397","0.299894244011236","0.286507977297964","0.313280510724507","1"
"People are helpful","2003","16-34 y.","direct migration background","226","0.29703937908729","0.262387054602905","0.331691703571675","1"
"People are helpful","2003","16-34 y.","indirect migration background","211","0.279781587568292","0.244756834149097","0.314806340987487","1"
"People are helpful","2003","35-65 y.","no migration background","3585","0.31355735152707","0.304819301293857","0.322295401760284","1"
"People are helpful","2003","35-65 y.","direct migration background","566","0.35784702646938","0.334097285600732","0.381596767338027","1"
"People are helpful","2003","35-65 y.","indirect migration background","48","0.37458269954629","0.292935741311115","0.456229657781465","1"
"People are helpful","2003","66 and older","no migration background","1675","0.521441139072166","0.504319531389381","0.53856274675495","1"
"People are helpful","2003","66 and older","direct migration background","172","0.496439870627427","0.444133627529537","0.548746113725317","1"
"People are helpful","2003","66 and older","indirect migration background","7","","","","1"
"People pursue self-interest","2003","16-34 y.","indirect migration background","420","0.720218412431708","0.685193659012513","0.755243165850903","2"
"People pursue self-interest","2003","66 and older","no migration background","1595","0.478558860927834","0.46143725324505","0.495680468610619","2"
"People pursue self-interest","2003","16-34 y.","direct migration background","442","0.70296062091271","0.668308296428325","0.737612945397095","2"
"People pursue self-interest","2003","16-34 y.","no migration background","3104","0.700105755988764","0.686719489275493","0.713492022702036","2"
"People pursue self-interest","2003","35-65 y.","no migration background","7244","0.68644264847293","0.677704598239716","0.695180698706143","2"
"People pursue self-interest","2003","35-65 y.","direct migration background","999","0.64215297353062","0.618403232661973","0.665902714399268","2"
"People pursue self-interest","2003","35-65 y.","indirect migration background","87","0.62541730045371","0.543770342218535","0.707064258688885","2"
"People pursue self-interest","2003","66 and older","direct migration background","179","0.503560129372573","0.451253886274683","0.555866372470463","2"
"People pursue self-interest","2003","66 and older","indirect migration background","6","","","","2"
"People are helpful","2004","16-34 y.","no migration background","","","","","1"
"People are helpful","2004","16-34 y.","direct migration background","","","","","1"
"People are helpful","2004","16-34 y.","indirect migration background","","","","","1"
"People are helpful","2004","35-65 y.","no migration background","","","","","1"
"People are helpful","2004","35-65 y.","direct migration background","","","","","1"
"People are helpful","2004","35-65 y.","indirect migration background","","","","","1"
"People are helpful","2004","66 and older","no migration background","","","","","1"
"People are helpful","2004","66 and older","direct migration background","","","","","1"
"People are helpful","2004","66 and older","indirect migration background","","","","","1"
"People pursue self-interest","2004","16-34 y.","indirect migration background","","","","","2"
"People pursue self-interest","2004","16-34 y.","no migration background","","","","","2"
"People pursue self-interest","2004","35-65 y.","no migration background","","","","","2"
"People pursue self-interest","2004","35-65 y.","direct migration background","","","","","2"
"People pursue self-interest","2004","16-34 y.","direct migration background","","","","","2"
"People pursue self-interest","2004","66 and older","no migration background","","","","","2"
"People pursue self-interest","2004","35-65 y.","indirect migration background","","","","","2"
"People pursue self-interest","2004","66 and older","direct migration background","","","","","2"
"People pursue self-interest","2004","66 and older","indirect migration background","","","","","2"
"People are helpful","2005","16-34 y.","no migration background","","","","","1"
"People are helpful","2005","16-34 y.","direct migration background","","","","","1"
"People are helpful","2005","16-34 y.","indirect migration background","","","","","1"
"People are helpful","2005","35-65 y.","no migration background","","","","","1"
"People are helpful","2005","35-65 y.","direct migration background","","","","","1"
"People are helpful","2005","35-65 y.","indirect migration background","","","","","1"
"People are helpful","2005","66 and older","no migration background","","","","","1"
"People are helpful","2005","66 and older","direct migration background","","","","","1"
"People are helpful","2005","66 and older","indirect migration background","","","","","1"
"People pursue self-interest","2005","16-34 y.","no migration background","","","","","2"
"People pursue self-interest","2005","16-34 y.","indirect migration background","","","","","2"
"People pursue self-interest","2005","35-65 y.","direct migration background","","","","","2"
"People pursue self-interest","2005","16-34 y.","direct migration background","","","","","2"
"People pursue self-interest","2005","35-65 y.","no migration background","","","","","2"
"People pursue self-interest","2005","66 and older","no migration background","","","","","2"
"People pursue self-interest","2005","66 and older","indirect migration background","","","","","2"
"People pursue self-interest","2005","35-65 y.","indirect migration background","","","","","2"
"People pursue self-interest","2005","66 and older","direct migration background","","","","","2"
"People are helpful","2006","16-34 y.","no migration background","","","","","1"
"People are helpful","2006","16-34 y.","direct migration background","","","","","1"
"People are helpful","2006","16-34 y.","indirect migration background","","","","","1"
"People are helpful","2006","35-65 y.","no migration background","","","","","1"
"People are helpful","2006","35-65 y.","direct migration background","","","","","1"
"People are helpful","2006","35-65 y.","indirect migration background","","","","","1"
"People are helpful","2006","66 and older","no migration background","","","","","1"
"People are helpful","2006","66 and older","direct migration background","","","","","1"
"People are helpful","2006","66 and older","indirect migration background","","","","","1"
"People pursue self-interest","2006","16-34 y.","no migration background","","","","","2"
"People pursue self-interest","2006","16-34 y.","indirect migration background","","","","","2"
"People pursue self-interest","2006","35-65 y.","direct migration background","","","","","2"
"People pursue self-interest","2006","66 and older","no migration background","","","","","2"
"People pursue self-interest","2006","35-65 y.","no migration background","","","","","2"
"People pursue self-interest","2006","16-34 y.","direct migration background","","","","","2"
"People pursue self-interest","2006","35-65 y.","indirect migration background","","","","","2"
"People pursue self-interest","2006","66 and older","direct migration background","","","","","2"
"People pursue self-interest","2006","66 and older","indirect migration background","","","","","2"
"People are helpful","2007","16-34 y.","no migration background","","","","","1"
"People are helpful","2007","16-34 y.","direct migration background","","","","","1"
"People are helpful","2007","16-34 y.","indirect migration background","","","","","1"
"People are helpful","2007","35-65 y.","no migration background","","","","","1"
"People are helpful","2007","35-65 y.","direct migration background","","","","","1"
"People are helpful","2007","35-65 y.","indirect migration background","","","","","1"
"People are helpful","2007","66 and older","no migration background","","","","","1"
"People are helpful","2007","66 and older","direct migration background","","","","","1"
