"plh0196","year","n","percent","lower_confidence","upper_confidence","value"
"People are helpful","2003","7887","0.357541703191867","0.351203180001926","0.363880226381808","1"
"People pursue self-interest","2003","14076","0.642458296808133","0.636119773618192","0.648796819998074","2"
"People are helpful","2004","","","","","1"
"People pursue self-interest","2004","","","","","2"
"People are helpful","2005","","","","","1"
"People pursue self-interest","2005","","","","","2"
"People are helpful","2006","","","","","1"
"People pursue self-interest","2006","","","","","2"
"People are helpful","2007","","","","","1"
"People pursue self-interest","2007","","","","","2"
"People are helpful","2008","7274","0.366664528087531","0.359838263725364","0.373490792449699","1"
"People pursue self-interest","2008","11870","0.633335471912469","0.626509207550301","0.640161736274636","2"
"People are helpful","2009","","","","","1"
"People pursue self-interest","2009","","","","","2"
"People are helpful","2010","","","","","1"
"People pursue self-interest","2010","","","","","2"
"People are helpful","2011","","","","","1"
"People pursue self-interest","2011","","","","","2"
"People are helpful","2012","","","","","1"
"People pursue self-interest","2012","","","","","2"
"People are helpful","2013","11052","0.433391126828897","0.427263963397709","0.439518290260084","1"
"People pursue self-interest","2013","14075","0.566608873171104","0.560481709739916","0.572736036602291","2"
"People are helpful","2014","","","","","1"
"People pursue self-interest","2014","","","","","2"
"People are helpful","2015","","","","","1"
"People pursue self-interest","2015","","","","","2"
"People are helpful","2016","","","","","1"
"People pursue self-interest","2016","","","","","2"
"People are helpful","2017","","","","","1"
"People pursue self-interest","2017","","","","","2"
"People are helpful","2018","13608","0.466663793900428","0.460910427798595","0.472417160002261","1"
"People pursue self-interest","2018","15276","0.533336206099572","0.527582839997739","0.539089572201405","2"
