"plh0196","year","regtyp","n","percent","lower_confidence","upper_confidence","value"
"People are helpful","2003","Urban Area","5469","0.363165371861605","0.355395940351377","0.370934803371833","1"
"People are helpful","2003","Rural Area","2418","0.345024416393856","0.334078141097585","0.355970691690127","1"
"People pursue self-interest","2003","Urban Area","9249","0.636834628138395","0.629065196628167","0.644604059648623","2"
"People pursue self-interest","2003","Rural Area","4827","0.654975583606144","0.644029308309873","0.665921858902415","2"
"People are helpful","2004","Urban Area","","","","","1"
"People are helpful","2004","Rural Area","","","","","1"
"People pursue self-interest","2004","Urban Area","","","","","2"
"People pursue self-interest","2004","Rural Area","","","","","2"
"People are helpful","2005","Urban Area","","","","","1"
"People are helpful","2005","Rural Area","","","","","1"
"People pursue self-interest","2005","Urban Area","","","","","2"
"People pursue self-interest","2005","Rural Area","","","","","2"
"People are helpful","2006","Urban Area","","","","","1"
"People are helpful","2006","Rural Area","","","","","1"
"People pursue self-interest","2006","Urban Area","","","","","2"
"People pursue self-interest","2006","Rural Area","","","","","2"
"People are helpful","2007","Urban Area","","","","","1"
"People are helpful","2007","Rural Area","","","","","1"
"People pursue self-interest","2007","Urban Area","","","","","2"
"People pursue self-interest","2007","Rural Area","","","","","2"
"People are helpful","2008","Urban Area","4965","0.373925004898852","0.365495770430704","0.382354239366999","1"
"People are helpful","2008","Rural Area","2309","0.350939494908918","0.339325413735269","0.362553576082567","1"
"People pursue self-interest","2008","Urban Area","7692","0.626074995101148","0.617645760633001","0.634504229569296","2"
"People pursue self-interest","2008","Rural Area","4178","0.649060505091082","0.637446423917433","0.660674586264731","2"
"People are helpful","2009","Urban Area","","","","","1"
"People are helpful","2009","Rural Area","","","","","1"
"People pursue self-interest","2009","Urban Area","","","","","2"
"People pursue self-interest","2009","Rural Area","","","","","2"
"People are helpful","2010","Urban Area","","","","","1"
"People are helpful","2010","Rural Area","","","","","1"
"People pursue self-interest","2010","Urban Area","","","","","2"
"People pursue self-interest","2010","Rural Area","","","","","2"
"People are helpful","2011","Urban Area","","","","","1"
"People are helpful","2011","Rural Area","","","","","1"
"People pursue self-interest","2011","Urban Area","","","","","2"
"People pursue self-interest","2011","Rural Area","","","","","2"
"People are helpful","2012","Urban Area","","","","","1"
"People are helpful","2012","Rural Area","","","","","1"
"People pursue self-interest","2012","Urban Area","","","","","2"
"People pursue self-interest","2012","Rural Area","","","","","2"
"People are helpful","2013","Urban Area","7072","0.432100410527137","0.4244514665289","0.439749354525375","1"
"People are helpful","2013","Rural Area","3980","0.435989674759555","0.425753284027271","0.446226065491839","1"
"People pursue self-interest","2013","Urban Area","9040","0.567899589472863","0.560250645474625","0.5755485334711","2"
"People pursue self-interest","2013","Rural Area","5035","0.564010325240445","0.553773934508161","0.574246715972729","2"
"People are helpful","2014","Urban Area","","","","","1"
"People are helpful","2014","Rural Area","","","","","1"
"People pursue self-interest","2014","Urban Area","","","","","2"
"People pursue self-interest","2014","Rural Area","","","","","2"
"People are helpful","2015","Urban Area","","","","","1"
"People are helpful","2015","Rural Area","","","","","1"
"People pursue self-interest","2015","Urban Area","","","","","2"
"People pursue self-interest","2015","Rural Area","","","","","2"
"People are helpful","2016","Urban Area","","","","","1"
"People are helpful","2016","Rural Area","","","","","1"
"People pursue self-interest","2016","Urban Area","","","","","2"
"People pursue self-interest","2016","Rural Area","","","","","2"
"People are helpful","2017","Urban Area","","","","","1"
"People are helpful","2017","Rural Area","","","","","1"
"People pursue self-interest","2017","Urban Area","","","","","2"
"People pursue self-interest","2017","Rural Area","","","","","2"
"People are helpful","2018","Urban Area","9071","0.469897053632488","0.462815863820222","0.476978243444753","1"
"People are helpful","2018","Rural Area","4537","0.459546602519297","0.449680246060507","0.469412958978086","1"
"People pursue self-interest","2018","Urban Area","10012","0.530102946367512","0.523021756555247","0.537184136179778","2"
"People pursue self-interest","2018","Rural Area","5264","0.540453397480703","0.530587041021914","0.550319753939493","2"
