"plh0196","year","e11102","education","n","percent","lower_confidence","upper_confidence"
"People are helpful","2003","Not Employed","lower secondary degree","1803","0.449349357432687","0.434016384888128","0.464682329977245"
"People are helpful","2003","Not Employed","secondary school degree","567","0.380560663675475","0.356389721449281","0.404731605901669"
"People are helpful","2003","Not Employed","college entrance qualification","531","0.444782437360544","0.416988228260826","0.472576646460261"
"People are helpful","2003","Not Employed","Other degree","221","0.439360964213999","0.39568327500602","0.483038653421978"
"People are helpful","2003","Not Employed","no degree/no degree yet","272","0.376330071051509","0.339369558369138","0.413290583733881"
"People are helpful","2003","Employed","lower secondary degree","1188","0.30773810192574","0.293059102258783","0.322417101592697"
"People are helpful","2003","Employed","secondary school degree","1434","0.278429327463625","0.265796462006186","0.291062192921065"
"People are helpful","2003","Employed","college entrance qualification","1453","0.335192546556746","0.32080264008263","0.349582453030862"
"People are helpful","2003","Employed","Other degree","248","0.315553217155442","0.281747828753779","0.349358605557104"
"People are helpful","2003","Employed","no degree/no degree yet","71","0.335831012358111","0.274257551129341","0.397404473586881"
"People pursue self-interest","2003","Not Employed","lower secondary degree","2240","0.550650642567313","0.535317670022755","0.565983615111872"
"People pursue self-interest","2003","Not Employed","secondary school degree","983","0.619439336324525","0.595268394098331","0.643610278550719"
"People pursue self-interest","2003","Not Employed","college entrance qualification","697","0.555217562639456","0.527423353539739","0.583011771739174"
"People pursue self-interest","2003","Not Employed","Other degree","275","0.560639035786001","0.516961346578022","0.60431672499398"
"People pursue self-interest","2003","Not Employed","no degree/no degree yet","388","0.623669928948491","0.586709416266119","0.660630441630862"
"People pursue self-interest","2003","Employed","lower secondary degree","2610","0.69226189807426","0.677582898407303","0.706940897741217"
"People pursue self-interest","2003","Employed","secondary school degree","3402","0.721570672536375","0.708937807078935","0.734203537993814"
"People pursue self-interest","2003","Employed","college entrance qualification","2681","0.664807453443254","0.650417546969138","0.67919735991737"
"People pursue self-interest","2003","Employed","Other degree","478","0.684446782844558","0.650641394442896","0.718252171246221"
"People pursue self-interest","2003","Employed","no degree/no degree yet","155","0.664168987641889","0.602595526413119","0.725742448870659"
"People are helpful","2004","Not Employed","lower secondary degree","","","",""
"People are helpful","2004","Not Employed","secondary school degree","","","",""
"People are helpful","2004","Not Employed","college entrance qualification","","","",""
"People are helpful","2004","Not Employed","Other degree","","","",""
