"plh0196","year","migback","sampreg","n","percent","lower_confidence","upper_confidence"
"People are helpful","2003","no migration background","West Germany","5096","0.375578985725692","0.367388081981845","0.383769889469539"
"People are helpful","2003","no migration background","East Germany","1561","0.297548811055009","0.285089156016341","0.310008466093678"
"People are helpful","2003","direct migration background","West Germany","930","0.364002033971438","0.345069250088817","0.382934817854058"
"People are helpful","2003","direct migration background","East Germany","34","0.318485017773398","0.228512124578477","0.408457910968319"
"People are helpful","2003","indirect migration background","West Germany","255","0.305773813591482","0.272733935921476","0.338813691261488"
"People are helpful","2003","indirect migration background","East Germany","11","","",""
"People pursue self-interest","2003","no migration background","West Germany","8332","0.624421014274308","0.616230110530461","0.632611918018155"
"People pursue self-interest","2003","no migration background","East Germany","3611","0.702451188944991","0.689991533906322","0.714910843983659"
"People pursue self-interest","2003","direct migration background","West Germany","1551","0.635997966028562","0.617065182145942","0.654930749911183"
"People pursue self-interest","2003","direct migration background","East Germany","69","0.681514982226602","0.591542089031681","0.771487875421524"
"People pursue self-interest","2003","indirect migration background","West Germany","492","0.694226186408518","0.661186308738512","0.727266064078524"
"People pursue self-interest","2003","indirect migration background","East Germany","21","","",""
"People are helpful","2004","no migration background","West Germany","","","",""
"People are helpful","2004","no migration background","East Germany","","","",""
"People are helpful","2004","direct migration background","West Germany","","","",""
"People are helpful","2004","direct migration background","East Germany","","","",""
"People are helpful","2004","indirect migration background","West Germany","","","",""
"People are helpful","2004","indirect migration background","East Germany","","","",""
"People pursue self-interest","2004","no migration background","West Germany","","","",""
"People pursue self-interest","2004","no migration background","East Germany","","","",""
"People pursue self-interest","2004","direct migration background","West Germany","","","",""
"People pursue self-interest","2004","direct migration background","East Germany","","","",""
"People pursue self-interest","2004","indirect migration background","West Germany","","","",""
"People pursue self-interest","2004","indirect migration background","East Germany","","","",""
"People are helpful","2005","no migration background","West Germany","","","",""
"People are helpful","2005","no migration background","East Germany","","","",""
"People are helpful","2005","direct migration background","West Germany","","","",""
"People are helpful","2005","direct migration background","East Germany","","","",""
"People are helpful","2005","indirect migration background","West Germany","","","",""
"People are helpful","2005","indirect migration background","East Germany","","","",""
"People pursue self-interest","2005","no migration background","West Germany","","","",""
"People pursue self-interest","2005","no migration background","East Germany","","","",""
"People pursue self-interest","2005","direct migration background","West Germany","","","",""
"People pursue self-interest","2005","direct migration background","East Germany","","","",""
"People pursue self-interest","2005","indirect migration background","West Germany","","","",""
"People pursue self-interest","2005","indirect migration background","East Germany","","","",""
"People are helpful","2006","no migration background","West Germany","","","",""
"People are helpful","2006","no migration background","East Germany","","","",""
"People are helpful","2006","direct migration background","West Germany","","","",""
"People are helpful","2006","direct migration background","East Germany","","","",""
"People are helpful","2006","indirect migration background","West Germany","","","",""
"People are helpful","2006","indirect migration background","East Germany","","","",""
"People pursue self-interest","2006","no migration background","West Germany","","","",""
"People pursue self-interest","2006","no migration background","East Germany","","","",""
"People pursue self-interest","2006","direct migration background","West Germany","","","",""
"People pursue self-interest","2006","direct migration background","East Germany","","","",""
"People pursue self-interest","2006","indirect migration background","West Germany","","","",""
"People pursue self-interest","2006","indirect migration background","East Germany","","","",""
"People are helpful","2007","no migration background","West Germany","","","",""
"People are helpful","2007","no migration background","East Germany","","","",""
"People are helpful","2007","direct migration background","West Germany","","","",""
"People are helpful","2007","direct migration background","East Germany","","","",""
"People are helpful","2007","indirect migration background","West Germany","","","",""
"People are helpful","2007","indirect migration background","East Germany","","","",""
"People pursue self-interest","2007","no migration background","West Germany","","","",""
"People pursue self-interest","2007","no migration background","East Germany","","","",""
"People pursue self-interest","2007","direct migration background","West Germany","","","",""
"People pursue self-interest","2007","direct migration background","East Germany","","","",""
"People pursue self-interest","2007","indirect migration background","West Germany","","","",""
"People pursue self-interest","2007","indirect migration background","East Germany","","","",""
"People are helpful","2008","no migration background","West Germany","4778","0.384210571690324","0.375467622925912","0.392953520454737"
"People are helpful","2008","no migration background","East Germany","1537","0.331320264871742","0.317740404043103","0.344900125700381"
"People are helpful","2008","direct migration background","West Germany","674","0.357709901660484","0.335578863241936","0.379840940079033"
"People are helpful","2008","direct migration background","East Germany","29","","",""
"People are helpful","2008","indirect migration background","West Germany","245","0.292186888253281","0.258899618419081","0.325474158087481"
"People are helpful","2008","indirect migration background","East Germany","11","","",""
"People pursue self-interest","2008","no migration background","West Germany","7112","0.615789428309676","0.607046479545263","0.624532377074088"
"People pursue self-interest","2008","no migration background","East Germany","3078","0.668679735128258","0.655099874299619","0.682259595956897"
"People pursue self-interest","2008","direct migration background","West Germany","1128","0.642290098339516","0.620159059920967","0.664421136758064"
"People pursue self-interest","2008","direct migration background","East Germany","49","0.691950860400259","0.589492260584313","0.794409460216206"
"People pursue self-interest","2008","indirect migration background","West Germany","472","0.707813111746719","0.67452584191252","0.741100381580919"
"People pursue self-interest","2008","indirect migration background","East Germany","31","0.841429555386085","0.730959785566697","0.951899325205473"
"People are helpful","2009","no migration background","West Germany","","","",""
"People are helpful","2009","no migration background","East Germany","","","",""
"People are helpful","2009","direct migration background","West Germany","","","",""
"People are helpful","2009","direct migration background","East Germany","","","",""
"People are helpful","2009","indirect migration background","West Germany","","","",""
"People are helpful","2009","indirect migration background","East Germany","","","",""
"People pursue self-interest","2009","no migration background","West Germany","","","",""
"People pursue self-interest","2009","no migration background","East Germany","","","",""
"People pursue self-interest","2009","direct migration background","West Germany","","","",""
"People pursue self-interest","2009","direct migration background","East Germany","","","",""
"People pursue self-interest","2009","indirect migration background","West Germany","","","",""
"People pursue self-interest","2009","indirect migration background","East Germany","","","",""
"People are helpful","2010","no migration background","West Germany","","","",""
"People are helpful","2010","no migration background","East Germany","","","",""
"People are helpful","2010","direct migration background","West Germany","","","",""
"People are helpful","2010","direct migration background","East Germany","","","",""
"People are helpful","2010","indirect migration background","West Germany","","","",""
"People are helpful","2010","indirect migration background","East Germany","","","",""
"People pursue self-interest","2010","no migration background","West Germany","","","",""
"People pursue self-interest","2010","no migration background","East Germany","","","",""
"People pursue self-interest","2010","direct migration background","West Germany","","","",""
"People pursue self-interest","2010","direct migration background","East Germany","","","",""
"People pursue self-interest","2010","indirect migration background","West Germany","","","",""
"People pursue self-interest","2010","indirect migration background","East Germany","","","",""
"People are helpful","2011","no migration background","West Germany","","","",""
"People are helpful","2011","no migration background","East Germany","","","",""
